Date,BID,ASK,RIC
2022-07-13,99.2593,99.3732,22553Q5K9=
2022-07-14,99.284,99.3976,22553Q5K9=
2022-07-15,99.299,99.4125,22553Q5K9=
2022-07-18,99.2179,99.3312,22553Q5K9=
2022-07-19,99.0677,99.1806,22553Q5K9=
2022-07-20,99.1066,99.2195,22553Q5K9=
2022-07-21,99.3969,99.5098,22553Q5K9=
2022-07-22,99.6362,99.7493,22553Q5K9=
2022-07-25,99.56,99.6729,22553Q5K9=
2022-07-26,98.4639,98.5751,22553Q5K9=
2022-07-27,98.301,98.4119,22553Q5K9=
2022-07-28,98.5861,98.6971,22553Q5K9=
2022-07-29,98.3447,98.4553,22553Q5K9=
2022-08-01,98.3508,98.4613,22553Q5K9=
2022-08-02,97.9409,98.0507,22553Q5K9=
2022-08-03,97.9425,98.0522,22553Q5K9=
2022-08-04,97.9851,98.0945,22553Q5K9=
2022-08-05,97.5962,97.7049,22553Q5K9=
2022-08-08,97.6587,97.7674,22553Q5K9=
2022-08-09,97.5133,97.6216,22553Q5K9=
2022-08-10,97.6369,97.7453,22553Q5K9=
2022-08-11,97.6039,97.7119,22553Q5K9=
2022-08-12,98.3468,98.4557,22553Q5K9=
2022-08-15,98.3352,98.4439,22553Q5K9=
2022-08-16,98.1658,98.2742,22553Q5K9=
2022-08-17,98.0803,98.1885,22553Q5K9=
2022-08-18,98.2392,98.3472,22553Q5K9=
2022-08-19,98.172,98.2798,22553Q5K9=
2022-08-22,98.0082,98.1156,22553Q5K9=
2022-08-23,98.0328,98.1402,22553Q5K9=
2022-08-24,97.8478,97.9548,22553Q5K9=
2022-08-25,97.9239,98.0306,22553Q5K9=
2022-08-26,97.9012,98.0078,22553Q5K9=
2022-08-29,97.8013,97.9077,22553Q5K9=
2022-08-30,97.7649,97.8712,22553Q5K9=
2022-08-31,97.678,97.784,22553Q5K9=
2022-09-01,97.626,97.7315,22553Q5K9=
2022-09-02,97.8835,97.9892,22553Q5K9=
2022-09-05,97.7521,97.8576,22553Q5K9=
2022-09-06,97.6368,97.742,22553Q5K9=
2022-09-07,97.8178,97.9232,22553Q5K9=
2022-09-08,97.6556,97.7604,22553Q5K9=
2022-09-09,97.5553,97.6598,22553Q5K9=
2022-09-12,97.5446,97.649,22553Q5K9=
2022-09-13,97.2097,97.3135,22553Q5K9=
2022-09-14,97.144,97.2476,22553Q5K9=
