Date,BID,ASK,RIC
2022-07-22,100.5606,100.6055,22553Q7H4=
2022-07-25,100.5054,100.5502,22553Q7H4=
2022-07-26,100.2532,100.2976,22553Q7H4=
2022-07-27,100.3374,100.3818,22553Q7H4=
2022-07-28,100.4645,100.5087,22553Q7H4=
2022-07-29,100.4231,100.4671,22553Q7H4=
2022-08-01,100.4238,100.4677,22553Q7H4=
2022-08-02,100.2349,100.2786,22553Q7H4=
2022-08-03,100.2226,100.2661,22553Q7H4=
2022-08-04,100.2574,100.3005,22553Q7H4=
2022-08-05,99.99,100.0393,22553Q7H4=
2022-08-08,100.0265,100.0692,22553Q7H4=
2022-08-09,99.9511,100.0313,22553Q7H4=
2022-08-10,100.0039,100.0464,22553Q7H4=
2022-08-11,99.9792,100.0364,22553Q7H4=
2022-08-12,100.1866,100.2287,22553Q7H4=
2022-08-15,100.2461,100.2881,22553Q7H4=
2022-08-16,100.162,100.2038,22553Q7H4=
2022-08-17,100.0988,100.1404,22553Q7H4=
2022-08-18,100.1618,100.203,22553Q7H4=
2022-08-19,100.0958,100.1369,22553Q7H4=
2022-08-22,99.1128,99.3224,22553Q7H4=
2022-08-23,99.1128,99.3223,22553Q7H4=
2022-08-24,98.9454,99.1543,22553Q7H4=
2022-08-25,99.0817,99.2907,22553Q7H4=
2022-08-26,99.0223,99.231,22553Q7H4=
2022-08-29,98.856,99.0643,22553Q7H4=
2022-08-30,98.8012,99.0092,22553Q7H4=
2022-08-31,98.6093,98.8168,22553Q7H4=
2022-09-01,98.4891,98.6958,22553Q7H4=
2022-09-02,98.8064,99.0138,22553Q7H4=
2022-09-05,98.6713,98.8784,22553Q7H4=
2022-09-06,98.3784,98.5846,22553Q7H4=
2022-09-07,98.6151,98.8218,22553Q7H4=
2022-09-08,98.4081,98.614,22553Q7H4=
2022-09-09,98.3549,98.5606,22553Q7H4=
2022-09-12,98.3043,98.5097,22553Q7H4=
2022-09-13,97.8856,98.0899,22553Q7H4=
2022-09-14,97.7923,97.9962,22553Q7H4=
2022-09-15,97.5748,97.7779,22553Q7H4=
2022-09-16,97.6681,97.8713,22553Q7H4=
2022-09-19,97.484,97.6866,22553Q7H4=
2022-09-20,97.3127,97.5148,22553Q7H4=
2022-09-21,97.1965,97.3982,22553Q7H4=
2022-09-22,96.6964,96.8966,22553Q7H4=
2022-09-23,96.4833,96.6828,22553Q7H4=
