Date,BID,ASK,RIC
2018-08-31,98.9884,99.4084,25159MAW7=
2018-09-03,98.955,99.3749,25159MAW7=
2018-09-04,98.6539,99.0723,25159MAW7=
2018-09-05,98.6207,99.0388,25159MAW7=
2018-09-06,98.8301,99.249,25159MAW7=
2018-09-07,98.3305,98.7468,25159MAW7=
2018-09-10,98.364,98.7804,25159MAW7=
2018-09-11,97.9832,98.3976,25159MAW7=
2018-09-12,98.1076,98.5225,25159MAW7=
2018-09-13,98.0426,98.4569,25159MAW7=
2018-09-14,97.8284,98.2416,25159MAW7=
2018-09-17,97.8783,98.2916,25159MAW7=
2018-09-18,97.3609,97.7716,25159MAW7=
2018-09-19,97.2877,97.698,25159MAW7=
2018-09-20,97.2894,97.6994,25159MAW7=
2018-09-21,97.29,97.6999,25159MAW7=
2018-09-24,97.103,97.512,25159MAW7=
2018-09-25,97.046,97.455,25159MAW7=
2018-09-26,97.439,97.849,25159MAW7=
2018-09-27,97.392,97.801,25159MAW7=
2018-09-28,97.302,97.712,25159MAW7=
2018-10-01,97.14,97.548,25159MAW7=
2018-10-02,97.336,97.745,25159MAW7=
2018-10-03,96.363,96.767,25159MAW7=
2018-10-04,96.317,96.721,25159MAW7=
2018-10-05,95.949,96.35,25159MAW7=
2018-10-08,95.935,96.337,25159MAW7=
2018-10-09,96.166,96.569,25159MAW7=
2018-10-10,96.425,96.829,25159MAW7=
2018-10-11,96.653,97.058,25159MAW7=
2018-10-12,96.969,97.375,25159MAW7=
2018-10-15,97.124,97.531,25159MAW7=
2018-10-16,97.003,97.409,25159MAW7=
2018-10-17,96.486,96.89,25159MAW7=
2018-10-18,96.973,97.379,25159MAW7=
2018-10-19,96.917,97.323,25159MAW7=
2018-10-22,96.627,97.031,25159MAW7=
2018-10-23,96.878,97.283,25159MAW7=
2018-10-24,97.268,97.674,25159MAW7=
2018-10-25,97.148,97.554,25159MAW7=
2018-10-26,97.709,98.117,25159MAW7=
2018-10-29,97.521,97.928,25159MAW7=
2018-10-30,97.206,97.612,25159MAW7=
2018-10-31,96.964,97.368,25159MAW7=
2018-11-01,97.184,97.589,25159MAW7=
2018-11-02,96.316,96.717,25159MAW7=
2018-11-05,96.388,96.79,25159MAW7=
2018-11-06,96.309,96.71,25159MAW7=
2018-11-07,96.086,96.486,25159MAW7=
2018-11-08,96.17,96.57,25159MAW7=
2018-11-09,96.514,96.916,25159MAW7=
2018-11-12,96.973,97.377,25159MAW7=
2018-11-13,96.957,97.36,25159MAW7=
2018-11-14,97.07,97.474,25159MAW7=
2018-11-15,97.217,97.621,25159MAW7=
2018-11-16,97.403,97.809,25159MAW7=
2018-11-19,97.428,97.833,25159MAW7=
2018-11-20,97.527,97.932,25159MAW7=
2018-11-21,97.593,97.998,25159MAW7=
2018-11-22,97.228,97.632,25159MAW7=
2018-11-23,97.569,97.974,25159MAW7=
2018-11-26,97.626,98.032,25159MAW7=
2018-11-27,97.465,97.87,25159MAW7=
2018-11-28,97.531,97.935,25159MAW7=
2018-11-29,97.759,98.164,25159MAW7=
2018-11-30,98.002,98.409,25159MAW7=
2018-12-03,98.141,98.548,25159MAW7=
2018-12-04,98.638,99.048,25159MAW7=
2018-12-05,98.739,99.149,25159MAW7=
2018-12-06,98.664,99.073,25159MAW7=
2018-12-07,99.106,99.517,25159MAW7=
2018-12-10,99.065,99.476,25159MAW7=
2018-12-11,99.0,99.41,25159MAW7=
2018-12-12,98.755,99.164,25159MAW7=
2018-12-13,98.577,98.985,25159MAW7=
2018-12-14,98.968,99.378,25159MAW7=
2018-12-17,99.1,99.51,25159MAW7=
2018-12-18,99.395,99.807,25159MAW7=
2018-12-19,99.733,100.146,25159MAW7=
2018-12-20,99.355,99.766,25159MAW7=
2018-12-21,99.437,99.848,25159MAW7=
2018-12-24,99.947,100.361,25159MAW7=
2018-12-26,99.413,99.824,25159MAW7=
2018-12-27,99.708,100.12,25159MAW7=
2018-12-28,100.096,100.51,25159MAW7=
2018-12-31,100.46,100.876,25159MAW7=
2019-01-02,100.634,101.05,25159MAW7=
2019-01-03,101.468,101.887,25159MAW7=
2019-01-04,100.509,100.924,25159MAW7=
2019-01-07,100.113,100.526,25159MAW7=
2019-01-08,99.997,100.41,25159MAW7=
2019-01-09,100.146,100.559,25159MAW7=
2019-01-10,99.948,100.36,25159MAW7=
2019-01-11,100.253,100.666,25159MAW7=
2019-01-14,100.03,100.442,25159MAW7=
2019-01-15,99.94,100.352,25159MAW7=
2019-01-16,100.022,100.434,25159MAW7=
2019-01-17,99.916,100.326,25159MAW7=
2019-01-18,99.442,99.85,25159MAW7=
2019-01-21,99.494,99.903,25159MAW7=
2019-01-22,99.809,100.219,25159MAW7=
2019-01-23,99.834,100.244,25159MAW7=
2019-01-24,100.113,100.524,25159MAW7=
2019-01-25,99.932,100.343,25159MAW7=
2019-01-28,99.769,100.178,25159MAW7=
2019-01-29,100.153,100.564,25159MAW7=
2019-01-30,100.515,100.928,25159MAW7=
2019-01-31,100.713,101.126,25159MAW7=
2019-02-01,100.211,100.622,25159MAW7=
2019-02-04,100.121,100.531,25159MAW7=
2019-02-05,100.211,100.622,25159MAW7=
2019-02-06,100.244,100.655,25159MAW7=
2019-02-07,100.597,101.009,25159MAW7=
2019-02-08,100.869,101.282,25159MAW7=
2019-02-11,100.695,101.108,25159MAW7=
2019-02-12,100.359,100.769,25159MAW7=
2019-02-13,100.334,100.745,25159MAW7=
2019-02-14,100.695,101.106,25159MAW7=
2019-02-15,100.685,101.096,25159MAW7=
2019-02-18,100.529,100.94,25159MAW7=
2019-02-19,100.834,101.246,25159MAW7=
2019-02-20,100.67,101.081,25159MAW7=
2019-02-21,100.612,101.023,25159MAW7=
2019-02-22,100.784,101.196,25159MAW7=
2019-02-25,100.669,101.08,25159MAW7=
2019-02-26,100.859,101.27,25159MAW7=
2019-02-27,100.505,100.915,25159MAW7=
2019-02-28,100.268,100.677,25159MAW7=
2019-03-01,99.846,100.252,25159MAW7=
2019-03-04,100.195,100.603,25159MAW7=
2019-03-05,100.252,100.66,25159MAW7=
2019-03-06,100.382,100.79,25159MAW7=
2019-03-07,100.953,101.364,25159MAW7=
2019-03-08,100.978,101.389,25159MAW7=
2019-03-11,100.887,101.298,25159MAW7=
2019-03-12,101.223,101.635,25159MAW7=
2019-03-13,101.018,101.428,25159MAW7=
2019-03-14,100.894,101.304,25159MAW7=
2019-03-15,101.295,101.707,25159MAW7=
2019-03-18,101.164,101.575,25159MAW7=
2019-03-19,101.319,101.731,25159MAW7=
2019-03-20,101.846,102.259,25159MAW7=
2019-03-21,101.803,102.216,25159MAW7=
2019-03-22,102.647,103.065,25159MAW7=
2019-03-25,102.747,103.164,25159MAW7=
2019-03-26,102.663,103.08,25159MAW7=
2019-03-27,103.029,103.447,25159MAW7=
2019-03-28,102.86,103.278,25159MAW7=
2019-03-29,102.876,103.294,25159MAW7=
2019-04-01,102.013,102.426,25159MAW7=
2019-04-02,102.268,102.683,25159MAW7=
2019-04-03,101.888,102.301,25159MAW7=
2019-04-04,102.01,102.423,25159MAW7=
2019-04-05,102.043,102.456,25159MAW7=
2019-04-08,101.951,102.364,25159MAW7=
2019-04-09,102.099,102.512,25159MAW7=
2019-04-10,102.487,102.901,25159MAW7=
2019-04-11,102.204,102.617,25159MAW7=
2019-04-12,101.759,102.17,25159MAW7=
2019-04-15,101.652,102.063,25159MAW7=
