Date,BID,ASK,RIC
2022-02-09,99.5675,99.7124,25159MBF3=
2022-02-10,99.0422,99.1862,25159MBF3=
2022-02-11,99.3766,99.5212,25159MBF3=
2022-02-14,99.1429,99.2871,25159MBF3=
2022-02-15,99.1199,99.264,25159MBF3=
2022-02-16,99.2438,99.3881,25159MBF3=
2022-02-17,99.3298,99.4738,25159MBF3=
2022-02-18,99.457,99.6011,25159MBF3=
2022-02-21,99.5192,99.6634,25159MBF3=
2022-02-22,99.2592,99.4028,25159MBF3=
2022-02-23,99.1739,99.3172,25159MBF3=
2022-02-24,99.2443,99.3871,25159MBF3=
2022-02-25,99.2524,99.3951,25159MBF3=
2022-02-28,99.6213,99.7645,25159MBF3=
2022-03-01,99.9538,100.0974,25159MBF3=
2022-03-02,99.465,99.6076,25159MBF3=
2022-03-03,99.4664,99.6086,25159MBF3=
2022-03-04,99.6289,99.7713,25159MBF3=
2022-03-07,99.4787,99.6207,25159MBF3=
2022-03-08,99.3347,99.4763,25159MBF3=
2022-03-09,99.0389,99.1799,25159MBF3=
2022-03-10,98.9488,99.0893,25159MBF3=
2022-03-11,98.8153,98.9554,25159MBF3=
2022-03-14,98.5315,98.671,25159MBF3=
2022-03-15,98.5189,98.6582,25159MBF3=
2022-03-16,98.2315,98.3702,25159MBF3=
2022-03-17,98.2501,98.3885,25159MBF3=
2022-03-18,98.1744,98.3125,25159MBF3=
2022-03-21,97.7195,97.8567,25159MBF3=
2022-03-22,97.5465,97.6833,25159MBF3=
2022-03-23,97.7319,97.8689,25159MBF3=
2022-03-24,97.599,97.7354,25159MBF3=
2022-03-25,97.1884,97.324,25159MBF3=
2022-03-28,97.026,97.1612,25159MBF3=
2022-03-29,97.0773,97.2126,25159MBF3=
2022-03-30,97.2855,97.421,25159MBF3=
2022-03-31,97.1878,97.3227,25159MBF3=
2022-04-01,96.8892,97.0235,25159MBF3=
2022-04-04,97.0101,97.1445,25159MBF3=
2022-04-05,96.7263,96.8601,25159MBF3=
2022-04-06,96.8363,96.9702,25159MBF3=
2022-04-07,96.7491,96.8824,25159MBF3=
2022-04-08,96.6058,96.7388,25159MBF3=
2022-04-11,96.6754,96.8084,25159MBF3=
2022-04-12,96.9204,97.0536,25159MBF3=
2022-04-13,97.0221,97.155,25159MBF3=
2022-04-14,96.8156,96.948,25159MBF3=
2022-04-15,96.8455,96.978,25159MBF3=
2022-04-18,96.9006,97.033,25159MBF3=
2022-04-19,96.4657,96.5973,25159MBF3=
2022-04-20,96.5321,96.6637,25159MBF3=
2022-04-21,96.3141,96.4449,25159MBF3=
2022-04-22,96.3254,96.4561,25159MBF3=
2022-04-25,96.4543,96.5851,25159MBF3=
2022-04-26,96.874,97.0054,25159MBF3=
2022-04-27,96.6648,96.7957,25159MBF3=
2022-04-28,96.5543,96.6846,25159MBF3=
2022-04-29,96.2485,96.3782,25159MBF3=
2022-05-02,96.2158,96.3453,25159MBF3=
