Date,BID,ASK,RIC
2015-02-09,97.733,98.399,298785GS9=
2015-02-10,97.5038,98.168,298785GS9=
2015-02-11,97.3565,98.0189,298785GS9=
2015-02-12,97.6479,98.3123,298785GS9=
2015-02-13,97.1295,97.7897,298785GS9=
2015-02-17,96.2924,96.9462,298785GS9=
2015-02-18,96.7999,97.457,298785GS9=
2015-02-19,96.4784,97.1329,298785GS9=
2015-02-20,96.5401,97.1949,298785GS9=
2015-02-23,97.0118,97.67,298785GS9=
2015-02-24,97.794,98.4579,298785GS9=
2015-02-25,97.7966,98.4598,298785GS9=
2015-02-26,97.2791,97.9382,298785GS9=
2015-02-27,97.5867,98.2479,298785GS9=
2015-03-02,96.7744,97.4293,298785GS9=
2015-03-03,96.4886,97.1413,298785GS9=
2015-03-04,96.5172,97.1695,298785GS9=
2015-03-05,96.5354,97.1877,298785GS9=
2015-03-06,95.4174,96.0611,298785GS9=
2015-03-09,95.8814,96.5284,298785GS9=
2015-03-10,96.5033,97.1549,298785GS9=
2015-03-11,96.6097,97.2616,298785GS9=
2015-03-12,96.6019,97.2535,298785GS9=
2015-03-13,96.5422,97.1932,298785GS9=
2015-03-16,96.9243,97.578,298785GS9=
2015-03-17,97.1162,97.7712,298785GS9=
2015-03-18,98.2824,98.9456,298785GS9=
2015-03-19,97.826,98.4856,298785GS9=
2015-03-20,98.16,98.822,298785GS9=
2015-03-23,98.3629,99.0262,298785GS9=
2015-03-24,98.681,99.3466,298785GS9=
2015-03-25,98.2062,98.8677,298785GS9=
2015-03-26,97.5968,98.2538,298785GS9=
2015-03-27,97.9085,98.5676,298785GS9=
2015-03-30,97.979,98.6384,298785GS9=
2015-03-31,98.2089,98.8694,298785GS9=
2015-04-01,98.8078,99.4726,298785GS9=
2015-04-02,98.3238,98.9848,298785GS9=
2015-04-03,98.976,99.6419,298785GS9=
2015-04-06,98.456,99.1178,298785GS9=
2015-04-07,98.5707,99.2332,298785GS9=
2015-04-08,98.3961,99.0568,298785GS9=
2015-04-09,97.8978,98.0288,298785GS9=
2015-04-10,98.0205,98.1516,298785GS9=
2015-04-13,98.1871,98.3184,298785GS9=
2015-04-14,98.4503,98.582,298785GS9=
2015-04-15,98.5304,98.6621,298785GS9=
2015-04-16,98.4957,98.6273,298785GS9=
2015-04-17,98.7595,98.8915,298785GS9=
2015-04-20,98.5579,98.6895,298785GS9=
2015-04-21,98.3655,98.4968,298785GS9=
2015-04-22,97.7222,97.8525,298785GS9=
2015-04-23,97.9835,98.1141,298785GS9=
2015-04-24,98.3327,98.4638,298785GS9=
2015-04-27,98.2284,98.3593,298785GS9=
2015-04-28,97.56,97.6899,298785GS9=
2015-04-29,97.1908,97.32,298785GS9=
2015-04-30,97.2863,97.4157,298785GS9=
2015-05-01,96.6261,96.7544,298785GS9=
2015-05-04,96.3368,96.4647,298785GS9=
2015-05-05,96.0317,96.1591,298785GS9=
2015-05-06,95.4431,95.5695,298785GS9=
2015-05-07,96.0696,96.1969,298785GS9=
2015-05-08,96.3764,96.5041,298785GS9=
2015-05-11,95.1692,95.2951,298785GS9=
2015-05-12,95.4898,95.6162,298785GS9=
2015-05-13,95.0987,95.2244,298785GS9=
2015-05-14,95.6038,95.7302,298785GS9=
2015-05-15,96.332,96.4594,298785GS9=
2015-05-18,95.606,95.7323,298785GS9=
2015-05-19,95.1372,95.2628,298785GS9=
2015-05-20,95.4185,95.5444,298785GS9=
2015-05-21,95.9411,96.0677,298785GS9=
2015-05-22,95.7821,95.9085,298785GS9=
2015-05-26,96.3913,96.5185,298785GS9=
2015-05-27,96.4948,96.6221,298785GS9=
2015-05-28,96.4534,96.5806,298785GS9=
2015-05-29,96.5391,96.6664,298785GS9=
2015-06-01,96.0495,96.1761,298785GS9=
2015-06-02,95.3537,95.4792,298785GS9=
2015-06-03,94.5672,94.6915,298785GS9=
2015-06-04,95.0001,95.125,298785GS9=
2015-06-05,94.1738,94.2974,298785GS9=
2015-06-08,94.3979,94.5218,298785GS9=
2015-06-09,93.9056,94.0287,298785GS9=
2015-06-10,93.5421,93.6646,298785GS9=
2015-06-11,94.4133,94.5371,298785GS9=
2015-06-12,94.3406,94.4642,298785GS9=
2015-06-15,94.5977,94.7217,298785GS9=
2015-06-16,95.0129,95.1375,298785GS9=
2015-06-17,94.9256,95.05,298785GS9=
2015-06-18,94.8111,94.9352,298785GS9=
2015-06-19,95.4181,95.5431,298785GS9=
2015-06-22,94.4838,94.6074,298785GS9=
2015-06-23,94.1567,94.2797,298785GS9=
2015-06-24,94.4978,94.6212,298785GS9=
2015-06-25,94.1791,94.302,298785GS9=
