Date,BID,ASK,RIC
2017-05-22,99.673,100.337,298785HM1=
2017-05-23,99.409,100.071,298785HM1=
2017-05-24,99.143,99.649,298785HM1=
2017-05-25,99.64,100.303,298785HM1=
2017-05-26,99.397,99.904,298785HM1=
2017-05-30,99.669,100.178,298785HM1=
2017-05-31,99.757,100.266,298785HM1=
2017-06-01,99.624,100.132,298785HM1=
2017-06-02,100.17,100.681,298785HM1=
2017-06-05,99.993,100.502,298785HM1=
2017-06-06,100.319,100.831,298785HM1=
2017-06-07,100.079,100.589,298785HM1=
2017-06-08,99.827,100.335,298785HM1=
2017-06-09,99.759,100.267,298785HM1=
2017-06-12,99.817,100.059,298785HM1=
2017-06-13,99.719,99.961,298785HM1=
2017-06-14,100.568,100.813,298785HM1=
2017-06-15,100.148,100.391,298785HM1=
2017-06-16,100.276,100.519,298785HM1=
2017-06-19,99.947,100.189,298785HM1=
2017-06-20,100.215,100.458,298785HM1=
2017-06-21,100.172,100.413,298785HM1=
2017-06-22,100.25,100.493,298785HM1=
2017-06-23,100.272,100.515,298785HM1=
2017-06-26,100.418,100.661,298785HM1=
2017-06-27,99.811,100.052,298785HM1=
2017-06-28,99.624,99.864,298785HM1=
2017-06-29,99.259,99.499,298785HM1=
2017-06-30,99.036,99.274,298785HM1=
2017-07-03,98.554,98.791,298785HM1=
2017-07-04,98.526,98.763,298785HM1=
2017-07-05,98.689,98.926,298785HM1=
2017-07-06,98.346,98.583,298785HM1=
2017-07-07,98.237,98.474,298785HM1=
2017-07-10,98.329,98.565,298785HM1=
2017-07-11,98.468,98.704,298785HM1=
2017-07-12,98.806,99.044,298785HM1=
2017-07-13,98.521,98.757,298785HM1=
2017-07-14,98.779,99.017,298785HM1=
2017-07-17,98.852,99.09,298785HM1=
2017-07-18,99.3,99.538,298785HM1=
2017-07-19,99.257,99.495,298785HM1=
2017-07-20,99.428,99.667,298785HM1=
2017-07-21,99.554,99.793,298785HM1=
2017-07-24,99.381,99.619,298785HM1=
2017-07-25,98.765,99.002,298785HM1=
2017-07-26,98.875,99.112,298785HM1=
2017-07-27,98.854,99.09,298785HM1=
2017-07-28,99.038,99.274,298785HM1=
2017-07-31,99.052,99.289,298785HM1=
2017-08-01,99.359,99.601,298785HM1=
2017-08-02,99.37,99.611,298785HM1=
2017-08-03,99.609,99.851,298785HM1=
2017-08-04,99.31,99.551,298785HM1=
2017-08-07,99.39,99.632,298785HM1=
2017-08-08,99.247,99.488,298785HM1=
2017-08-09,99.585,99.827,298785HM1=
2017-08-10,99.73,99.971,298785HM1=
2017-08-11,99.972,100.214,298785HM1=
2017-08-14,99.762,100.004,298785HM1=
2017-08-15,99.33,99.571,298785HM1=
