Date,BID,ASK,RIC
2018-07-16,99.622,99.856,298785HR0=
2018-07-17,99.642,99.876,298785HR0=
2018-07-18,99.624,99.858,298785HR0=
2018-07-19,99.74,99.974,298785HR0=
2018-07-20,99.69,99.924,298785HR0=
2018-07-23,99.377,99.609,298785HR0=
2018-07-24,99.41,99.643,298785HR0=
2018-07-25,99.188,99.651,298785HR0=
2018-07-26,99.304,99.768,298785HR0=
2018-07-27,99.384,99.848,298785HR0=
2018-07-30,99.374,99.838,298785HR0=
2018-07-31,99.383,99.847,298785HR0=
2018-08-01,99.213,99.675,298785HR0=
2018-08-02,99.26,99.722,298785HR0=
2018-08-03,99.403,99.866,298785HR0=
2018-08-06,99.426,99.889,298785HR0=
2018-08-07,99.307,99.769,298785HR0=
2018-08-08,99.399,99.861,298785HR0=
2018-08-09,99.52,99.982,298785HR0=
2018-08-10,99.801,100.264,298785HR0=
2018-08-13,99.764,100.227,298785HR0=
2018-08-14,99.553,100.014,298785HR0=
2018-08-15,99.723,100.185,298785HR0=
2018-08-16,99.765,100.226,298785HR0=
2018-08-17,99.696,100.157,298785HR0=
2018-08-20,99.852,100.314,298785HR0=
2018-08-21,99.857,100.318,298785HR0=
2018-08-22,99.866,100.327,298785HR0=
2018-08-23,99.825,100.285,298785HR0=
2018-08-24,99.866,100.326,298785HR0=
2018-08-27,99.697,100.156,298785HR0=
2018-08-28,99.496,99.953,298785HR0=
2018-08-29,99.401,99.858,298785HR0=
2018-08-30,99.551,100.008,298785HR0=
2018-08-31,99.611,100.068,298785HR0=
2018-09-03,99.611,100.069,298785HR0=
2018-09-04,99.593,100.049,298785HR0=
2018-09-05,99.602,100.058,298785HR0=
2018-09-06,99.716,100.173,298785HR0=
2018-09-07,99.335,99.789,298785HR0=
2018-09-10,99.358,99.812,298785HR0=
2018-09-11,99.159,99.612,298785HR0=
2018-09-12,99.241,99.694,298785HR0=
2018-09-13,99.134,99.585,298785HR0=
2018-09-14,99.004,99.454,298785HR0=
2018-09-17,99.112,99.563,298785HR0=
2018-09-18,98.91,99.36,298785HR0=
2018-09-19,98.857,99.306,298785HR0=
2018-09-20,98.836,99.285,298785HR0=
2018-09-21,98.85,99.299,298785HR0=
2018-09-24,98.771,99.218,298785HR0=
2018-09-25,98.749,99.196,298785HR0=
2018-09-26,98.924,99.372,298785HR0=
2018-09-27,98.863,99.31,298785HR0=
2018-09-28,98.788,99.234,298785HR0=
2018-10-01,98.877,99.324,298785HR0=
2018-10-02,98.896,99.342,298785HR0=
2018-10-03,98.399,98.843,298785HR0=
2018-10-04,98.482,98.925,298785HR0=
2018-10-05,98.324,98.766,298785HR0=
2018-10-08,98.392,98.834,298785HR0=
2018-10-09,98.391,98.833,298785HR0=
2018-10-10,98.59,99.033,298785HR0=
2018-10-11,98.637,99.079,298785HR0=
2018-10-12,98.545,98.987,298785HR0=
2018-10-15,98.59,99.031,298785HR0=
2018-10-16,98.537,98.979,298785HR0=
2018-10-17,98.376,98.816,298785HR0=
2018-10-18,98.536,98.976,298785HR0=
2018-10-19,98.427,98.867,298785HR0=
2018-10-22,98.428,98.867,298785HR0=
2018-10-23,98.587,99.026,298785HR0=
2018-10-24,98.877,99.318,298785HR0=
2018-10-25,98.791,99.231,298785HR0=
2018-10-26,99.051,99.492,298785HR0=
2018-10-29,98.99,99.431,298785HR0=
2018-10-30,98.867,99.307,298785HR0=
2018-10-31,98.741,99.18,298785HR0=
