Date,BID,ASK,RIC
2018-10-29,100.106,100.578,298785HT6=
2018-10-30,99.974,100.445,298785HT6=
2018-10-31,99.838,100.308,298785HT6=
2018-11-01,99.927,100.397,298785HT6=
2018-11-02,99.549,100.016,298785HT6=
2018-11-05,99.623,100.091,298785HT6=
2018-11-06,99.423,99.89,298785HT6=
2018-11-07,99.312,99.777,298785HT6=
2018-11-08,99.313,99.406,298785HT6=
2018-11-09,99.559,99.652,298785HT6=
2018-11-12,99.657,99.704,298785HT6=
2018-11-13,99.75,99.796,298785HT6=
2018-11-14,99.94,99.986,298785HT6=
2018-11-15,100.08,100.126,298785HT6=
2018-11-16,100.274,100.321,298785HT6=
2018-11-19,100.338,100.384,298785HT6=
2018-11-20,100.292,100.338,298785HT6=
2018-11-21,100.136,100.182,298785HT6=
2018-11-22,100.172,100.218,298785HT6=
2018-11-23,100.242,100.288,298785HT6=
2018-11-26,100.162,100.209,298785HT6=
2018-11-27,100.136,100.183,298785HT6=
2018-11-28,100.205,100.252,298785HT6=
2018-11-29,100.376,100.423,298785HT6=
2018-11-30,100.425,100.472,298785HT6=
2018-12-03,100.478,100.524,298785HT6=
2018-12-04,100.575,100.621,298785HT6=
2018-12-05,100.602,100.649,298785HT6=
2018-12-06,100.802,100.848,298785HT6=
2018-12-07,100.903,100.955,298785HT6=
2018-12-10,100.834,100.891,298785HT6=
2018-12-11,100.82,100.874,298785HT6=
2018-12-12,100.627,100.678,298785HT6=
2018-12-13,100.723,100.776,298785HT6=
2018-12-14,100.912,100.967,298785HT6=
2018-12-17,100.995,101.053,298785HT6=
2018-12-18,101.199,101.256,298785HT6=
2018-12-19,101.331,101.388,298785HT6=
2018-12-20,101.262,101.315,298785HT6=
2018-12-21,101.305,101.356,298785HT6=
2018-12-24,101.53,101.587,298785HT6=
2018-12-26,101.378,101.433,298785HT6=
2018-12-27,101.385,101.437,298785HT6=
2018-12-28,101.713,101.765,298785HT6=
2018-12-31,101.912,101.97,298785HT6=
2019-01-02,101.817,101.873,298785HT6=
2019-01-03,102.285,102.342,298785HT6=
2019-01-04,101.776,101.826,298785HT6=
2019-01-07,101.894,101.949,298785HT6=
2019-01-08,101.697,101.751,298785HT6=
2019-01-09,101.829,101.883,298785HT6=
2019-01-10,101.777,101.832,298785HT6=
2019-01-11,101.948,102.004,298785HT6=
2019-01-14,101.926,101.981,298785HT6=
2019-01-15,101.909,101.962,298785HT6=
2019-01-16,101.882,101.938,298785HT6=
2019-01-17,101.732,101.786,298785HT6=
2019-01-18,101.51,101.565,298785HT6=
2019-01-21,101.597,101.653,298785HT6=
2019-01-22,101.842,101.898,298785HT6=
2019-01-23,101.826,101.883,298785HT6=
2019-01-24,101.977,102.035,298785HT6=
2019-01-25,101.769,101.822,298785HT6=
2019-01-28,101.869,101.926,298785HT6=
2019-01-29,101.966,102.02,298785HT6=
2019-01-30,102.096,102.15,298785HT6=
2019-01-31,102.494,102.547,298785HT6=
2019-02-01,102.028,102.082,298785HT6=
2019-02-04,102.012,102.067,298785HT6=
2019-02-05,102.169,102.221,298785HT6=
2019-02-06,102.188,102.243,298785HT6=
2019-02-07,102.321,102.376,298785HT6=
2019-02-08,102.46,102.516,298785HT6=
2019-02-11,102.292,102.346,298785HT6=
2019-02-12,102.179,102.236,298785HT6=
2019-02-13,102.086,102.142,298785HT6=
2019-02-14,102.296,102.352,298785HT6=
2019-02-15,102.228,102.281,298785HT6=
2019-02-18,102.167,102.224,298785HT6=
2019-02-19,102.374,102.429,298785HT6=
2019-02-20,102.299,102.355,298785HT6=
2019-02-21,102.104,102.158,298785HT6=
2019-02-22,102.279,102.332,298785HT6=
2019-02-25,102.238,102.295,298785HT6=
2019-02-26,102.423,102.479,298785HT6=
2019-02-27,102.311,102.361,298785HT6=
2019-02-28,102.008,102.063,298785HT6=
2019-03-01,101.95,102.003,298785HT6=
2019-03-04,102.059,102.115,298785HT6=
2019-03-05,101.997,102.049,298785HT6=
2019-03-06,102.179,102.23,298785HT6=
2019-03-07,102.419,102.473,298785HT6=
2019-03-08,102.463,102.519,298785HT6=
2019-03-11,102.396,102.45,298785HT6=
2019-03-12,102.563,102.614,298785HT6=
2019-03-13,102.532,102.584,298785HT6=
2019-03-14,102.518,102.57,298785HT6=
2019-03-15,102.698,102.749,298785HT6=
2019-03-18,102.589,102.645,298785HT6=
2019-03-19,102.622,102.673,298785HT6=
2019-03-20,103.102,103.193,298785HT6=
2019-03-21,103.02,103.111,298785HT6=
2019-03-22,103.484,103.575,298785HT6=
2019-03-25,103.595,103.686,298785HT6=
2019-03-26,103.489,103.58,298785HT6=
2019-03-27,103.75,103.841,298785HT6=
2019-03-28,103.565,103.655,298785HT6=
2019-03-29,103.45,103.54,298785HT6=
2019-04-01,102.953,103.043,298785HT6=
2019-04-02,103.14,103.23,298785HT6=
2019-04-03,102.927,103.017,298785HT6=
2019-04-04,103.021,103.111,298785HT6=
2019-04-05,103.069,103.158,298785HT6=
2019-04-08,103.027,103.116,298785HT6=
2019-04-09,103.11,103.199,298785HT6=
2019-04-10,103.274,103.364,298785HT6=
2019-04-11,103.107,103.197,298785HT6=
2019-04-12,102.825,102.914,298785HT6=
2019-04-15,102.935,103.024,298785HT6=
2019-04-16,102.791,102.88,298785HT6=
2019-04-17,102.754,102.842,298785HT6=
2019-04-18,102.903,102.991,298785HT6=
2019-04-19,102.909,102.998,298785HT6=
2019-04-22,102.826,102.914,298785HT6=
2019-04-23,102.944,103.033,298785HT6=
2019-04-24,103.328,103.417,298785HT6=
2019-04-25,103.234,103.323,298785HT6=
2019-04-26,103.419,103.507,298785HT6=
2019-04-29,103.049,103.137,298785HT6=
2019-04-30,103.202,103.291,298785HT6=
2019-05-01,103.081,103.169,298785HT6=
2019-05-02,102.891,102.979,298785HT6=
2019-05-03,103.25,103.339,298785HT6=
2019-05-06,103.257,103.346,298785HT6=
2019-05-07,103.432,103.521,298785HT6=
2019-05-08,103.32,103.408,298785HT6=
2019-05-09,103.469,103.557,298785HT6=
2019-05-10,103.317,103.405,298785HT6=
2019-05-13,103.809,103.898,298785HT6=
2019-05-14,103.785,103.873,298785HT6=
2019-05-15,103.946,104.035,298785HT6=
2019-05-16,103.763,103.851,298785HT6=
2019-05-17,103.651,103.739,298785HT6=
2019-05-20,103.618,103.706,298785HT6=
2019-05-21,103.559,103.647,298785HT6=
2019-05-22,103.763,103.851,298785HT6=
2019-05-23,103.996,104.085,298785HT6=
2019-05-24,103.908,103.996,298785HT6=
2019-05-27,103.908,103.996,298785HT6=
2019-05-28,104.194,104.283,298785HT6=
2019-05-29,104.172,104.261,298785HT6=
2019-05-30,104.394,104.482,298785HT6=
2019-05-31,104.864,104.953,298785HT6=
2019-06-03,105.145,105.234,298785HT6=
2019-06-04,104.77,104.859,298785HT6=
2019-06-05,105.188,105.277,298785HT6=
2019-06-06,104.913,105.002,298785HT6=
2019-06-07,105.344,105.433,298785HT6=
2019-06-10,104.74,104.828,298785HT6=
2019-06-11,104.799,104.887,298785HT6=
2019-06-12,105.021,105.109,298785HT6=
2019-06-13,105.135,105.224,298785HT6=
2019-06-14,105.132,105.221,298785HT6=
2019-06-17,105.147,105.235,298785HT6=
2019-06-18,105.148,105.236,298785HT6=
2019-06-19,105.436,105.524,298785HT6=
2019-06-20,105.466,105.554,298785HT6=
2019-06-21,105.194,105.282,298785HT6=
2019-06-24,105.534,105.622,298785HT6=
2019-06-25,105.623,105.711,298785HT6=
2019-06-26,105.4,105.488,298785HT6=
2019-06-27,105.513,105.601,298785HT6=
2019-06-28,105.466,105.554,298785HT6=
2019-07-01,105.436,105.524,298785HT6=
2019-07-02,105.6,105.688,298785HT6=
2019-07-03,105.643,105.73,298785HT6=
2019-07-04,105.649,105.737,298785HT6=
2019-07-05,105.198,105.286,298785HT6=
2019-07-08,105.03,105.117,298785HT6=
2019-07-09,104.962,105.048,298785HT6=
2019-07-10,105.441,105.529,298785HT6=
2019-07-11,104.915,105.002,298785HT6=
2019-07-12,105.146,105.233,298785HT6=
2019-07-15,105.26,105.347,298785HT6=
2019-07-16,104.984,105.07,298785HT6=
2019-07-17,105.449,105.536,298785HT6=
2019-07-18,105.538,105.625,298785HT6=
2019-07-19,105.284,105.37,298785HT6=
2019-07-22,105.415,105.501,298785HT6=
2019-07-23,105.226,105.312,298785HT6=
2019-07-24,105.361,105.447,298785HT6=
2019-07-25,105.032,105.118,298785HT6=
2019-07-26,105.184,105.27,298785HT6=
2019-07-29,105.175,105.261,298785HT6=
2019-07-30,105.224,105.31,298785HT6=
2019-07-31,105.315,105.401,298785HT6=
2019-08-01,105.947,106.034,298785HT6=
2019-08-02,105.784,105.87,298785HT6=
2019-08-05,106.395,106.482,298785HT6=
2019-08-06,106.443,106.53,298785HT6=
2019-08-07,106.543,106.63,298785HT6=
2019-08-08,106.172,106.258,298785HT6=
2019-08-09,106.142,106.229,298785HT6=
2019-08-12,106.592,106.679,298785HT6=
2019-08-13,106.424,106.51,298785HT6=
2019-08-14,106.256,106.342,298785HT6=
2019-08-15,106.831,106.918,298785HT6=
2019-08-16,106.667,106.754,298785HT6=
2019-08-19,106.594,106.68,298785HT6=
2019-08-20,106.672,106.758,298785HT6=
2019-08-21,106.482,106.568,298785HT6=
2019-08-22,106.535,106.621,298785HT6=
2019-08-23,106.677,106.763,298785HT6=
2019-08-26,106.996,107.082,298785HT6=
2019-08-27,106.81,106.896,298785HT6=
2019-08-28,106.879,106.965,298785HT6=
2019-08-29,106.63,106.716,298785HT6=
2019-08-30,106.737,106.823,298785HT6=
2019-09-02,106.794,106.88,298785HT6=
2019-09-03,106.991,107.077,298785HT6=
2019-09-04,107.029,107.115,298785HT6=
2019-09-05,106.417,106.503,298785HT6=
2019-09-06,106.763,106.849,298785HT6=
2019-09-09,106.252,106.337,298785HT6=
2019-09-10,105.77,105.854,298785HT6=
2019-09-11,105.872,105.956,298785HT6=
2019-09-12,105.818,105.903,298785HT6=
2019-09-13,105.106,105.189,298785HT6=
2019-09-16,105.395,105.479,298785HT6=
2019-09-17,105.648,105.732,298785HT6=
2019-09-18,105.552,105.636,298785HT6=
2019-09-19,105.562,105.646,298785HT6=
2019-09-20,105.856,105.94,298785HT6=
2019-09-23,105.823,105.907,298785HT6=
2019-09-24,106.163,106.248,298785HT6=
2019-09-25,105.774,105.857,298785HT6=
2019-09-26,105.905,105.989,298785HT6=
2019-09-27,106.11,106.194,298785HT6=
2019-09-30,106.144,106.228,298785HT6=
2019-10-01,106.295,106.379,298785HT6=
2019-10-02,106.699,106.783,298785HT6=
2019-10-03,106.858,106.942,298785HT6=
2019-10-04,106.82,106.904,298785HT6=
2019-10-07,106.447,106.53,298785HT6=
2019-10-08,106.778,106.862,298785HT6=
2019-10-09,106.555,106.639,298785HT6=
2019-10-10,106.077,106.16,298785HT6=
2019-10-11,105.841,105.923,298785HT6=
2019-10-14,105.979,106.062,298785HT6=
2019-10-15,105.577,105.659,298785HT6=
2019-10-16,105.87,105.953,298785HT6=
2019-10-17,105.871,105.954,298785HT6=
2019-10-18,105.975,106.057,298785HT6=
2019-10-21,105.79,105.872,298785HT6=
2019-10-22,105.872,105.955,298785HT6=
2019-10-23,105.864,105.947,298785HT6=
2019-10-24,105.869,105.952,298785HT6=
2019-10-25,105.71,105.792,298785HT6=
2019-10-28,105.497,105.579,298785HT6=
2019-10-29,105.562,105.644,298785HT6=
2019-10-30,105.694,105.776,298785HT6=
2019-10-31,106.257,106.339,298785HT6=
2019-11-01,105.851,105.933,298785HT6=
2019-11-04,105.757,105.839,298785HT6=
2019-11-05,105.497,105.578,298785HT6=
2019-11-06,105.607,105.689,298785HT6=
2019-11-07,105.232,105.313,298785HT6=
2019-11-08,105.148,105.229,298785HT6=
2019-11-11,105.18,105.261,298785HT6=
2019-11-12,105.136,105.217,298785HT6=
2019-11-13,105.246,105.327,298785HT6=
2019-11-14,105.502,105.583,298785HT6=
2019-11-15,105.41,105.49,298785HT6=
2019-11-18,105.547,105.628,298785HT6=
2019-11-19,105.596,105.677,298785HT6=
2019-11-20,105.722,105.803,298785HT6=
2019-11-21,105.594,105.674,298785HT6=
2019-11-22,105.61,105.691,298785HT6=
2019-11-25,105.679,105.759,298785HT6=
2019-11-26,105.72,105.8,298785HT6=
2019-11-27,105.464,105.544,298785HT6=
2019-11-28,105.475,105.556,298785HT6=
2019-11-29,105.472,105.552,298785HT6=
2019-12-02,105.381,105.461,298785HT6=
2019-12-03,105.545,105.625,298785HT6=
2019-12-04,105.386,105.465,298785HT6=
2019-12-05,105.263,105.343,298785HT6=
2019-12-06,105.113,105.193,298785HT6=
2019-12-09,105.189,105.268,298785HT6=
2019-12-10,105.075,105.154,298785HT6=
2019-12-11,105.5,105.579,298785HT6=
2019-12-12,105.199,105.278,298785HT6=
2019-12-13,105.489,105.568,298785HT6=
2019-12-16,104.979,105.078,298785HT6=
2019-12-17,105.11,105.209,298785HT6=
2019-12-18,105.0,105.099,298785HT6=
2019-12-19,105.167,105.265,298785HT6=
2019-12-20,105.116,105.214,298785HT6=
2019-12-23,105.023,105.121,298785HT6=
2019-12-24,105.235,105.334,298785HT6=
2019-12-25,105.195,105.293,298785HT6=
