Date,BID,ASK,RIC
2020-01-13,99.627,100.119,298785JB3=
2020-01-14,99.74,100.233,298785JB3=
2020-01-15,99.819,99.917,298785JB3=
2020-01-16,99.75,99.848,298785JB3=
2020-01-17,99.613,99.711,298785JB3=
2020-01-20,99.676,99.774,298785JB3=
2020-01-21,99.893,99.991,298785JB3=
2020-01-22,99.952,100.05,298785JB3=
2020-01-23,100.05,100.148,298785JB3=
2020-01-24,100.221,100.32,298785JB3=
2020-01-27,100.452,100.551,298785JB3=
2020-01-28,100.3,100.398,298785JB3=
2020-01-29,100.679,100.778,298785JB3=
2020-01-30,100.678,100.776,298785JB3=
2020-01-31,101.082,101.181,298785JB3=
2020-02-03,100.903,101.002,298785JB3=
2020-02-04,100.75,100.849,298785JB3=
2020-02-05,100.539,100.637,298785JB3=
2020-02-06,100.548,100.646,298785JB3=
2020-02-07,100.788,100.886,298785JB3=
2020-02-10,100.856,100.954,298785JB3=
2020-02-11,100.698,100.797,298785JB3=
2020-02-12,100.493,100.59,298785JB3=
2020-02-13,100.54,100.638,298785JB3=
2020-02-14,100.662,100.76,298785JB3=
2020-02-17,100.604,100.702,298785JB3=
2020-02-18,100.715,100.813,298785JB3=
2020-02-19,100.666,100.764,298785JB3=
2020-02-20,100.982,101.08,298785JB3=
2020-02-21,101.133,101.231,298785JB3=
2020-02-24,101.505,101.603,298785JB3=
2020-02-25,101.573,101.671,298785JB3=
2020-02-26,101.843,101.941,298785JB3=
2020-02-27,102.119,102.218,298785JB3=
2020-02-28,102.404,102.503,298785JB3=
2020-03-02,102.586,102.685,298785JB3=
2020-03-03,103.589,103.689,298785JB3=
2020-03-04,103.423,103.522,298785JB3=
2020-03-05,103.982,104.082,298785JB3=
2020-03-06,104.285,104.386,298785JB3=
2020-03-09,104.64,104.741,298785JB3=
2020-03-10,103.69,103.79,298785JB3=
2020-03-11,103.579,103.678,298785JB3=
2020-03-12,103.916,104.016,298785JB3=
2020-03-13,103.229,103.328,298785JB3=
2020-03-16,104.102,104.202,298785JB3=
2020-03-17,103.136,103.334,298785JB3=
2020-03-18,102.667,102.863,298785JB3=
2020-03-19,102.986,103.184,298785JB3=
2020-03-20,104.058,104.258,298785JB3=
2020-03-23,104.38,104.58,298785JB3=
2020-03-24,103.811,104.009,298785JB3=
2020-03-25,103.898,104.096,298785JB3=
2020-03-26,103.956,104.154,298785JB3=
2020-03-27,104.443,104.643,298785JB3=
2020-03-30,104.316,104.515,298785JB3=
2020-03-31,104.572,104.772,298785JB3=
2020-04-01,104.53,104.729,298785JB3=
2020-04-02,104.507,104.706,298785JB3=
2020-04-03,104.55,104.749,298785JB3=
2020-04-06,104.25,104.448,298785JB3=
2020-04-07,104.153,104.351,298785JB3=
2020-04-08,104.115,104.312,298785JB3=
2020-04-09,104.408,104.606,298785JB3=
2020-04-10,104.36,104.557,298785JB3=
2020-04-13,104.189,104.386,298785JB3=
2020-04-14,104.344,104.542,298785JB3=
2020-04-15,104.712,104.911,298785JB3=
2020-04-16,104.685,104.882,298785JB3=
2020-04-17,104.702,104.9,298785JB3=
2020-04-20,104.739,104.936,298785JB3=
2020-04-21,104.929,105.127,298785JB3=
2020-04-22,104.704,104.901,298785JB3=
2020-04-23,104.716,104.913,298785JB3=
2020-04-24,104.797,104.994,298785JB3=
2020-04-27,104.735,104.932,298785JB3=
2020-04-28,104.988,105.186,298785JB3=
2020-04-29,105.114,105.311,298785JB3=
2020-04-30,105.164,105.361,298785JB3=
2020-05-01,105.181,105.378,298785JB3=
2020-05-04,105.188,105.385,298785JB3=
2020-05-05,105.067,105.264,298785JB3=
2020-05-06,105.123,105.32,298785JB3=
2020-05-07,105.547,105.744,298785JB3=
2020-05-08,105.298,105.495,298785JB3=
2020-05-11,105.216,105.413,298785JB3=
2020-05-12,105.38,105.577,298785JB3=
2020-05-13,105.367,105.564,298785JB3=
2020-05-14,105.402,105.599,298785JB3=
2020-05-15,105.345,105.541,298785JB3=
2020-05-18,105.093,105.289,298785JB3=
2020-05-19,105.222,105.418,298785JB3=
2020-05-20,105.229,105.424,298785JB3=
2020-05-21,105.158,105.353,298785JB3=
2020-05-22,105.204,105.399,298785JB3=
2020-05-25,105.179,105.374,298785JB3=
2020-05-26,105.138,105.333,298785JB3=
2020-05-27,105.159,105.354,298785JB3=
2020-05-28,105.178,105.372,298785JB3=
2020-05-29,105.34,105.535,298785JB3=
2020-06-01,105.356,105.551,298785JB3=
2020-06-02,105.29,105.484,298785JB3=
2020-06-03,105.088,105.282,298785JB3=
2020-06-04,104.723,104.915,298785JB3=
2020-06-05,104.792,104.985,298785JB3=
2020-06-08,104.708,104.9,298785JB3=
2020-06-09,105.003,105.196,298785JB3=
2020-06-10,105.256,105.449,298785JB3=
2020-06-11,105.368,105.561,298785JB3=
2020-06-12,105.302,105.495,298785JB3=
2020-06-15,105.159,105.352,298785JB3=
2020-06-16,105.329,105.522,298785JB3=
2020-06-17,105.191,105.384,298785JB3=
2020-06-18,105.23,105.423,298785JB3=
2020-06-19,105.367,105.559,298785JB3=
2020-06-22,105.2,105.392,298785JB3=
2020-06-23,105.284,105.476,298785JB3=
2020-06-24,105.348,105.54,298785JB3=
2020-06-25,105.267,105.458,298785JB3=
2020-06-26,105.599,105.791,298785JB3=
2020-06-29,105.629,105.821,298785JB3=
2020-06-30,105.564,105.756,298785JB3=
2020-07-01,105.479,105.67,298785JB3=
2020-07-02,105.596,105.787,298785JB3=
2020-07-03,105.596,105.787,298785JB3=
2020-07-06,105.482,105.673,298785JB3=
2020-07-07,105.646,105.837,298785JB3=
2020-07-08,105.557,105.748,298785JB3=
2020-07-09,105.695,105.886,298785JB3=
2020-07-10,105.544,105.734,298785JB3=
2020-07-13,105.674,105.864,298785JB3=
2020-07-14,105.646,105.837,298785JB3=
2020-07-15,105.657,105.848,298785JB3=
2020-07-16,105.69,105.88,298785JB3=
2020-07-17,105.635,105.825,298785JB3=
2020-07-20,105.622,105.812,298785JB3=
2020-07-21,105.727,105.917,298785JB3=
2020-07-22,105.644,105.833,298785JB3=
2020-07-23,105.667,105.856,298785JB3=
2020-07-24,105.677,105.867,298785JB3=
2020-07-27,105.57,105.759,298785JB3=
2020-07-28,105.666,105.855,298785JB3=
2020-07-29,105.77,105.959,298785JB3=
2020-07-30,105.83,106.019,298785JB3=
2020-07-31,105.973,106.162,298785JB3=
2020-08-03,105.918,106.107,298785JB3=
2020-08-04,105.999,106.188,298785JB3=
2020-08-05,105.849,106.038,298785JB3=
2020-08-06,105.877,106.018,298785JB3=
2020-08-07,105.798,105.939,298785JB3=
2020-08-10,105.865,106.006,298785JB3=
2020-08-11,105.575,105.716,298785JB3=
2020-08-12,105.469,105.609,298785JB3=
2020-08-13,105.408,105.548,298785JB3=
2020-08-14,105.568,105.708,298785JB3=
2020-08-17,105.588,105.728,298785JB3=
2020-08-18,105.692,105.832,298785JB3=
2020-08-19,105.535,105.674,298785JB3=
2020-08-20,105.655,105.795,298785JB3=
2020-08-21,106.099,106.239,298785JB3=
2020-08-24,105.648,105.788,298785JB3=
2020-08-25,105.533,105.672,298785JB3=
2020-08-26,105.571,105.711,298785JB3=
2020-08-27,105.306,105.444,298785JB3=
2020-08-28,105.687,105.826,298785JB3=
2020-08-31,105.641,105.78,298785JB3=
2020-09-01,105.61,105.749,298785JB3=
2020-09-02,105.709,105.848,298785JB3=
2020-09-03,105.718,105.856,298785JB3=
2020-09-04,105.571,105.71,298785JB3=
2020-09-07,105.608,105.746,298785JB3=
2020-09-08,105.559,105.697,298785JB3=
2020-09-09,105.477,105.615,298785JB3=
2020-09-10,105.563,105.701,298785JB3=
2020-09-11,105.624,105.762,298785JB3=
2020-09-14,105.561,105.699,298785JB3=
2020-09-15,105.53,105.668,298785JB3=
2020-09-16,105.385,105.522,298785JB3=
2020-09-17,105.434,105.572,298785JB3=
2020-09-18,105.363,105.5,298785JB3=
2020-09-21,105.387,105.524,298785JB3=
2020-09-22,105.534,105.671,298785JB3=
2020-09-23,105.448,105.585,298785JB3=
2020-09-24,105.434,105.57,298785JB3=
2020-09-25,105.426,105.562,298785JB3=
2020-09-28,105.482,105.618,298785JB3=
2020-09-29,105.569,105.706,298785JB3=
2020-09-30,105.316,105.452,298785JB3=
2020-10-01,105.456,105.592,298785JB3=
2020-10-02,105.258,105.393,298785JB3=
2020-10-05,105.056,105.191,298785JB3=
2020-10-06,105.242,105.378,298785JB3=
2020-10-07,105.153,105.288,298785JB3=
2020-10-08,105.163,105.298,298785JB3=
2020-10-09,105.128,105.263,298785JB3=
2020-10-12,105.18,105.315,298785JB3=
2020-10-13,105.278,105.413,298785JB3=
2020-10-14,105.243,105.378,298785JB3=
2020-10-15,105.175,105.309,298785JB3=
2020-10-16,105.136,105.27,298785JB3=
2020-10-19,105.128,105.262,298785JB3=
2020-10-20,105.08,105.214,298785JB3=
2020-10-21,105.037,105.171,298785JB3=
2020-10-22,104.912,105.045,298785JB3=
2020-10-23,105.033,105.167,298785JB3=
2020-10-26,105.083,105.217,298785JB3=
2020-10-27,105.165,105.298,298785JB3=
2020-10-28,105.161,105.295,298785JB3=
2020-10-29,104.964,105.097,298785JB3=
2020-10-30,104.912,105.045,298785JB3=
2020-11-02,105.024,105.157,298785JB3=
2020-11-03,104.959,105.092,298785JB3=
2020-11-04,105.098,105.231,298785JB3=
2020-11-05,105.234,105.367,298785JB3=
2020-11-06,105.178,105.311,298785JB3=
2020-11-09,105.184,105.317,298785JB3=
2020-11-10,104.89,105.022,298785JB3=
2020-11-12,104.929,105.061,298785JB3=
2020-11-13,104.935,105.067,298785JB3=
2020-11-16,105.033,105.165,298785JB3=
2020-11-17,105.104,105.236,298785JB3=
2020-11-18,105.039,105.171,298785JB3=
2020-11-19,105.091,105.223,298785JB3=
2020-11-20,105.123,105.255,298785JB3=
2020-11-23,105.054,105.185,298785JB3=
2020-11-24,105.039,105.17,298785JB3=
2020-11-25,105.108,105.239,298785JB3=
2020-11-26,105.141,105.272,298785JB3=
2020-11-27,105.161,105.292,298785JB3=
2020-11-30,105.18,105.311,298785JB3=
2020-12-01,105.067,105.198,298785JB3=
2020-12-02,104.99,105.121,298785JB3=
2020-12-03,105.067,105.198,298785JB3=
2020-12-04,104.99,105.12,298785JB3=
2020-12-07,105.126,105.256,298785JB3=
2020-12-08,105.118,105.249,298785JB3=
2020-12-09,105.05,105.18,298785JB3=
2020-12-10,105.135,105.265,298785JB3=
2020-12-11,105.223,105.353,298785JB3=
2020-12-14,105.272,105.402,298785JB3=
