Date,BID,ASK,RIC
2020-04-20,99.82,100.596,298785JD9=
2020-04-21,100.021,100.799,298785JD9=
2020-04-22,99.799,100.575,298785JD9=
2020-04-23,99.871,100.646,298785JD9=
2020-04-24,99.908,100.682,298785JD9=
2020-04-27,99.846,100.62,298785JD9=
2020-04-28,100.093,100.299,298785JD9=
2020-04-29,100.247,100.454,298785JD9=
2020-04-30,100.201,100.407,298785JD9=
2020-05-01,100.314,100.52,298785JD9=
2020-05-04,100.329,100.535,298785JD9=
2020-05-05,100.257,100.463,298785JD9=
2020-05-06,100.318,100.524,298785JD9=
2020-05-07,100.827,101.034,298785JD9=
2020-05-08,100.461,100.667,298785JD9=
2020-05-11,100.435,100.641,298785JD9=
2020-05-12,100.661,100.867,298785JD9=
2020-05-13,100.645,100.851,298785JD9=
2020-05-14,100.691,100.896,298785JD9=
2020-05-15,100.634,100.839,298785JD9=
2020-05-18,100.321,100.526,298785JD9=
2020-05-19,100.51,100.715,298785JD9=
2020-05-20,100.51,100.715,298785JD9=
2020-05-21,100.458,100.662,298785JD9=
2020-05-22,100.519,100.723,298785JD9=
2020-05-25,100.482,100.686,298785JD9=
2020-05-26,100.452,100.656,298785JD9=
2020-05-27,100.416,100.62,298785JD9=
2020-05-28,100.431,100.635,298785JD9=
2020-05-29,100.614,100.818,298785JD9=
2020-06-01,100.634,100.838,298785JD9=
2020-06-02,100.578,100.781,298785JD9=
2020-06-03,100.309,100.512,298785JD9=
2020-06-04,99.935,100.136,298785JD9=
2020-06-05,99.909,100.111,298785JD9=
2020-06-08,99.975,100.177,298785JD9=
2020-06-09,100.237,100.439,298785JD9=
2020-06-10,100.555,100.758,298785JD9=
2020-06-11,100.58,100.782,298785JD9=
2020-06-12,100.564,100.766,298785JD9=
2020-06-15,100.417,100.619,298785JD9=
2020-06-16,100.599,100.801,298785JD9=
2020-06-17,100.467,100.669,298785JD9=
2020-06-18,100.462,100.663,298785JD9=
2020-06-19,100.653,100.854,298785JD9=
2020-06-22,100.481,100.682,298785JD9=
2020-06-23,100.521,100.722,298785JD9=
2020-06-24,100.631,100.833,298785JD9=
2020-06-25,100.575,100.776,298785JD9=
2020-06-26,100.876,101.078,298785JD9=
2020-06-29,100.901,101.102,298785JD9=
2020-06-30,100.835,101.036,298785JD9=
2020-07-01,100.808,101.009,298785JD9=
2020-07-02,100.933,101.134,298785JD9=
2020-07-03,100.933,101.134,298785JD9=
2020-07-06,100.867,101.068,298785JD9=
2020-07-07,100.992,101.193,298785JD9=
2020-07-08,100.911,101.112,298785JD9=
2020-07-09,101.105,101.306,298785JD9=
2020-07-10,100.9,101.1,298785JD9=
2020-07-13,101.039,101.239,298785JD9=
2020-07-14,101.013,101.213,298785JD9=
2020-07-15,100.978,101.178,298785JD9=
2020-07-16,101.081,101.281,298785JD9=
2020-07-17,101.016,101.215,298785JD9=
2020-07-20,101.005,101.204,298785JD9=
2020-07-21,101.174,101.373,298785JD9=
2020-07-22,101.084,101.283,298785JD9=
2020-07-23,101.117,101.316,298785JD9=
2020-07-24,101.131,101.33,298785JD9=
2020-07-27,101.021,101.22,298785JD9=
2020-07-28,101.125,101.323,298785JD9=
2020-07-29,101.184,101.383,298785JD9=
2020-07-30,101.306,101.505,298785JD9=
2020-07-31,101.41,101.609,298785JD9=
2020-08-03,101.354,101.553,298785JD9=
2020-08-04,101.443,101.642,298785JD9=
2020-08-05,101.338,101.536,298785JD9=
2020-08-06,101.375,101.524,298785JD9=
2020-08-07,101.246,101.394,298785JD9=
2020-08-10,101.369,101.517,298785JD9=
2020-08-11,101.067,101.215,298785JD9=
2020-08-12,100.958,101.106,298785JD9=
2020-08-13,100.903,101.05,298785JD9=
2020-08-14,101.074,101.222,298785JD9=
2020-08-17,101.098,101.245,298785JD9=
2020-08-18,101.21,101.358,298785JD9=
2020-08-19,101.048,101.195,298785JD9=
2020-08-20,101.183,101.33,298785JD9=
2020-08-21,101.202,101.349,298785JD9=
2020-08-24,101.133,101.28,298785JD9=
2020-08-25,101.064,101.211,298785JD9=
2020-08-26,101.107,101.254,298785JD9=
2020-08-27,100.833,100.979,298785JD9=
2020-08-28,101.188,101.335,298785JD9=
2020-08-31,101.144,101.29,298785JD9=
2020-09-01,101.124,101.27,298785JD9=
2020-09-02,101.22,101.367,298785JD9=
2020-09-03,101.291,101.437,298785JD9=
2020-09-04,101.139,101.285,298785JD9=
2020-09-07,101.177,101.323,298785JD9=
2020-09-08,101.08,101.226,298785JD9=
2020-09-09,101.046,101.191,298785JD9=
2020-09-10,101.097,101.243,298785JD9=
2020-09-11,101.164,101.31,298785JD9=
2020-09-14,101.101,101.246,298785JD9=
2020-09-15,101.071,101.216,298785JD9=
2020-09-16,100.921,101.066,298785JD9=
2020-09-17,100.982,101.127,298785JD9=
2020-09-18,100.957,101.102,298785JD9=
2020-09-21,100.986,101.13,298785JD9=
2020-09-22,101.038,101.183,298785JD9=
2020-09-23,100.961,101.105,298785JD9=
2020-09-24,101.002,101.146,298785JD9=
2020-09-25,100.997,101.141,298785JD9=
2020-09-28,101.011,101.154,298785JD9=
2020-09-29,101.106,101.25,298785JD9=
2020-09-30,100.842,100.985,298785JD9=
2020-10-01,100.998,101.142,298785JD9=
2020-10-02,100.792,100.935,298785JD9=
2020-10-05,100.583,100.725,298785JD9=
2020-10-06,100.782,100.925,298785JD9=
2020-10-07,100.691,100.834,298785JD9=
2020-10-08,100.713,100.856,298785JD9=
2020-10-09,100.68,100.822,298785JD9=
2020-10-12,100.735,100.877,298785JD9=
2020-10-13,100.888,101.03,298785JD9=
2020-10-14,100.854,100.997,298785JD9=
2020-10-15,100.791,100.933,298785JD9=
2020-10-16,100.706,100.847,298785JD9=
2020-10-19,100.701,100.842,298785JD9=
2020-10-20,100.7,100.842,298785JD9=
2020-10-21,100.657,100.799,298785JD9=
2020-10-22,100.487,100.628,298785JD9=
2020-10-23,100.618,100.759,298785JD9=
2020-10-26,100.674,100.815,298785JD9=
2020-10-27,100.763,100.904,298785JD9=
2020-10-28,100.763,100.904,298785JD9=
2020-10-29,100.607,100.748,298785JD9=
2020-10-30,100.508,100.649,298785JD9=
2020-11-02,100.63,100.77,298785JD9=
2020-11-03,100.611,100.751,298785JD9=
2020-11-04,100.76,100.901,298785JD9=
2020-11-05,100.866,101.007,298785JD9=
2020-11-06,100.81,100.95,298785JD9=
2020-11-09,100.823,100.963,298785JD9=
2020-11-10,100.515,100.654,298785JD9=
2020-11-12,100.565,100.704,298785JD9=
2020-11-13,100.574,100.713,298785JD9=
2020-11-16,100.68,100.82,298785JD9=
2020-11-17,100.759,100.898,298785JD9=
2020-11-18,100.693,100.833,298785JD9=
2020-11-19,100.757,100.896,298785JD9=
2020-11-20,100.794,100.933,298785JD9=
2020-11-23,100.724,100.863,298785JD9=
2020-11-24,100.668,100.806,298785JD9=
2020-11-25,100.749,100.888,298785JD9=
2020-11-26,100.784,100.923,298785JD9=
2020-11-27,100.855,100.994,298785JD9=
2020-11-30,100.924,101.063,298785JD9=
2020-12-01,100.808,100.947,298785JD9=
2020-12-02,100.729,100.868,298785JD9=
2020-12-03,100.728,100.866,298785JD9=
2020-12-04,100.649,100.787,298785JD9=
2020-12-07,100.796,100.934,298785JD9=
2020-12-08,100.791,100.929,298785JD9=
2020-12-09,100.722,100.859,298785JD9=
2020-12-10,100.867,101.005,298785JD9=
2020-12-11,100.963,101.1,298785JD9=
2020-12-14,101.017,101.155,298785JD9=
2020-12-15,100.856,100.994,298785JD9=
2020-12-16,100.847,100.984,298785JD9=
2020-12-17,100.758,100.895,298785JD9=
2020-12-18,100.79,100.927,298785JD9=
2020-12-21,100.698,100.835,298785JD9=
2020-12-22,100.907,101.044,298785JD9=
2020-12-23,100.828,100.964,298785JD9=
2020-12-24,100.905,101.041,298785JD9=
2020-12-28,100.986,101.122,298785JD9=
2020-12-29,100.877,101.013,298785JD9=
2020-12-30,100.97,101.106,298785JD9=
2020-12-31,101.01,101.146,298785JD9=
2021-01-04,101.091,101.227,298785JD9=
2021-01-05,100.9,101.036,298785JD9=
2021-01-06,100.8,100.936,298785JD9=
2021-01-07,100.569,100.704,298785JD9=
2021-01-08,100.439,100.573,298785JD9=
2021-01-11,100.353,100.488,298785JD9=
2021-01-12,100.523,100.658,298785JD9=
2021-01-13,100.537,100.671,298785JD9=
2021-01-14,100.54,100.674,298785JD9=
2021-01-15,100.683,100.817,298785JD9=
2021-01-18,100.625,100.759,298785JD9=
2021-01-19,100.705,100.839,298785JD9=
2021-01-20,100.731,100.865,298785JD9=
2021-01-21,100.703,100.837,298785JD9=
2021-01-22,100.72,100.854,298785JD9=
2021-01-25,100.889,101.024,298785JD9=
2021-01-26,100.871,101.005,298785JD9=
2021-01-27,100.817,100.951,298785JD9=
2021-01-28,100.678,100.811,298785JD9=
2021-01-29,100.838,100.971,298785JD9=
2021-02-01,100.793,100.926,298785JD9=
2021-02-02,100.739,100.872,298785JD9=
2021-02-03,100.579,100.712,298785JD9=
2021-02-04,100.697,100.83,298785JD9=
2021-02-05,100.701,100.834,298785JD9=
2021-02-08,100.542,100.674,298785JD9=
2021-02-09,100.528,100.661,298785JD9=
2021-02-10,100.722,100.855,298785JD9=
2021-02-11,100.575,100.707,298785JD9=
2021-02-12,100.447,100.579,298785JD9=
2021-02-15,100.361,100.493,298785JD9=
2021-02-16,100.232,100.363,298785JD9=
2021-02-17,100.311,100.442,298785JD9=
2021-02-18,100.262,100.393,298785JD9=
2021-02-19,100.122,100.253,298785JD9=
2021-02-22,100.065,100.196,298785JD9=
2021-02-23,100.196,100.327,298785JD9=
2021-02-24,99.978,100.109,298785JD9=
2021-02-25,99.37,99.499,298785JD9=
2021-02-26,99.719,99.849,298785JD9=
2021-03-01,99.728,99.857,298785JD9=
2021-03-02,99.965,100.095,298785JD9=
2021-03-03,99.754,99.883,298785JD9=
2021-03-04,99.625,99.754,298785JD9=
2021-03-05,99.364,99.493,298785JD9=
2021-03-08,99.249,99.377,298785JD9=
2021-03-09,99.386,99.515,298785JD9=
2021-03-10,99.468,99.596,298785JD9=
2021-03-11,99.311,99.439,298785JD9=
2021-03-12,99.167,99.294,298785JD9=
2021-03-15,99.257,99.384,298785JD9=
2021-03-16,99.257,99.385,298785JD9=
2021-03-17,99.287,99.415,298785JD9=
2021-03-18,99.17,99.297,298785JD9=
2021-03-19,99.141,99.268,298785JD9=
2021-03-22,99.201,99.328,298785JD9=
2021-03-23,99.358,99.485,298785JD9=
2021-03-24,99.451,99.579,298785JD9=
2021-03-25,99.364,99.49,298785JD9=
2021-03-26,99.326,99.453,298785JD9=
2021-03-29,99.292,99.419,298785JD9=
2021-03-30,99.263,99.39,298785JD9=
2021-03-31,99.017,99.143,298785JD9=
2021-04-01,99.152,99.278,298785JD9=
2021-04-02,98.879,99.005,298785JD9=
2021-04-05,99.052,99.178,298785JD9=
2021-04-06,99.22,99.346,298785JD9=
2021-04-07,99.204,99.33,298785JD9=
2021-04-08,99.356,99.482,298785JD9=
2021-04-09,99.281,99.407,298785JD9=
2021-04-12,99.202,99.328,298785JD9=
