Date,BID,ASK,RIC
2021-01-12,99.0125,99.1653,298785JK3=
2021-01-13,99.0283,99.181,298785JK3=
2021-01-14,98.8832,99.0354,298785JK3=
2021-01-15,99.0968,99.2493,298785JK3=
2021-01-18,99.0312,99.1835,298785JK3=
2021-01-19,99.1227,99.2751,298785JK3=
2021-01-20,99.1536,99.306,298785JK3=
2021-01-21,99.1245,99.2766,298785JK3=
2021-01-22,99.1959,99.348,298785JK3=
2021-01-25,99.3382,99.4905,298785JK3=
2021-01-26,99.2676,99.4197,298785JK3=
2021-01-27,99.2579,99.4099,298785JK3=
2021-01-28,99.0516,99.2031,298785JK3=
2021-01-29,99.2338,99.3855,298785JK3=
2021-02-01,99.1837,99.3352,298785JK3=
2021-02-02,99.1237,99.2751,298785JK3=
2021-02-03,98.9429,99.0939,298785JK3=
2021-02-04,99.03,99.1809,298785JK3=
2021-02-05,99.0355,99.1863,298785JK3=
2021-02-08,98.9056,99.0561,298785JK3=
2021-02-09,98.8912,99.0416,298785JK3=
2021-02-10,99.1123,99.263,298785JK3=
2021-02-11,98.8991,99.0491,298785JK3=
2021-02-12,98.755,98.9047,298785JK3=
2021-02-15,98.658,98.8075,298785JK3=
2021-02-16,98.5118,98.661,298785JK3=
2021-02-17,98.6021,98.7514,298785JK3=
2021-02-18,98.5497,98.6986,298785JK3=
2021-02-19,98.392,98.5406,298785JK3=
2021-02-22,98.2792,98.4275,298785JK3=
2021-02-23,98.4283,98.5768,298785JK3=
2021-02-24,98.1824,98.3304,298785JK3=
2021-02-25,97.4967,97.6432,298785JK3=
2021-02-26,97.8939,98.0409,298785JK3=
2021-03-01,97.9048,98.0518,298785JK3=
2021-03-02,98.1264,98.2737,298785JK3=
2021-03-03,97.8875,98.0343,298785JK3=
2021-03-04,97.7446,97.8909,298785JK3=
2021-03-05,97.4492,97.595,298785JK3=
2021-03-08,97.3196,97.4651,298785JK3=
2021-03-09,97.4762,97.6218,298785JK3=
2021-03-10,97.5697,97.7154,298785JK3=
2021-03-11,97.3945,97.5397,298785JK3=
2021-03-12,97.2317,97.3765,298785JK3=
2021-03-15,97.3828,97.5278,298785JK3=
2021-03-16,97.3842,97.5291,298785JK3=
2021-03-17,97.4194,97.5643,298785JK3=
2021-03-18,97.2888,97.4333,298785JK3=
2021-03-19,97.2566,97.4009,298785JK3=
2021-03-22,97.2293,97.3735,298785JK3=
2021-03-23,97.4567,97.6012,298785JK3=
2021-03-24,97.5158,97.6603,298785JK3=
2021-03-25,97.419,97.5631,298785JK3=
2021-03-26,97.3772,97.5212,298785JK3=
2021-03-29,97.3389,97.4828,298785JK3=
2021-03-30,97.2589,97.4026,298785JK3=
2021-03-31,96.9836,97.1265,298785JK3=
2021-04-01,97.1376,97.2807,298785JK3=
2021-04-02,96.8284,96.971,298785JK3=
2021-04-05,97.0249,97.1677,298785JK3=
2021-04-06,97.2169,97.36,298785JK3=
2021-04-07,97.1994,97.3424,298785JK3=
2021-04-08,97.4229,97.566,298785JK3=
2021-04-09,97.3386,97.4815,298785JK3=
2021-04-12,97.2498,97.3924,298785JK3=
2021-04-13,97.3843,97.5271,298785JK3=
2021-04-14,97.2765,97.419,298785JK3=
2021-04-15,97.3948,97.5373,298785JK3=
2021-04-16,97.3915,97.5339,298785JK3=
2021-04-19,97.502,97.6445,298785JK3=
2021-04-20,97.7219,97.8647,298785JK3=
2021-04-21,97.7041,97.8468,298785JK3=
2021-04-22,97.7459,97.8884,298785JK3=
2021-04-23,97.5955,97.7377,298785JK3=
2021-04-26,97.4691,97.611,298785JK3=
2021-04-27,97.3384,97.48,298785JK3=
2021-04-28,97.5711,97.713,298785JK3=
2021-04-29,97.5987,97.7404,298785JK3=
2021-04-30,97.6378,97.7795,298785JK3=
2021-05-03,97.7524,97.8942,298785JK3=
2021-05-04,97.7347,97.8764,298785JK3=
2021-05-05,97.8587,98.0005,298785JK3=
2021-05-06,97.8151,97.9566,298785JK3=
2021-05-07,97.7646,97.9059,298785JK3=
2021-05-10,97.7047,97.8458,298785JK3=
2021-05-11,97.8188,97.96,298785JK3=
2021-05-12,97.6274,97.7683,298785JK3=
2021-05-13,97.7955,97.9364,298785JK3=
2021-05-14,97.8483,97.9892,298785JK3=
2021-05-17,97.6715,97.812,298785JK3=
2021-05-18,97.7524,97.893,298785JK3=
2021-05-19,97.5246,97.6647,298785JK3=
2021-05-20,97.636,97.7761,298785JK3=
2021-05-21,97.6467,97.7867,298785JK3=
2021-05-24,97.7413,97.8814,298785JK3=
2021-05-25,97.9713,98.1117,298785JK3=
2021-05-26,97.9351,98.0753,298785JK3=
2021-05-27,97.9293,98.0693,298785JK3=
2021-05-28,97.9904,98.1304,298785JK3=
2021-05-31,97.9755,98.1155,298785JK3=
2021-06-01,97.9363,98.0761,298785JK3=
2021-06-02,97.984,98.1238,298785JK3=
2021-06-03,97.6765,97.8156,298785JK3=
2021-06-04,97.8168,97.956,298785JK3=
2021-06-07,98.0362,98.1757,298785JK3=
2021-06-08,98.1255,98.2651,298785JK3=
2021-06-09,98.1917,98.3313,298785JK3=
2021-06-10,98.3527,98.4923,298785JK3=
2021-06-11,98.1772,98.3164,298785JK3=
2021-06-14,97.9792,98.1181,298785JK3=
2021-06-15,98.0173,98.1561,298785JK3=
2021-06-16,97.6587,97.7969,298785JK3=
2021-06-17,97.7271,97.8652,298785JK3=
2021-06-18,97.7605,97.8985,298785JK3=
2021-06-21,97.7526,97.8905,298785JK3=
2021-06-22,97.7677,97.9056,298785JK3=
2021-06-23,97.6543,97.7919,298785JK3=
2021-06-24,97.6354,97.7728,298785JK3=
2021-06-25,97.4997,97.6368,298785JK3=
2021-06-28,97.6656,97.8028,298785JK3=
2021-06-29,97.7492,97.8865,298785JK3=
2021-06-30,97.7505,97.8877,298785JK3=
2021-07-01,97.6099,97.7466,298785JK3=
2021-07-02,97.8938,98.0308,298785JK3=
2021-07-05,97.9178,98.0549,298785JK3=
2021-07-06,98.2836,98.4212,298785JK3=
2021-07-07,98.2434,98.3808,298785JK3=
