Date,BID,ASK,RIC
2021-04-23,99.6467,99.7429,298785JM9=
2021-04-26,99.6918,99.788,298785JM9=
2021-04-27,99.6345,99.7305,298785JM9=
2021-04-28,99.7116,99.8077,298785JM9=
2021-04-29,99.7346,99.8304,298785JM9=
2021-04-30,99.754,99.8498,298785JM9=
2021-05-03,99.7861,99.8818,298785JM9=
2021-05-04,99.7958,99.8915,298785JM9=
2021-05-05,99.831,99.9266,298785JM9=
2021-05-06,99.822,99.9174,298785JM9=
2021-05-07,99.8189,99.9142,298785JM9=
2021-05-10,99.8032,99.8984,298785JM9=
2021-05-11,99.8478,99.9429,298785JM9=
2021-05-12,99.7466,99.8415,298785JM9=
2021-05-13,99.8388,99.9336,298785JM9=
2021-05-14,99.861,99.9557,298785JM9=
2021-05-17,99.8044,99.899,298785JM9=
2021-05-18,99.8392,99.9338,298785JM9=
2021-05-19,99.7324,99.8268,298785JM9=
2021-05-20,99.8084,99.9026,298785JM9=
2021-05-21,99.7741,99.8682,298785JM9=
2021-05-24,99.7931,99.8871,298785JM9=
2021-05-25,99.9122,100.0063,298785JM9=
2021-05-26,99.9029,99.9969,298785JM9=
2021-05-27,99.9032,99.9969,298785JM9=
2021-05-28,99.8877,99.9813,298785JM9=
2021-05-31,99.9287,100.0224,298785JM9=
2021-06-01,99.9127,100.0063,298785JM9=
2021-06-02,99.9128,100.0063,298785JM9=
2021-06-03,99.8137,99.9068,298785JM9=
2021-06-04,99.851,99.9441,298785JM9=
2021-06-07,99.9256,100.0187,298785JM9=
2021-06-08,99.9411,100.0341,298785JM9=
2021-06-09,99.969,100.062,298785JM9=
2021-06-10,100.034,100.1268,298785JM9=
2021-06-11,99.9846,100.0773,298785JM9=
2021-06-14,99.9106,100.0031,298785JM9=
2021-06-15,99.9322,100.0246,298785JM9=
2021-06-16,99.7817,99.8739,298785JM9=
2021-06-17,99.6659,99.7577,298785JM9=
2021-06-18,99.5593,99.6509,298785JM9=
2021-06-21,99.6116,99.7032,298785JM9=
2021-06-22,99.618,99.7095,298785JM9=
2021-06-23,99.5209,99.6122,298785JM9=
2021-06-24,99.5131,99.6042,298785JM9=
2021-06-25,99.5105,99.6015,298785JM9=
2021-06-28,99.5807,99.6717,298785JM9=
2021-06-29,99.5901,99.681,298785JM9=
2021-06-30,99.5814,99.6722,298785JM9=
2021-07-01,99.5437,99.6342,298785JM9=
2021-07-02,99.6526,99.7431,298785JM9=
2021-07-05,99.6308,99.7213,298785JM9=
2021-07-06,99.2532,99.3432,298785JM9=
2021-07-07,99.7737,99.8642,298785JM9=
2021-07-08,99.8856,99.9759,298785JM9=
2021-07-09,99.7895,99.8796,298785JM9=
2021-07-12,99.7567,99.8467,298785JM9=
2021-07-13,99.6342,99.724,298785JM9=
2021-07-14,99.7063,99.7961,298785JM9=
