Date,BID,ASK,RIC
2022-08-25,99.913,100.389,298785JT4=
2022-08-26,99.761,100.237,298785JT4=
2022-08-29,99.43,99.903,298785JT4=
2022-08-30,99.378,99.52,298785JT4=
2022-08-31,98.997,99.138,298785JT4=
2022-09-01,98.854,98.994,298785JT4=
2022-09-02,99.351,99.492,298785JT4=
2022-09-05,99.117,99.258,298785JT4=
2022-09-06,98.621,98.761,298785JT4=
2022-09-07,98.967,99.108,298785JT4=
2022-09-08,98.652,98.791,298785JT4=
2022-09-09,98.601,98.741,298785JT4=
2022-09-12,98.532,98.671,298785JT4=
2022-09-13,97.964,98.102,298785JT4=
2022-09-14,98.089,98.228,298785JT4=
2022-09-15,97.807,97.944,298785JT4=
2022-09-16,97.927,98.065,298785JT4=
2022-09-19,97.685,97.822,298785JT4=
2022-09-20,97.393,97.53,298785JT4=
2022-09-21,97.326,97.463,298785JT4=
2022-09-22,96.6,96.736,298785JT4=
2022-09-23,96.296,96.431,298785JT4=
2022-09-26,95.307,95.44,298785JT4=
2022-09-27,95.593,95.727,298785JT4=
2022-09-28,96.688,96.823,298785JT4=
2022-09-29,96.396,96.531,298785JT4=
2022-09-30,96.085,96.219,298785JT4=
2022-10-03,97.007,97.142,298785JT4=
2022-10-04,96.909,97.044,298785JT4=
2022-10-05,96.376,96.51,298785JT4=
2022-10-06,95.725,95.858,298785JT4=
2022-10-07,95.386,95.519,298785JT4=
2022-10-10,95.257,95.389,298785JT4=
2022-10-11,95.371,95.503,298785JT4=
2022-10-12,95.598,95.731,298785JT4=
2022-10-13,95.358,95.49,298785JT4=
2022-10-14,95.088,95.219,298785JT4=
2022-10-17,95.038,95.169,298785JT4=
2022-10-18,95.075,95.206,298785JT4=
2022-10-19,94.572,94.702,298785JT4=
2022-10-20,94.207,94.337,298785JT4=
2022-10-21,94.63,94.76,298785JT4=
2022-10-24,94.381,94.511,298785JT4=
2022-10-25,94.891,95.022,298785JT4=
2022-10-26,95.116,95.247,298785JT4=
2022-10-27,95.786,95.917,298785JT4=
2022-10-28,95.284,95.415,298785JT4=
2022-10-31,95.16,95.291,298785JT4=
2022-11-01,94.937,95.067,298785JT4=
2022-11-02,94.282,94.411,298785JT4=
2022-11-03,94.627,94.756,298785JT4=
2022-11-04,94.867,94.997,298785JT4=
2022-11-07,94.421,94.55,298785JT4=
2022-11-08,94.932,95.062,298785JT4=
2022-11-09,95.171,95.301,298785JT4=
2022-11-10,96.473,96.605,298785JT4=
2022-11-11,96.367,96.499,298785JT4=
2022-11-14,96.26,96.391,298785JT4=
2022-11-15,96.666,96.798,298785JT4=
2022-11-16,96.883,97.015,298785JT4=
2022-11-17,96.479,96.611,298785JT4=
2022-11-18,95.909,96.039,298785JT4=
2022-11-21,96.059,96.19,298785JT4=
2022-11-22,96.525,96.656,298785JT4=
2022-11-23,96.973,97.104,298785JT4=
2022-11-24,97.134,97.266,298785JT4=
2022-11-25,97.005,97.137,298785JT4=
2022-11-28,96.686,96.818,298785JT4=
2022-11-29,96.243,96.374,298785JT4=
2022-11-30,97.661,97.793,298785JT4=
2022-12-01,97.779,97.911,298785JT4=
2022-12-02,97.634,97.767,298785JT4=
2022-12-05,96.938,97.069,298785JT4=
2022-12-06,97.062,97.193,298785JT4=
2022-12-07,97.774,97.907,298785JT4=
2022-12-08,97.277,97.408,298785JT4=
2022-12-09,96.886,97.016,298785JT4=
2022-12-12,96.935,97.066,298785JT4=
2022-12-13,97.658,97.789,298785JT4=
2022-12-14,98.011,98.143,298785JT4=
2022-12-15,97.772,97.904,298785JT4=
2022-12-16,97.725,97.856,298785JT4=
2022-12-19,97.346,97.477,298785JT4=
2022-12-20,96.978,97.108,298785JT4=
2022-12-21,97.048,97.179,298785JT4=
2022-12-22,96.89,97.02,298785JT4=
2022-12-23,96.607,96.736,298785JT4=
2022-12-27,96.124,96.252,298785JT4=
2022-12-28,96.22,96.348,298785JT4=
2022-12-29,96.392,96.521,298785JT4=
2022-12-30,96.155,96.283,298785JT4=
2023-01-02,96.302,96.431,298785JT4=
2023-01-03,96.602,96.73,298785JT4=
2023-01-04,96.865,96.994,298785JT4=
2023-01-05,96.42,96.549,298785JT4=
2023-01-06,97.302,97.431,298785JT4=
2023-01-09,97.684,97.814,298785JT4=
2023-01-10,97.266,97.395,298785JT4=
2023-01-11,97.543,97.673,298785JT4=
2023-01-12,98.297,98.428,298785JT4=
2023-01-13,98.038,98.168,298785JT4=
2023-01-16,97.934,98.064,298785JT4=
2023-01-17,98.117,98.247,298785JT4=
2023-01-18,98.814,98.945,298785JT4=
2023-01-19,98.524,98.654,298785JT4=
2023-01-20,98.312,98.442,298785JT4=
2023-01-23,98.118,98.248,298785JT4=
2023-01-24,98.366,98.496,298785JT4=
2023-01-25,98.354,98.484,298785JT4=
2023-01-26,98.071,98.201,298785JT4=
2023-01-27,98.028,98.158,298785JT4=
2023-01-30,97.87,97.999,298785JT4=
2023-01-31,97.914,98.043,298785JT4=
2023-02-01,98.247,98.376,298785JT4=
2023-02-02,98.383,98.512,298785JT4=
2023-02-03,97.693,97.707,298785JT4=
2023-02-06,96.811,96.824,298785JT4=
2023-02-07,96.901,96.915,298785JT4=
2023-02-08,97.11,97.124,298785JT4=
2023-02-09,96.819,96.833,298785JT4=
2023-02-10,96.443,96.456,298785JT4=
2023-02-13,96.646,96.659,298785JT4=
2023-02-14,96.091,96.105,298785JT4=
2023-02-15,95.968,95.982,298785JT4=
2023-02-16,95.807,95.82,298785JT4=
2023-02-17,95.888,95.901,298785JT4=
2023-02-20,95.709,95.722,298785JT4=
2023-02-21,95.365,95.378,298785JT4=
2023-02-22,95.409,95.422,298785JT4=
2023-02-23,95.61,95.623,298785JT4=
2023-02-24,95.304,95.317,298785JT4=
2023-02-27,95.438,95.451,298785JT4=
2023-02-28,95.179,95.192,298785JT4=
2023-03-01,95.292,95.305,298785JT4=
2023-03-02,95.071,95.084,298785JT4=
2023-03-03,95.175,95.188,298785JT4=
2023-03-06,95.272,95.285,298785JT4=
2023-03-07,94.912,94.925,298785JT4=
2023-03-08,94.753,94.766,298785JT4=
2023-03-09,95.68,95.693,298785JT4=
2023-03-10,96.5,96.513,298785JT4=
2023-03-13,97.615,97.628,298785JT4=
2023-03-14,96.925,96.939,298785JT4=
2023-03-15,98.032,98.045,298785JT4=
2023-03-16,97.16,97.173,298785JT4=
2023-03-17,98.397,98.411,298785JT4=
2023-03-20,98.075,98.088,298785JT4=
2023-03-21,97.393,97.406,298785JT4=
2023-03-22,99.341,99.355,298785JT4=
2023-03-23,99.101,99.115,298785JT4=
2023-03-24,99.199,99.212,298785JT4=
2023-03-27,98.266,98.28,298785JT4=
2023-03-28,97.709,97.723,298785JT4=
2023-03-29,97.676,97.689,298785JT4=
2023-03-30,97.688,97.702,298785JT4=
2023-03-31,98.005,98.018,298785JT4=
2023-04-03,97.451,97.465,298785JT4=
2023-04-04,97.949,97.962,298785JT4=
2023-04-05,97.941,97.955,298785JT4=
2023-04-06,97.806,97.819,298785JT4=
2023-04-07,97.222,97.235,298785JT4=
2023-04-10,97.08,97.093,298785JT4=
2023-04-11,96.821,96.834,298785JT4=
2023-04-12,97.104,97.117,298785JT4=
2023-04-13,97.011,97.024,298785JT4=
2023-04-14,97.569,97.582,298785JT4=
2023-04-17,97.067,97.08,298785JT4=
2023-04-18,97.179,97.192,298785JT4=
2023-04-19,97.626,97.639,298785JT4=
2023-04-20,97.921,97.934,298785JT4=
2023-04-21,97.795,97.809,298785JT4=
2023-04-24,98.145,98.159,298785JT4=
2023-04-25,98.802,98.815,298785JT4=
2023-04-26,98.609,98.622,298785JT4=
2023-04-27,98.184,98.197,298785JT4=
2023-04-28,98.513,98.527,298785JT4=
2023-05-01,97.753,97.766,298785JT4=
2023-05-02,98.964,98.978,298785JT4=
2023-05-03,99.474,99.488,298785JT4=
2023-05-04,99.273,99.286,298785JT4=
2023-05-05,98.594,98.607,298785JT4=
2023-05-08,98.562,98.575,298785JT4=
2023-05-09,98.317,98.33,298785JT4=
2023-05-10,99.011,99.024,298785JT4=
2023-05-11,98.824,98.837,298785JT4=
2023-05-12,98.436,98.449,298785JT4=
2023-05-15,98.551,98.564,298785JT4=
2023-05-16,98.328,98.341,298785JT4=
2023-05-17,97.879,97.892,298785JT4=
2023-05-18,97.6,97.613,298785JT4=
2023-05-19,97.417,97.429,298785JT4=
2023-05-22,97.214,97.226,298785JT4=
2023-05-23,97.303,97.316,298785JT4=
2023-05-24,96.85,96.862,298785JT4=
2023-05-25,96.263,96.276,298785JT4=
2023-05-26,96.181,96.193,298785JT4=
2023-05-29,96.196,96.209,298785JT4=
2023-05-30,96.791,96.804,298785JT4=
2023-05-31,97.015,97.028,298785JT4=
2023-06-01,97.565,97.578,298785JT4=
2023-06-02,96.966,96.979,298785JT4=
2023-06-05,97.082,97.095,298785JT4=
2023-06-06,96.977,96.99,298785JT4=
2023-06-07,96.565,96.577,298785JT4=
2023-06-08,96.992,97.004,298785JT4=
2023-06-09,96.651,96.663,298785JT4=
2023-06-12,96.547,96.559,298785JT4=
2023-06-13,95.927,95.94,298785JT4=
2023-06-14,96.386,96.399,298785JT4=
2023-06-15,96.672,96.684,298785JT4=
2023-06-16,96.388,96.401,298785JT4=
2023-06-19,96.221,96.233,298785JT4=
2023-06-20,96.671,96.684,298785JT4=
2023-06-21,96.564,96.576,298785JT4=
2023-06-22,95.902,96.018,298785JT4=
2023-06-23,96.443,96.919,298785JT4=
2023-06-26,96.348,96.828,298785JT4=
2023-06-27,96.087,96.566,298785JT4=
2023-06-28,96.356,96.835,298785JT4=
2023-06-29,95.738,96.214,298785JT4=
2023-06-30,95.911,96.388,298785JT4=
2023-07-03,95.783,96.26,298785JT4=
2023-07-04,95.858,96.335,298785JT4=
2023-07-05,95.22,95.699,298785JT4=
2023-07-07,95.311,95.789,298785JT4=
2023-07-10,95.736,96.214,298785JT4=
2023-07-11,95.617,96.092,298785JT4=
2023-07-12,96.247,96.722,298785JT4=
2023-07-13,96.939,97.419,298785JT4=
2023-07-14,96.37,96.851,298785JT4=
2023-07-17,96.518,96.999,298785JT4=
2023-07-18,96.451,96.928,298785JT4=
2023-07-19,96.503,96.982,298785JT4=
2023-07-20,95.887,96.367,298785JT4=
2023-07-21,95.928,96.411,298785JT4=
