Date,BID,ASK,RIC
2023-03-07,99.4211,99.5585,38376HAJ7=
2023-03-08,99.3383,99.4754,38376HAJ7=
2023-03-09,99.8591,99.9967,38376HAJ7=
2023-03-10,99.9264,100.064,38376HAJ7=
2023-03-13,101.147,101.2865,38376HAJ7=
2023-03-14,100.5523,100.6907,38376HAJ7=
2023-03-15,100.2908,100.4287,38376HAJ7=
2023-03-16,99.709,99.8455,38376HAJ7=
2023-03-17,100.4637,100.6014,38376HAJ7=
2023-03-20,100.2482,100.3854,38376HAJ7=
2023-03-21,99.7483,99.8846,38376HAJ7=
2023-03-22,100.3995,100.5367,38376HAJ7=
2023-03-23,102.1527,102.2925,38376HAJ7=
2023-03-24,102.2614,102.4012,38376HAJ7=
2023-03-27,101.6617,101.8004,38376HAJ7=
2023-03-28,101.4007,101.5389,38376HAJ7=
2023-03-29,101.3792,101.5173,38376HAJ7=
2023-03-30,101.3484,101.4861,38376HAJ7=
2023-03-31,101.6326,101.7706,38376HAJ7=
2023-04-03,101.824,101.9622,38376HAJ7=
2023-04-04,102.1887,102.3274,38376HAJ7=
2023-04-05,102.2393,102.3776,38376HAJ7=
2023-04-06,102.1749,102.313,38376HAJ7=
2023-04-07,101.7316,101.869,38376HAJ7=
2023-04-10,101.6912,101.8284,38376HAJ7=
2023-04-11,101.6505,101.7875,38376HAJ7=
2023-04-12,101.8513,101.9885,38376HAJ7=
2023-04-13,101.806,101.9428,38376HAJ7=
2023-04-14,101.4655,101.6016,38376HAJ7=
2023-04-17,101.1959,101.3314,38376HAJ7=
2023-04-18,101.2219,101.3573,38376HAJ7=
2023-04-19,101.1208,101.256,38376HAJ7=
2023-04-20,101.3629,101.4981,38376HAJ7=
2023-04-21,101.3046,101.4396,38376HAJ7=
2023-04-24,101.5198,101.655,38376HAJ7=
2023-04-25,101.9577,102.0935,38376HAJ7=
2023-04-26,101.8195,101.9549,38376HAJ7=
2023-04-27,101.5371,101.6717,38376HAJ7=
2023-04-28,101.7642,101.8991,38376HAJ7=
2023-05-01,101.4045,101.5387,38376HAJ7=
2023-05-02,101.8293,101.964,38376HAJ7=
2023-05-03,102.1916,102.3268,38376HAJ7=
2023-05-04,102.3312,102.4662,38376HAJ7=
2023-05-05,102.0,102.1344,38376HAJ7=
2023-05-08,101.7851,101.919,38376HAJ7=
2023-05-09,101.7614,101.8951,38376HAJ7=
2023-05-10,102.0973,102.2315,38376HAJ7=
2023-05-11,102.1129,102.2467,38376HAJ7=
2023-05-12,101.8421,101.9754,38376HAJ7=
2023-05-15,101.8061,101.9392,38376HAJ7=
2023-05-16,101.6073,101.7399,38376HAJ7=
2023-05-17,101.4185,101.5507,38376HAJ7=
2023-05-18,101.1474,101.2788,38376HAJ7=
2023-05-19,101.0684,101.1996,38376HAJ7=
2023-05-22,100.9705,101.1014,38376HAJ7=
2023-05-23,100.9992,101.13,38376HAJ7=
2023-05-24,100.757,100.8873,38376HAJ7=
2023-05-25,100.3596,100.4888,38376HAJ7=
2023-05-26,100.2871,100.4162,38376HAJ7=
2023-05-30,100.6157,100.7452,38376HAJ7=
2023-05-31,100.7759,100.9055,38376HAJ7=
2023-06-01,100.9379,101.0674,38376HAJ7=
2023-06-02,100.5083,100.637,38376HAJ7=
2023-06-05,100.6127,100.7414,38376HAJ7=
2023-06-06,100.5417,100.6702,38376HAJ7=
2023-06-07,100.3337,100.4618,38376HAJ7=
2023-06-08,100.4587,100.5866,38376HAJ7=
2023-06-09,100.2699,100.3974,38376HAJ7=
2023-06-12,100.32,100.4474,38376HAJ7=
2023-06-13,100.0866,100.2136,38376HAJ7=
2023-06-14,100.0526,100.1794,38376HAJ7=
2023-06-15,100.1651,100.2916,38376HAJ7=
2023-06-16,100.0033,100.1294,38376HAJ7=
2023-06-19,99.8744,100.0003,38376HAJ7=
2023-06-20,100.1111,100.2372,38376HAJ7=
2023-06-21,100.0734,100.1994,38376HAJ7=
2023-06-22,99.8818,100.0071,38376HAJ7=
2023-06-23,100.0029,100.1283,38376HAJ7=
2023-06-26,100.0325,100.1578,38376HAJ7=
2023-06-27,99.8546,99.9795,38376HAJ7=
2023-06-28,100.0068,100.1318,38376HAJ7=
2023-06-29,99.6096,99.7336,38376HAJ7=
2023-06-30,99.5063,99.6299,38376HAJ7=
2023-07-03,99.408,99.5314,38376HAJ7=
2023-07-04,99.4697,99.5932,38376HAJ7=
2023-07-05,99.3463,99.4694,38376HAJ7=
2023-07-07,99.2477,99.3702,38376HAJ7=
2023-07-10,99.5231,99.6459,38376HAJ7=
2023-07-11,99.4797,99.6023,38376HAJ7=
2023-07-12,99.8386,99.9616,38376HAJ7=
2023-07-13,100.1514,100.2745,38376HAJ7=
2023-07-14,99.8305,99.953,38376HAJ7=
2023-07-17,99.9103,100.0328,38376HAJ7=
2023-07-18,99.879,100.0014,38376HAJ7=
2023-07-19,99.8853,100.0076,38376HAJ7=
2023-07-20,99.6363,99.7578,38376HAJ7=
2023-07-21,99.655,99.7764,38376HAJ7=
