Date,BID,ASK,RIC
2012-08-03,128.91,129.91,404280AM1=
2012-08-06,128.8488,129.8488,404280AM1=
2012-08-07,127.4864,128.4864,404280AM1=
2012-08-08,129.4211,130.4211,404280AM1=
2012-08-09,129.2797,130.2797,404280AM1=
2012-08-10,129.5182,130.5182,404280AM1=
2012-08-13,129.3766,130.3766,404280AM1=
2012-08-14,127.8687,128.8687,404280AM1=
2012-08-15,127.4724,128.4724,404280AM1=
2012-08-16,126.7891,127.7891,404280AM1=
2012-08-17,127.2742,128.2742,404280AM1=
2012-08-20,128.3726,129.3726,404280AM1=
2012-08-21,130.2482,131.2482,404280AM1=
2012-08-22,132.1397,133.1397,404280AM1=
2012-08-23,132.5924,133.5924,404280AM1=
2012-08-24,132.322,133.322,404280AM1=
2012-08-30,133.3704,134.3704,404280AM1=
2012-08-31,135.6718,136.6718,404280AM1=
2012-09-03,135.553,136.553,404280AM1=
2012-09-04,135.3923,136.3923,404280AM1=
2012-09-05,134.8129,135.8129,404280AM1=
2012-09-06,132.9231,133.9231,404280AM1=
2012-09-07,132.4657,133.4657,404280AM1=
2012-09-10,131.9285,132.9285,404280AM1=
2012-09-12,134.5888,135.5888,404280AM1=
2012-09-14,131.9805,132.9805,404280AM1=
2012-09-17,133.1575,134.1575,404280AM1=
2012-09-18,133.7403,134.7403,404280AM1=
2012-09-19,134.7245,135.7245,404280AM1=
2012-09-20,134.0271,135.0271,404280AM1=
2012-09-21,134.4041,135.4041,404280AM1=
2012-09-24,133.8977,134.8977,404280AM1=
2012-09-25,132.8535,133.8535,404280AM1=
2012-09-26,134.3322,135.3322,404280AM1=
2012-09-27,129.9497,130.9497,404280AM1=
2012-09-28,130.3507,131.3507,404280AM1=
2012-10-01,130.5512,131.5512,404280AM1=
2012-10-02,132.5523,133.5523,404280AM1=
2012-10-03,133.5219,134.5219,404280AM1=
2012-10-04,132.0705,133.0705,404280AM1=
2012-10-05,130.3995,131.3995,404280AM1=
2012-10-08,130.3995,131.3995,404280AM1=
2012-10-09,131.3103,132.3103,404280AM1=
2012-10-10,132.1243,133.1243,404280AM1=
2012-10-11,132.9071,133.9071,404280AM1=
2012-10-12,133.1962,134.1962,404280AM1=
2012-10-15,132.8832,133.8832,404280AM1=
2012-10-16,131.4424,132.4424,404280AM1=
2012-10-17,132.7525,133.7525,404280AM1=
2012-10-18,134.0426,135.0426,404280AM1=
2012-10-19,134.1879,135.1879,404280AM1=
2012-10-22,133.4121,134.4121,404280AM1=
2012-10-23,134.838,135.838,404280AM1=
2012-10-24,133.7813,134.7813,404280AM1=
2012-10-25,132.5745,133.5745,404280AM1=
2012-10-26,132.5576,133.5576,404280AM1=
2012-10-29,133.1943,134.1943,404280AM1=
2012-10-30,133.0317,134.0317,404280AM1=
2012-10-31,133.6461,134.6461,404280AM1=
2012-11-01,132.6891,133.6891,404280AM1=
2012-11-02,132.6875,133.6875,404280AM1=
2012-11-05,131.3935,132.3935,404280AM1=
2012-11-06,130.2987,131.2987,404280AM1=
2012-11-07,132.2043,133.2043,404280AM1=
2012-11-08,133.7568,134.7568,404280AM1=
2012-11-09,132.8611,133.8611,404280AM1=
2012-11-12,132.8611,133.8611,404280AM1=
2012-11-13,134.4034,135.4034,404280AM1=
2012-11-14,133.2903,134.2903,404280AM1=
2012-11-15,133.1641,134.1641,404280AM1=
2012-11-16,133.121,134.121,404280AM1=
2012-11-19,132.5389,132.9521,404280AM1=
2012-11-20,131.3264,131.7341,404280AM1=
2012-11-21,131.3453,131.7531,404280AM1=
