Date,BID,ASK,RIC
2016-05-20,99.8031,100.2139,404280BB4=
2016-05-23,99.7129,100.1232,404280BB4=
2016-05-24,100.0409,100.4527,404280BB4=
2016-05-25,100.2187,100.6311,404280BB4=
2016-05-26,101.0561,101.4724,404280BB4=
2016-05-27,101.3969,101.8148,404280BB4=
2016-05-31,100.8149,101.2299,404280BB4=
2016-06-01,100.9963,101.4119,404280BB4=
2016-06-02,101.3282,101.7453,404280BB4=
2016-06-03,101.887,102.3067,404280BB4=
2016-06-06,101.419,101.8363,404280BB4=
2016-06-07,101.9362,102.3559,404280BB4=
2016-06-08,101.7173,102.1357,404280BB4=
2016-06-09,101.8004,102.2191,404280BB4=
2016-06-10,101.533,101.9503,404280BB4=
2016-06-13,101.6242,102.0419,404280BB4=
2016-06-14,100.0307,100.4406,404280BB4=
2016-06-15,100.9507,101.3647,404280BB4=
2016-06-16,100.5631,100.9752,404280BB4=
2016-06-17,100.3167,100.7275,404280BB4=
2016-06-20,101.4133,101.8293,404280BB4=
2016-06-21,101.1644,101.5791,404280BB4=
2016-06-22,102.572,102.9932,404280BB4=
2016-06-23,102.2778,102.6975,404280BB4=
2016-06-24,102.1267,102.5455,404280BB4=
2016-06-27,101.0302,101.4437,404280BB4=
2016-06-28,101.9253,102.343,404280BB4=
2016-06-29,102.3322,102.7515,404280BB4=
2016-06-30,102.9359,103.358,404280BB4=
2016-07-01,103.5554,103.9803,404280BB4=
2016-07-05,103.8481,104.2744,404280BB4=
2016-07-06,103.3791,103.8028,404280BB4=
2016-07-07,103.7594,104.1848,404280BB4=
2016-07-08,103.733,104.1582,404280BB4=
2016-07-11,103.478,103.9019,404280BB4=
2016-07-12,103.2491,103.6718,404280BB4=
2016-07-13,103.3647,103.7877,404280BB4=
2016-07-14,103.8376,104.2627,404280BB4=
2016-07-15,103.6588,104.083,404280BB4=
2016-07-18,102.9921,103.413,404280BB4=
2016-07-19,103.4036,103.8264,404280BB4=
2016-07-20,103.5529,103.9761,404280BB4=
2016-07-21,103.5689,103.9921,404280BB4=
2016-07-22,103.332,103.7539,404280BB4=
2016-07-25,103.3396,103.7615,404280BB4=
2016-07-26,103.3556,103.7774,404280BB4=
2016-07-27,103.9448,104.3693,404280BB4=
2016-07-28,103.4794,103.9015,404280BB4=
2016-07-29,103.8837,104.3077,404280BB4=
2016-08-01,103.4609,103.8827,404280BB4=
2016-08-02,103.0905,103.5105,404280BB4=
2016-08-03,102.5041,102.921,404280BB4=
2016-08-04,103.0875,103.5071,404280BB4=
2016-08-05,102.6859,103.1035,404280BB4=
2016-08-08,103.0191,103.4382,404280BB4=
2016-08-09,103.2946,103.7149,404280BB4=
2016-08-10,103.5104,103.9314,404280BB4=
2016-08-11,103.5263,103.9473,404280BB4=
2016-08-12,103.702,104.1237,404280BB4=
2016-08-15,103.4575,103.878,404280BB4=
2016-08-16,103.4902,103.9107,404280BB4=
2016-08-17,103.8742,104.2962,404280BB4=
2016-08-18,104.2529,104.6766,404280BB4=
2016-08-19,104.2688,104.6925,404280BB4=
2016-08-22,104.2509,104.6744,404280BB4=
2016-08-23,104.6478,105.0731,404280BB4=
2016-08-24,104.5936,105.0184,404280BB4=
2016-08-25,104.4655,104.8896,404280BB4=
2016-08-26,104.1168,104.5392,404280BB4=
2016-08-29,104.2701,104.6931,404280BB4=
2016-08-30,104.2775,104.7005,404280BB4=
2016-08-31,104.3746,104.7976,404280BB4=
2016-09-01,104.3567,104.7795,404280BB4=
2016-09-02,104.0357,104.4569,404280BB4=
2016-09-06,104.9129,105.3382,404280BB4=
2016-09-07,104.3852,104.8077,404280BB4=
2016-09-08,103.9134,104.3335,404280BB4=
2016-09-09,103.3028,103.7199,404280BB4=
2016-09-12,103.7191,104.1381,404280BB4=
2016-09-13,102.5887,103.0023,404280BB4=
2016-09-14,103.2657,103.6822,404280BB4=
2016-09-15,102.7761,103.1902,404280BB4=
2016-09-16,102.726,103.1397,404280BB4=
2016-09-19,103.197,103.6128,404280BB4=
2016-09-20,103.3125,103.7288,404280BB4=
2016-09-21,103.6428,104.0604,404280BB4=
2016-09-22,105.1794,105.6041,404280BB4=
2016-09-23,104.335,104.7556,404280BB4=
2016-09-26,104.3004,104.7208,404280BB4=
2016-09-27,104.4168,104.8376,404280BB4=
2016-09-28,104.3131,104.7331,404280BB4=
2016-09-29,104.011,104.4295,404280BB4=
2016-09-30,103.9266,104.3446,404280BB4=
2016-10-03,103.8507,104.2682,404280BB4=
2016-10-04,103.7416,104.1585,404280BB4=
2016-10-05,103.6052,104.0211,404280BB4=
2016-10-06,103.2484,103.6625,404280BB4=
2016-10-07,103.8777,104.2946,404280BB4=
2016-10-10,103.4954,103.9106,404280BB4=
2016-10-11,103.1066,103.5198,404280BB4=
2016-10-12,103.6251,104.0405,404280BB4=
2016-10-13,103.7652,104.1811,404280BB4=
2016-10-14,103.3588,103.7727,404280BB4=
2016-10-17,103.4985,103.913,404280BB4=
2016-10-18,103.8871,104.3033,404280BB4=
2016-10-19,104.0838,104.5006,404280BB4=
2016-10-20,103.8421,104.2577,404280BB4=
2016-10-21,104.0071,104.4233,404280BB4=
2016-10-24,103.6582,104.0727,404280BB4=
2016-10-25,103.8229,104.2381,404280BB4=
2016-10-26,103.6201,104.0342,404280BB4=
2016-10-27,103.0619,103.4732,404280BB4=
2016-10-28,103.0695,103.4807,404280BB4=
2016-10-31,103.3482,103.7606,404280BB4=
2016-11-01,103.5616,103.9749,404280BB4=
2016-11-02,103.4439,103.8564,404280BB4=
2016-11-03,103.5501,103.963,404280BB4=
2016-11-04,103.8133,104.2273,404280BB4=
2016-11-07,103.4005,103.8125,404280BB4=
2016-11-08,103.2333,103.6441,404280BB4=
2016-11-09,101.8504,102.2547,404280BB4=
2016-11-10,101.6085,102.0115,404280BB4=
2016-11-11,101.1019,101.5026,404280BB4=
2016-11-14,100.6805,101.0791,404280BB4=
2016-11-15,101.1109,101.5114,404280BB4=
2016-11-16,100.6803,101.0785,404280BB4=
2016-11-17,99.9445,100.3392,404280BB4=
2016-11-18,100.0156,100.4106,404280BB4=
2016-11-21,99.8112,100.205,404280BB4=
2016-11-22,99.5758,99.9682,404280BB4=
2016-11-23,99.5679,99.9602,404280BB4=
2016-11-25,99.4585,99.8502,404280BB4=
2016-11-28,99.8266,100.2199,404280BB4=
2016-11-29,100.0544,100.4487,404280BB4=
2016-11-30,99.4508,99.842,404280BB4=
2016-12-01,98.9451,99.3339,404280BB4=
2016-12-02,99.4353,99.8262,404280BB4=
2016-12-05,99.5993,99.9909,404280BB4=
2016-12-06,99.6696,100.0614,404280BB4=
2016-12-07,99.8887,100.2813,404280BB4=
2016-12-08,99.5369,99.9278,404280BB4=
2016-12-09,99.2489,99.6383,404280BB4=
2016-12-12,99.1636,99.5525,404280BB4=
2016-12-13,99.6618,100.0529,404280BB4=
2016-12-14,98.3155,98.7002,404280BB4=
2016-12-15,98.8624,99.2495,404280BB4=
2016-12-16,99.2264,99.6151,404280BB4=
2016-12-19,99.4983,99.8881,404280BB4=
2016-12-20,99.5295,99.9194,404280BB4=
2016-12-21,99.3976,99.7865,404280BB4=
2016-12-22,99.5064,99.8957,404280BB4=
2016-12-23,99.5064,99.8956,404280BB4=
2016-12-27,99.4444,99.8332,404280BB4=
2016-12-28,100.2939,100.6863,404280BB4=
2016-12-29,100.3486,100.7412,404280BB4=
2016-12-30,100.1543,100.5459,404280BB4=
2017-01-03,100.4188,100.8115,404280BB4=
2017-01-04,100.5359,100.9289,404280BB4=
2017-01-05,100.968,101.3629,404280BB4=
2017-01-06,100.0821,100.4728,404280BB4=
2017-01-09,100.2459,100.6373,404280BB4=
2017-01-10,100.16,100.5509,404280BB4=
2017-01-11,100.1518,100.5423,404280BB4=
2017-01-12,100.6909,101.0837,404280BB4=
2017-01-13,100.0116,100.4012,404280BB4=
2017-01-17,100.5026,100.8944,404280BB4=
2017-01-18,99.4695,99.8563,404280BB4=
2017-01-19,99.8407,100.2291,404280BB4=
2017-01-20,99.2462,99.6318,404280BB4=
2017-01-23,99.988,100.3768,404280BB4=
2017-01-24,99.493,99.8795,404280BB4=
2017-01-25,99.1088,99.4933,404280BB4=
2017-01-26,99.5055,99.8918,404280BB4=
2017-01-27,99.8717,100.2595,404280BB4=
2017-01-30,99.7635,100.1507,404280BB4=
2017-01-31,99.8717,100.2593,404280BB4=
2017-02-01,99.9413,100.329,404280BB4=
2017-02-02,99.7328,100.1194,404280BB4=
2017-02-03,100.1736,100.5621,404280BB4=
2017-02-06,100.3287,100.7178,404280BB4=
2017-02-07,100.7176,101.1084,404280BB4=
2017-02-08,100.9277,101.3192,404280BB4=
2017-02-09,100.1887,100.5767,404280BB4=
2017-02-10,100.1577,100.5455,404280BB4=
2017-02-13,100.1809,100.5687,404280BB4=
2017-02-14,100.0571,100.4442,404280BB4=
2017-02-15,99.8643,100.2502,404280BB4=
2017-02-16,100.5522,100.9411,404280BB4=
2017-02-17,100.459,100.8474,404280BB4=
2017-02-21,100.2964,100.6839,404280BB4=
2017-02-22,100.4199,100.8077,404280BB4=
2017-02-23,100.9765,101.3664,404280BB4=
2017-02-24,101.3522,101.7438,404280BB4=
2017-02-27,101.3519,101.7434,404280BB4=
2017-02-28,101.18,101.571,404280BB4=
2017-03-01,100.86,101.249,404280BB4=
2017-03-02,100.759,101.148,404280BB4=
2017-03-03,100.829,101.217,404280BB4=
2017-03-06,100.272,100.658,404280BB4=
2017-03-07,99.857,100.241,404280BB4=
2017-03-08,99.46,99.842,404280BB4=
2017-03-09,99.164,99.544,404280BB4=
2017-03-10,99.187,99.567,404280BB4=
2017-03-13,98.96,99.339,404280BB4=
2017-03-14,98.99,99.37,404280BB4=
2017-03-15,100.149,100.533,404280BB4=
2017-03-16,99.942,100.325,404280BB4=
2017-03-17,100.072,100.456,404280BB4=
