Date,BID,ASK,RIC
2023-03-13,100.4995,100.5935,40428HVL3=
2023-03-14,99.2211,99.3136,40428HVL3=
2023-03-15,99.2808,99.3733,40428HVL3=
2023-03-16,98.9229,99.0147,40428HVL3=
2023-03-17,99.9875,100.0804,40428HVL3=
2023-03-20,99.9387,100.0314,40428HVL3=
2023-03-21,99.9317,100.0243,40428HVL3=
2023-03-22,99.7835,99.8758,40428HVL3=
2023-03-23,100.511,100.6038,40428HVL3=
2023-03-24,100.1373,100.2295,40428HVL3=
2023-03-27,100.0819,100.1739,40428HVL3=
2023-03-28,99.8691,99.9608,40428HVL3=
2023-03-29,100.0937,100.1857,40428HVL3=
2023-03-30,99.8892,99.9805,40428HVL3=
2023-03-31,100.2237,100.3153,40428HVL3=
2023-04-03,100.7658,100.8579,40428HVL3=
2023-04-04,101.1108,101.2032,40428HVL3=
2023-04-05,100.8726,100.9642,40428HVL3=
2023-04-06,100.8076,100.899,40428HVL3=
2023-04-07,100.5107,100.6018,40428HVL3=
2023-04-10,100.5011,100.5921,40428HVL3=
2023-04-11,100.481,100.5718,40428HVL3=
2023-04-12,100.7223,100.8133,40428HVL3=
2023-04-13,100.4724,100.5627,40428HVL3=
2023-04-14,100.7054,100.7959,40428HVL3=
2023-04-17,100.4633,100.5534,40428HVL3=
2023-04-18,100.2766,100.3663,40428HVL3=
2023-04-19,100.5187,100.6086,40428HVL3=
2023-04-20,100.6755,100.7652,40428HVL3=
2023-04-21,100.5197,100.6091,40428HVL3=
2023-04-24,100.8347,100.9243,40428HVL3=
2023-04-25,100.7721,100.8615,40428HVL3=
2023-04-26,100.6763,100.7655,40428HVL3=
2023-04-27,100.3843,100.4728,40428HVL3=
2023-04-28,100.6685,100.7572,40428HVL3=
2023-05-01,100.6206,100.7091,40428HVL3=
2023-05-02,100.6272,100.7156,40428HVL3=
2023-05-03,101.0365,101.1252,40428HVL3=
2023-05-04,100.9177,101.0059,40428HVL3=
2023-05-05,100.6969,100.7848,40428HVL3=
2023-05-08,100.5792,100.6668,40428HVL3=
2023-05-09,100.4753,100.5627,40428HVL3=
2023-05-10,100.8699,100.9576,40428HVL3=
2023-05-11,100.8718,100.9591,40428HVL3=
2023-05-12,100.7436,100.8306,40428HVL3=
2023-05-15,100.7441,100.831,40428HVL3=
2023-05-16,100.3401,100.4264,40428HVL3=
2023-05-17,100.4859,100.5723,40428HVL3=
2023-05-18,100.2995,100.3853,40428HVL3=
2023-05-19,100.2749,100.3606,40428HVL3=
2023-05-22,100.2025,100.288,40428HVL3=
2023-05-23,100.3471,100.4326,40428HVL3=
2023-05-24,100.0739,100.159,40428HVL3=
2023-05-25,99.8217,99.906,40428HVL3=
2023-05-26,99.8858,99.9702,40428HVL3=
2023-05-29,99.8241,99.9084,40428HVL3=
2023-05-30,99.985,100.0693,40428HVL3=
2023-05-31,99.9866,100.0708,40428HVL3=
2023-06-01,100.2526,100.3367,40428HVL3=
2023-06-02,100.035,100.1188,40428HVL3=
2023-06-05,100.1765,100.2603,40428HVL3=
2023-06-06,100.0305,100.114,40428HVL3=
2023-06-07,100.0584,100.1418,40428HVL3=
2023-06-08,99.865,99.9479,40428HVL3=
2023-06-09,99.8733,99.956,40428HVL3=
2023-06-12,99.8873,99.9699,40428HVL3=
2023-06-13,99.7904,99.8728,40428HVL3=
2023-06-14,99.7506,99.8328,40428HVL3=
2023-06-15,99.7561,99.8378,40428HVL3=
2023-06-16,99.6683,99.7498,40428HVL3=
2023-06-19,99.6147,99.6962,40428HVL3=
2023-06-20,99.7374,99.8189,40428HVL3=
2023-06-21,99.7674,99.8488,40428HVL3=
2023-06-22,99.6633,99.7442,40428HVL3=
2023-06-23,99.7572,99.8381,40428HVL3=
2023-06-26,99.4956,99.5761,40428HVL3=
2023-06-27,99.5748,99.6552,40428HVL3=
2023-06-28,99.7234,99.8039,40428HVL3=
2023-06-29,99.6679,99.7479,40428HVL3=
2023-06-30,99.6497,99.7295,40428HVL3=
2023-07-03,99.6845,99.7642,40428HVL3=
2023-07-04,99.7135,99.7932,40428HVL3=
2023-07-05,99.7264,99.806,40428HVL3=
2023-07-07,99.4735,99.5523,40428HVL3=
2023-07-10,99.6331,99.712,40428HVL3=
2023-07-11,99.8628,99.9418,40428HVL3=
2023-07-12,100.031,100.11,40428HVL3=
2023-07-13,100.4103,100.4894,40428HVL3=
2023-07-14,100.2413,100.3201,40428HVL3=
2023-07-17,100.27,100.3487,40428HVL3=
2023-07-18,100.1623,100.2407,40428HVL3=
2023-07-19,100.1609,100.2392,40428HVL3=
2023-07-20,99.942,100.0197,40428HVL3=
2023-07-21,99.9436,100.0212,40428HVL3=
