Date,BID,ASK,RIC
2014-06-18,99.6656,100.0838,40434CAD7=
2014-06-19,99.8242,100.2431,40434CAD7=
2014-06-20,99.749,100.1674,40434CAD7=
2014-06-23,99.6156,100.0332,40434CAD7=
2014-06-24,100.0248,100.4444,40434CAD7=
2014-06-25,100.3262,100.747,40434CAD7=
2014-06-26,100.5698,100.9917,40434CAD7=
2014-06-27,100.5359,100.9575,40434CAD7=
2014-06-30,99.9825,100.4013,40434CAD7=
2014-07-01,99.7654,100.1828,40434CAD7=
2014-07-02,99.2674,99.6822,40434CAD7=
2014-07-03,98.9949,99.4083,40434CAD7=
2014-07-07,99.3007,99.7155,40434CAD7=
2014-07-08,99.8486,100.266,40434CAD7=
2014-07-09,99.8652,100.2823,40434CAD7=
2014-07-10,100.0317,100.4496,40434CAD7=
2014-07-11,100.1985,100.6171,40434CAD7=
2014-07-14,100.1066,100.5247,40434CAD7=
2014-07-15,100.2317,100.6503,40434CAD7=
2014-07-16,100.4988,100.9184,40434CAD7=
2014-07-17,100.9013,101.3227,40434CAD7=
2014-07-18,100.2311,100.6492,40434CAD7=
2014-07-21,100.5904,101.0101,40434CAD7=
2014-07-22,100.5316,100.9509,40434CAD7=
2014-07-23,100.506,100.9249,40434CAD7=
2014-07-24,100.2222,100.6396,40434CAD7=
2014-07-25,100.5223,100.9411,40434CAD7=
2014-07-28,100.3457,100.7636,40434CAD7=
2014-07-29,101.252,101.6742,40434CAD7=
2014-07-30,100.4466,100.8646,40434CAD7=
2014-07-31,99.9061,100.3214,40434CAD7=
2014-08-01,100.2963,100.7134,40434CAD7=
2014-08-04,100.3711,100.7885,40434CAD7=
2014-08-05,100.3377,100.7548,40434CAD7=
2014-08-06,100.5038,100.9215,40434CAD7=
2014-08-07,100.3206,100.7372,40434CAD7=
2014-08-08,100.2291,100.6452,40434CAD7=
2014-08-11,100.229,100.645,40434CAD7=
2014-08-12,100.0714,100.4865,40434CAD7=
2014-08-13,100.3282,100.7443,40434CAD7=
2014-08-14,100.5801,100.9973,40434CAD7=
2014-08-15,101.0453,101.4647,40434CAD7=
2014-08-18,101.3795,101.8004,40434CAD7=
2014-08-19,101.3037,101.7241,40434CAD7=
2014-08-20,101.5125,101.9336,40434CAD7=
2014-08-21,101.1683,101.5877,40434CAD7=
2014-08-22,101.2015,101.6209,40434CAD7=
2014-08-25,101.8815,102.3041,40434CAD7=
2014-08-26,101.7463,102.1681,40434CAD7=
2014-08-27,102.0736,102.4967,40434CAD7=
2014-08-28,102.1828,102.6064,40434CAD7=
2014-08-29,101.8702,102.2922,40434CAD7=
2014-09-02,101.2325,101.6512,40434CAD7=
2014-09-03,101.5745,101.9946,40434CAD7=
2014-09-04,101.0478,101.4652,40434CAD7=
2014-09-05,101.0142,101.4314,40434CAD7=
2014-09-08,100.8975,101.3141,40434CAD7=
2014-09-09,100.5573,100.9721,40434CAD7=
2014-09-10,100.5486,100.9631,40434CAD7=
2014-09-11,100.3997,100.8134,40434CAD7=
2014-09-12,99.9223,100.3336,40434CAD7=
2014-09-15,100.0702,100.4821,40434CAD7=
2014-09-16,99.7175,100.1277,40434CAD7=
2014-09-17,99.5054,99.9142,40434CAD7=
2014-09-18,99.6851,100.0947,40434CAD7=
2014-09-19,100.0126,100.4236,40434CAD7=
2014-09-22,100.1193,100.5307,40434CAD7=
2014-09-23,100.4317,100.8445,40434CAD7=
2014-09-24,99.7754,100.1848,40434CAD7=
2014-09-25,100.456,100.8685,40434CAD7=
2014-09-26,99.7592,100.1683,40434CAD7=
2014-09-29,100.1683,100.5793,40434CAD7=
2014-09-30,100.0372,100.4474,40434CAD7=
2014-10-01,100.826,101.2398,40434CAD7=
2014-10-02,100.1927,100.6033,40434CAD7=
2014-10-03,100.4552,100.8669,40434CAD7=
2014-10-06,101.1395,101.5544,40434CAD7=
2014-10-07,101.3215,101.7372,40434CAD7=
2014-10-08,101.4115,101.8272,40434CAD7=
2014-10-09,101.2537,101.6686,40434CAD7=
2014-10-10,102.0098,102.4282,40434CAD7=
2014-10-14,102.1764,102.5954,40434CAD7=
2014-10-15,102.1498,102.5684,40434CAD7=
2014-10-16,101.9574,102.375,40434CAD7=
