Date,BID,ASK,RIC
2021-06-10,99.883,100.1089,409634AB8=
2021-06-11,99.7567,99.9823,409634AB8=
2021-06-14,99.5632,99.7883,409634AB8=
2021-06-15,99.5994,99.8245,409634AB8=
2021-06-16,99.0709,99.2945,409634AB8=
2021-06-17,99.1349,99.3583,409634AB8=
2021-06-18,99.1667,99.39,409634AB8=
2021-06-21,99.1136,99.3367,409634AB8=
2021-06-22,99.2612,99.4845,409634AB8=
2021-06-23,99.0613,99.284,409634AB8=
2021-06-24,98.7093,98.9696,409634AB8=
2021-06-25,98.6671,98.9269,409634AB8=
2021-06-28,98.8027,99.0627,409634AB8=
2021-06-29,98.8448,99.1048,409634AB8=
2021-06-30,98.8453,99.1052,409634AB8=
2021-07-01,98.8372,99.0966,409634AB8=
2021-07-02,99.0036,99.2633,409634AB8=
2021-07-05,99.0309,99.2907,409634AB8=
2021-07-06,99.3235,99.584,409634AB8=
2021-07-07,99.393,99.6536,409634AB8=
2021-07-08,99.6127,99.8736,409634AB8=
2021-07-09,99.3649,99.6249,409634AB8=
2021-07-12,99.3257,99.5855,409634AB8=
2021-07-13,98.7615,99.0195,409634AB8=
2021-07-14,99.0417,99.3004,409634AB8=
2021-07-15,99.1437,99.4023,409634AB8=
2021-07-16,99.1361,99.3945,409634AB8=
2021-07-19,99.5341,99.7936,409634AB8=
2021-07-20,99.6298,99.8894,409634AB8=
2021-07-21,99.4335,99.6924,409634AB8=
2021-07-22,99.5334,99.7922,409634AB8=
2021-07-23,99.6993,99.9585,409634AB8=
2021-07-26,99.6214,99.8802,409634AB8=
2021-07-27,99.822,100.0813,409634AB8=
2021-07-28,99.8117,100.0708,409634AB8=
2021-07-29,99.7155,99.9741,409634AB8=
2021-07-30,99.9079,100.1669,409634AB8=
2021-08-02,100.1185,100.378,409634AB8=
2021-08-03,100.1619,100.4214,409634AB8=
2021-08-04,100.028,100.287,409634AB8=
2021-08-05,99.4771,99.7341,409634AB8=
2021-08-06,99.1814,99.4374,409634AB8=
2021-08-09,99.3721,99.6285,409634AB8=
2021-08-10,99.2168,99.4726,409634AB8=
2021-08-11,99.3239,99.5799,409634AB8=
2021-08-12,99.5488,99.8051,409634AB8=
2021-08-13,99.8266,100.0836,409634AB8=
2021-08-16,99.6093,99.8655,409634AB8=
2021-08-17,99.5785,99.8345,409634AB8=
2021-08-18,99.5855,99.8414,409634AB8=
2021-08-19,99.5956,99.8511,409634AB8=
2021-08-20,99.5221,99.7773,409634AB8=
2021-08-23,99.5848,99.84,409634AB8=
2021-08-24,99.4257,99.6803,409634AB8=
2021-08-25,99.2883,99.5424,409634AB8=
2021-08-26,99.2143,99.4678,409634AB8=
2021-08-27,99.4669,99.7211,409634AB8=
2021-08-30,99.6362,99.8908,409634AB8=
2021-08-31,99.5868,99.8411,409634AB8=
2021-09-01,99.6017,99.8559,409634AB8=
2021-09-02,99.6371,99.8909,409634AB8=
2021-09-03,99.5419,99.7953,409634AB8=
2021-09-06,99.5307,99.7841,409634AB8=
2021-09-07,99.4914,99.7446,409634AB8=
2021-09-08,99.5916,99.8449,409634AB8=
2021-09-09,99.6918,99.945,409634AB8=
2021-09-10,99.539,99.7916,409634AB8=
2021-09-13,99.5963,99.849,409634AB8=
2021-09-14,99.7091,99.962,409634AB8=
2021-09-15,99.6307,99.8832,409634AB8=
2021-09-16,99.4349,99.6865,409634AB8=
2021-09-17,99.416,99.6674,409634AB8=
2021-09-20,99.6052,99.857,409634AB8=
2021-09-21,99.563,99.8145,409634AB8=
2021-09-22,99.4804,99.7316,409634AB8=
2021-09-23,98.9883,99.2377,409634AB8=
2021-09-24,98.9818,99.2311,409634AB8=
2021-09-27,98.7827,99.0313,409634AB8=
2021-09-28,98.6573,98.9054,409634AB8=
2021-09-29,98.9525,99.2013,409634AB8=
2021-09-30,99.0819,99.3307,409634AB8=
2021-10-01,99.2792,99.5284,409634AB8=
2021-10-04,99.0675,99.316,409634AB8=
2021-10-05,98.9197,99.1676,409634AB8=
2021-10-06,98.8634,99.111,409634AB8=
2021-10-07,98.6773,98.9239,409634AB8=
2021-10-08,98.6358,98.8822,409634AB8=
2021-10-11,98.4455,98.6913,409634AB8=
2021-10-12,98.3998,98.6454,409634AB8=
