Date,BID,ASK,RIC
2020-02-05,104.4913,105.0144,43785VAB8=
2020-02-06,104.4895,105.0123,43785VAB8=
2020-02-07,104.8062,105.3308,43785VAB8=
2020-02-10,104.9298,105.4549,43785VAB8=
2020-02-11,104.6979,105.2214,43785VAB8=
2020-02-12,104.5343,105.056,43785VAB8=
2020-02-13,104.5845,105.1063,43785VAB8=
2020-02-14,104.7128,105.2352,43785VAB8=
2020-02-17,104.703,105.2254,43785VAB8=
2020-02-18,104.8308,105.3537,43785VAB8=
2020-02-19,104.7626,105.2845,43785VAB8=
2020-02-20,104.9951,105.5182,43785VAB8=
2020-02-21,105.2072,105.7314,43785VAB8=
2020-02-24,105.8132,106.3408,43785VAB8=
2020-02-25,105.9372,106.4654,43785VAB8=
2020-02-26,106.0594,106.5875,43785VAB8=
2020-02-27,106.4632,106.9935,43785VAB8=
2020-02-28,106.3445,106.8739,43785VAB8=
2020-03-02,106.4528,106.9826,43785VAB8=
2020-03-03,107.4486,107.9842,43785VAB8=
2020-03-04,107.2107,107.7443,43785VAB8=
2020-03-05,106.6936,107.2239,43785VAB8=
2020-03-06,106.5378,107.0669,43785VAB8=
2020-03-09,106.3298,106.8575,43785VAB8=
2020-03-10,105.443,105.9652,43785VAB8=
2020-03-11,104.7529,105.2704,43785VAB8=
2020-03-12,104.437,104.9524,43785VAB8=
2020-03-13,104.0867,104.5998,43785VAB8=
2020-03-16,104.732,105.2488,43785VAB8=
2020-03-17,103.5434,104.0529,43785VAB8=
2020-03-18,102.4955,103.2507,43785VAB8=
2020-03-19,102.4145,103.1687,43785VAB8=
2020-03-20,103.5672,104.3313,43785VAB8=
2020-03-23,103.947,104.7142,43785VAB8=
2020-03-24,103.3166,104.0779,43785VAB8=
2020-03-25,103.3533,104.114,43785VAB8=
2020-03-26,103.31,104.0705,43785VAB8=
2020-03-27,103.9701,104.736,43785VAB8=
2020-03-30,103.8873,104.6522,43785VAB8=
2020-03-31,104.0993,104.8658,43785VAB8=
2020-04-01,104.1048,104.8704,43785VAB8=
2020-04-02,104.0373,104.802,43785VAB8=
2020-04-03,104.0307,104.795,43785VAB8=
2020-04-06,103.7154,104.4766,43785VAB8=
2020-04-07,103.8614,104.6227,43785VAB8=
2020-04-08,100.1389,100.8672,43785VAB8=
2020-04-09,94.9901,95.673,43785VAB8=
2020-04-10,94.9907,95.6736,43785VAB8=
2020-04-13,94.7931,95.474,43785VAB8=
2020-04-14,94.9399,95.6219,43785VAB8=
2020-04-15,95.3315,96.016,43785VAB8=
2020-04-16,94.3674,95.0433,43785VAB8=
2020-04-17,93.4512,94.1189,43785VAB8=
2020-04-20,93.4894,94.1571,43785VAB8=
2020-04-21,93.1339,93.7983,43785VAB8=
2020-04-22,92.9883,93.6506,43785VAB8=
2020-04-23,92.9647,93.6266,43785VAB8=
2020-04-24,92.9544,93.6159,43785VAB8=
2020-04-27,92.817,93.4771,43785VAB8=
2020-04-28,92.9602,93.6212,43785VAB8=
2020-04-29,92.9951,93.6556,43785VAB8=
2020-04-30,92.5697,93.2263,43785VAB8=
2020-05-01,92.6207,93.2775,43785VAB8=
2020-05-04,92.6019,93.2582,43785VAB8=
2020-05-05,92.544,93.1996,43785VAB8=
2020-05-06,92.5619,93.2168,43785VAB8=
2020-05-07,92.8611,93.5183,43785VAB8=
2020-05-08,92.7334,93.3893,43785VAB8=
2020-05-11,92.6668,93.3218,43785VAB8=
2020-05-12,92.7743,93.43,43785VAB8=
2020-05-13,92.8182,93.4735,43785VAB8=
2020-05-14,92.9039,93.5596,43785VAB8=
2020-05-15,92.859,93.5141,43785VAB8=
2020-05-18,92.5973,93.2499,43785VAB8=
2020-05-19,92.7608,93.4145,43785VAB8=
2020-05-20,92.7385,93.3909,43785VAB8=
2020-05-21,92.733,93.3851,43785VAB8=
2020-05-22,92.788,93.4403,43785VAB8=
2020-05-25,92.8001,93.4525,43785VAB8=
2020-05-26,92.7262,93.3777,43785VAB8=
2020-05-27,92.7109,93.3617,43785VAB8=
2020-05-28,92.7781,93.4293,43785VAB8=
2020-05-29,92.9276,93.5798,43785VAB8=
2020-06-01,92.904,93.5557,43785VAB8=
2020-06-02,92.8502,93.5012,43785VAB8=
2020-06-03,92.6806,93.3294,43785VAB8=
2020-06-04,92.4981,93.1451,43785VAB8=
2020-06-05,92.4749,93.1215,43785VAB8=
2020-06-08,92.5333,93.1801,43785VAB8=
2020-06-09,92.7594,93.4079,43785VAB8=
2020-06-10,93.0813,93.7318,43785VAB8=
2020-06-11,93.1053,93.7557,43785VAB8=
2020-06-12,93.0516,93.7013,43785VAB8=
2020-06-15,93.0152,93.6643,43785VAB8=
2020-06-16,95.0073,95.6731,43785VAB8=
2020-06-17,94.9771,95.6418,43785VAB8=
2020-06-18,95.0229,95.6877,43785VAB8=
2020-06-19,95.0644,95.7293,43785VAB8=
2020-06-22,95.0043,95.6685,43785VAB8=
2020-06-23,95.0413,95.7055,43785VAB8=
2020-06-24,95.1081,95.7721,43785VAB8=
2020-06-25,95.0437,95.7069,43785VAB8=
2020-06-26,95.1776,95.8416,43785VAB8=
2020-06-29,95.3028,95.9676,43785VAB8=
2020-06-30,95.2477,95.911,43785VAB8=
2020-07-01,95.1394,95.8015,43785VAB8=
2020-07-02,95.2514,95.9142,43785VAB8=
2020-07-03,95.2514,95.9142,43785VAB8=
2020-07-06,95.1956,95.8577,43785VAB8=
2020-07-07,95.2632,95.9256,43785VAB8=
2020-07-08,95.1893,95.8503,43785VAB8=
2020-07-09,95.2832,95.9447,43785VAB8=
2020-07-10,95.1928,95.8533,43785VAB8=
2020-07-13,95.2734,95.9343,43785VAB8=
2020-07-14,95.2532,95.9136,43785VAB8=
2020-07-15,95.2716,95.9314,43785VAB8=
2020-07-16,95.3127,95.9726,43785VAB8=
2020-07-17,95.3101,95.9697,43785VAB8=
2020-07-20,95.3031,95.9623,43785VAB8=
2020-07-21,95.3617,96.0212,43785VAB8=
2020-07-22,95.3363,95.9948,43785VAB8=
2020-07-23,95.3686,96.0271,43785VAB8=
2020-07-24,95.3397,95.9976,43785VAB8=
2020-07-27,95.2891,95.9463,43785VAB8=
2020-07-28,95.3627,96.0207,43785VAB8=
2020-07-29,95.4384,96.0961,43785VAB8=
2020-07-30,95.5493,96.2076,43785VAB8=
2020-07-31,103.2968,104.0198,43785VAB8=
2020-08-03,103.2425,103.9647,43785VAB8=
2020-08-04,103.3754,104.0984,43785VAB8=
2020-08-05,103.2224,103.9432,43785VAB8=
2020-08-06,104.9995,105.4891,43785VAB8=
2020-08-07,104.9192,105.4082,43785VAB8=
2020-08-10,104.8927,105.3813,43785VAB8=
2020-08-11,104.6911,105.1784,43785VAB8=
2020-08-12,104.5782,105.0643,43785VAB8=
2020-08-13,104.4745,104.9598,43785VAB8=
2020-08-14,104.5936,105.0793,43785VAB8=
2020-08-17,104.6158,105.1015,43785VAB8=
2020-08-18,104.6767,105.1625,43785VAB8=
2020-08-19,104.6078,105.0926,43785VAB8=
2020-08-20,104.6928,105.1779,43785VAB8=
2020-08-21,104.7101,105.1951,43785VAB8=
2020-08-24,104.6404,105.1248,43785VAB8=
2020-08-25,104.5708,105.0546,43785VAB8=
2020-08-26,104.5922,105.0758,43785VAB8=
2020-08-27,104.483,104.9657,43785VAB8=
2020-08-28,104.6882,105.1718,43785VAB8=
2020-08-31,104.691,105.1744,43785VAB8=
2020-09-01,104.7661,105.2497,43785VAB8=
2020-09-02,105.2406,105.726,43785VAB8=
2020-09-03,105.2626,105.748,43785VAB8=
2020-09-04,105.1587,105.6433,43785VAB8=
2020-09-07,105.1968,105.6816,43785VAB8=
2020-09-08,105.2919,105.777,43785VAB8=
2020-09-09,105.2512,105.7355,43785VAB8=
2020-09-10,105.3021,105.7864,43785VAB8=
