Date,BID,ASK,RIC
2019-04-09,100.1043,100.3319,456837AP8=
2019-04-10,100.1814,100.4091,456837AP8=
2019-04-11,100.1537,100.3809,456837AP8=
2019-04-12,99.8682,100.0946,456837AP8=
2019-04-15,99.8908,100.1171,456837AP8=
2019-04-16,99.9721,100.1985,456837AP8=
2019-04-17,99.9854,100.2114,456837AP8=
2019-04-18,100.1389,100.3652,456837AP8=
2019-04-19,100.1456,100.3719,456837AP8=
2019-04-22,99.9718,100.1975,456837AP8=
2019-04-23,100.0935,100.3194,456837AP8=
2019-04-24,100.0798,100.3056,456837AP8=
2019-04-25,99.9895,100.2147,456837AP8=
2019-04-26,100.1784,100.404,456837AP8=
2019-04-29,100.2549,100.4806,456837AP8=
2019-04-30,100.3674,100.5933,456837AP8=
2019-05-01,100.2455,100.4709,456837AP8=
2019-05-02,100.0563,100.2809,456837AP8=
2019-05-03,100.1549,100.3796,456837AP8=
2019-05-06,100.2086,100.4333,456837AP8=
2019-05-07,100.3881,100.6132,456837AP8=
2019-05-08,100.2307,100.4553,456837AP8=
2019-05-09,100.3871,100.6117,456837AP8=
2019-05-10,100.3241,100.5485,456837AP8=
2019-05-13,100.4224,100.6469,456837AP8=
2019-05-14,100.3998,100.6241,456837AP8=
2019-05-15,100.88,101.1054,456837AP8=
2019-05-16,100.7886,101.0135,456837AP8=
2019-05-17,100.7657,100.9904,456837AP8=
2019-05-20,100.51,100.7339,456837AP8=
2019-05-21,100.4069,100.6304,456837AP8=
2019-05-22,100.5719,100.7957,456837AP8=
2019-05-23,100.8163,101.0403,456837AP8=
2019-05-24,100.7733,100.9971,456837AP8=
2019-05-27,100.7733,100.9971,456837AP8=
2019-05-28,100.9764,101.2006,456837AP8=
2019-05-29,100.7394,100.963,456837AP8=
2019-05-30,100.9613,101.1851,456837AP8=
2019-05-31,101.4851,101.7101,456837AP8=
2019-06-03,101.8173,102.043,456837AP8=
2019-06-04,101.8884,102.1142,456837AP8=
2019-06-05,102.1357,102.362,456837AP8=
2019-06-06,101.9068,102.1322,456837AP8=
2019-06-07,101.9868,102.2123,456837AP8=
2019-06-10,101.9587,102.184,456837AP8=
2019-06-11,101.8408,102.0657,456837AP8=
2019-06-12,101.979,102.2041,456837AP8=
2019-06-13,102.3717,102.5974,456837AP8=
2019-06-14,102.2353,102.4606,456837AP8=
2019-06-17,101.9826,102.2071,456837AP8=
2019-06-18,102.2104,102.4354,456837AP8=
2019-06-19,102.5963,102.8221,456837AP8=
2019-06-20,102.6326,102.8582,456837AP8=
2019-06-21,102.0432,102.2672,456837AP8=
2019-06-24,102.7513,102.9769,456837AP8=
2019-06-25,103.1155,103.3419,456837AP8=
2019-06-26,102.7078,102.9331,456837AP8=
2019-06-27,103.0996,103.3255,456837AP8=
2019-06-28,103.4142,103.6408,456837AP8=
2019-07-01,103.0242,103.2497,456837AP8=
2019-07-02,103.2867,103.5126,456837AP8=
2019-07-03,103.9233,104.1505,456837AP8=
2019-07-04,103.5224,103.7485,456837AP8=
2019-07-05,102.8797,103.1041,456837AP8=
2019-07-08,103.5165,103.7424,456837AP8=
2019-07-09,103.222,103.447,456837AP8=
2019-07-10,103.4496,103.6751,456837AP8=
2019-07-11,103.0447,103.2688,456837AP8=
2019-07-12,103.4196,103.6445,456837AP8=
2019-07-15,103.539,103.7641,456837AP8=
2019-07-16,103.3889,103.6135,456837AP8=
2019-07-17,103.3781,103.6025,456837AP8=
2019-07-18,103.4307,103.6549,456837AP8=
2019-07-19,103.4378,103.6619,456837AP8=
2019-07-22,103.6195,103.8439,456837AP8=
2019-07-23,103.6489,103.8733,456837AP8=
2019-07-24,103.5663,103.7904,456837AP8=
2019-07-25,103.4532,103.6766,456837AP8=
2019-07-26,103.5674,103.791,456837AP8=
2019-07-29,103.612,103.8357,456837AP8=
2019-07-30,103.4316,103.6547,456837AP8=
2019-07-31,103.7063,103.93,456837AP8=
2019-08-01,104.3223,104.5472,456837AP8=
2019-08-02,104.0197,104.2437,456837AP8=
2019-08-05,104.5196,104.7447,456837AP8=
2019-08-06,104.3914,104.6161,456837AP8=
2019-08-07,104.4069,104.6315,456837AP8=
2019-08-08,104.3413,104.5653,456837AP8=
2019-08-09,104.0442,104.2674,456837AP8=
2019-08-12,104.4215,104.6455,456837AP8=
2019-08-13,103.9818,104.2046,456837AP8=
2019-08-14,104.3897,104.6134,456837AP8=
2019-08-15,104.7668,104.991,456837AP8=
2019-08-16,104.5986,104.8223,456837AP8=
2019-08-19,104.3018,104.5246,456837AP8=
2019-08-20,104.6069,104.8304,456837AP8=
2019-08-21,104.5017,104.7248,456837AP8=
2019-08-22,104.383,104.6054,456837AP8=
2019-08-23,104.6207,104.8436,456837AP8=
2019-08-26,105.0418,105.2656,456837AP8=
2019-08-27,104.9407,105.1641,456837AP8=
2019-08-28,104.8354,105.0584,456837AP8=
2019-08-29,104.6273,104.8494,456837AP8=
2019-08-30,104.474,104.6956,456837AP8=
2019-09-02,104.7544,104.9767,456837AP8=
2019-09-03,105.0041,105.2269,456837AP8=
2019-09-04,105.0013,105.224,456837AP8=
2019-09-05,104.8597,105.0817,456837AP8=
2019-09-06,104.5561,104.7772,456837AP8=
2019-09-09,104.4168,104.6374,456837AP8=
2019-09-10,103.8391,104.0582,456837AP8=
2019-09-11,103.9464,104.1656,456837AP8=
2019-09-12,103.765,103.9834,456837AP8=
2019-09-13,103.3323,103.5495,456837AP8=
2019-09-16,103.6781,103.8961,456837AP8=
2019-09-17,103.8546,104.0729,456837AP8=
2019-09-18,103.8002,104.0182,456837AP8=
2019-09-19,103.772,103.9896,456837AP8=
2019-09-20,104.2534,104.472,456837AP8=
2019-09-23,103.872,104.0896,456837AP8=
2019-09-24,104.1832,104.4014,456837AP8=
2019-09-25,104.0415,104.2592,456837AP8=
2019-09-26,104.1824,104.4001,456837AP8=
2019-09-27,104.1366,104.3541,456837AP8=
2019-09-30,104.3908,104.6088,456837AP8=
2019-10-01,104.8113,105.0302,456837AP8=
2019-10-02,104.7082,104.9267,456837AP8=
2019-10-03,105.185,105.4043,456837AP8=
2019-10-04,104.9285,105.147,456837AP8=
2019-10-07,104.9344,105.1528,456837AP8=
2019-10-08,104.9751,105.1935,456837AP8=
2019-10-09,104.7457,104.9634,456837AP8=
2019-10-10,104.4268,104.6432,456837AP8=
2019-10-11,104.0533,104.2687,456837AP8=
2019-10-14,104.3701,104.5863,456837AP8=
2019-10-15,104.3395,104.5555,456837AP8=
2019-10-16,104.0872,104.3025,456837AP8=
2019-10-17,104.3937,104.6093,456837AP8=
2019-10-18,104.5031,104.7189,456837AP8=
2019-10-21,104.268,104.4831,456837AP8=
2019-10-22,104.5278,104.7434,456837AP8=
2019-10-23,104.3058,104.5207,456837AP8=
2019-10-24,104.4439,104.6588,456837AP8=
2019-10-25,104.2355,104.4498,456837AP8=
2019-10-28,104.2715,104.4857,456837AP8=
2019-10-29,104.1347,104.3486,456837AP8=
2019-10-30,104.2219,104.4359,456837AP8=
2019-10-31,104.8136,105.0286,456837AP8=
2019-11-01,104.7335,104.9482,456837AP8=
2019-11-04,104.3371,104.5508,456837AP8=
2019-11-05,104.1513,104.3644,456837AP8=
2019-11-06,104.3106,104.5239,456837AP8=
2019-11-07,103.9226,104.1345,456837AP8=
2019-11-08,103.8779,104.0896,456837AP8=
2019-11-11,103.7005,103.9118,456837AP8=
2019-11-12,103.7826,103.994,456837AP8=
2019-11-13,103.9831,104.1948,456837AP8=
2019-11-14,104.2126,104.4245,456837AP8=
2019-11-15,103.8217,104.0325,456837AP8=
2019-11-18,104.1779,104.3895,456837AP8=
2019-11-19,104.188,104.3995,456837AP8=
2019-11-20,104.3629,104.5746,456837AP8=
2019-11-21,104.1905,104.4015,456837AP8=
2019-11-22,104.3355,104.5467,456837AP8=
2019-11-25,104.1559,104.3665,456837AP8=
2019-11-26,104.2434,104.454,456837AP8=
2019-11-27,104.1894,104.3995,456837AP8=
2019-11-28,104.0758,104.2856,456837AP8=
2019-11-29,104.1994,104.4094,456837AP8=
2019-12-02,104.1047,104.3144,456837AP8=
2019-12-03,104.2782,104.4881,456837AP8=
2019-12-04,103.9868,104.1959,456837AP8=
2019-12-05,104.2384,104.4478,456837AP8=
2019-12-06,104.2066,104.4158,456837AP8=
2019-12-09,103.9955,104.204,456837AP8=
2019-12-10,104.043,104.2515,456837AP8=
2019-12-11,104.2823,104.4913,456837AP8=
2019-12-12,104.2785,104.4871,456837AP8=
2019-12-13,104.2785,104.487,456837AP8=
2019-12-16,104.4548,104.6635,456837AP8=
2019-12-17,104.4632,104.6718,456837AP8=
2019-12-18,104.024,104.2315,456837AP8=
2019-12-19,104.403,104.611,456837AP8=
2019-12-20,104.3206,104.5283,456837AP8=
2019-12-23,104.3088,104.5162,456837AP8=
2019-12-24,104.0783,104.2851,456837AP8=
2019-12-25,104.033,104.2397,456837AP8=
2019-12-26,104.0551,104.2614,456837AP8=
2019-12-27,104.7501,104.958,456837AP8=
2019-12-30,104.7577,104.9654,456837AP8=
2019-12-31,104.6886,104.896,456837AP8=
2020-01-01,104.7316,104.9391,456837AP8=
2020-01-02,104.8102,105.0175,456837AP8=
2020-01-03,105.0861,105.2939,456837AP8=
2020-01-06,104.8387,105.0458,456837AP8=
2020-01-07,104.6377,104.8443,456837AP8=
2020-01-08,104.6243,104.8307,456837AP8=
2020-01-09,104.6453,104.8514,456837AP8=
2020-01-10,104.6756,104.8816,456837AP8=
2020-01-13,104.5685,104.7741,456837AP8=
2020-01-14,104.6618,104.8675,456837AP8=
2020-01-15,104.7597,104.9655,456837AP8=
2020-01-16,104.6404,104.8455,456837AP8=
2020-01-17,104.7304,104.9355,456837AP8=
2020-01-20,104.7399,104.9451,456837AP8=
2020-01-21,104.8509,105.0562,456837AP8=
2020-01-22,104.9627,105.1681,456837AP8=
2020-01-23,105.0692,105.2745,456837AP8=
2020-01-24,105.1435,105.3488,456837AP8=
2020-01-27,105.1203,105.3255,456837AP8=
2020-01-28,105.2969,105.5023,456837AP8=
2020-01-29,105.6325,105.8387,456837AP8=
2020-01-30,105.6073,105.8131,456837AP8=
2020-01-31,105.941,106.1474,456837AP8=
2020-02-03,105.8656,106.0717,456837AP8=
2020-02-04,105.5882,105.7935,456837AP8=
2020-02-05,105.4912,105.6962,456837AP8=
2020-02-06,105.5007,105.7053,456837AP8=
2020-02-07,105.7318,105.9368,456837AP8=
2020-02-10,105.8224,106.0275,456837AP8=
2020-02-11,105.7482,105.953,456837AP8=
2020-02-12,105.6938,105.8984,456837AP8=
2020-02-13,105.5825,105.7863,456837AP8=
2020-02-14,105.6738,105.8777,456837AP8=
2020-02-17,105.6647,105.8686,456837AP8=
2020-02-18,105.7156,105.9194,456837AP8=
2020-02-19,105.7029,105.9066,456837AP8=
