Date,BID,ASK,RIC
2019-04-09,100.065,100.474,456837AQ6=
2019-04-10,100.531,100.942,456837AQ6=
2019-04-11,100.252,100.662,456837AQ6=
2019-04-12,100.219,100.629,456837AQ6=
2019-04-15,100.276,100.686,456837AQ6=
2019-04-16,99.983,100.391,456837AQ6=
2019-04-17,99.966,100.374,456837AQ6=
2019-04-18,100.243,100.652,456837AQ6=
2019-04-19,100.261,100.669,456837AQ6=
2019-04-22,100.023,100.43,456837AQ6=
2019-04-23,100.496,100.905,456837AQ6=
2019-04-24,100.667,101.078,456837AQ6=
2019-04-25,100.536,100.945,456837AQ6=
2019-04-26,100.797,101.208,456837AQ6=
2019-04-29,100.592,101.002,456837AQ6=
2019-04-30,101.191,101.603,456837AQ6=
2019-05-01,100.878,101.289,456837AQ6=
2019-05-02,100.526,100.935,456837AQ6=
2019-05-03,100.648,101.058,456837AQ6=
2019-05-06,100.648,101.057,456837AQ6=
2019-05-07,101.485,101.898,456837AQ6=
2019-05-08,100.999,101.41,456837AQ6=
2019-05-09,101.195,101.607,456837AQ6=
2019-05-10,100.949,101.359,456837AQ6=
2019-05-13,101.367,101.779,456837AQ6=
2019-05-14,101.268,101.68,456837AQ6=
2019-05-15,101.49,101.902,456837AQ6=
2019-05-16,101.332,101.744,456837AQ6=
2019-05-17,101.029,101.439,456837AQ6=
2019-05-20,100.898,101.307,456837AQ6=
2019-05-21,100.824,101.233,456837AQ6=
2019-05-22,101.052,101.462,456837AQ6=
2019-05-23,101.117,101.526,456837AQ6=
2019-05-24,101.256,101.666,456837AQ6=
2019-05-27,101.357,101.767,456837AQ6=
2019-05-28,101.64,102.052,456837AQ6=
2019-05-29,101.443,101.854,456837AQ6=
2019-05-30,101.812,102.224,456837AQ6=
2019-05-31,102.422,102.838,456837AQ6=
2019-06-03,102.912,103.33,456837AQ6=
2019-06-04,102.936,103.354,456837AQ6=
2019-06-05,102.603,103.019,456837AQ6=
2019-06-06,102.933,103.35,456837AQ6=
2019-06-07,103.996,104.418,456837AQ6=
2019-06-10,103.692,104.113,456837AQ6=
2019-06-11,103.482,103.901,456837AQ6=
2019-06-12,103.674,104.094,456837AQ6=
2019-06-13,103.998,104.42,456837AQ6=
2019-06-14,104.141,104.563,456837AQ6=
2019-06-17,104.435,104.858,456837AQ6=
2019-06-18,104.544,104.967,456837AQ6=
2019-06-19,104.712,105.136,456837AQ6=
2019-06-20,105.26,105.687,456837AQ6=
2019-06-21,105.293,105.72,456837AQ6=
2019-06-24,105.642,106.07,456837AQ6=
2019-06-25,105.897,106.327,456837AQ6=
2019-06-26,105.716,106.145,456837AQ6=
2019-06-27,106.097,106.527,456837AQ6=
2019-06-28,106.242,106.672,456837AQ6=
2019-07-01,106.533,106.965,456837AQ6=
2019-07-02,106.754,107.187,456837AQ6=
2019-07-03,107.216,107.651,456837AQ6=
2019-07-04,107.172,107.607,456837AQ6=
2019-07-05,105.957,106.386,456837AQ6=
2019-07-08,106.651,107.083,456837AQ6=
2019-07-09,105.843,106.271,456837AQ6=
2019-07-10,106.536,106.967,456837AQ6=
2019-07-11,106.085,106.514,456837AQ6=
2019-07-12,106.246,106.676,456837AQ6=
2019-07-15,106.795,107.226,456837AQ6=
2019-07-16,106.569,107.0,456837AQ6=
2019-07-17,106.422,106.852,456837AQ6=
2019-07-18,106.821,107.252,456837AQ6=
2019-07-19,106.364,106.793,456837AQ6=
2019-07-22,106.611,107.041,456837AQ6=
2019-07-23,107.057,107.489,456837AQ6=
2019-07-24,107.211,107.644,456837AQ6=
2019-07-25,107.171,107.603,456837AQ6=
2019-07-26,107.342,107.775,456837AQ6=
2019-07-29,107.351,107.784,456837AQ6=
2019-07-30,107.288,107.721,456837AQ6=
2019-07-31,108.006,108.442,456837AQ6=
2019-08-01,108.742,109.181,456837AQ6=
2019-08-02,108.907,109.346,456837AQ6=
2019-08-05,109.477,109.919,456837AQ6=
2019-08-06,109.404,109.846,456837AQ6=
2019-08-07,109.093,109.534,456837AQ6=
2019-08-08,109.086,109.527,456837AQ6=
2019-08-09,108.603,109.04,456837AQ6=
2019-08-12,109.355,109.796,456837AQ6=
2019-08-13,108.808,109.247,456837AQ6=
2019-08-14,109.412,109.853,456837AQ6=
2019-08-15,110.475,110.921,456837AQ6=
2019-08-16,109.499,109.94,456837AQ6=
2019-08-19,109.973,110.417,456837AQ6=
2019-08-20,110.201,110.645,456837AQ6=
2019-08-21,109.739,110.181,456837AQ6=
2019-08-22,110.271,110.715,456837AQ6=
2019-08-23,111.159,111.607,456837AQ6=
2019-08-26,110.576,111.022,456837AQ6=
2019-08-27,111.323,111.772,456837AQ6=
2019-08-28,111.284,111.733,456837AQ6=
2019-08-29,110.937,111.383,456837AQ6=
2019-08-30,111.264,111.712,456837AQ6=
2019-09-02,110.799,111.245,456837AQ6=
2019-09-03,110.887,111.333,456837AQ6=
2019-09-04,110.973,111.42,456837AQ6=
2019-09-05,110.229,110.672,456837AQ6=
2019-09-06,110.616,111.06,456837AQ6=
2019-09-09,110.737,111.182,456837AQ6=
2019-09-10,109.43,109.869,456837AQ6=
2019-09-11,109.244,109.682,456837AQ6=
2019-09-12,109.474,109.912,456837AQ6=
2019-09-13,108.575,109.009,456837AQ6=
2019-09-16,108.729,109.163,456837AQ6=
2019-09-17,109.1,109.536,456837AQ6=
2019-09-18,108.924,109.359,456837AQ6=
2019-09-19,108.944,109.379,456837AQ6=
2019-09-20,110.129,110.57,456837AQ6=
2019-09-23,109.496,109.934,456837AQ6=
2019-09-24,110.116,110.556,456837AQ6=
2019-09-25,109.352,109.789,456837AQ6=
2019-09-26,109.799,110.237,456837AQ6=
2019-09-27,109.797,110.235,456837AQ6=
2019-09-30,109.873,110.311,456837AQ6=
2019-10-01,110.599,111.041,456837AQ6=
2019-10-02,110.473,110.914,456837AQ6=
2019-10-03,110.95,111.393,456837AQ6=
2019-10-04,110.639,111.08,456837AQ6=
2019-10-07,110.689,111.131,456837AQ6=
2019-10-08,110.695,111.137,456837AQ6=
2019-10-09,110.034,110.472,456837AQ6=
2019-10-10,109.649,110.085,456837AQ6=
2019-10-11,109.091,109.524,456837AQ6=
2019-10-14,109.648,110.084,456837AQ6=
2019-10-15,109.201,109.635,456837AQ6=
2019-10-16,109.164,109.598,456837AQ6=
2019-10-17,109.027,109.46,456837AQ6=
2019-10-18,109.423,109.857,456837AQ6=
2019-10-21,108.91,109.342,456837AQ6=
2019-10-22,109.037,109.47,456837AQ6=
2019-10-23,109.467,109.901,456837AQ6=
2019-10-24,109.434,109.867,456837AQ6=
2019-10-25,109.267,109.7,456837AQ6=
2019-10-28,108.782,109.213,456837AQ6=
2019-10-29,108.679,109.109,456837AQ6=
2019-10-30,109.392,109.825,456837AQ6=
2019-10-31,110.148,110.584,456837AQ6=
2019-11-01,109.823,110.258,456837AQ6=
2019-11-04,109.319,109.751,456837AQ6=
2019-11-05,108.929,109.36,456837AQ6=
2019-11-06,108.901,109.331,456837AQ6=
2019-11-07,108.815,109.244,456837AQ6=
2019-11-08,108.419,108.847,456837AQ6=
2019-11-11,108.14,108.567,456837AQ6=
2019-11-12,108.434,108.862,456837AQ6=
2019-11-13,108.876,109.306,456837AQ6=
2019-11-14,109.204,109.634,456837AQ6=
2019-11-15,108.824,109.253,456837AQ6=
2019-11-18,109.087,109.517,456837AQ6=
2019-11-19,109.437,109.869,456837AQ6=
2019-11-20,110.013,110.447,456837AQ6=
2019-11-21,109.238,109.668,456837AQ6=
2019-11-22,109.365,109.795,456837AQ6=
2019-11-25,109.354,109.784,456837AQ6=
2019-11-26,109.787,110.22,456837AQ6=
2019-11-27,109.299,109.728,456837AQ6=
2019-11-28,109.109,109.537,456837AQ6=
2019-11-29,109.924,110.356,456837AQ6=
2019-12-02,109.08,109.508,456837AQ6=
2019-12-03,110.221,110.654,456837AQ6=
2019-12-04,109.443,109.873,456837AQ6=
2019-12-05,109.521,109.951,456837AQ6=
2019-12-06,109.57,110.0,456837AQ6=
2019-12-09,109.671,110.101,456837AQ6=
2019-12-10,109.146,109.574,456837AQ6=
2019-12-11,109.992,110.424,456837AQ6=
2019-12-12,109.372,109.8,456837AQ6=
2019-12-13,110.172,110.604,456837AQ6=
2019-12-16,109.725,110.155,456837AQ6=
2019-12-17,109.469,109.898,456837AQ6=
2019-12-18,109.678,110.107,456837AQ6=
2019-12-19,109.15,109.577,456837AQ6=
2019-12-20,109.62,110.048,456837AQ6=
2019-12-23,109.357,109.785,456837AQ6=
2019-12-24,109.566,109.994,456837AQ6=
2019-12-25,109.52,109.948,456837AQ6=
2019-12-26,109.642,110.07,456837AQ6=
2019-12-27,109.978,110.408,456837AQ6=
2019-12-30,109.926,110.355,456837AQ6=
2019-12-31,109.635,110.063,456837AQ6=
2020-01-01,109.714,110.143,456837AQ6=
2020-01-02,110.158,110.587,456837AQ6=
2020-01-03,110.785,111.218,456837AQ6=
2020-01-06,109.939,110.367,456837AQ6=
2020-01-07,110.214,110.644,456837AQ6=
2020-01-08,109.53,109.956,456837AQ6=
2020-01-09,109.898,110.326,456837AQ6=
2020-01-10,110.262,110.691,456837AQ6=
2020-01-13,110.113,110.542,456837AQ6=
2020-01-14,109.848,110.275,456837AQ6=
2020-01-15,110.101,110.529,456837AQ6=
2020-01-16,110.4,110.829,456837AQ6=
2020-01-17,109.977,110.405,456837AQ6=
2020-01-20,109.986,110.414,456837AQ6=
2020-01-21,110.409,110.838,456837AQ6=
2020-01-22,110.642,111.072,456837AQ6=
2020-01-23,110.884,111.315,456837AQ6=
2020-01-24,111.195,111.627,456837AQ6=
2020-01-27,111.556,111.99,456837AQ6=
2020-01-28,111.475,111.908,456837AQ6=
2020-01-29,112.268,112.705,456837AQ6=
2020-01-30,112.007,112.443,456837AQ6=
2020-01-31,112.376,112.813,456837AQ6=
2020-02-03,112.945,113.384,456837AQ6=
2020-02-04,112.405,112.842,456837AQ6=
2020-02-05,112.047,112.482,456837AQ6=
2020-02-06,112.116,112.551,456837AQ6=
2020-02-07,112.615,113.052,456837AQ6=
2020-02-10,112.542,112.979,456837AQ6=
2020-02-11,112.206,112.642,456837AQ6=
2020-02-12,112.101,112.535,456837AQ6=
2020-02-13,112.039,112.473,456837AQ6=
2020-02-14,112.401,112.837,456837AQ6=
2020-02-17,112.399,112.834,456837AQ6=
2020-02-18,112.514,112.95,456837AQ6=
2020-02-19,112.085,112.519,456837AQ6=
2020-02-20,112.405,112.84,456837AQ6=
2020-02-21,112.702,113.138,456837AQ6=
2020-02-24,113.194,113.632,456837AQ6=
2020-02-25,113.582,114.022,456837AQ6=
2020-02-26,113.107,113.545,456837AQ6=
2020-02-27,113.121,113.558,456837AQ6=
2020-02-28,112.844,113.28,456837AQ6=
2020-03-02,112.955,113.391,456837AQ6=
2020-03-03,114.443,114.886,456837AQ6=
2020-03-04,114.606,115.049,456837AQ6=
2020-03-05,115.776,116.225,456837AQ6=
2020-03-06,114.635,115.078,456837AQ6=
2020-03-09,114.303,114.744,456837AQ6=
2020-03-10,113.015,113.451,456837AQ6=
2020-03-11,111.678,112.107,456837AQ6=
2020-03-12,108.639,109.055,456837AQ6=
2020-03-13,105.217,105.617,456837AQ6=
2020-03-16,104.899,105.298,456837AQ6=
2020-03-17,100.983,101.517,456837AQ6=
2020-03-18,98.472,98.99,456837AQ6=
2020-03-19,100.279,100.808,456837AQ6=
2020-03-20,102.35,102.892,456837AQ6=
2020-03-23,103.309,103.857,456837AQ6=
2020-03-24,97.608,98.12,456837AQ6=
2020-03-25,97.56,98.071,456837AQ6=
2020-03-26,97.731,98.243,456837AQ6=
2020-03-27,98.959,99.479,456837AQ6=
2020-03-30,102.155,102.695,456837AQ6=
2020-03-31,102.963,103.508,456837AQ6=
2020-04-01,103.644,104.192,456837AQ6=
2020-04-02,102.545,103.087,456837AQ6=
2020-04-03,103.394,103.941,456837AQ6=
2020-04-06,104.056,104.606,456837AQ6=
2020-04-07,104.763,105.318,456837AQ6=
2020-04-08,105.055,105.611,456837AQ6=
2020-04-09,105.623,106.182,456837AQ6=
2020-04-10,105.739,106.299,456837AQ6=
2020-04-13,107.195,107.764,456837AQ6=
2020-04-14,107.968,108.541,456837AQ6=
2020-04-15,108.998,109.578,456837AQ6=
2020-04-16,108.502,109.078,456837AQ6=
2020-04-17,108.231,108.805,456837AQ6=
2020-04-20,109.525,110.108,456837AQ6=
2020-04-21,110.283,110.87,456837AQ6=
2020-04-22,108.725,109.302,456837AQ6=
2020-04-23,109.388,109.969,456837AQ6=
2020-04-24,108.67,109.246,456837AQ6=
2020-04-27,109.955,110.539,456837AQ6=
2020-04-28,109.253,109.832,456837AQ6=
2020-04-29,109.426,110.006,456837AQ6=
2020-04-30,110.53,111.117,456837AQ6=
2020-05-01,110.839,111.428,456837AQ6=
2020-05-04,109.915,110.498,456837AQ6=
2020-05-05,109.507,110.087,456837AQ6=
2020-05-06,108.842,109.418,456837AQ6=
2020-05-07,110.801,111.388,456837AQ6=
2020-05-08,108.818,109.393,456837AQ6=
2020-05-11,109.967,110.549,456837AQ6=
2020-05-12,109.878,110.459,456837AQ6=
2020-05-13,110.305,110.805,456837AQ6=
2020-05-14,110.571,111.072,456837AQ6=
2020-05-15,110.167,110.666,456837AQ6=
2020-05-18,109.233,109.726,456837AQ6=
2020-05-19,110.084,110.582,456837AQ6=
2020-05-20,110.254,110.753,456837AQ6=
2020-05-21,111.49,111.995,456837AQ6=
2020-05-22,110.381,110.88,456837AQ6=
2020-05-25,110.412,110.911,456837AQ6=
2020-05-26,111.878,112.385,456837AQ6=
2020-05-27,111.778,112.284,456837AQ6=
2020-05-28,112.672,113.182,456837AQ6=
2020-05-29,112.188,112.696,456837AQ6=
2020-06-01,112.528,113.038,456837AQ6=
2020-06-02,113.545,114.059,456837AQ6=
2020-06-03,112.802,113.312,456837AQ6=
2020-06-04,112.164,112.671,456837AQ6=
2020-06-05,113.134,113.646,456837AQ6=
2020-06-08,114.083,114.6,456837AQ6=
2020-06-09,114.851,115.371,456837AQ6=
2020-06-10,115.139,115.661,456837AQ6=
2020-06-11,115.186,115.708,456837AQ6=
2020-06-12,114.332,114.849,456837AQ6=
2020-06-15,114.427,114.944,456837AQ6=
2020-06-16,116.629,117.158,456837AQ6=
2020-06-17,116.668,117.197,456837AQ6=
2020-06-18,116.265,116.792,456837AQ6=
2020-06-19,116.886,117.415,456837AQ6=
2020-06-22,117.152,117.682,456837AQ6=
2020-06-23,116.799,117.328,456837AQ6=
2020-06-24,117.248,117.779,456837AQ6=
2020-06-25,117.018,117.548,456837AQ6=
2020-06-26,116.929,117.457,456837AQ6=
2020-06-29,116.714,117.242,456837AQ6=
2020-06-30,117.155,117.684,456837AQ6=
2020-07-01,117.13,117.659,456837AQ6=
2020-07-02,116.941,117.469,456837AQ6=
2020-07-03,116.959,117.487,456837AQ6=
2020-07-06,117.361,117.891,456837AQ6=
2020-07-07,117.561,118.092,456837AQ6=
2020-07-08,117.354,117.884,456837AQ6=
2020-07-09,117.439,117.968,456837AQ6=
2020-07-10,117.646,118.176,456837AQ6=
2020-07-13,118.434,118.969,456837AQ6=
2020-07-14,117.609,118.139,456837AQ6=
2020-07-15,117.862,118.394,456837AQ6=
2020-07-16,118.432,118.966,456837AQ6=
2020-07-17,118.415,118.948,456837AQ6=
2020-07-20,118.207,118.739,456837AQ6=
2020-07-21,118.908,119.443,456837AQ6=
2020-07-22,118.387,118.92,456837AQ6=
2020-07-23,119.268,119.805,456837AQ6=
2020-07-24,119.086,119.622,456837AQ6=
2020-07-27,118.947,119.483,456837AQ6=
2020-07-28,118.804,119.338,456837AQ6=
2020-07-29,119.012,119.548,456837AQ6=
2020-07-30,119.262,119.798,456837AQ6=
2020-07-31,119.788,120.327,456837AQ6=
2020-08-03,119.517,120.054,456837AQ6=
2020-08-04,119.57,120.108,456837AQ6=
2020-08-05,119.165,119.7,456837AQ6=
