Date,BID,ASK,RIC
2011-07-21,125.46,126.18,458182BV3=
2011-07-22,126.06,126.79,458182BV3=
2011-07-25,125.48,126.2,458182BV3=
2011-07-26,126.01,126.73,458182BV3=
2011-07-27,125.8,126.52,458182BV3=
2011-07-28,126.14,126.86,458182BV3=
2011-07-29,127.81,128.54,458182BV3=
2011-08-01,133.72,134.59,458182BV3=
2011-08-02,130.22,130.95,458182BV3=
2011-08-03,130.42,131.15,458182BV3=
2011-08-04,132.7,133.45,458182BV3=
2011-08-05,131.0,131.74,458182BV3=
2011-08-08,133.61,134.35,458182BV3=
2011-08-09,134.89,135.64,458182BV3=
2011-08-10,135.95,136.69,458182BV3=
2011-08-11,133.38,134.11,458182BV3=
2011-08-12,134.45,135.19,458182BV3=
2011-08-15,133.85,134.59,458182BV3=
2011-08-16,134.93,135.67,458182BV3=
2011-08-17,135.75,136.5,458182BV3=
2011-08-18,137.27,138.03,458182BV3=
2011-08-19,137.56,138.32,458182BV3=
2011-08-22,137.32,138.08,458182BV3=
2011-08-23,136.41,137.16,458182BV3=
2011-08-24,134.56,135.3,458182BV3=
2011-08-25,135.17,135.91,458182BV3=
2011-08-26,135.73,136.48,458182BV3=
2011-08-29,134.75,135.49,458182BV3=
2011-08-30,135.86,136.61,458182BV3=
2011-08-31,135.06,135.81,458182BV3=
2011-09-01,136.13,136.88,458182BV3=
2011-09-02,138.4,139.15,458182BV3=
2011-09-05,144.43,145.31,458182BV3=
2011-09-06,139.1,139.86,458182BV3=
2011-09-07,137.77,138.52,458182BV3=
2011-09-08,138.48,139.23,458182BV3=
2011-09-09,139.37,140.13,458182BV3=
2011-09-12,137.52,138.28,458182BV3=
2011-09-13,136.59,137.34,458182BV3=
2011-09-14,137.46,138.22,458182BV3=
2011-09-15,136.41,137.16,458182BV3=
2011-09-16,136.77,137.52,458182BV3=
2011-09-19,138.27,139.03,458182BV3=
2011-09-20,138.37,139.13,458182BV3=
2011-09-21,140.18,140.95,458182BV3=
2011-09-22,142.6,143.38,458182BV3=
2011-09-23,141.26,142.03,458182BV3=
2011-09-26,139.97,140.74,458182BV3=
2011-09-27,138.67,139.43,458182BV3=
2011-09-28,138.73,139.5,458182BV3=
2011-09-29,139.49,140.26,458182BV3=
2011-09-30,140.62,141.39,458182BV3=
2011-10-03,141.84,142.62,458182BV3=
2011-10-04,141.42,142.19,458182BV3=
2011-10-05,140.21,140.98,458182BV3=
2011-10-06,138.97,139.74,458182BV3=
2011-10-07,138.14,138.9,458182BV3=
2011-10-10,139.24,140.12,458182BV3=
2011-10-11,137.14,137.9,458182BV3=
2011-10-12,136.07,136.83,458182BV3=
2011-10-13,136.71,137.47,458182BV3=
2011-10-14,135.81,136.56,458182BV3=
2011-10-17,136.98,137.74,458182BV3=
2011-10-18,136.73,137.49,458182BV3=
2011-10-19,136.62,137.38,458182BV3=
2011-10-20,136.24,137.0,458182BV3=
2011-10-21,135.69,136.44,458182BV3=
2011-10-24,135.49,136.24,458182BV3=
2011-10-25,137.11,137.87,458182BV3=
2011-10-26,136.03,136.78,458182BV3=
2011-10-27,133.36,134.1,458182BV3=
2011-10-28,134.34,135.09,458182BV3=
2011-10-31,136.73,137.48,458182BV3=
2011-11-01,139.0,139.77,458182BV3=
2011-11-02,138.59,139.35,458182BV3=
2011-11-03,137.63,138.39,458182BV3=
2011-11-04,137.81,138.57,458182BV3=
2011-11-07,138.31,139.07,458182BV3=
2011-11-08,137.48,138.24,458182BV3=
2011-11-09,138.92,139.68,458182BV3=
2011-11-10,137.89,138.65,458182BV3=
2011-11-11,140.39,141.27,458182BV3=
2011-11-14,138.29,139.06,458182BV3=
2011-11-15,138.16,138.92,458182BV3=
2011-11-16,138.7,139.46,458182BV3=
2011-11-17,139.41,140.17,458182BV3=
2011-11-18,139.0,139.76,458182BV3=
2011-11-21,139.54,140.31,458182BV3=
2011-11-22,140.07,140.84,458182BV3=
2011-11-23,140.85,141.62,458182BV3=
2011-11-24,140.57,141.34,458182BV3=
2011-11-25,139.73,140.5,458182BV3=
2011-11-28,139.73,140.49,458182BV3=
2011-11-29,139.24,140.0,458182BV3=
2011-11-30,138.06,138.82,458182BV3=
2011-12-01,137.51,138.27,458182BV3=
2011-12-02,138.56,139.32,458182BV3=
2011-12-05,138.37,139.13,458182BV3=
2011-12-06,137.7,138.46,458182BV3=
2011-12-07,138.35,139.11,458182BV3=
2011-12-08,139.13,139.89,458182BV3=
2011-12-09,137.83,138.59,458182BV3=
2011-12-12,138.47,139.23,458182BV3=
2011-12-13,139.13,139.89,458182BV3=
2011-12-14,140.2,140.97,458182BV3=
2011-12-15,139.99,140.76,458182BV3=
2011-12-16,140.8,141.57,458182BV3=
2011-12-19,141.51,142.28,458182BV3=
2011-12-20,139.84,140.61,458182BV3=
2011-12-21,139.01,139.77,458182BV3=
2011-12-22,139.24,140.0,458182BV3=
2011-12-23,138.22,138.98,458182BV3=
2011-12-26,141.01,141.89,458182BV3=
2011-12-27,141.17,142.05,458182BV3=
2011-12-28,139.9,140.66,458182BV3=
2011-12-29,140.05,140.82,458182BV3=
2011-12-30,140.26,141.02,458182BV3=
2012-01-02,142.94,143.81,458182BV3=
2012-01-03,139.12,139.88,458182BV3=
2012-01-04,138.52,139.28,458182BV3=
2012-01-05,138.44,139.2,458182BV3=
2012-01-06,138.89,139.65,458182BV3=
2012-01-09,138.84,139.6,458182BV3=
2012-01-10,138.76,139.52,458182BV3=
2012-01-11,139.59,140.35,458182BV3=
2012-01-12,139.35,140.11,458182BV3=
2012-01-13,140.21,140.97,458182BV3=
2012-01-16,140.18,140.95,458182BV3=
2012-01-17,140.41,141.17,458182BV3=
2012-01-18,139.63,140.39,458182BV3=
2012-01-19,138.6,139.35,458182BV3=
2012-01-20,137.81,138.56,458182BV3=
2012-01-23,137.32,138.07,458182BV3=
2012-01-24,137.35,138.1,458182BV3=
2012-01-25,137.66,138.41,458182BV3=
2012-01-26,138.59,139.35,458182BV3=
2012-01-27,139.01,139.77,458182BV3=
2012-01-30,139.87,140.63,458182BV3=
2012-01-31,140.45,141.22,458182BV3=
2012-02-01,139.7,140.46,458182BV3=
2012-02-02,139.91,140.67,458182BV3=
