Date,BID,ASK,RIC
2011-07-21,128.6907,129.6907,458182BW1=
2011-07-22,129.3167,130.3167,458182BW1=
2011-07-25,128.8333,129.8333,458182BW1=
2011-07-26,129.4221,130.4221,458182BW1=
2011-07-27,129.0727,130.0727,458182BW1=
2011-07-28,129.4094,130.4094,458182BW1=
2011-07-29,131.4872,132.4872,458182BW1=
2011-08-01,131.987,132.987,458182BW1=
2011-08-02,133.8132,134.8132,458182BW1=
2011-08-03,133.7719,134.7719,458182BW1=
2011-08-04,136.5447,137.5447,458182BW1=
2011-08-05,134.4494,135.4494,458182BW1=
2011-08-08,137.7716,138.7716,458182BW1=
2011-08-09,138.3282,139.3282,458182BW1=
2011-08-10,140.8128,141.8128,458182BW1=
2011-08-11,138.0503,139.0503,458182BW1=
2011-08-12,139.0763,140.0763,458182BW1=
2011-08-15,138.4579,139.4579,458182BW1=
2011-08-16,139.5914,140.5914,458182BW1=
2011-08-17,140.4323,141.4323,458182BW1=
2011-08-18,141.8487,142.8487,458182BW1=
2011-08-19,141.8422,142.8422,458182BW1=
2011-08-22,141.2281,142.2281,458182BW1=
2011-08-23,140.5614,141.5614,458182BW1=
2011-08-24,138.6552,139.6552,458182BW1=
2011-08-25,139.4779,140.4779,458182BW1=
2011-08-26,140.0706,141.0706,458182BW1=
2011-08-29,139.0568,140.0568,458182BW1=
2011-08-30,140.2724,141.2724,458182BW1=
2011-08-31,139.4417,140.4417,458182BW1=
2011-09-01,140.8568,141.8568,458182BW1=
2011-09-02,142.8023,143.8023,458182BW1=
2011-09-05,143.0188,144.0188,458182BW1=
2011-09-06,142.9669,143.9669,458182BW1=
2011-09-07,142.1075,143.1075,458182BW1=
2011-09-08,143.0114,144.0114,458182BW1=
2011-09-09,143.8936,144.8936,458182BW1=
2011-09-12,139.9001,140.9001,458182BW1=
2011-09-13,139.2709,140.2709,458182BW1=
2011-09-14,140.6415,141.6415,458182BW1=
2011-09-15,139.3435,140.3435,458182BW1=
2011-09-16,139.7247,140.7247,458182BW1=
2011-09-19,141.1266,142.1266,458182BW1=
2011-09-20,141.387,142.387,458182BW1=
2011-09-21,142.5117,143.5117,458182BW1=
2011-09-22,144.4808,145.4808,458182BW1=
2011-09-23,142.868,143.868,458182BW1=
2011-09-26,141.8412,142.8412,458182BW1=
2011-09-27,140.7401,141.7401,458182BW1=
2011-09-28,140.6236,141.6236,458182BW1=
2011-09-29,141.1064,142.1064,458182BW1=
2011-09-30,142.2964,143.2964,458182BW1=
2011-10-03,143.256,144.256,458182BW1=
2011-10-04,142.2832,143.2832,458182BW1=
2011-10-05,141.2159,142.2159,458182BW1=
2011-10-06,139.8044,140.8044,458182BW1=
2011-10-07,138.6434,139.6434,458182BW1=
2011-10-10,137.7832,138.7832,458182BW1=
2011-10-11,137.9152,138.9152,458182BW1=
2011-10-12,137.1802,138.1802,458182BW1=
2011-10-13,137.566,138.566,458182BW1=
2011-10-14,136.6438,137.6438,458182BW1=
2011-10-17,137.9335,138.8085,458182BW1=
2011-10-18,137.6563,138.5313,458182BW1=
2011-10-19,137.8821,138.7571,458182BW1=
2011-10-20,137.4701,138.3451,458182BW1=
2011-10-21,137.0731,137.9481,458182BW1=
2011-10-24,136.8253,137.7003,458182BW1=
2011-10-25,138.4422,139.3172,458182BW1=
2011-10-26,137.1517,138.0267,458182BW1=
2011-10-27,134.7951,135.6701,458182BW1=
2011-10-28,135.5957,136.4707,458182BW1=
2011-10-31,138.3843,139.2593,458182BW1=
2011-11-01,140.0923,140.9673,458182BW1=
2011-11-02,140.1281,141.0031,458182BW1=
2011-11-03,138.9398,139.8148,458182BW1=
2011-11-04,139.4129,140.2879,458182BW1=
2011-11-07,139.6539,140.5289,458182BW1=
2011-11-08,138.7795,139.6545,458182BW1=
2011-11-09,140.3666,141.2416,458182BW1=
2011-11-10,139.4206,140.2956,458182BW1=
2011-11-11,138.986,139.861,458182BW1=
2011-11-14,139.6076,140.4826,458182BW1=
2011-11-15,139.5739,140.4489,458182BW1=
2011-11-16,140.1487,141.0237,458182BW1=
2011-11-17,140.5838,141.4588,458182BW1=
2011-11-18,139.9972,140.8722,458182BW1=
2011-11-21,140.6057,141.4807,458182BW1=
2011-11-22,141.1687,142.0437,458182BW1=
2011-11-23,141.6918,142.5668,458182BW1=
2011-11-24,141.2317,142.1067,458182BW1=
2011-11-25,140.559,141.434,458182BW1=
2011-11-28,140.3867,141.2617,458182BW1=
