Date,BID,ASK,RIC
2011-07-21,123.2933,124.2933,45818QAC3=
2011-07-22,123.9512,124.9512,45818QAC3=
2011-07-25,123.4455,124.4455,45818QAC3=
2011-07-26,124.0645,125.0645,45818QAC3=
2011-07-27,123.7005,124.7005,45818QAC3=
2011-07-28,124.0552,125.0552,45818QAC3=
2011-07-29,126.2397,127.2397,45818QAC3=
2011-08-01,126.7671,127.7671,45818QAC3=
2011-08-02,128.6925,129.6925,45818QAC3=
2011-08-03,128.6534,129.6534,45818QAC3=
2011-08-04,131.5833,132.5833,45818QAC3=
2011-08-05,129.3712,130.3712,45818QAC3=
2011-08-08,132.8851,133.8851,45818QAC3=
2011-08-09,133.4764,134.4764,45818QAC3=
2011-08-10,136.1178,137.1178,45818QAC3=
2011-08-11,133.1887,134.1887,45818QAC3=
2011-08-12,134.2781,135.2781,45818QAC3=
2011-08-15,133.629,134.629,45818QAC3=
2011-08-16,134.8281,135.8281,45818QAC3=
2011-08-17,135.7262,136.7262,45818QAC3=
2011-08-18,137.2336,138.2336,45818QAC3=
2011-08-19,137.2285,138.2285,45818QAC3=
2011-08-22,136.5773,137.5773,45818QAC3=
2011-08-23,135.8705,136.8705,45818QAC3=
2011-08-24,131.6856,132.6856,45818QAC3=
2011-08-25,132.5424,133.5424,45818QAC3=
2011-08-26,133.161,134.161,45818QAC3=
2011-08-29,132.1068,133.1068,45818QAC3=
2011-08-30,133.3727,134.3727,45818QAC3=
2011-08-31,132.5165,133.5165,45818QAC3=
2011-09-01,133.991,134.991,45818QAC3=
2011-09-02,136.0207,137.0207,45818QAC3=
2011-09-06,136.1946,137.1946,45818QAC3=
2011-09-07,135.3045,136.3045,45818QAC3=
2011-09-08,136.2496,137.2496,45818QAC3=
2011-09-09,137.1728,138.1728,45818QAC3=
2011-09-12,136.6878,137.6878,45818QAC3=
2011-09-13,136.0116,137.0116,45818QAC3=
2011-09-14,137.4937,138.4937,45818QAC3=
2011-09-15,136.0963,137.0963,45818QAC3=
2011-09-16,136.5087,137.5087,45818QAC3=
2011-09-19,138.022,139.022,45818QAC3=
2011-09-20,138.3048,139.3048,45818QAC3=
2011-09-21,139.5249,140.5249,45818QAC3=
2011-09-22,141.657,142.657,45818QAC3=
2011-09-23,139.9136,140.9136,45818QAC3=
2011-09-26,138.8055,139.8055,45818QAC3=
2011-09-27,137.6184,138.6184,45818QAC3=
2011-09-28,137.4977,138.4977,45818QAC3=
2011-09-29,137.2672,138.2672,45818QAC3=
2011-09-30,138.5456,139.5456,45818QAC3=
2011-10-03,139.578,140.578,45818QAC3=
2011-10-04,138.5351,139.5351,45818QAC3=
2011-10-05,137.397,138.397,45818QAC3=
2011-10-06,135.8859,136.8859,45818QAC3=
2011-10-07,134.6447,135.6447,45818QAC3=
2011-10-10,133.7249,134.7249,45818QAC3=
2011-10-11,133.8676,134.8676,45818QAC3=
2011-10-12,133.0876,134.0876,45818QAC3=
2011-10-13,133.5019,134.5019,45818QAC3=
2011-10-14,132.5616,133.5616,45818QAC3=
2011-10-17,133.8696,134.8696,45818QAC3=
2011-10-18,133.4886,134.4886,45818QAC3=
2011-10-19,133.8517,134.8517,45818QAC3=
2011-10-20,133.4131,134.4131,45818QAC3=
2011-10-21,132.9908,133.9908,45818QAC3=
2011-10-24,132.7279,133.7279,45818QAC3=
2011-10-25,134.4588,135.4588,45818QAC3=
2011-10-26,133.0853,134.0853,45818QAC3=
2011-10-27,130.5687,131.5687,45818QAC3=
2011-10-28,131.4245,132.4245,45818QAC3=
2011-10-31,134.4651,135.4651,45818QAC3=
2011-11-01,136.2384,137.2384,45818QAC3=
2011-11-02,136.2831,137.2831,45818QAC3=
2011-11-03,135.0116,136.0116,45818QAC3=
2011-11-04,135.5205,136.5205,45818QAC3=
2011-11-07,135.7808,136.7808,45818QAC3=
2011-11-08,134.8959,135.8959,45818QAC3=
2011-11-09,136.5257,137.5257,45818QAC3=
2011-11-10,135.597,136.597,45818QAC3=
2011-11-11,135.0772,136.0772,45818QAC3=
2011-11-14,135.7454,136.7454,45818QAC3=
2011-11-15,135.6832,136.6832,45818QAC3=
2011-11-16,136.3723,137.3723,45818QAC3=
2011-11-17,136.8327,137.8327,45818QAC3=
2011-11-18,136.1756,137.1756,45818QAC3=
2011-11-21,136.8327,137.8327,45818QAC3=
2011-11-22,137.4435,138.4435,45818QAC3=
2011-11-23,137.9476,138.9476,45818QAC3=
2011-11-25,136.793,137.793,45818QAC3=
2011-11-28,136.6101,137.6101,45818QAC3=
2011-11-29,136.4423,137.4423,45818QAC3=
2011-11-30,135.2071,136.2071,45818QAC3=
2011-12-01,134.9834,135.9834,45818QAC3=
2011-12-02,135.7546,136.7546,45818QAC3=
2011-12-05,135.7498,136.7498,45818QAC3=
2011-12-06,134.8966,135.8966,45818QAC3=
2011-12-07,135.7307,136.7307,45818QAC3=
2011-12-08,136.6547,137.6547,45818QAC3=
2011-12-09,135.2818,136.2818,45818QAC3=
2011-12-12,135.9514,136.9514,45818QAC3=
2011-12-13,136.7435,137.7435,45818QAC3=
2011-12-14,137.576,138.576,45818QAC3=
2011-12-15,137.4963,138.4963,45818QAC3=
2011-12-16,138.3894,139.3894,45818QAC3=
2011-12-19,139.0021,140.0021,45818QAC3=
2011-12-20,137.2727,138.2727,45818QAC3=
2011-12-21,136.6006,137.6006,45818QAC3=
2011-12-22,136.8619,137.8619,45818QAC3=
2011-12-23,135.8255,136.8255,45818QAC3=
2011-12-27,136.085,137.085,45818QAC3=
2011-12-28,137.2819,138.2819,45818QAC3=
2011-12-29,137.6339,138.6339,45818QAC3=
2011-12-30,137.9721,138.9721,45818QAC3=
2012-01-03,136.7484,137.7484,45818QAC3=
2012-01-04,136.3502,137.3502,45818QAC3=
2012-01-05,136.1395,137.1395,45818QAC3=
2012-01-06,136.6942,137.6942,45818QAC3=
2012-01-09,136.7188,137.7188,45818QAC3=
2012-01-10,136.6105,137.6105,45818QAC3=
2012-01-11,137.4187,138.4187,45818QAC3=
2012-01-12,137.1317,138.1317,45818QAC3=
2012-01-13,137.9438,138.9438,45818QAC3=
2012-01-17,138.1475,139.1475,45818QAC3=
2012-01-18,137.5204,138.5204,45818QAC3=
2012-01-19,136.2894,137.2894,45818QAC3=
2012-01-20,135.6257,136.6257,45818QAC3=
2012-01-23,135.1549,136.1549,45818QAC3=
