Date,BID,ASK,RIC
2011-07-21,128.8376,129.8376,45818QAE9=
2011-07-22,129.4646,130.4646,45818QAE9=
2011-07-25,128.908,129.908,45818QAE9=
2011-07-26,129.6365,130.6365,45818QAE9=
2011-07-27,129.2516,130.2516,45818QAE9=
2011-07-28,129.6272,130.6272,45818QAE9=
2011-07-29,131.8378,132.8378,45818QAE9=
2011-08-01,132.5672,133.5672,45818QAE9=
2011-08-02,134.2262,135.2262,45818QAE9=
2011-08-03,134.5744,135.5744,45818QAE9=
2011-08-04,136.6047,137.6047,45818QAE9=
2011-08-05,135.0854,136.0854,45818QAE9=
2011-08-08,138.4176,139.4176,45818QAE9=
2011-08-09,140.7604,141.7604,45818QAE9=
2011-08-10,141.4285,142.4285,45818QAE9=
2011-08-11,139.0517,140.0517,45818QAE9=
2011-08-12,140.1753,141.1753,45818QAE9=
2011-08-15,139.8357,140.8357,45818QAE9=
2011-08-16,140.9053,141.9053,45818QAE9=
2011-08-17,141.6813,142.6813,45818QAE9=
2011-08-18,143.0298,144.0298,45818QAE9=
2011-08-19,143.2348,144.2348,45818QAE9=
2011-08-22,142.911,143.911,45818QAE9=
2011-08-23,142.1736,143.1736,45818QAE9=
2011-08-24,137.9545,138.9545,45818QAE9=
2011-08-25,138.5567,139.5567,45818QAE9=
2011-08-26,139.0113,140.0113,45818QAE9=
2011-08-29,137.7844,138.7844,45818QAE9=
2011-08-30,139.2603,140.2603,45818QAE9=
2011-08-31,138.6317,139.6317,45818QAE9=
2011-09-01,139.6595,140.6595,45818QAE9=
2011-09-02,141.9768,142.9768,45818QAE9=
2011-09-05,142.2112,143.2112,45818QAE9=
2011-09-06,142.1796,143.1796,45818QAE9=
2011-09-07,141.31,142.31,45818QAE9=
2011-09-08,142.0523,143.0523,45818QAE9=
2011-09-09,143.1702,144.1702,45818QAE9=
2011-09-12,142.8733,143.8733,45818QAE9=
2011-09-13,141.9585,142.9585,45818QAE9=
2011-09-14,143.1969,144.1969,45818QAE9=
2011-09-15,142.0289,143.0289,45818QAE9=
2011-09-16,142.4769,143.4769,45818QAE9=
2011-09-19,144.2398,145.2398,45818QAE9=
2011-09-20,144.2073,145.2073,45818QAE9=
2011-09-21,145.3053,146.3053,45818QAE9=
2011-09-22,147.8146,148.8146,45818QAE9=
2011-09-23,146.0056,147.0056,45818QAE9=
2011-09-26,144.8285,145.8285,45818QAE9=
2011-09-27,143.0571,144.0571,45818QAE9=
2011-09-28,143.284,144.284,45818QAE9=
2011-09-29,143.9029,144.9029,45818QAE9=
2011-09-30,144.5816,145.5816,45818QAE9=
2011-10-03,145.0553,146.0553,45818QAE9=
2011-10-04,145.0775,146.0775,45818QAE9=
2011-10-05,143.1693,144.1693,45818QAE9=
2011-10-06,141.9038,142.9038,45818QAE9=
2011-10-07,140.5287,141.5287,45818QAE9=
2011-10-10,139.5763,140.5763,45818QAE9=
2011-10-11,139.7024,140.7024,45818QAE9=
2011-10-12,138.6725,139.6725,45818QAE9=
2011-10-13,139.4939,140.4939,45818QAE9=
2011-10-14,138.3633,139.3633,45818QAE9=
2011-10-17,139.7234,140.7234,45818QAE9=
2011-10-18,139.7982,140.7982,45818QAE9=
2011-10-19,139.6752,140.6752,45818QAE9=
2011-10-20,139.3758,140.3758,45818QAE9=
2011-10-21,138.8041,139.8041,45818QAE9=
2011-10-24,138.5367,139.5367,45818QAE9=
2011-10-25,140.1085,141.1085,45818QAE9=
2011-10-26,138.9556,139.9556,45818QAE9=
2011-10-27,136.1482,137.1482,45818QAE9=
2011-10-28,137.1751,138.1751,45818QAE9=
2011-10-31,139.3853,140.3853,45818QAE9=
2011-11-01,142.0387,143.0387,45818QAE9=
2011-11-02,141.9144,142.9144,45818QAE9=
2011-11-03,140.9943,141.9943,45818QAE9=
2011-11-04,141.4206,142.4206,45818QAE9=
2011-11-07,142.0616,143.0616,45818QAE9=
2011-11-08,141.0431,142.0431,45818QAE9=
2011-11-09,142.6548,143.6548,45818QAE9=
2011-11-10,141.5451,142.5451,45818QAE9=
2011-11-11,140.9562,141.9562,45818QAE9=
2011-11-14,141.6746,142.6746,45818QAE9=
2011-11-15,141.4538,142.4538,45818QAE9=
2011-11-16,141.9227,142.9227,45818QAE9=
2011-11-17,142.9011,143.9011,45818QAE9=
2011-11-18,142.0914,143.0914,45818QAE9=
2011-11-21,142.7779,143.7779,45818QAE9=
2011-11-22,143.1073,144.1073,45818QAE9=
2011-11-23,144.0905,145.0905,45818QAE9=
2011-11-25,142.7276,143.7276,45818QAE9=
2011-11-28,142.8244,143.8244,45818QAE9=
2011-11-29,142.2588,143.2588,45818QAE9=
2011-11-30,141.1244,142.1244,45818QAE9=
2011-12-01,140.4284,141.4284,45818QAE9=
2011-12-02,141.6455,142.6455,45818QAE9=
2011-12-05,141.3461,142.3461,45818QAE9=
2011-12-06,140.7555,141.7555,45818QAE9=
2011-12-07,141.8559,142.8559,45818QAE9=
2011-12-08,142.5434,143.5434,45818QAE9=
2011-12-09,141.1504,142.1504,45818QAE9=
2011-12-12,141.9454,142.9454,45818QAE9=
2011-12-13,142.666,143.666,45818QAE9=
2011-12-14,143.6058,144.6058,45818QAE9=
2011-12-15,143.4129,144.4129,45818QAE9=
2011-12-16,144.3707,145.3707,45818QAE9=
2011-12-19,144.9049,145.9049,45818QAE9=
2011-12-20,143.2364,144.2364,45818QAE9=
2011-12-21,142.5449,143.5449,45818QAE9=
2011-12-22,142.7798,143.7798,45818QAE9=
2011-12-23,141.705,142.705,45818QAE9=
2011-12-27,141.8874,142.8874,45818QAE9=
2011-12-28,143.3947,144.3947,45818QAE9=
2011-12-29,143.6036,144.6036,45818QAE9=
2011-12-30,143.9286,144.9286,45818QAE9=
2012-01-03,142.5755,143.5755,45818QAE9=
2012-01-04,142.0503,143.0503,45818QAE9=
2012-01-05,142.0714,143.0714,45818QAE9=
2012-01-06,142.5986,143.5986,45818QAE9=
2012-01-09,142.5956,143.5956,45818QAE9=
2012-01-10,142.3758,143.3758,45818QAE9=
2012-01-11,143.398,144.398,45818QAE9=
2012-01-12,142.9367,143.9367,45818QAE9=
2012-01-13,143.8915,144.8915,45818QAE9=
2012-01-16,144.0333,145.0333,45818QAE9=
2012-01-17,144.2162,145.2162,45818QAE9=
2012-01-18,143.4729,144.4729,45818QAE9=
2012-01-19,142.3141,143.3141,45818QAE9=
2012-01-20,141.4522,142.4522,45818QAE9=
2012-01-23,140.8586,141.8586,45818QAE9=
2012-01-24,140.9063,141.9063,45818QAE9=
2012-01-25,141.7183,142.7183,45818QAE9=
2012-01-26,142.8789,143.8789,45818QAE9=
2012-01-27,143.4034,144.4034,45818QAE9=
2012-01-30,144.3135,145.3135,45818QAE9=
2012-01-31,144.8746,145.8746,45818QAE9=
2012-02-01,144.1828,145.1828,45818QAE9=
2012-02-02,144.4739,145.4739,45818QAE9=
2012-02-03,142.5854,143.5854,45818QAE9=
2012-02-06,143.3057,144.3057,45818QAE9=
2012-02-07,142.3058,143.3058,45818QAE9=
2012-02-08,142.1546,143.1546,45818QAE9=
2012-02-09,141.6396,142.6396,45818QAE9=
2012-02-10,142.8423,143.8423,45818QAE9=
2012-02-13,142.4604,143.4604,45818QAE9=
2012-02-14,143.4774,144.4774,45818QAE9=
2012-02-15,143.2389,144.2389,45818QAE9=
2012-02-16,142.5769,143.5769,45818QAE9=
2012-02-17,142.2972,143.2972,45818QAE9=
2012-02-21,141.3985,142.3985,45818QAE9=
2012-02-22,142.2592,143.2592,45818QAE9=
2012-02-23,142.3447,143.3447,45818QAE9=
2012-02-24,142.6563,143.6563,45818QAE9=
2012-02-27,143.4113,144.4113,45818QAE9=
2012-02-28,143.0992,144.0992,45818QAE9=
2012-02-29,142.685,143.685,45818QAE9=
