Date,BID,ASK,RIC
2023-03-07,97.912,98.041,45818WEK8=
2023-03-08,97.806,97.935,45818WEK8=
2023-03-09,98.38,98.51,45818WEK8=
2023-03-10,99.108,99.239,45818WEK8=
2023-03-13,100.324,100.406,45818WEK8=
2023-03-14,99.696,99.827,45818WEK8=
2023-03-15,100.619,100.701,45818WEK8=
2023-03-16,100.011,100.093,45818WEK8=
2023-03-17,100.806,100.889,45818WEK8=
2023-03-20,100.564,100.646,45818WEK8=
2023-03-21,100.028,100.109,45818WEK8=
2023-03-22,100.725,100.807,45818WEK8=
2023-03-23,101.114,101.196,45818WEK8=
2023-03-24,101.221,101.303,45818WEK8=
2023-03-27,100.582,100.664,45818WEK8=
2023-03-28,100.313,100.394,45818WEK8=
2023-03-29,100.283,100.364,45818WEK8=
2023-03-30,100.279,100.36,45818WEK8=
2023-03-31,100.58,100.661,45818WEK8=
2023-04-03,100.784,100.865,45818WEK8=
2023-04-04,101.171,101.252,45818WEK8=
2023-04-05,101.241,101.322,45818WEK8=
2023-04-06,101.184,101.265,45818WEK8=
2023-04-07,100.713,100.794,45818WEK8=
2023-04-10,100.668,100.749,45818WEK8=
2023-04-11,100.625,100.705,45818WEK8=
2023-04-12,100.854,100.935,45818WEK8=
2023-04-13,100.807,100.887,45818WEK8=
2023-04-14,100.454,100.534,45818WEK8=
2023-04-17,100.15,100.23,45818WEK8=
2023-04-18,100.189,100.268,45818WEK8=
2023-04-19,100.092,100.172,45818WEK8=
2023-04-20,100.355,100.434,45818WEK8=
2023-04-21,100.286,100.365,45818WEK8=
2023-04-24,100.516,100.595,45818WEK8=
2023-04-25,100.968,101.048,45818WEK8=
2023-04-26,100.817,100.897,45818WEK8=
2023-04-27,100.475,100.555,45818WEK8=
2023-04-28,100.73,100.81,45818WEK8=
2023-05-01,100.331,100.41,45818WEK8=
2023-05-02,100.852,100.931,45818WEK8=
2023-05-03,101.238,101.318,45818WEK8=
2023-05-04,101.384,101.464,45818WEK8=
2023-05-05,101.049,101.128,45818WEK8=
2023-05-08,101.032,101.111,45818WEK8=
2023-05-09,101.288,101.368,45818WEK8=
2023-05-10,101.661,101.741,45818WEK8=
2023-05-11,101.696,101.775,45818WEK8=
2023-05-12,101.06,101.139,45818WEK8=
2023-05-15,101.278,101.356,45818WEK8=
2023-05-16,101.131,101.209,45818WEK8=
2023-05-17,100.682,100.76,45818WEK8=
2023-05-18,100.5,100.578,45818WEK8=
2023-05-19,100.403,100.48,45818WEK8=
2023-05-22,100.365,100.442,45818WEK8=
2023-05-23,100.4,100.478,45818WEK8=
2023-05-24,100.063,100.14,45818WEK8=
2023-05-25,99.665,99.792,45818WEK8=
2023-05-26,99.777,99.903,45818WEK8=
2023-05-29,99.733,99.86,45818WEK8=
2023-05-30,100.208,100.284,45818WEK8=
2023-05-31,100.379,100.455,45818WEK8=
2023-06-01,100.558,100.635,45818WEK8=
2023-06-02,100.106,100.182,45818WEK8=
2023-06-05,100.283,100.359,45818WEK8=
2023-06-06,100.223,100.299,45818WEK8=
2023-06-07,99.72,99.846,45818WEK8=
2023-06-08,99.885,100.004,45818WEK8=
2023-06-09,99.692,99.818,45818WEK8=
2023-06-12,99.717,99.842,45818WEK8=
2023-06-13,99.451,99.577,45818WEK8=
2023-06-14,99.076,99.201,45818WEK8=
2023-06-15,99.261,99.386,45818WEK8=
2023-06-16,99.061,99.185,45818WEK8=
2023-06-19,99.114,99.238,45818WEK8=
2023-06-20,99.363,99.488,45818WEK8=
2023-06-21,99.292,99.416,45818WEK8=
2023-06-22,99.071,99.195,45818WEK8=
2023-06-23,99.21,99.541,45818WEK8=
2023-06-26,99.248,99.568,45818WEK8=
2023-06-27,99.04,99.361,45818WEK8=
2023-06-28,99.217,99.539,45818WEK8=
2023-06-29,98.769,99.097,45818WEK8=
2023-06-30,98.667,99.001,45818WEK8=
2023-07-03,98.548,98.891,45818WEK8=
2023-07-04,98.611,98.954,45818WEK8=
2023-07-05,98.445,98.787,45818WEK8=
2023-07-07,98.366,98.714,45818WEK8=
2023-07-10,98.74,99.109,45818WEK8=
2023-07-11,98.704,99.073,45818WEK8=
2023-07-12,99.366,99.725,45818WEK8=
2023-07-13,99.742,100.101,45818WEK8=
2023-07-14,99.391,99.752,45818WEK8=
2023-07-17,99.378,99.747,45818WEK8=
2023-07-18,99.454,99.808,45818WEK8=
2023-07-19,99.475,99.829,45818WEK8=
2023-07-20,99.121,99.5,45818WEK8=
2023-07-21,99.146,99.538,45818WEK8=
