Date,BID,ASK,RIC
2012-08-06,97.2883,98.2883,4581X0BX5=
2012-08-07,95.9984,96.9984,4581X0BX5=
2012-08-08,95.4391,96.4391,4581X0BX5=
2012-08-09,95.3014,96.3014,4581X0BX5=
2012-08-10,95.7878,96.7878,4581X0BX5=
2012-08-13,95.665,96.665,4581X0BX5=
2012-08-14,95.897,96.897,4581X0BX5=
2012-08-15,94.275,95.275,4581X0BX5=
2012-08-16,93.6804,94.6804,4581X0BX5=
2012-08-17,94.1305,95.1305,4581X0BX5=
2012-08-20,94.1385,95.1385,4581X0BX5=
2012-08-21,94.5661,95.5661,4581X0BX5=
2012-08-22,96.2461,97.2461,4581X0BX5=
2012-08-23,96.6489,97.6489,4581X0BX5=
2012-08-24,96.4147,97.4147,4581X0BX5=
2012-08-27,97.1041,98.1041,4581X0BX5=
2012-08-30,97.3566,98.3566,4581X0BX5=
2012-08-31,98.8464,99.8464,4581X0BX5=
2012-09-03,98.7222,99.7222,4581X0BX5=
2012-09-04,98.5908,99.5908,4581X0BX5=
2012-09-05,98.1136,99.1136,4581X0BX5=
2012-09-06,96.4204,97.4204,4581X0BX5=
2012-09-07,96.0514,97.0514,4581X0BX5=
2012-09-10,95.6563,96.6563,4581X0BX5=
2012-09-12,94.2799,95.2799,4581X0BX5=
2012-09-14,91.2491,92.2491,4581X0BX5=
2012-09-17,92.2025,93.2025,4581X0BX5=
2012-09-18,92.6836,93.6836,4581X0BX5=
2012-09-19,93.4971,94.4971,4581X0BX5=
2012-09-20,93.8018,94.8018,4581X0BX5=
2012-09-21,93.7636,94.7636,4581X0BX5=
2012-09-24,94.5954,95.5954,4581X0BX5=
2012-09-25,95.4881,96.4881,4581X0BX5=
2012-09-26,97.7081,98.7081,4581X0BX5=
2012-09-27,96.5434,97.5434,4581X0BX5=
2012-09-28,96.8941,97.8941,4581X0BX5=
2012-10-01,97.0709,98.0709,4581X0BX5=
2012-10-02,97.0367,98.0367,4581X0BX5=
2012-10-03,96.9967,97.9967,4581X0BX5=
2012-10-04,95.7189,96.7189,4581X0BX5=
2012-10-05,94.269,95.269,4581X0BX5=
2012-10-08,94.2713,95.2713,4581X0BX5=
2012-10-09,95.079,96.079,4581X0BX5=
2012-10-10,95.7927,96.7927,4581X0BX5=
2012-10-11,96.4739,97.4739,4581X0BX5=
2012-10-12,96.7378,97.7378,4581X0BX5=
2012-10-15,96.4411,97.4411,4581X0BX5=
2012-10-16,95.2058,96.2058,4581X0BX5=
