Date,BID,ASK,RIC
2020-03-31,100.7402,101.4815,4581X0DL9=
2020-04-01,100.75,101.4914,4581X0DL9=
2020-04-02,100.6358,101.3751,4581X0DL9=
2020-04-03,100.7287,101.4683,4581X0DL9=
2020-04-06,100.4343,101.1711,4581X0DL9=
2020-04-07,100.4243,100.6201,4581X0DL9=
2020-04-08,100.36,100.5552,4581X0DL9=
2020-04-09,100.6526,100.8483,4581X0DL9=
2020-04-10,100.751,100.9469,4581X0DL9=
2020-04-13,100.4863,100.6816,4581X0DL9=
2020-04-14,100.5933,100.7887,4581X0DL9=
2020-04-15,100.9594,101.1555,4581X0DL9=
2020-04-16,100.9872,101.183,4581X0DL9=
2020-04-17,101.0062,101.2019,4581X0DL9=
2020-04-20,101.0447,101.2404,4581X0DL9=
2020-04-21,101.1859,101.3818,4581X0DL9=
2020-04-22,101.0143,101.2097,4581X0DL9=
2020-04-23,101.0321,101.2273,4581X0DL9=
2020-04-24,101.1143,101.3095,4581X0DL9=
2020-04-27,100.9579,101.1527,4581X0DL9=
2020-04-28,101.2105,101.4057,4581X0DL9=
2020-04-29,101.2879,101.4832,4581X0DL9=
2020-04-30,101.3929,101.5881,4581X0DL9=
2020-05-01,101.4116,101.6067,4581X0DL9=
2020-05-04,101.4205,101.6155,4581X0DL9=
2020-05-05,101.4003,101.5952,4581X0DL9=
2020-05-06,101.3606,101.5553,4581X0DL9=
2020-05-07,101.8352,102.0306,4581X0DL9=
2020-05-08,101.5907,101.7854,4581X0DL9=
2020-05-11,101.5121,101.7066,4581X0DL9=
2020-05-12,101.6764,101.8711,4581X0DL9=
2020-05-13,101.6657,101.8603,4581X0DL9=
2020-05-14,101.7551,101.9495,4581X0DL9=
2020-05-15,101.7008,101.895,4581X0DL9=
2020-05-18,101.4046,101.5981,4581X0DL9=
2020-05-19,101.5826,101.7764,4581X0DL9=
2020-05-20,101.5431,101.7367,4581X0DL9=
2020-05-21,101.5299,101.723,4581X0DL9=
2020-05-22,101.5869,101.78,4581X0DL9=
2020-05-25,101.5521,101.7451,4581X0DL9=
2020-05-26,101.4656,101.6583,4581X0DL9=
2020-05-27,101.4888,101.6815,4581X0DL9=
2020-05-28,101.5112,101.7037,4581X0DL9=
2020-05-29,101.6739,101.8667,4581X0DL9=
2020-06-01,101.6922,101.8849,4581X0DL9=
2020-06-02,101.6287,101.8211,4581X0DL9=
2020-06-03,101.3831,101.5749,4581X0DL9=
2020-06-04,101.0276,101.2183,4581X0DL9=
2020-06-05,101.0032,101.1938,4581X0DL9=
2020-06-08,101.0169,101.2074,4581X0DL9=
2020-06-09,101.3116,101.5026,4581X0DL9=
2020-06-10,101.6117,101.8032,4581X0DL9=
2020-06-11,101.6806,101.872,4581X0DL9=
2020-06-12,101.6176,101.8087,4581X0DL9=
2020-06-15,101.5261,101.7169,4581X0DL9=
2020-06-16,101.6014,101.7923,4581X0DL9=
2020-06-17,101.5148,101.7054,4581X0DL9=
2020-06-18,101.5597,101.7501,4581X0DL9=
2020-06-19,101.6967,101.8872,4581X0DL9=
2020-06-22,101.5342,101.7243,4581X0DL9=
2020-06-23,101.5713,101.7614,4581X0DL9=
2020-06-24,101.7318,101.9221,4581X0DL9=
2020-06-25,101.6103,101.8,4581X0DL9=
2020-06-26,101.8464,102.0365,4581X0DL9=
2020-06-29,101.926,102.1161,4581X0DL9=
2020-06-30,101.8158,102.0056,4581X0DL9=
2020-07-01,101.7407,101.9299,4581X0DL9=
2020-07-02,101.9055,102.0949,4581X0DL9=
2020-07-03,101.9055,102.0949,4581X0DL9=
2020-07-06,101.7954,101.9845,4581X0DL9=
2020-07-07,101.9597,102.149,4581X0DL9=
2020-07-08,101.8735,102.0626,4581X0DL9=
2020-07-09,102.0637,102.2528,4581X0DL9=
2020-07-10,101.775,101.9634,4581X0DL9=
2020-07-13,102.0,102.1888,4581X0DL9=
2020-07-14,101.9753,102.1639,4581X0DL9=
2020-07-15,101.9412,102.1296,4581X0DL9=
2020-07-16,101.9801,102.1683,4581X0DL9=
2020-07-17,101.9742,102.1623,4581X0DL9=
2020-07-20,101.9167,102.1045,4581X0DL9=
2020-07-21,102.1174,102.3055,4581X0DL9=
2020-07-22,101.9895,102.1773,4581X0DL9=
2020-07-23,102.0656,102.2532,4581X0DL9=
2020-07-24,102.0785,102.266,4581X0DL9=
2020-07-27,101.8809,102.0679,4581X0DL9=
2020-07-28,102.0713,102.2586,4581X0DL9=
2020-07-29,102.1719,102.3594,4581X0DL9=
2020-07-30,102.2406,102.4279,4581X0DL9=
2020-07-31,102.3375,102.5249,4581X0DL9=
2020-08-03,102.2847,102.4719,4581X0DL9=
2020-08-04,102.4611,102.6485,4581X0DL9=
2020-08-05,102.268,102.4549,4581X0DL9=
2020-08-06,102.2547,102.3946,4581X0DL9=
2020-08-07,102.1788,102.3185,4581X0DL9=
2020-08-10,102.2473,102.387,4581X0DL9=
