Date,BID,ASK,RIC
2020-08-26,99.9426,100.0382,4581X0DP0=
2020-08-27,99.7644,99.8598,4581X0DP0=
2020-08-28,100.0031,100.0988,4581X0DP0=
2020-08-31,99.9394,100.035,4581X0DP0=
2020-09-01,99.8758,99.9713,4581X0DP0=
2020-09-02,99.8982,99.9936,4581X0DP0=
2020-09-03,99.9397,100.0348,4581X0DP0=
2020-09-04,99.8796,99.9746,4581X0DP0=
2020-09-07,99.9122,100.0072,4581X0DP0=
2020-09-08,99.8418,99.9367,4581X0DP0=
2020-09-09,99.8356,99.9304,4581X0DP0=
2020-09-10,99.8675,99.9621,4581X0DP0=
2020-09-11,99.9023,99.9968,4581X0DP0=
2020-09-14,99.8615,99.9559,4581X0DP0=
2020-09-15,99.8302,99.9245,4581X0DP0=
2020-09-16,99.8303,99.9245,4581X0DP0=
2020-09-17,99.8464,99.9404,4581X0DP0=
2020-09-18,99.7903,99.8841,4581X0DP0=
2020-09-21,99.8467,99.9405,4581X0DP0=
2020-09-22,99.8624,99.9561,4581X0DP0=
2020-09-23,99.8064,99.9,4581X0DP0=
2020-09-24,99.8225,99.9159,4581X0DP0=
2020-09-25,99.832,99.9253,4581X0DP0=
2020-09-28,99.8166,99.9098,4581X0DP0=
2020-09-29,99.8478,99.9409,4581X0DP0=
2020-09-30,99.7921,99.8851,4581X0DP0=
2020-10-01,99.8174,99.9102,4581X0DP0=
2020-10-02,99.7281,99.8207,4581X0DP0=
2020-10-05,99.6944,99.7869,4581X0DP0=
2020-10-06,99.7501,99.8426,4581X0DP0=
2020-10-07,99.7595,99.8519,4581X0DP0=
2020-10-08,99.7665,99.8586,4581X0DP0=
2020-10-09,99.7453,99.8373,4581X0DP0=
2020-10-12,99.7601,99.8521,4581X0DP0=
2020-10-13,99.8251,99.9171,4581X0DP0=
2020-10-14,99.8253,99.9172,4581X0DP0=
2020-10-15,99.7861,99.8777,4581X0DP0=
2020-10-16,99.8015,99.893,4581X0DP0=
2020-10-19,99.7834,99.8748,4581X0DP0=
2020-10-20,99.7836,99.8749,4581X0DP0=
2020-10-21,99.7686,99.8598,4581X0DP0=
2020-10-22,99.7298,99.8207,4581X0DP0=
2020-10-23,99.8119,99.9029,4581X0DP0=
2020-10-26,99.8363,99.9272,4581X0DP0=
2020-10-27,99.8606,99.9514,4581X0DP0=
2020-10-28,99.8698,99.9606,4581X0DP0=
2020-10-29,99.8067,99.8972,4581X0DP0=
2020-10-30,99.7617,99.8521,4581X0DP0=
2020-11-02,99.792,99.8824,4581X0DP0=
2020-11-03,99.7501,99.8403,4581X0DP0=
2020-11-04,99.8314,99.9216,4581X0DP0=
2020-11-05,99.8529,99.9429,4581X0DP0=
2020-11-06,99.7512,99.841,4581X0DP0=
2020-11-09,99.7158,99.8054,4581X0DP0=
2020-11-10,99.7221,99.8116,4581X0DP0=
2020-11-12,99.7853,99.8747,4581X0DP0=
2020-11-13,99.7707,99.86,4581X0DP0=
2020-11-16,99.7798,99.869,4581X0DP0=
2020-11-17,99.8394,99.9286,4581X0DP0=
2020-11-18,99.795,99.884,4581X0DP0=
2020-11-19,99.8281,99.9169,4581X0DP0=
2020-11-20,99.8874,99.9762,4581X0DP0=
2020-11-23,99.8285,99.9172,4581X0DP0=
2020-11-24,99.8288,99.9173,4581X0DP0=
2020-11-25,99.8822,99.9705,4581X0DP0=
2020-11-26,99.9044,99.9927,4581X0DP0=
2020-11-27,99.9205,100.0088,4581X0DP0=
2020-11-30,99.9735,100.0617,4581X0DP0=
2020-12-01,99.9089,99.997,4581X0DP0=
2020-12-02,99.8387,99.9266,4581X0DP0=
2020-12-03,99.9063,99.994,4581X0DP0=
2020-12-04,99.8685,99.9561,4581X0DP0=
2020-12-07,99.9153,100.0029,4581X0DP0=
2020-12-08,99.892,99.9795,4581X0DP0=
2020-12-09,99.8659,99.9533,4581X0DP0=
2020-12-10,99.9244,100.0116,4581X0DP0=
2020-12-11,100.0087,100.0959,4581X0DP0=
2020-12-14,100.0435,100.1306,4581X0DP0=
2020-12-15,100.0144,100.1014,4581X0DP0=
2020-12-16,100.0086,100.0955,4581X0DP0=
2020-12-17,99.9566,100.0432,4581X0DP0=
2020-12-18,99.9999,100.0865,4581X0DP0=
2020-12-21,99.9711,100.0576,4581X0DP0=
2020-12-22,100.0287,100.1152,4581X0DP0=
2020-12-23,100.0229,100.109,4581X0DP0=
2020-12-24,100.0372,100.1233,4581X0DP0=
2020-12-28,100.0658,100.1518,4581X0DP0=
2020-12-29,100.0479,100.1339,4581X0DP0=
2020-12-30,100.0656,100.1513,4581X0DP0=
2020-12-31,100.0626,100.1482,4581X0DP0=
2021-01-04,100.0797,100.1652,4581X0DP0=
2021-01-05,100.0198,100.1052,4581X0DP0=
2021-01-06,99.9971,100.0824,4581X0DP0=
2021-01-07,99.9405,100.0255,4581X0DP0=
2021-01-08,99.9292,100.0141,4581X0DP0=
2021-01-11,99.8954,99.9802,4581X0DP0=
2021-01-12,99.9294,100.0141,4581X0DP0=
2021-01-13,99.9069,99.9915,4581X0DP0=
2021-01-14,99.9241,100.0084,4581X0DP0=
2021-01-15,99.9578,100.042,4581X0DP0=
2021-01-18,99.9633,100.0475,4581X0DP0=
2021-01-19,100.0196,100.1038,4581X0DP0=
2021-01-20,100.0308,100.1149,4581X0DP0=
2021-01-21,100.0419,100.1258,4581X0DP0=
2021-01-22,100.0139,100.0977,4581X0DP0=
2021-01-25,100.0529,100.1367,4581X0DP0=
2021-01-26,100.0473,100.131,4581X0DP0=
2021-01-27,100.064,100.1476,4581X0DP0=
2021-01-28,99.9972,100.0806,4581X0DP0=
2021-01-29,100.0471,100.1304,4581X0DP0=
2021-02-01,100.0194,100.1026,4581X0DP0=
2021-02-02,100.0193,100.1024,4581X0DP0=
2021-02-03,100.0027,100.0857,4581X0DP0=
2021-02-04,99.9917,100.0745,4581X0DP0=
2021-02-05,100.0413,100.124,4581X0DP0=
2021-02-08,100.0137,100.0963,4581X0DP0=
2021-02-09,100.0027,100.0852,4581X0DP0=
2021-02-10,100.0522,100.1347,4581X0DP0=
2021-02-11,100.0574,100.1396,4581X0DP0=
2021-02-12,100.0246,100.1067,4581X0DP0=
2021-02-15,100.0082,100.0903,4581X0DP0=
2021-02-16,99.9372,100.0191,4581X0DP0=
2021-02-17,100.0081,100.09,4581X0DP0=
2021-02-18,100.0027,100.0843,4581X0DP0=
2021-02-19,100.0027,100.0843,4581X0DP0=
2021-02-22,99.9375,100.0189,4581X0DP0=
2021-02-23,99.943,100.0243,4581X0DP0=
2021-02-24,99.9052,99.9864,4581X0DP0=
2021-02-25,99.8169,99.8976,4581X0DP0=
2021-02-26,99.7875,99.8681,4581X0DP0=
2021-03-01,99.8361,99.9167,4581X0DP0=
2021-03-02,99.8845,99.965,4581X0DP0=
2021-03-03,99.7775,99.8578,4581X0DP0=
2021-03-04,99.7622,99.8423,4581X0DP0=
2021-03-05,99.7304,99.8104,4581X0DP0=
2021-03-08,99.6615,99.7413,4581X0DP0=
2021-03-09,99.6725,99.7522,4581X0DP0=
2021-03-10,99.7685,99.8483,4581X0DP0=
2021-03-11,99.801,99.8805,4581X0DP0=
2021-03-12,99.7377,99.8171,4581X0DP0=
2021-03-15,99.7274,99.8067,4581X0DP0=
2021-03-16,99.7277,99.8069,4581X0DP0=
2021-03-17,99.8493,99.9286,4581X0DP0=
2021-03-18,99.8235,99.9025,4581X0DP0=
2021-03-19,99.8079,99.8868,4581X0DP0=
2021-03-22,99.7871,99.8659,4581X0DP0=
2021-03-23,99.7978,99.8765,4581X0DP0=
2021-03-24,99.8164,99.895,4581X0DP0=
2021-03-25,99.8457,99.9241,4581X0DP0=
2021-03-26,99.8093,99.8876,4581X0DP0=
2021-03-29,99.7571,99.8354,4581X0DP0=
2021-03-30,99.7444,99.8226,4581X0DP0=
2021-03-31,99.7092,99.787,4581X0DP0=
2021-04-01,99.7354,99.8131,4581X0DP0=
2021-04-02,99.6732,99.7509,4581X0DP0=
2021-04-05,99.7149,99.7925,4581X0DP0=
2021-04-06,99.7333,99.8109,4581X0DP0=
2021-04-07,99.7801,99.8576,4581X0DP0=
2021-04-08,99.7911,99.8684,4581X0DP0=
2021-04-09,99.7708,99.848,4581X0DP0=
2021-04-12,99.7145,99.7916,4581X0DP0=
2021-04-13,99.7661,99.8431,4581X0DP0=
2021-04-14,99.7612,99.8381,4581X0DP0=
2021-04-15,99.7876,99.8643,4581X0DP0=
2021-04-16,99.7878,99.8644,4581X0DP0=
2021-04-19,99.7931,99.8697,4581X0DP0=
2021-04-20,99.8647,99.9412,4581X0DP0=
2021-04-21,99.8802,99.9567,4581X0DP0=
2021-04-22,99.8755,99.9517,4581X0DP0=
2021-04-23,99.8502,99.9263,4581X0DP0=
2021-04-26,99.7972,99.8732,4581X0DP0=
2021-04-27,99.7671,99.843,4581X0DP0=
2021-04-28,99.8078,99.8836,4581X0DP0=
2021-04-29,99.8134,99.889,4581X0DP0=
2021-04-30,99.8187,99.8942,4581X0DP0=
2021-05-03,99.8189,99.8943,4581X0DP0=
2021-05-04,99.8442,99.9196,4581X0DP0=
2021-05-05,99.8619,99.9372,4581X0DP0=
2021-05-06,99.8574,99.9324,4581X0DP0=
2021-05-07,99.8775,99.9525,4581X0DP0=
2021-05-10,99.8627,99.9376,4581X0DP0=
2021-05-11,99.8977,99.9725,4581X0DP0=
2021-05-12,99.8829,99.9576,4581X0DP0=
2021-05-13,99.8783,99.9528,4581X0DP0=
2021-05-14,99.8983,99.9727,4581X0DP0=
2021-05-17,99.8885,99.9628,4581X0DP0=
2021-05-18,99.8936,99.9678,4581X0DP0=
2021-05-19,99.8591,99.9332,4581X0DP0=
2021-05-20,99.8842,99.9581,4581X0DP0=
2021-05-21,99.8696,99.9434,4581X0DP0=
2021-05-24,99.8746,99.9483,4581X0DP0=
2021-05-25,99.914,99.9877,4581X0DP0=
2021-05-26,99.9068,99.9804,4581X0DP0=
2021-05-27,99.9389,100.0123,4581X0DP0=
2021-05-28,99.9438,100.0171,4581X0DP0=
2021-05-31,99.9303,100.0036,4581X0DP0=
2021-06-01,99.9341,100.0073,4581X0DP0=
2021-06-02,99.9293,100.0024,4581X0DP0=
2021-06-03,99.9028,99.9756,4581X0DP0=
2021-06-04,99.9296,100.0024,4581X0DP0=
2021-06-07,99.9346,100.0073,4581X0DP0=
2021-06-08,99.9395,100.0121,4581X0DP0=
2021-06-09,99.9347,100.0072,4581X0DP0=
2021-06-10,99.959,100.0313,4581X0DP0=
2021-06-11,100.0024,100.0747,4581X0DP0=
2021-06-14,99.9735,100.0457,4581X0DP0=
2021-06-15,99.9448,100.0169,4581X0DP0=
2021-06-16,99.8873,99.9592,4581X0DP0=
2021-06-17,99.754,99.8256,4581X0DP0=
2021-06-18,99.6615,99.7329,4581X0DP0=
2021-06-21,99.6761,99.7474,4581X0DP0=
2021-06-22,99.686,99.7573,4581X0DP0=
2021-06-23,99.6342,99.7053,4581X0DP0=
2021-06-24,99.6449,99.7158,4581X0DP0=
2021-06-25,99.6265,99.6973,4581X0DP0=
2021-06-28,99.6835,99.7543,4581X0DP0=
2021-06-29,99.665,99.7357,4581X0DP0=
2021-06-30,99.7101,99.7807,4581X0DP0=
2021-07-01,99.6599,99.7301,4581X0DP0=
2021-07-02,99.7235,99.7937,4581X0DP0=
2021-07-05,99.7291,99.7993,4581X0DP0=
2021-07-06,99.7846,99.8548,4581X0DP0=
2021-07-07,99.8175,99.8876,4581X0DP0=
2021-07-08,99.7763,99.8461,4581X0DP0=
2021-07-09,99.8021,99.8719,4581X0DP0=
2021-07-12,99.7698,99.8395,4581X0DP0=
2021-07-13,99.6867,99.7562,4581X0DP0=
2021-07-14,99.7519,99.8214,4581X0DP0=
2021-07-15,99.7527,99.8219,4581X0DP0=
2021-07-16,99.7738,99.843,4581X0DP0=
2021-07-19,99.774,99.8431,4581X0DP0=
2021-07-20,99.7835,99.8525,4581X0DP0=
2021-07-21,99.793,99.8619,4581X0DP0=
2021-07-22,99.8349,99.9036,4581X0DP0=
2021-07-23,99.8168,99.8854,4581X0DP0=
2021-07-26,99.8216,99.8902,4581X0DP0=
2021-07-27,99.8698,99.9383,4581X0DP0=
2021-07-28,99.8517,99.9201,4581X0DP0=
2021-07-29,99.8793,99.9476,4581X0DP0=
2021-07-30,99.9136,99.9818,4581X0DP0=
2021-08-02,99.9636,100.0318,4581X0DP0=
2021-08-03,99.9274,99.9955,4581X0DP0=
2021-08-04,99.8822,99.9501,4581X0DP0=
2021-08-05,99.8375,99.9052,4581X0DP0=
2021-08-06,99.8602,99.9278,4581X0DP0=
2021-08-09,99.7929,99.8604,4581X0DP0=
2021-08-10,99.7797,99.8471,4581X0DP0=
2021-08-11,99.8181,99.8854,4581X0DP0=
2021-08-12,99.8054,99.8725,4581X0DP0=
2021-08-13,99.8458,99.9128,4581X0DP0=
2021-08-16,99.8371,99.904,4581X0DP0=
2021-08-17,99.8506,99.9174,4581X0DP0=
2021-08-18,99.8063,99.873,4581X0DP0=
2021-08-19,99.8403,99.9068,4581X0DP0=
2021-08-20,99.7874,99.8538,4581X0DP0=
2021-08-23,99.7832,99.8495,4581X0DP0=
2021-08-24,99.8144,99.8806,4581X0DP0=
2021-08-25,99.8212,99.8874,4581X0DP0=
2021-08-26,99.8175,99.8834,4581X0DP0=
2021-08-27,99.9179,99.9839,4581X0DP0=
2021-08-30,99.9275,99.9934,4581X0DP0=
2021-08-31,99.8662,99.932,4581X0DP0=
2021-09-01,99.8445,99.9102,4581X0DP0=
2021-09-02,99.891,99.9564,4581X0DP0=
2021-09-03,99.8955,99.9608,4581X0DP0=
2021-09-06,99.904,99.9693,4581X0DP0=
2021-09-07,99.8652,99.9304,4581X0DP0=
2021-09-08,99.874,99.9391,4581X0DP0=
2021-09-09,99.8832,99.9481,4581X0DP0=
2021-09-10,99.8811,99.9459,4581X0DP0=
2021-09-13,99.864,99.9287,4581X0DP0=
2021-09-14,99.8944,99.959,4581X0DP0=
2021-09-15,99.8859,99.9505,4581X0DP0=
2021-09-16,99.8692,99.9335,4581X0DP0=
2021-09-17,99.8587,99.9229,4581X0DP0=
2021-09-20,99.8802,99.9443,4581X0DP0=
2021-09-21,99.9402,100.0043,4581X0DP0=
2021-09-22,99.8294,99.8933,4581X0DP0=
2021-09-23,99.7643,99.8279,4581X0DP0=
2021-09-24,99.7371,99.8006,4581X0DP0=
2021-09-27,99.7036,99.767,4581X0DP0=
