Date,BID,ASK,RIC
2021-04-15,99.703,100.191,4581X0DV7=
2021-04-16,99.698,99.844,4581X0DV7=
2021-04-19,99.713,99.859,4581X0DV7=
2021-04-20,99.937,100.083,4581X0DV7=
2021-04-21,99.917,100.063,4581X0DV7=
2021-04-22,99.956,100.102,4581X0DV7=
2021-04-23,99.752,99.898,4581X0DV7=
2021-04-26,99.719,99.864,4581X0DV7=
2021-04-27,99.535,99.68,4581X0DV7=
2021-04-28,99.917,100.063,4581X0DV7=
2021-04-29,99.942,100.087,4581X0DV7=
2021-04-30,99.932,100.077,4581X0DV7=
2021-05-03,100.048,100.194,4581X0DV7=
2021-05-04,99.981,100.126,4581X0DV7=
2021-05-05,100.106,100.252,4581X0DV7=
2021-05-06,100.058,100.203,4581X0DV7=
2021-05-07,100.005,100.15,4581X0DV7=
2021-05-10,99.942,100.087,4581X0DV7=
2021-05-11,100.106,100.251,4581X0DV7=
2021-05-12,99.908,100.053,4581X0DV7=
2021-05-13,100.029,100.173,4581X0DV7=
2021-05-14,100.082,100.226,4581X0DV7=
2021-05-17,99.899,100.043,4581X0DV7=
2021-05-18,99.981,100.125,4581X0DV7=
2021-05-19,99.794,99.938,4581X0DV7=
2021-05-20,99.904,100.048,4581X0DV7=
2021-05-21,99.914,100.057,4581X0DV7=
2021-05-24,100.009,100.153,4581X0DV7=
2021-05-25,100.292,100.436,4581X0DV7=
2021-05-26,100.254,100.398,4581X0DV7=
2021-05-27,100.244,100.387,4581X0DV7=
2021-05-28,100.305,100.449,4581X0DV7=
2021-05-31,100.29,100.433,4581X0DV7=
2021-06-01,100.296,100.44,4581X0DV7=
2021-06-02,100.344,100.487,4581X0DV7=
2021-06-03,99.976,100.119,4581X0DV7=
2021-06-14,100.194,100.337,4581X0DV7=
2021-06-15,100.313,100.455,4581X0DV7=
2021-06-16,99.943,100.085,4581X0DV7=
2021-06-17,99.915,100.057,4581X0DV7=
2021-06-18,99.849,99.99,4581X0DV7=
2021-06-21,99.891,100.033,4581X0DV7=
2021-06-22,100.0,100.141,4581X0DV7=
2021-06-23,99.788,99.929,4581X0DV7=
2021-06-24,99.864,100.004,4581X0DV7=
2021-06-25,99.634,99.775,4581X0DV7=
2021-06-28,99.995,100.136,4581X0DV7=
2021-06-29,99.972,100.113,4581X0DV7=
2021-06-30,99.972,100.112,4581X0DV7=
2021-07-01,99.916,100.056,4581X0DV7=
2021-07-02,100.112,100.253,4581X0DV7=
2021-07-05,100.137,100.277,4581X0DV7=
2021-07-06,100.464,100.605,4581X0DV7=
2021-07-07,100.468,100.609,4581X0DV7=
2021-07-08,100.538,100.679,4581X0DV7=
2021-07-09,100.411,100.552,4581X0DV7=
2021-07-12,100.369,100.509,4581X0DV7=
2021-07-13,100.135,100.275,4581X0DV7=
2021-07-14,100.42,100.56,4581X0DV7=
2021-07-15,100.489,100.629,4581X0DV7=
2021-07-16,100.531,100.671,4581X0DV7=
2021-07-19,100.685,100.825,4581X0DV7=
2021-07-20,100.605,100.745,4581X0DV7=
2021-07-21,100.399,100.539,4581X0DV7=
2021-07-22,100.813,100.953,4581X0DV7=
2021-07-23,100.664,100.803,4581X0DV7=
2021-07-26,100.635,100.775,4581X0DV7=
2021-07-27,100.672,100.812,4581X0DV7=
2021-07-28,100.746,100.886,4581X0DV7=
2021-07-29,100.662,100.801,4581X0DV7=
2021-07-30,100.884,101.024,4581X0DV7=
2021-08-02,101.065,101.205,4581X0DV7=
2021-08-03,100.962,101.102,4581X0DV7=
2021-08-04,100.605,100.744,4581X0DV7=
2021-08-05,100.594,100.733,4581X0DV7=
2021-08-06,100.465,100.603,4581X0DV7=
2021-08-09,100.216,100.354,4581X0DV7=
2021-08-10,100.027,100.165,4581X0DV7=
2021-08-11,100.266,100.404,4581X0DV7=
2021-08-12,100.215,100.353,4581X0DV7=
2021-08-13,100.499,100.637,4581X0DV7=
2021-08-16,100.513,100.651,4581X0DV7=
