Date,BID,ASK,RIC
2021-07-15,100.0201,100.2218,4581X0DX3=
2021-07-16,100.0201,100.2218,4581X0DX3=
2021-07-19,100.3564,100.5587,4581X0DX3=
2021-07-20,100.0402,100.2418,4581X0DX3=
2021-07-21,99.7255,99.9263,4581X0DX3=
2021-07-22,100.1676,100.3691,4581X0DX3=
2021-07-23,100.1205,100.3219,4581X0DX3=
2021-07-26,100.1071,100.3083,4581X0DX3=
2021-07-27,100.3082,100.5098,4581X0DX3=
2021-07-28,100.3886,100.5903,4581X0DX3=
2021-07-29,100.1537,100.3547,4581X0DX3=
2021-07-30,100.4889,100.6906,4581X0DX3=
2021-08-02,100.8789,101.0814,4581X0DX3=
2021-08-03,100.8111,101.0134,4581X0DX3=
2021-08-04,100.1334,100.3341,4581X0DX3=
2021-08-05,100.327,100.5279,4581X0DX3=
2021-08-06,100.0332,100.2334,4581X0DX3=
2021-08-09,99.6807,99.88,4581X0DX3=
2021-08-10,99.2969,99.4953,4581X0DX3=
2021-08-11,99.469,99.6677,4581X0DX3=
2021-08-12,99.5622,99.7609,4581X0DX3=
2021-08-13,100.1461,100.346,4581X0DX3=
2021-08-16,100.0529,100.2525,4581X0DX3=
2021-08-17,100.1726,100.3724,4581X0DX3=
2021-08-18,100.0861,100.2856,4581X0DX3=
2021-08-19,100.1258,100.3252,4581X0DX3=
2021-08-20,99.7483,99.9468,4581X0DX3=
2021-08-23,100.0726,100.2717,4581X0DX3=
2021-08-24,99.8278,100.0263,4581X0DX3=
2021-08-25,99.4652,99.6628,4581X0DX3=
2021-08-26,99.4067,99.604,4581X0DX3=
2021-08-27,100.0495,100.2482,4581X0DX3=
2021-08-30,100.132,100.3308,4581X0DX3=
2021-08-31,99.8018,99.9998,4581X0DX3=
2021-09-01,99.8546,100.0526,4581X0DX3=
2021-09-02,99.914,100.1118,4581X0DX3=
2021-09-03,99.8022,99.9997,4581X0DX3=
2021-09-06,99.7124,99.9097,4581X0DX3=
2021-09-07,99.5004,99.6972,4581X0DX3=
2021-09-08,99.6973,99.8944,4581X0DX3=
2021-09-09,100.026,100.2236,4581X0DX3=
2021-09-10,99.5406,99.7371,4581X0DX3=
2021-09-13,99.7961,99.9931,4581X0DX3=
2021-09-14,99.9274,100.1246,4581X0DX3=
2021-09-15,99.8684,100.0654,4581X0DX3=
2021-09-16,99.6134,99.8096,4581X0DX3=
2021-09-17,99.3593,99.5548,4581X0DX3=
2021-09-20,99.7313,99.9276,4581X0DX3=
2021-09-21,99.5291,99.7249,4581X0DX3=
2021-09-22,99.6858,99.8818,4581X0DX3=
2021-09-23,98.778,98.9718,4581X0DX3=
2021-09-24,98.714,98.9076,4581X0DX3=
2021-09-27,98.5407,98.7339,4581X0DX3=
2021-09-28,98.3421,98.5348,4581X0DX3=
2021-09-29,98.3684,98.561,4581X0DX3=
2021-09-30,98.8328,99.0262,4581X0DX3=
2021-10-01,98.9364,99.13,4581X0DX3=
2021-10-04,98.8466,99.0399,4581X0DX3=
2021-10-05,98.4747,98.6671,4581X0DX3=
2021-10-06,98.4945,98.6869,4581X0DX3=
2021-10-07,98.1458,98.3371,4581X0DX3=
2021-10-08,97.6321,97.8223,4581X0DX3=
2021-10-11,97.4216,97.6113,4581X0DX3=
2021-10-12,98.2173,98.4086,4581X0DX3=
2021-10-13,98.4347,98.6264,4581X0DX3=
2021-10-14,98.4111,98.6025,4581X0DX3=
2021-10-15,97.8464,98.0366,4581X0DX3=
2021-10-18,97.8282,98.0183,4581X0DX3=
2021-10-19,97.5196,97.7089,4581X0DX3=
2021-10-20,97.4135,97.6025,4581X0DX3=
2021-10-21,97.0339,97.2219,4581X0DX3=
2021-10-22,97.6693,97.8586,4581X0DX3=
2021-10-25,97.8468,98.0364,4581X0DX3=
2021-10-26,97.6397,97.8287,4581X0DX3=
2021-10-27,97.8485,98.0379,4581X0DX3=
2021-10-28,97.611,97.7998,4581X0DX3=
2021-10-29,97.8195,98.0086,4581X0DX3=
2021-11-01,97.8141,98.0031,4581X0DX3=
2021-11-02,97.9661,98.1554,4581X0DX3=
2021-11-03,97.3016,97.4894,4581X0DX3=
2021-11-04,98.2214,98.4109,4581X0DX3=
2021-11-05,98.7599,98.9505,4581X0DX3=
2021-11-08,98.0212,98.2102,4581X0DX3=
2021-11-09,98.4893,98.6791,4581X0DX3=
2021-11-10,97.4369,97.6242,4581X0DX3=
2021-11-11,97.1987,97.3855,4581X0DX3=
2021-11-12,97.5564,97.7439,4581X0DX3=
2021-11-15,97.1713,97.3579,4581X0DX3=
2021-11-16,97.0234,97.2096,4581X0DX3=
2021-11-17,97.7341,97.9218,4581X0DX3=
2021-11-18,97.6308,97.818,4581X0DX3=
2021-11-19,97.3642,97.5508,4581X0DX3=
2021-11-22,96.7094,96.8945,4581X0DX3=
2021-11-23,96.934,97.1194,4581X0DX3=
2021-11-24,96.9068,97.092,4581X0DX3=
2021-11-25,96.9355,97.1207,4581X0DX3=
2021-11-26,97.825,98.012,4581X0DX3=
2021-11-29,98.1127,98.3003,4581X0DX3=
2021-11-30,97.8827,98.0697,4581X0DX3=
2021-12-01,98.6462,98.8347,4581X0DX3=
2021-12-02,97.8178,98.0044,4581X0DX3=
2021-12-03,98.7864,98.9749,4581X0DX3=
2021-12-06,98.0246,98.2114,4581X0DX3=
2021-12-07,97.585,97.7708,4581X0DX3=
2021-12-08,97.5117,97.6973,4581X0DX3=
2021-12-09,97.5641,97.7496,4581X0DX3=
2021-12-10,97.9922,98.1785,4581X0DX3=
2021-12-13,98.2725,98.4593,4581X0DX3=
2021-12-14,97.8947,98.0807,4581X0DX3=
2021-12-15,98.0194,98.2055,4581X0DX3=
2021-12-16,98.5558,98.7428,4581X0DX3=
2021-12-17,98.345,98.5315,4581X0DX3=
2021-12-20,98.1968,98.3829,4581X0DX3=
2021-12-21,97.9068,98.0923,4581X0DX3=
2021-12-22,98.0274,98.2128,4581X0DX3=
2021-12-23,97.7633,97.9481,4581X0DX3=
2021-12-24,97.7608,97.9456,4581X0DX3=
2021-12-27,97.9735,98.1586,4581X0DX3=
2021-12-28,97.7897,97.9744,4581X0DX3=
2021-12-29,97.3207,97.5042,4581X0DX3=
2021-12-30,97.7749,97.9592,4581X0DX3=
2021-12-31,97.6951,97.8793,4581X0DX3=
2022-01-03,97.0242,97.2069,4581X0DX3=
2022-01-04,96.9829,97.1655,4581X0DX3=
2022-01-05,96.3725,96.5537,4581X0DX3=
2022-01-06,96.3468,96.5277,4581X0DX3=
2022-01-07,96.1618,96.3423,4581X0DX3=
2022-01-10,96.1694,96.3498,4581X0DX3=
2022-01-11,96.3633,96.544,4581X0DX3=
2022-01-12,96.1545,96.3347,4581X0DX3=
2022-01-13,96.4969,96.6775,4581X0DX3=
2022-01-14,95.6904,95.8693,4581X0DX3=
2022-01-17,95.423,95.6014,4581X0DX3=
2022-01-18,95.3355,95.5136,4581X0DX3=
2022-01-19,95.4917,95.6701,4581X0DX3=
2022-01-20,95.8418,96.0207,4581X0DX3=
2022-01-21,95.9924,96.1715,4581X0DX3=
2022-01-24,96.179,96.3584,4581X0DX3=
2022-01-25,95.9837,96.1626,4581X0DX3=
2022-01-26,95.25,95.4273,4581X0DX3=
2022-01-27,95.8724,96.0509,4581X0DX3=
2022-01-28,96.306,96.4853,4581X0DX3=
2022-01-31,95.9383,96.1168,4581X0DX3=
2022-02-01,95.9399,96.1183,4581X0DX3=
2022-02-02,95.9594,96.1378,4581X0DX3=
2022-02-03,95.4084,95.5854,4581X0DX3=
2022-02-07,94.9364,95.1123,4581X0DX3=
2022-02-08,94.687,94.8623,4581X0DX3=
2022-02-09,94.6075,94.7826,4581X0DX3=
2022-02-10,93.8372,94.0105,4581X0DX3=
2022-02-11,94.8435,95.0188,4581X0DX3=
2022-02-14,94.4207,94.595,4581X0DX3=
2022-02-15,94.1275,94.3012,4581X0DX3=
2022-02-16,94.2861,94.46,4581X0DX3=
2022-02-17,94.8057,94.9804,4581X0DX3=
2022-02-18,94.9532,95.1281,4581X0DX3=
