Date,BID,ASK,RIC
2022-09-15,98.264,98.869,4581X0EF1=
2022-09-16,98.355,98.961,4581X0EF1=
2022-09-19,98.073,98.253,4581X0EF1=
2022-09-20,97.618,97.798,4581X0EF1=
2022-09-21,97.697,97.876,4581X0EF1=
2022-09-22,96.636,96.813,4581X0EF1=
2022-09-23,96.596,96.773,4581X0EF1=
2022-09-26,95.166,95.34,4581X0EF1=
2022-09-27,94.983,95.156,4581X0EF1=
2022-09-28,96.44,96.617,4581X0EF1=
2022-09-29,96.221,96.397,4581X0EF1=
2022-09-30,95.878,96.053,4581X0EF1=
2022-10-03,97.112,97.289,4581X0EF1=
2022-10-04,97.207,97.385,4581X0EF1=
2022-10-05,96.495,96.672,4581X0EF1=
2022-10-06,95.835,96.009,4581X0EF1=
2022-10-07,95.448,95.622,4581X0EF1=
2022-10-10,95.103,95.276,4581X0EF1=
2022-10-11,95.178,95.351,4581X0EF1=
2022-10-12,95.682,95.856,4581X0EF1=
2022-10-13,95.323,95.496,4581X0EF1=
2022-10-14,94.905,95.077,4581X0EF1=
2022-10-17,94.97,95.142,4581X0EF1=
2022-10-18,95.034,95.207,4581X0EF1=
2022-10-19,94.254,94.425,4581X0EF1=
2022-10-21,94.103,94.273,4581X0EF1=
2022-10-24,94.014,94.184,4581X0EF1=
2022-10-25,94.954,95.126,4581X0EF1=
2022-10-26,95.329,95.501,4581X0EF1=
2022-10-27,95.788,95.961,4581X0EF1=
2022-10-28,95.219,95.391,4581X0EF1=
2022-10-31,94.684,94.855,4581X0EF1=
2022-11-01,94.538,94.708,4581X0EF1=
2022-11-02,94.5,94.67,4581X0EF1=
2022-11-03,94.886,95.057,4581X0EF1=
2022-11-04,94.99,95.161,4581X0EF1=
2022-11-07,94.007,94.176,4581X0EF1=
2022-11-08,94.704,94.874,4581X0EF1=
2022-11-09,95.063,95.234,4581X0EF1=
2022-11-10,96.766,96.94,4581X0EF1=
2022-11-11,96.543,96.717,4581X0EF1=
2022-11-14,96.396,96.57,4581X0EF1=
2022-11-15,96.606,96.78,4581X0EF1=
2022-11-16,96.996,97.17,4581X0EF1=
2022-11-17,96.362,96.535,4581X0EF1=
2022-11-18,96.168,96.34,4581X0EF1=
2022-11-21,96.071,96.244,4581X0EF1=
2022-11-22,96.258,96.431,4581X0EF1=
2022-11-23,96.694,96.867,4581X0EF1=
2022-11-24,96.873,97.047,4581X0EF1=
2022-11-25,96.758,96.932,4581X0EF1=
2022-11-28,97.223,97.397,4581X0EF1=
2022-11-29,96.622,96.795,4581X0EF1=
2022-11-30,97.574,97.749,4581X0EF1=
2022-12-01,98.219,98.395,4581X0EF1=
2022-12-02,98.266,98.442,4581X0EF1=
2022-12-05,97.299,97.473,4581X0EF1=
2022-12-06,97.619,97.794,4581X0EF1=
2022-12-07,98.303,98.479,4581X0EF1=
2022-12-08,97.698,97.873,4581X0EF1=
2022-12-09,97.16,97.334,4581X0EF1=
2022-12-12,97.0,97.173,4581X0EF1=
2022-12-13,97.753,97.928,4581X0EF1=
2022-12-14,98.127,98.302,4581X0EF1=
2022-12-15,97.936,98.111,4581X0EF1=
2022-12-16,97.792,97.966,4581X0EF1=
2022-12-19,97.29,97.463,4581X0EF1=
2022-12-20,96.791,96.963,4581X0EF1=
2022-12-21,96.878,97.05,4581X0EF1=
2022-12-22,96.636,96.808,4581X0EF1=
2022-12-23,96.518,96.689,4581X0EF1=
2022-12-27,95.985,96.155,4581X0EF1=
2022-12-28,95.879,96.049,4581X0EF1=
2022-12-29,96.172,96.342,4581X0EF1=
2022-12-30,95.789,95.959,4581X0EF1=
2023-01-02,96.038,96.208,4581X0EF1=
2023-01-03,96.294,96.464,4581X0EF1=
2023-01-04,96.67,96.841,4581X0EF1=
2023-01-05,96.999,97.17,4581X0EF1=
2023-01-06,98.201,98.375,4581X0EF1=
2023-01-09,98.532,98.707,4581X0EF1=
2023-01-10,98.156,98.33,4581X0EF1=
2023-01-11,98.568,98.742,4581X0EF1=
2023-01-12,99.117,99.292,4581X0EF1=
2023-01-13,98.78,98.954,4581X0EF1=
2023-01-16,98.591,98.765,4581X0EF1=
2023-01-17,98.473,98.647,4581X0EF1=
2023-01-18,99.862,100.038,4581X0EF1=
2023-01-19,99.534,99.709,4581X0EF1=
2023-01-20,99.05,99.224,4581X0EF1=
2023-01-23,98.725,98.899,4581X0EF1=
2023-01-24,99.039,99.213,4581X0EF1=
2023-01-25,99.173,99.348,4581X0EF1=
2023-01-26,98.606,98.78,4581X0EF1=
2023-01-27,98.73,98.903,4581X0EF1=
2023-01-30,98.492,98.665,4581X0EF1=
2023-01-31,98.579,98.752,4581X0EF1=
2023-02-01,99.245,99.419,4581X0EF1=
2023-02-02,99.315,99.49,4581X0EF1=
2023-02-03,98.495,98.513,4581X0EF1=
2023-02-06,97.57,97.588,4581X0EF1=
2023-02-07,97.282,97.299,4581X0EF1=
2023-02-08,97.606,97.624,4581X0EF1=
2023-02-09,97.212,97.23,4581X0EF1=
2023-02-10,96.813,96.831,4581X0EF1=
2023-02-13,96.95,96.967,4581X0EF1=
2023-02-14,96.485,96.503,4581X0EF1=
2023-02-15,96.313,96.331,4581X0EF1=
2023-02-16,96.03,96.047,4581X0EF1=
2023-02-17,96.198,96.215,4581X0EF1=
2023-02-20,95.977,95.994,4581X0EF1=
2023-02-21,95.402,95.42,4581X0EF1=
2023-02-22,95.476,95.493,4581X0EF1=
2023-02-23,95.674,95.691,4581X0EF1=
2023-02-24,95.368,95.385,4581X0EF1=
2023-02-27,95.438,95.456,4581X0EF1=
2023-02-28,95.33,95.348,4581X0EF1=
2023-03-01,94.971,94.988,4581X0EF1=
2023-03-02,94.596,94.613,4581X0EF1=
2023-03-03,94.93,94.947,4581X0EF1=
2023-03-06,94.97,94.987,4581X0EF1=
2023-03-07,94.83,94.848,4581X0EF1=
2023-03-08,94.691,94.708,4581X0EF1=
2023-03-09,95.52,95.537,4581X0EF1=
2023-03-10,96.463,96.48,4581X0EF1=
2023-03-13,97.673,97.691,4581X0EF1=
2023-03-14,96.875,96.893,4581X0EF1=
2023-03-15,98.294,98.312,4581X0EF1=
2023-03-16,97.448,97.465,4581X0EF1=
2023-03-17,99.232,99.25,4581X0EF1=
2023-03-20,98.902,98.92,4581X0EF1=
2023-03-21,98.145,98.163,4581X0EF1=
2023-03-22,99.215,99.233,4581X0EF1=
2023-03-23,99.735,99.753,4581X0EF1=
2023-03-24,99.77,99.788,4581X0EF1=
2023-03-27,98.808,98.826,4581X0EF1=
2023-03-28,98.386,98.403,4581X0EF1=
2023-03-29,98.32,98.337,4581X0EF1=
2023-03-30,98.41,98.427,4581X0EF1=
2023-03-31,98.63,98.647,4581X0EF1=
2023-04-03,99.599,99.617,4581X0EF1=
2023-04-04,100.159,100.177,4581X0EF1=
2023-04-05,99.833,99.851,4581X0EF1=
2023-04-06,99.964,99.982,4581X0EF1=
2023-04-07,98.824,98.842,4581X0EF1=
2023-04-10,98.819,98.837,4581X0EF1=
2023-04-11,98.741,98.758,4581X0EF1=
2023-04-12,98.983,99.001,4581X0EF1=
2023-04-13,98.725,98.743,4581X0EF1=
2023-04-14,98.541,98.558,4581X0EF1=
2023-04-17,98.006,98.023,4581X0EF1=
2023-04-18,98.112,98.13,4581X0EF1=
2023-04-19,98.002,98.019,4581X0EF1=
2023-04-20,98.343,98.361,4581X0EF1=
2023-04-21,98.177,98.194,4581X0EF1=
2023-04-24,98.645,98.663,4581X0EF1=
2023-04-25,99.246,99.264,4581X0EF1=
2023-04-26,98.697,98.714,4581X0EF1=
2023-04-27,98.28,98.298,4581X0EF1=
2023-04-28,98.86,98.878,4581X0EF1=
2023-05-01,98.126,98.144,4581X0EF1=
2023-05-02,99.777,99.794,4581X0EF1=
2023-05-03,100.337,100.355,4581X0EF1=
2023-05-04,100.444,100.462,4581X0EF1=
2023-05-05,99.366,99.384,4581X0EF1=
2023-05-08,99.154,99.172,4581X0EF1=
2023-05-09,98.864,98.882,4581X0EF1=
2023-05-10,99.698,99.716,4581X0EF1=
2023-05-11,99.918,99.935,4581X0EF1=
2023-05-12,98.772,98.789,4581X0EF1=
2023-05-15,98.95,98.967,4581X0EF1=
2023-05-16,98.695,98.712,4581X0EF1=
2023-05-17,98.286,98.304,4581X0EF1=
2023-05-18,98.057,98.074,4581X0EF1=
2023-05-19,97.806,97.823,4581X0EF1=
2023-05-22,97.642,97.66,4581X0EF1=
2023-05-23,97.813,97.83,4581X0EF1=
2023-05-24,97.35,97.367,4581X0EF1=
2023-05-25,96.785,96.802,4581X0EF1=
2023-05-26,96.835,96.852,4581X0EF1=
2023-05-29,97.065,97.082,4581X0EF1=
2023-05-30,97.703,97.72,4581X0EF1=
2023-05-31,97.961,97.978,4581X0EF1=
2023-06-01,98.258,98.275,4581X0EF1=
2023-06-02,97.528,97.545,4581X0EF1=
2023-06-05,97.583,97.6,4581X0EF1=
2023-06-06,97.611,97.629,4581X0EF1=
2023-06-07,96.609,96.625,4581X0EF1=
2023-06-08,97.058,97.075,4581X0EF1=
2023-06-09,97.108,97.125,4581X0EF1=
2023-06-12,97.039,97.056,4581X0EF1=
2023-06-13,96.525,96.542,4581X0EF1=
2023-06-14,96.934,96.951,4581X0EF1=
2023-06-15,97.374,97.391,4581X0EF1=
2023-06-16,96.999,97.016,4581X0EF1=
2023-06-19,96.733,96.75,4581X0EF1=
2023-06-20,97.242,97.259,4581X0EF1=
2023-06-21,97.114,97.131,4581X0EF1=
2023-06-22,96.7,96.861,4581X0EF1=
2023-06-23,96.606,97.155,4581X0EF1=
2023-06-26,96.826,97.363,4581X0EF1=
2023-06-27,96.513,97.05,4581X0EF1=
2023-06-28,96.748,97.292,4581X0EF1=
2023-06-29,96.042,96.586,4581X0EF1=
2023-06-30,96.367,96.933,4581X0EF1=
2023-07-03,96.221,96.786,4581X0EF1=
2023-07-04,96.287,96.853,4581X0EF1=
2023-07-05,95.586,96.136,4581X0EF1=
2023-07-07,95.071,95.646,4581X0EF1=
2023-07-10,95.935,96.526,4581X0EF1=
2023-07-11,95.989,96.551,4581X0EF1=
2023-07-12,96.947,97.533,4581X0EF1=
2023-07-13,97.542,98.131,4581X0EF1=
2023-07-14,96.608,97.216,4581X0EF1=
2023-07-17,96.736,97.344,4581X0EF1=
2023-07-18,96.806,97.397,4581X0EF1=
2023-07-19,96.982,97.573,4581X0EF1=
2023-07-20,96.185,96.817,4581X0EF1=
2023-07-21,96.239,96.892,4581X0EF1=
