Date,BID,ASK,RIC
2023-04-06,99.724,99.975,4581X0EJ3=
2023-04-07,98.811,99.059,4581X0EJ3=
2023-04-10,98.794,99.042,4581X0EJ3=
2023-04-11,98.654,98.902,4581X0EJ3=
2023-04-12,98.918,99.167,4581X0EJ3=
2023-04-13,98.515,98.762,4581X0EJ3=
2023-04-14,97.974,98.22,4581X0EJ3=
2023-04-17,97.235,97.478,4581X0EJ3=
2023-04-18,97.471,97.714,4581X0EJ3=
2023-04-19,97.357,97.601,4581X0EJ3=
2023-04-20,97.806,98.05,4581X0EJ3=
2023-04-21,97.546,97.79,4581X0EJ3=
2023-04-24,98.133,98.378,4581X0EJ3=
2023-04-25,98.921,99.168,4581X0EJ3=
2023-04-26,98.551,98.797,4581X0EJ3=
2023-04-27,97.874,98.118,4581X0EJ3=
2023-04-28,98.323,98.568,4581X0EJ3=
2023-05-01,97.21,97.453,4581X0EJ3=
2023-05-02,99.309,99.558,4581X0EJ3=
2023-05-03,99.882,100.132,4581X0EJ3=
2023-05-04,99.608,99.857,4581X0EJ3=
2023-05-05,98.39,98.635,4581X0EJ3=
2023-05-08,97.804,98.048,4581X0EJ3=
2023-05-09,97.748,97.992,4581X0EJ3=
2023-05-10,98.44,98.685,4581X0EJ3=
2023-05-11,98.875,99.121,4581X0EJ3=
2023-05-12,98.246,98.49,4581X0EJ3=
2023-05-15,97.88,98.124,4581X0EJ3=
2023-05-16,97.857,98.1,4581X0EJ3=
2023-05-17,97.204,97.445,4581X0EJ3=
2023-05-18,96.813,97.053,4581X0EJ3=
2023-05-19,96.566,96.806,4581X0EJ3=
2023-05-22,96.019,96.257,4581X0EJ3=
2023-05-23,96.202,96.44,4581X0EJ3=
2023-05-24,96.156,96.394,4581X0EJ3=
2023-05-25,95.52,95.756,4581X0EJ3=
2023-05-26,96.023,96.26,4581X0EJ3=
2023-05-29,96.314,96.553,4581X0EJ3=
2023-05-30,96.875,97.115,4581X0EJ3=
2023-05-31,97.268,97.508,4581X0EJ3=
2023-06-01,97.623,97.864,4581X0EJ3=
2023-06-02,96.831,97.07,4581X0EJ3=
2023-06-05,97.015,97.255,4581X0EJ3=
2023-06-06,97.095,97.335,4581X0EJ3=
2023-06-07,95.702,95.938,4581X0EJ3=
2023-06-08,96.28,96.517,4581X0EJ3=
2023-06-09,96.257,96.494,4581X0EJ3=
2023-06-12,96.179,96.416,4581X0EJ3=
2023-06-13,95.519,95.755,4581X0EJ3=
2023-06-14,96.283,96.52,4581X0EJ3=
2023-06-15,96.84,97.079,4581X0EJ3=
2023-06-16,96.311,96.548,4581X0EJ3=
2023-06-19,95.881,96.116,4581X0EJ3=
2023-06-20,96.691,96.929,4581X0EJ3=
2023-06-21,96.549,96.787,4581X0EJ3=
2023-06-22,96.0,96.236,4581X0EJ3=
2023-06-23,96.08,96.531,4581X0EJ3=
2023-06-26,96.269,96.713,4581X0EJ3=
2023-06-27,95.885,96.329,4581X0EJ3=
2023-06-28,96.342,96.793,4581X0EJ3=
2023-06-29,95.343,95.794,4581X0EJ3=
2023-06-30,95.275,95.747,4581X0EJ3=
2023-07-03,95.145,95.616,4581X0EJ3=
2023-07-04,95.126,95.598,4581X0EJ3=
2023-07-05,94.482,94.953,4581X0EJ3=
2023-07-07,93.86,94.35,4581X0EJ3=
2023-07-10,94.673,95.178,4581X0EJ3=
2023-07-11,94.859,95.34,4581X0EJ3=
2023-07-12,95.736,96.239,4581X0EJ3=
2023-07-13,96.49,96.993,4581X0EJ3=
2023-07-14,95.53,96.05,4581X0EJ3=
2023-07-17,95.694,96.215,4581X0EJ3=
2023-07-18,95.851,96.361,4581X0EJ3=
2023-07-19,96.172,96.682,4581X0EJ3=
2023-07-20,95.165,95.712,4581X0EJ3=
2023-07-21,95.561,96.128,4581X0EJ3=
