Date,BID,ASK,RIC
2017-11-30,98.996,99.649,459058GE7=
2017-12-01,99.449,100.105,459058GE7=
2017-12-04,99.37,100.026,459058GE7=
2017-12-05,99.527,100.184,459058GE7=
2017-12-06,99.649,100.307,459058GE7=
2017-12-07,99.458,100.113,459058GE7=
2017-12-08,99.302,99.956,459058GE7=
2017-12-11,99.215,99.868,459058GE7=
2017-12-12,99.085,99.737,459058GE7=
2017-12-13,99.58,100.236,459058GE7=
2017-12-14,99.572,100.227,459058GE7=
2017-12-15,99.554,100.209,459058GE7=
2017-12-18,99.268,99.92,459058GE7=
2017-12-19,98.879,99.528,459058GE7=
2017-12-20,98.552,99.199,459058GE7=
2017-12-21,98.648,99.295,459058GE7=
2017-12-22,98.657,99.304,459058GE7=
2017-12-26,98.752,99.399,459058GE7=
2017-12-27,99.287,99.938,459058GE7=
2017-12-28,99.097,99.746,459058GE7=
2017-12-29,99.266,99.916,459058GE7=
2018-01-02,98.856,99.504,459058GE7=
2018-01-03,99.003,99.132,459058GE7=
2018-01-04,98.926,99.055,459058GE7=
2018-01-05,98.738,98.866,459058GE7=
2018-01-08,98.686,98.815,459058GE7=
2018-01-09,98.098,98.225,459058GE7=
2018-01-10,98.022,98.149,459058GE7=
2018-01-11,98.219,98.347,459058GE7=
2018-01-12,98.109,98.236,459058GE7=
2018-01-16,98.22,98.348,459058GE7=
2018-01-17,97.796,97.923,459058GE7=
2018-01-18,97.485,97.612,459058GE7=
2018-01-19,97.175,97.301,459058GE7=
2018-01-22,97.209,97.335,459058GE7=
2018-01-23,97.546,97.673,459058GE7=
2018-01-24,97.286,97.412,459058GE7=
2018-01-25,97.49,97.616,459058GE7=
2018-01-26,97.188,97.314,459058GE7=
2018-01-29,96.855,96.98,459058GE7=
2018-01-30,96.654,96.779,459058GE7=
2018-01-31,96.738,96.864,459058GE7=
2018-02-01,96.177,96.301,459058GE7=
2018-02-02,95.691,95.815,459058GE7=
2018-02-05,96.784,96.909,459058GE7=
2018-02-06,95.998,96.122,459058GE7=
2018-02-07,95.752,95.875,459058GE7=
2018-02-08,95.796,95.919,459058GE7=
2018-02-09,95.559,95.682,459058GE7=
2018-02-12,95.56,95.683,459058GE7=
2018-02-13,95.766,95.889,459058GE7=
2018-02-14,95.113,95.235,459058GE7=
2018-02-15,95.175,95.297,459058GE7=
2018-02-16,95.445,95.568,459058GE7=
2018-02-20,95.299,95.422,459058GE7=
2018-02-21,94.805,94.927,459058GE7=
2018-02-22,95.076,95.198,459058GE7=
2018-02-23,95.493,95.615,459058GE7=
2018-02-26,95.526,95.649,459058GE7=
2018-02-27,95.229,95.351,459058GE7=
2018-02-28,95.547,95.669,459058GE7=
2018-03-01,96.049,96.172,459058GE7=
2018-03-02,95.584,95.706,459058GE7=
2018-03-05,95.455,95.577,459058GE7=
2018-03-06,95.359,95.48,459058GE7=
2018-03-07,95.4,95.522,459058GE7=
2018-03-08,95.762,95.884,459058GE7=
2018-03-09,95.202,95.324,459058GE7=
2018-03-12,95.284,95.406,459058GE7=
2018-03-13,95.464,95.586,459058GE7=
2018-03-14,95.668,95.79,459058GE7=
2018-03-15,95.777,95.899,459058GE7=
2018-03-16,95.632,95.754,459058GE7=
2018-03-19,95.609,95.731,459058GE7=
2018-03-20,95.342,95.464,459058GE7=
2018-03-21,95.578,95.7,459058GE7=
2018-03-22,96.045,96.168,459058GE7=
2018-03-23,96.046,96.168,459058GE7=
2018-03-26,95.657,95.779,459058GE7=
2018-03-27,96.301,96.424,459058GE7=
2018-03-28,96.304,96.426,459058GE7=
