Date,BID,ASK,RIC
2020-05-12,99.4285,100.864,459058JC8=
2020-05-13,99.5331,100.9698,459058JC8=
2020-05-14,99.8855,100.2676,459058JC8=
2020-05-15,99.6286,100.0095,459058JC8=
2020-05-18,98.6646,99.0415,459058JC8=
2020-05-19,99.0889,99.4674,459058JC8=
2020-05-20,99.2876,99.6668,459058JC8=
2020-05-21,99.2883,99.6671,459058JC8=
2020-05-22,99.5061,99.8857,459058JC8=
2020-05-25,99.4227,99.802,459058JC8=
2020-05-26,99.0529,99.4306,459058JC8=
2020-05-27,99.1473,99.5253,459058JC8=
2020-05-28,99.1289,99.5066,459058JC8=
2020-05-29,99.45,99.8289,459058JC8=
2020-06-01,99.4124,99.791,459058JC8=
2020-06-02,99.2238,99.6016,459058JC8=
2020-06-03,98.8573,99.2335,459058JC8=
2020-06-04,98.2134,98.5866,459058JC8=
2020-06-05,97.3984,97.7682,459058JC8=
2020-06-08,97.704,98.0749,459058JC8=
2020-06-09,98.2242,98.5972,459058JC8=
2020-06-10,99.0469,99.4231,459058JC8=
2020-06-11,99.7916,100.1706,459058JC8=
2020-06-12,99.4803,99.8579,459058JC8=
2020-06-15,99.0107,99.3863,459058JC8=
2020-06-16,98.908,99.2831,459058JC8=
2020-06-17,99.0768,99.4524,459058JC8=
2020-06-18,99.3213,99.6976,459058JC8=
2020-06-19,99.6318,100.0093,459058JC8=
2020-06-22,99.3686,99.7449,459058JC8=
2020-06-23,99.1531,99.5285,459058JC8=
2020-06-24,99.7733,100.1511,459058JC8=
2020-06-25,99.3694,99.7452,459058JC8=
2020-06-26,100.2361,100.6154,459058JC8=
2020-06-29,100.1698,100.5487,459058JC8=
2020-06-30,99.689,100.0658,459058JC8=
2020-07-01,99.8868,100.264,459058JC8=
2020-07-02,99.9272,100.3045,459058JC8=
2020-07-03,99.9582,100.3356,459058JC8=
2020-07-06,99.7834,100.16,459058JC8=
2020-07-07,100.2355,100.6138,459058JC8=
2020-07-08,99.9904,100.3676,459058JC8=
2020-07-09,100.6605,101.0402,459058JC8=
2020-07-10,100.0186,100.3956,459058JC8=
2020-07-13,100.4427,100.8213,459058JC8=
2020-07-14,100.3765,100.7547,459058JC8=
2020-07-15,100.3103,100.6881,459058JC8=
2020-07-16,100.3572,100.7349,459058JC8=
2020-07-17,100.3006,100.678,459058JC8=
2020-07-20,100.4041,100.7818,459058JC8=
2020-07-21,100.5643,100.9425,459058JC8=
2020-07-22,100.6207,100.9991,459058JC8=
2020-07-23,100.828,101.2069,459058JC8=
2020-07-24,100.8278,101.2066,459058JC8=
2020-07-27,100.2811,100.6576,459058JC8=
2020-07-28,100.8084,101.1869,459058JC8=
2020-07-29,100.7399,101.1181,459058JC8=
2020-07-30,101.025,101.4041,459058JC8=
2020-07-31,101.1477,101.5272,459058JC8=
2020-08-03,100.9489,101.3275,459058JC8=
2020-08-04,101.4409,101.8214,459058JC8=
2020-08-05,101.005,101.3836,459058JC8=
2020-08-06,101.1931,101.4772,459058JC8=
2020-08-07,101.1172,101.401,459058JC8=
2020-08-10,101.183,101.467,459058JC8=
2020-08-11,100.4955,100.7773,459058JC8=
2020-08-12,100.486,100.7677,459058JC8=
2020-08-13,100.2611,100.5419,459058JC8=
2020-08-14,100.4293,100.7105,459058JC8=
2020-08-17,100.5134,100.7948,459058JC8=
2020-08-18,100.8698,101.1522,459058JC8=
2020-08-19,100.3729,100.6537,459058JC8=
2020-08-20,100.8594,101.1414,459058JC8=
2020-08-21,100.9343,101.2165,459058JC8=
2020-08-24,100.7558,101.0374,459058JC8=
2020-08-25,100.4376,100.7181,459058JC8=
2020-08-26,100.3442,100.6244,459058JC8=
2020-08-27,99.1746,99.4511,459058JC8=
2020-08-28,100.0183,100.2973,459058JC8=
2020-08-31,100.4556,100.7358,459058JC8=
2020-09-01,100.4928,100.773,459058JC8=
2020-09-02,100.8103,101.0914,459058JC8=
2020-09-03,101.0152,101.2966,459058JC8=
2020-09-04,100.5945,100.8746,459058JC8=
2020-09-07,100.5609,100.8409,459058JC8=
2020-09-08,100.4174,100.6969,459058JC8=
2020-09-09,100.0646,100.3429,459058JC8=
2020-09-10,100.5099,100.7893,459058JC8=
2020-09-11,100.4262,100.7053,459058JC8=
2020-09-14,100.361,100.6398,459058JC8=
2020-09-15,100.3146,100.5932,459058JC8=
2020-09-16,99.9628,100.2403,459058JC8=
2020-09-17,100.1384,100.4162,459058JC8=
2020-09-18,99.9998,100.2771,459058JC8=
2020-09-21,100.24,100.5179,459058JC8=
2020-09-22,100.4066,100.685,459058JC8=
2020-09-23,100.2584,100.5362,459058JC8=
2020-09-24,100.3414,100.6193,459058JC8=
2020-09-25,100.5449,100.8233,459058JC8=
2020-09-28,100.4337,100.7117,459058JC8=
2020-09-29,100.5909,100.8693,459058JC8=
2020-09-30,100.0827,100.3595,459058JC8=
2020-10-01,100.4238,100.7014,459058JC8=
2020-10-02,99.9171,100.1931,459058JC8=
2020-10-05,99.2401,99.514,459058JC8=
2020-10-06,99.9172,100.193,459058JC8=
2020-10-07,99.4686,99.743,459058JC8=
2020-10-08,99.4145,99.6884,459058JC8=
2020-10-09,99.5058,99.7799,459058JC8=
2020-10-12,99.6759,99.9505,459058JC8=
2020-10-13,99.9632,100.2386,459058JC8=
2020-10-14,99.8899,100.165,459058JC8=
2020-10-15,99.7803,100.0549,459058JC8=
2020-10-16,99.5796,99.8535,459058JC8=
2020-10-19,99.5706,99.8444,459058JC8=
2020-10-20,99.2615,99.5343,459058JC8=
2020-10-21,99.2163,99.4889,459058JC8=
2020-10-22,98.4586,98.7287,459058JC8=
2020-10-23,99.0361,99.3079,459058JC8=
2020-10-26,99.3806,99.6533,459058JC8=
2020-10-27,99.5807,99.8539,459058JC8=
2020-10-28,99.3719,99.6444,459058JC8=
2020-10-29,98.857,99.1278,459058JC8=
2020-10-30,98.2823,98.5514,459058JC8=
2020-11-02,98.7586,99.029,459058JC8=
2020-11-03,98.3639,98.6331,459058JC8=
2020-11-04,98.9484,99.2192,459058JC8=
2020-11-05,99.265,99.5365,459058JC8=
2020-11-06,99.0487,99.3195,459058JC8=
