Date,BID,ASK,RIC
2020-07-27,99.6889,99.8863,459058JE4=
2020-07-28,99.7926,99.9901,459058JE4=
2020-07-29,99.9001,100.0978,459058JE4=
2020-07-30,100.0247,100.2224,459058JE4=
2020-07-31,100.1283,100.3261,459058JE4=
2020-08-03,100.074,100.2716,459058JE4=
2020-08-04,100.2121,100.4099,459058JE4=
2020-08-05,100.0098,100.207,459058JE4=
2020-08-06,100.0492,100.1969,459058JE4=
2020-08-07,99.9705,100.118,459058JE4=
2020-08-10,100.0442,100.1917,459058JE4=
2020-08-11,99.7451,99.892,459058JE4=
2020-08-12,99.6866,99.8334,459058JE4=
2020-08-13,99.6334,99.7798,459058JE4=
2020-08-14,99.8484,99.9951,459058JE4=
2020-08-17,99.8778,100.0245,459058JE4=
2020-08-18,99.9902,100.137,459058JE4=
2020-08-19,99.7804,99.9267,459058JE4=
2020-08-20,99.9171,100.0634,459058JE4=
2020-08-21,99.8879,100.0341,459058JE4=
2020-08-24,99.8588,100.0049,459058JE4=
2020-08-25,99.8005,99.9464,459058JE4=
2020-08-26,99.7958,99.9416,459058JE4=
2020-08-27,99.4271,99.5721,459058JE4=
2020-08-28,99.8786,100.0243,459058JE4=
2020-08-31,99.835,99.9805,459058JE4=
2020-09-01,99.8642,100.0097,459058JE4=
2020-09-02,99.9127,100.0582,459058JE4=
2020-09-03,100.0339,100.1793,459058JE4=
2020-09-04,99.884,100.029,459058JE4=
2020-09-07,99.922,100.0671,459058JE4=
2020-09-08,99.8261,99.971,459058JE4=
2020-09-09,99.7442,99.8889,459058JE4=
2020-09-10,99.8457,99.9903,459058JE4=
2020-09-11,99.8651,100.0096,459058JE4=
2020-09-14,99.8026,99.9469,459058JE4=
2020-09-15,99.7259,99.87,459058JE4=
2020-09-16,99.6733,99.8173,459058JE4=
2020-09-17,99.6882,99.832,459058JE4=
2020-09-18,99.6166,99.7602,459058JE4=
2020-09-21,99.6455,99.789,459058JE4=
2020-09-22,99.8035,99.9472,459058JE4=
2020-09-23,99.7176,99.8611,459058JE4=
2020-09-24,99.7133,99.8565,459058JE4=
2020-09-25,99.7039,99.847,459058JE4=
2020-09-28,99.7708,99.9139,459058JE4=
2020-09-29,99.8663,100.0095,459058JE4=
2020-09-30,99.6045,99.7472,459058JE4=
2020-10-01,99.8095,99.9523,459058JE4=
2020-10-02,99.6054,99.7478,459058JE4=
2020-10-05,99.3973,99.5393,459058JE4=
2020-10-06,99.5964,99.7386,459058JE4=
2020-10-07,99.4122,99.554,459058JE4=
2020-10-08,99.39,99.5315,459058JE4=
2020-10-09,99.4516,99.5931,459058JE4=
2020-10-12,99.5063,99.6479,459058JE4=
2020-10-13,99.6122,99.7539,459058JE4=
2020-10-14,99.5794,99.7209,459058JE4=
2020-10-15,99.519,99.6602,459058JE4=
2020-10-16,99.4816,99.6227,459058JE4=
2020-10-19,99.4773,99.6183,459058JE4=
2020-10-20,99.4776,99.6185,459058JE4=
2020-10-21,99.4357,99.5764,459058JE4=
2020-10-22,99.1749,99.315,459058JE4=
2020-10-23,99.3528,99.4931,459058JE4=
2020-10-26,99.5027,99.6431,459058JE4=
2020-10-27,99.5919,99.7324,459058JE4=
2020-10-28,99.4986,99.6389,459058JE4=
2020-10-29,99.3454,99.4853,459058JE4=
2020-10-30,99.248,99.3876,459058JE4=
2020-11-02,99.3694,99.5091,459058JE4=
2020-11-03,99.3046,99.4442,459058JE4=
2020-11-04,99.4538,99.5935,459058JE4=
2020-11-05,99.6082,99.7479,459058JE4=
2020-11-06,99.5527,99.6922,459058JE4=
2020-11-09,99.5671,99.7065,459058JE4=
2020-11-10,99.2616,99.4004,459058JE4=
2020-11-12,99.3599,99.4987,459058JE4=
2020-11-13,99.2772,99.4157,459058JE4=
2020-11-16,99.3837,99.5223,459058JE4=
2020-11-17,99.4626,99.6013,459058JE4=
2020-11-18,99.3983,99.5368,459058JE4=
2020-11-19,99.5099,99.6483,459058JE4=
2020-11-20,99.5471,99.6855,459058JE4=
2020-11-23,99.5243,99.6626,459058JE4=
2020-11-24,99.4237,99.5617,459058JE4=
2020-11-25,99.5533,99.6912,459058JE4=
2020-11-26,99.5879,99.7259,459058JE4=
2020-11-27,99.6132,99.7511,459058JE4=
2020-11-30,99.6824,99.8203,459058JE4=
2020-12-01,99.6688,99.8066,459058JE4=
2020-12-02,99.3987,99.536,459058JE4=
2020-12-03,99.5368,99.6741,459058JE4=
2020-12-04,99.4594,99.5965,459058JE4=
2020-12-07,99.6059,99.7432,459058JE4=
2020-12-08,99.6473,99.7845,459058JE4=
2020-12-09,99.5334,99.6704,459058JE4=
2020-12-10,99.6345,99.7714,459058JE4=
2020-12-11,99.6848,99.8217,459058JE4=
2020-12-14,99.7853,99.9223,459058JE4=
2020-12-15,99.6715,99.8082,459058JE4=
2020-12-16,99.6626,99.7992,459058JE4=
2020-12-17,99.5316,99.6678,459058JE4=
2020-12-18,99.5636,99.6997,459058JE4=
2020-12-21,99.5186,99.6546,459058JE4=
2020-12-22,99.7273,99.8635,459058JE4=
2020-12-23,99.6059,99.7416,459058JE4=
2020-12-24,99.6829,99.8186,459058JE4=
2020-12-28,99.7645,99.9003,459058JE4=
2020-12-29,99.7002,99.8359,459058JE4=
2020-12-30,99.7515,99.8869,459058JE4=
2020-12-31,99.8374,99.9729,459058JE4=
2021-01-04,99.9187,100.0542,459058JE4=
2021-01-05,99.7295,99.8647,459058JE4=
2021-01-06,99.6307,99.7656,459058JE4=
2021-01-07,99.3581,99.4924,459058JE4=
2021-01-08,99.3183,99.4524,459058JE4=
2021-01-11,99.2786,99.4126,459058JE4=
2021-01-12,99.404,99.5381,459058JE4=
2021-01-13,99.3285,99.4624,459058JE4=
2021-01-14,99.2901,99.4236,459058JE4=
2021-01-15,99.4774,99.6111,459058JE4=
2021-01-18,99.3753,99.5089,459058JE4=
2021-01-19,99.5445,99.6782,459058JE4=
2021-01-20,99.5715,99.7052,459058JE4=
2021-01-21,99.5012,99.6345,459058JE4=
2021-01-22,99.5636,99.697,459058JE4=
2021-01-25,99.6883,99.8218,459058JE4=
2021-01-26,99.6263,99.7596,459058JE4=
2021-01-27,99.5733,99.7064,459058JE4=
2021-01-28,99.4366,99.5694,459058JE4=
2021-01-29,99.6405,99.7735,459058JE4=
2021-02-01,99.5965,99.7293,459058JE4=
2021-02-02,99.5437,99.6764,459058JE4=
2021-02-03,99.4292,99.5616,459058JE4=
2021-02-04,99.5051,99.6374,459058JE4=
2021-02-05,99.5098,99.642,459058JE4=
2021-02-08,99.3958,99.5278,459058JE4=
2021-02-09,99.4269,99.5588,459058JE4=
2021-02-10,99.6207,99.7528,459058JE4=
2021-02-11,99.433,99.5645,459058JE4=
2021-02-12,99.2628,99.394,459058JE4=
2021-02-15,99.1777,99.3088,459058JE4=
2021-02-16,99.0495,99.1803,459058JE4=
2021-02-17,99.1285,99.2593,459058JE4=
2021-02-18,99.0823,99.2128,459058JE4=
2021-02-19,98.9439,99.0741,459058JE4=
2021-02-22,98.8882,99.0183,459058JE4=
2021-02-23,99.0189,99.1491,459058JE4=
2021-02-24,98.8896,99.0195,459058JE4=
2021-02-25,98.2868,98.4154,459058JE4=
2021-02-26,98.6354,98.7645,459058JE4=
2021-03-01,98.6448,98.7738,459058JE4=
2021-03-02,98.8391,98.9683,459058JE4=
2021-03-03,98.6294,98.7582,459058JE4=
2021-03-04,98.5035,98.6319,459058JE4=
2021-03-05,98.2868,98.4148,459058JE4=
2021-03-08,98.1729,98.3006,459058JE4=
2021-03-09,98.2676,98.3954,459058JE4=
2021-03-10,98.3496,98.4774,459058JE4=
2021-03-11,98.2804,98.4079,459058JE4=
2021-03-12,98.1373,98.2645,459058JE4=
2021-03-15,98.2699,98.3972,459058JE4=
2021-03-16,98.2709,98.3981,459058JE4=
2021-03-17,98.3017,98.4289,459058JE4=
2021-03-18,98.1865,98.3133,459058JE4=
2021-03-19,98.0316,98.1581,459058JE4=
2021-03-22,98.0918,98.2183,459058JE4=
2021-03-23,98.2912,98.4179,459058JE4=
2021-03-24,98.3007,98.4273,459058JE4=
2021-03-25,98.2155,98.3418,459058JE4=
2021-03-26,98.1788,98.3049,459058JE4=
2021-03-29,98.1442,98.2703,459058JE4=
2021-03-30,98.201,98.3271,459058JE4=
2021-03-31,97.9587,98.0841,459058JE4=
2021-04-01,98.0519,98.1774,459058JE4=
2021-04-02,97.7806,97.9057,459058JE4=
2021-04-05,97.9529,98.0781,459058JE4=
2021-04-06,98.1211,98.2465,459058JE4=
2021-04-07,98.1056,98.2309,459058JE4=
2021-04-08,98.3429,98.4683,459058JE4=
2021-04-09,98.3105,98.4358,459058JE4=
2021-04-12,98.1907,98.3157,459058JE4=
2021-04-13,98.3085,98.4336,459058JE4=
2021-04-14,98.2138,98.3387,459058JE4=
2021-04-15,98.317,98.4418,459058JE4=
2021-04-16,98.3139,98.4386,459058JE4=
2021-04-19,98.4937,98.6186,459058JE4=
2021-04-20,98.6861,98.8112,459058JE4=
2021-04-21,98.6703,98.7953,459058JE4=
2021-04-22,98.7061,98.8309,459058JE4=
2021-04-23,98.5326,98.6571,459058JE4=
2021-04-26,98.4632,98.5875,459058JE4=
2021-04-27,98.3484,98.4724,459058JE4=
2021-04-28,98.5106,98.6348,459058JE4=
2021-04-29,98.5342,98.6582,459058JE4=
2021-04-30,98.5268,98.6507,459058JE4=
2021-05-03,98.6268,98.7508,459058JE4=
2021-05-04,98.6112,98.735,459058JE4=
2021-05-05,98.7194,98.8433,459058JE4=
2021-05-06,98.6807,98.8043,459058JE4=
2021-05-07,98.6363,98.7598,459058JE4=
2021-05-10,98.5837,98.707,459058JE4=
2021-05-11,98.7244,98.8478,459058JE4=
2021-05-12,98.5569,98.68,459058JE4=
2021-05-13,98.7031,98.8262,459058JE4=
2021-05-14,98.749,98.8721,459058JE4=
2021-05-17,98.5943,98.7171,459058JE4=
2021-05-18,98.6647,98.7875,459058JE4=
2021-05-19,98.4655,98.5879,459058JE4=
2021-05-20,98.5622,98.6845,459058JE4=
2021-05-21,98.5713,98.6936,459058JE4=
2021-05-24,98.6536,98.7759,459058JE4=
2021-05-25,98.895,99.0175,459058JE4=
2021-05-26,98.8631,98.9855,459058JE4=
2021-05-27,98.8572,98.9794,459058JE4=
2021-05-28,98.9103,99.0325,459058JE4=
2021-05-31,98.9237,99.0459,459058JE4=
2021-06-01,98.9035,99.0256,459058JE4=
2021-06-02,98.9042,99.0262,459058JE4=
2021-06-03,98.6553,98.7767,459058JE4=
2021-06-04,98.7047,98.8261,459058JE4=
2021-06-07,98.8835,99.0051,459058JE4=
2021-06-08,98.9045,99.026,459058JE4=
