Date,BID,ASK,RIC
2020-10-26,100.0444,100.1926,459058JL8=
2020-10-27,100.1381,100.2863,459058JL8=
2020-10-28,99.9901,100.138,459058JL8=
2020-10-29,99.7788,99.9262,459058JL8=
2020-10-30,99.725,99.8722,459058JL8=
2020-11-02,99.8036,99.9509,459058JL8=
2020-11-03,99.8331,99.9803,459058JL8=
2020-11-04,99.9902,100.1376,459058JL8=
2020-11-05,100.1521,100.2995,459058JL8=
2020-11-06,100.0931,100.2404,459058JL8=
2020-11-09,100.1077,100.2548,459058JL8=
2020-11-10,99.785,99.9315,459058JL8=
2020-11-12,99.8877,100.0341,459058JL8=
2020-11-13,99.8001,99.9463,459058JL8=
2020-11-16,99.9122,100.0585,459058JL8=
2020-11-17,99.9951,100.1415,459058JL8=
2020-11-18,99.9269,100.0731,459058JL8=
2020-11-19,100.0438,100.1899,459058JL8=
2020-11-20,100.0826,100.2287,459058JL8=
2020-11-23,100.0097,100.1556,459058JL8=
2020-11-24,99.9514,100.097,459058JL8=
2020-11-25,100.0387,100.1842,459058JL8=
2020-11-26,100.0752,100.2208,459058JL8=
2020-11-27,100.1017,100.2473,459058JL8=
2020-11-30,100.1744,100.32,459058JL8=
2020-12-01,100.1597,100.3052,459058JL8=
2020-12-02,99.9226,100.0676,459058JL8=
2020-12-03,100.0675,100.2125,459058JL8=
2020-12-04,99.9855,100.1303,459058JL8=
2020-12-07,100.1399,100.2849,459058JL8=
2020-12-08,100.1832,100.3282,459058JL8=
2020-12-09,100.0626,100.2073,459058JL8=
2020-12-10,100.1202,100.2647,459058JL8=
2020-12-11,100.1731,100.3176,459058JL8=
2020-12-14,100.3271,100.4718,459058JL8=
2020-12-15,100.1585,100.3029,459058JL8=
2020-12-16,100.1488,100.2931,459058JL8=
2020-12-17,100.0574,100.2013,459058JL8=
2020-12-18,100.0909,100.2347,459058JL8=
2020-12-21,99.9952,100.1388,459058JL8=
2020-12-22,100.2153,100.3592,459058JL8=
2020-12-23,100.0858,100.2291,459058JL8=
2020-12-24,100.1669,100.3103,459058JL8=
2020-12-28,100.2528,100.3962,459058JL8=
2020-12-29,100.1845,100.3278,459058JL8=
2020-12-30,100.1903,100.3333,459058JL8=
2020-12-31,100.2807,100.4238,459058JL8=
2021-01-04,100.3663,100.5094,459058JL8=
2021-01-05,100.1662,100.3089,459058JL8=
2021-01-06,100.0616,100.2041,459058JL8=
2021-01-07,99.7257,99.8674,459058JL8=
2021-01-08,99.6835,99.8251,459058JL8=
2021-01-11,99.5941,99.7354,459058JL8=
2021-01-12,99.7733,99.9148,459058JL8=
2021-01-13,99.7876,99.9291,459058JL8=
2021-01-14,99.7458,99.8869,459058JL8=
2021-01-15,99.9434,100.0847,459058JL8=
2021-01-18,99.8355,99.9767,459058JL8=
2021-01-19,99.967,100.1083,459058JL8=
2021-01-20,99.9952,100.1364,459058JL8=
2021-01-21,99.9201,100.061,459058JL8=
2021-01-22,99.9858,100.1267,459058JL8=
2021-01-25,100.1643,100.3054,459058JL8=
2021-01-26,100.0984,100.2393,459058JL8=
2021-01-27,100.0421,100.1828,459058JL8=
2021-01-28,99.897,100.0374,459058JL8=
2021-01-29,100.0186,100.1591,459058JL8=
2021-02-01,99.9719,100.1122,459058JL8=
2021-02-02,99.9626,100.1028,459058JL8=
2021-02-03,99.8413,99.9812,459058JL8=
2021-02-04,99.9207,100.0605,459058JL8=
2021-02-05,99.8789,100.0186,459058JL8=
2021-02-08,99.7581,99.8975,459058JL8=
2021-02-09,99.7908,99.9302,459058JL8=
2021-02-10,99.9953,100.1349,459058JL8=
2021-02-11,99.796,99.935,459058JL8=
2021-02-12,99.5697,99.7082,459058JL8=
2021-02-15,99.526,99.6645,459058JL8=
2021-02-16,99.3903,99.5285,459058JL8=
2021-02-17,99.5195,99.6578,459058JL8=
2021-02-18,99.4239,99.5618,459058JL8=
2021-02-19,99.2774,99.415,459058JL8=
2021-02-22,99.2641,99.4016,459058JL8=
