Date,BID,ASK,RIC
2021-09-06,99.7073,100.3789,459058JZ7=
2021-09-07,99.4245,100.0941,459058JZ7=
2021-09-08,99.6917,100.3632,459058JZ7=
2021-09-09,99.9597,100.1612,459058JZ7=
2021-09-10,99.4647,99.6651,459058JZ7=
2021-09-13,99.6585,99.8592,459058JZ7=
2021-09-14,99.8593,100.0604,459058JZ7=
2021-09-15,99.7322,99.9329,459058JZ7=
2021-09-16,99.5391,99.7392,459058JZ7=
2021-09-17,99.2136,99.4129,459058JZ7=
2021-09-20,99.6594,99.8596,459058JZ7=
2021-09-21,99.4532,99.6529,459058JZ7=
2021-09-22,99.5464,99.7462,459058JZ7=
2021-09-23,98.6215,98.819,459058JZ7=
2021-09-24,98.622,98.8194,459058JZ7=
2021-09-27,98.4453,98.6423,459058JZ7=
2021-09-28,98.2428,98.4393,459058JZ7=
2021-09-29,98.4006,98.5973,459058JZ7=
2021-09-30,98.6776,98.8747,459058JZ7=
2021-10-01,98.8488,99.0462,459058JZ7=
2021-10-04,98.7573,98.9544,459058JZ7=
2021-10-05,98.378,98.5742,459058JZ7=
2021-10-06,98.4636,98.6599,459058JZ7=
2021-10-07,98.0426,98.2377,459058JZ7=
2021-10-08,97.5835,97.7775,459058JZ7=
2021-10-11,97.3687,97.5623,459058JZ7=
2021-10-12,98.0506,98.2456,459058JZ7=
2021-10-13,98.4676,98.6634,459058JZ7=
2021-10-14,98.4433,98.6388,459058JZ7=
2021-10-15,97.8666,98.0608,459058JZ7=
2021-10-18,97.7834,97.9773,459058JZ7=
2021-10-19,97.4685,97.6617,459058JZ7=
2021-10-20,97.3602,97.5531,459058JZ7=
2021-10-21,96.9727,97.1645,459058JZ7=
2021-10-22,97.5568,97.7498,459058JZ7=
2021-10-25,97.8022,97.9957,459058JZ7=
2021-10-26,97.5265,97.7193,459058JZ7=
2021-10-27,97.7395,97.9327,459058JZ7=
2021-10-28,97.8184,98.0116,459058JZ7=
2021-10-29,97.7742,97.9672,459058JZ7=
2021-11-01,97.7044,97.8972,459058JZ7=
2021-11-02,97.9237,98.1169,459058JZ7=
2021-11-03,97.3093,97.5011,459058JZ7=
2021-11-04,97.7344,97.9269,459058JZ7=
2021-11-05,98.6692,98.8636,459058JZ7=
2021-11-08,98.0441,98.2371,459058JZ7=
2021-11-09,98.3931,98.5867,459058JZ7=
2021-11-10,97.3833,97.5745,459058JZ7=
2021-11-11,97.1402,97.3309,459058JZ7=
2021-11-12,97.5053,97.6967,459058JZ7=
2021-11-15,96.9854,97.1756,459058JZ7=
2021-11-16,96.9613,97.1514,459058JZ7=
2021-11-17,97.6228,97.8142,459058JZ7=
2021-11-18,97.581,97.7721,459058JZ7=
2021-11-19,97.3723,97.5629,459058JZ7=
2021-11-22,96.7664,96.9556,459058JZ7=
2021-11-23,96.7438,96.9328,459058JZ7=
2021-11-24,96.779,96.9679,459058JZ7=
2021-11-25,96.8082,96.9971,459058JZ7=
2021-11-26,97.7155,97.9063,459058JZ7=
2021-11-29,98.0727,98.2642,459058JZ7=
2021-11-30,97.7109,97.9015,459058JZ7=
2021-12-01,98.4893,98.6815,459058JZ7=
2021-12-02,97.962,98.1529,459058JZ7=
2021-12-03,98.6323,98.8245,459058JZ7=
