Date,BID,ASK,RIC
2023-04-06,100.032,100.51,459058KT9=
2023-04-07,99.359,99.501,459058KT9=
2023-04-10,99.336,99.477,459058KT9=
2023-04-11,99.27,99.411,459058KT9=
2023-04-12,99.596,99.738,459058KT9=
2023-04-13,99.436,99.577,459058KT9=
2023-04-14,98.947,99.088,459058KT9=
2023-04-17,98.467,98.607,459058KT9=
2023-04-18,98.593,98.733,459058KT9=
2023-04-19,98.496,98.636,459058KT9=
2023-04-20,98.828,98.969,459058KT9=
2023-04-21,98.685,98.824,459058KT9=
2023-04-24,99.082,99.222,459058KT9=
2023-04-25,99.687,99.828,459058KT9=
2023-04-26,99.466,99.607,459058KT9=
2023-04-27,98.981,99.121,459058KT9=
2023-04-28,99.401,99.542,459058KT9=
2023-05-01,98.768,98.907,459058KT9=
2023-05-02,100.195,100.337,459058KT9=
2023-05-03,100.777,100.92,459058KT9=
2023-05-04,100.591,100.733,459058KT9=
2023-05-05,99.674,99.814,459058KT9=
2023-05-08,99.496,99.637,459058KT9=
2023-05-09,99.31,99.45,459058KT9=
2023-05-10,99.866,100.006,459058KT9=
2023-05-11,99.978,100.119,459058KT9=
2023-05-12,99.321,99.46,459058KT9=
2023-05-15,99.433,99.572,459058KT9=
2023-05-16,99.178,99.317,459058KT9=
2023-05-17,98.666,98.804,459058KT9=
2023-05-18,98.347,98.484,459058KT9=
2023-05-19,98.115,98.252,459058KT9=
2023-05-22,98.043,98.179,459058KT9=
2023-05-23,98.144,98.281,459058KT9=
2023-05-24,97.763,97.899,459058KT9=
2023-05-25,97.315,97.451,459058KT9=
2023-05-26,97.346,97.481,459058KT9=
2023-05-29,97.364,97.499,459058KT9=
2023-05-30,98.008,98.144,459058KT9=
2023-05-31,98.263,98.4,459058KT9=
2023-06-01,98.389,98.525,459058KT9=
2023-06-02,97.706,97.841,459058KT9=
2023-06-05,97.837,97.973,459058KT9=
2023-06-06,97.807,97.942,459058KT9=
2023-06-07,97.336,97.47,459058KT9=
2023-06-08,97.73,97.865,459058KT9=
2023-06-09,97.341,97.475,459058KT9=
2023-06-12,97.311,97.445,459058KT9=
2023-06-13,96.871,97.004,459058KT9=
2023-06-14,96.992,97.126,459058KT9=
2023-06-15,97.359,97.493,459058KT9=
2023-06-16,97.124,97.258,459058KT9=
2023-06-19,96.933,97.066,459058KT9=
2023-06-20,97.312,97.446,459058KT9=
2023-06-21,97.145,97.278,459058KT9=
2023-06-22,96.786,96.918,459058KT9=
2023-06-23,96.783,97.011,459058KT9=
2023-06-26,96.807,97.04,459058KT9=
2023-06-27,96.597,96.835,459058KT9=
2023-06-28,96.902,97.141,459058KT9=
2023-06-29,96.502,96.743,459058KT9=
2023-06-30,96.567,96.809,459058KT9=
2023-07-03,96.42,96.661,459058KT9=
2023-07-04,96.505,96.747,459058KT9=
2023-07-05,95.734,95.985,459058KT9=
2023-07-07,95.53,95.781,459058KT9=
2023-07-10,96.187,96.438,459058KT9=
2023-07-11,96.18,96.431,459058KT9=
2023-07-12,96.854,97.11,459058KT9=
2023-07-13,97.42,97.676,459058KT9=
2023-07-14,96.641,96.9,459058KT9=
2023-07-17,96.983,97.243,459058KT9=
2023-07-18,96.906,97.173,459058KT9=
2023-07-19,97.008,97.275,459058KT9=
2023-07-20,96.39,96.659,459058KT9=
2023-07-21,96.435,96.706,459058KT9=
