Date,BID,ASK,RIC
2020-03-31,100.323,100.36,45905U5F7=
2020-04-01,100.521,100.559,45905U5F7=
2020-04-02,100.544,100.581,45905U5F7=
2020-04-03,100.546,100.583,45905U5F7=
2020-04-06,100.34,100.377,45905U5F7=
2020-04-07,100.022,100.059,45905U5F7=
2020-04-08,99.733,100.009,45905U5F7=
2020-04-09,99.928,100.028,45905U5F7=
2020-04-10,100.051,100.087,45905U5F7=
2020-04-13,99.846,100.02,45905U5F7=
2020-04-14,99.917,100.027,45905U5F7=
2020-04-15,100.36,100.396,45905U5F7=
2020-04-16,100.407,100.443,45905U5F7=
2020-04-17,100.375,100.411,45905U5F7=
2020-04-20,100.448,100.483,45905U5F7=
2020-04-21,100.553,100.588,45905U5F7=
2020-04-22,100.484,100.519,45905U5F7=
2020-04-23,100.494,100.528,45905U5F7=
2020-04-24,100.509,100.544,45905U5F7=
2020-04-27,100.396,100.43,45905U5F7=
2020-04-28,100.518,100.552,45905U5F7=
2020-04-29,100.525,100.559,45905U5F7=
2020-04-30,100.502,100.536,45905U5F7=
2020-05-01,100.521,100.555,45905U5F7=
2020-05-04,100.545,100.578,45905U5F7=
2020-05-05,100.507,100.541,45905U5F7=
2020-05-06,100.403,100.437,45905U5F7=
2020-05-07,100.571,100.604,45905U5F7=
2020-05-08,100.478,100.511,45905U5F7=
2020-05-11,100.379,100.412,45905U5F7=
2020-05-12,100.525,100.558,45905U5F7=
2020-05-13,100.534,100.566,45905U5F7=
2020-05-14,100.437,100.47,45905U5F7=
2020-05-15,100.386,100.418,45905U5F7=
2020-05-18,100.134,100.166,45905U5F7=
2020-05-19,100.238,100.27,45905U5F7=
2020-05-20,100.268,100.3,45905U5F7=
2020-05-21,100.263,100.294,45905U5F7=
2020-05-22,100.318,100.349,45905U5F7=
2020-05-25,100.36,100.391,45905U5F7=
2020-05-26,100.203,100.234,45905U5F7=
2020-05-27,100.23,100.262,45905U5F7=
2020-05-28,100.197,100.227,45905U5F7=
2020-05-29,100.361,100.392,45905U5F7=
2020-06-01,100.355,100.386,45905U5F7=
2020-06-02,100.297,100.328,45905U5F7=
2020-06-03,100.08,100.11,45905U5F7=
2020-06-04,99.686,100.003,45905U5F7=
2020-06-05,99.306,99.663,45905U5F7=
2020-06-08,99.33,99.688,45905U5F7=
2020-06-09,99.688,100.003,45905U5F7=
2020-06-10,100.086,100.115,45905U5F7=
2020-06-11,100.338,100.368,45905U5F7=
2020-06-12,100.306,100.336,45905U5F7=
2020-06-15,100.233,100.263,45905U5F7=
2020-06-16,100.229,100.258,45905U5F7=
2020-06-17,100.256,100.285,45905U5F7=
2020-06-18,100.324,100.353,45905U5F7=
2020-06-19,100.343,100.372,45905U5F7=
2020-06-22,100.311,100.34,45905U5F7=
2020-06-23,100.283,100.311,45905U5F7=
2020-06-24,100.376,100.404,45905U5F7=
2020-06-25,100.321,100.349,45905U5F7=
2020-06-26,100.41,100.438,45905U5F7=
2020-06-29,100.42,100.448,45905U5F7=
2020-06-30,100.342,100.37,45905U5F7=
2020-07-01,100.351,100.378,45905U5F7=
2020-07-02,100.378,100.405,45905U5F7=
2020-07-03,100.382,100.409,45905U5F7=
2020-07-06,100.349,100.376,45905U5F7=
2020-07-07,100.412,100.439,45905U5F7=
2020-07-08,100.366,100.393,45905U5F7=
2020-07-09,100.431,100.458,45905U5F7=
2020-07-10,100.395,100.421,45905U5F7=
2020-07-13,100.451,100.477,45905U5F7=
2020-07-14,100.442,100.468,45905U5F7=
2020-07-15,100.437,100.463,45905U5F7=
2020-07-16,100.434,100.459,45905U5F7=
2020-07-17,100.422,100.448,45905U5F7=
2020-07-20,100.44,100.466,45905U5F7=
2020-07-21,100.46,100.486,45905U5F7=
2020-07-22,100.458,100.484,45905U5F7=
2020-07-23,100.443,100.468,45905U5F7=
2020-07-24,100.447,100.472,45905U5F7=
2020-07-27,100.419,100.444,45905U5F7=
2020-07-28,100.451,100.475,45905U5F7=
2020-07-29,100.447,100.471,45905U5F7=
2020-07-30,100.447,100.471,45905U5F7=
2020-07-31,100.452,100.476,45905U5F7=
2020-08-03,100.446,100.47,45905U5F7=
2020-08-04,100.451,100.475,45905U5F7=
2020-08-05,100.434,100.458,45905U5F7=
2020-08-06,100.439,100.457,45905U5F7=
2020-08-07,100.427,100.444,45905U5F7=
2020-08-10,100.429,100.446,45905U5F7=
2020-08-11,100.378,100.395,45905U5F7=
2020-08-12,100.349,100.366,45905U5F7=
2020-08-13,100.304,100.321,45905U5F7=
2020-08-14,100.348,100.365,45905U5F7=
2020-08-17,100.359,100.376,45905U5F7=
2020-08-18,100.397,100.414,45905U5F7=
2020-08-19,100.347,100.364,45905U5F7=
2020-08-20,100.396,100.412,45905U5F7=
2020-08-21,100.39,100.406,45905U5F7=
2020-08-24,100.396,100.413,45905U5F7=
2020-08-25,100.337,100.353,45905U5F7=
2020-08-26,100.338,100.354,45905U5F7=
2020-08-27,100.017,100.033,45905U5F7=
2020-08-28,100.242,100.258,45905U5F7=
2020-08-31,100.261,100.277,45905U5F7=
2020-09-01,100.295,100.311,45905U5F7=
2020-09-02,100.333,100.349,45905U5F7=
2020-09-03,100.36,100.376,45905U5F7=
2020-09-04,100.32,100.335,45905U5F7=
2020-09-07,100.319,100.334,45905U5F7=
2020-09-08,100.346,100.361,45905U5F7=
2020-09-09,100.299,100.314,45905U5F7=
2020-09-10,100.377,100.392,45905U5F7=
2020-09-11,100.364,100.379,45905U5F7=
2020-09-14,100.358,100.373,45905U5F7=
2020-09-15,100.364,100.378,45905U5F7=
2020-09-16,100.324,100.339,45905U5F7=
2020-09-17,100.354,100.369,45905U5F7=
2020-09-18,100.333,100.347,45905U5F7=
2020-09-21,100.341,100.355,45905U5F7=
2020-09-22,100.344,100.358,45905U5F7=
2020-09-23,100.334,100.348,45905U5F7=
2020-09-24,100.319,100.333,45905U5F7=
2020-09-25,100.325,100.339,45905U5F7=
2020-09-28,100.323,100.337,45905U5F7=
2020-09-29,100.325,100.338,45905U5F7=
2020-09-30,100.272,100.286,45905U5F7=
2020-10-01,100.295,100.308,45905U5F7=
2020-10-02,100.186,100.199,45905U5F7=
2020-10-05,99.9,100.007,45905U5F7=
2020-10-06,100.123,100.135,45905U5F7=
2020-10-07,99.955,100.01,45905U5F7=
2020-10-08,99.934,100.008,45905U5F7=
2020-10-09,99.958,100.009,45905U5F7=
2020-10-12,99.994,100.011,45905U5F7=
2020-10-13,100.098,100.111,45905U5F7=
2020-10-14,100.074,100.086,45905U5F7=
2020-10-15,100.028,100.04,45905U5F7=
2020-10-16,99.953,100.009,45905U5F7=
2020-10-19,99.91,100.007,45905U5F7=
2020-10-20,99.797,100.001,45905U5F7=
2020-10-21,99.711,99.97,45905U5F7=
2020-10-22,99.319,99.578,45905U5F7=
2020-10-23,99.588,99.847,45905U5F7=
2020-10-26,99.749,99.999,45905U5F7=
2020-10-27,99.906,100.006,45905U5F7=
2020-10-28,99.799,100.001,45905U5F7=
2020-10-29,99.473,99.731,45905U5F7=
2020-10-30,100.019,100.029,45905U5F7=
2020-11-02,100.143,100.154,45905U5F7=
2020-11-03,100.012,100.022,45905U5F7=
2020-11-04,100.203,100.214,45905U5F7=
2020-11-05,100.26,100.271,45905U5F7=
2020-11-06,100.214,100.224,45905U5F7=
2020-11-09,100.164,100.174,45905U5F7=
2020-11-10,99.931,100.006,45905U5F7=
2020-11-12,100.079,100.089,45905U5F7=
2020-11-13,100.03,100.039,45905U5F7=
2020-11-16,100.081,100.091,45905U5F7=
2020-11-17,100.218,100.227,45905U5F7=
2020-11-18,100.198,100.208,45905U5F7=
2020-11-19,100.226,100.235,45905U5F7=
2020-11-20,100.267,100.276,45905U5F7=
2020-11-23,100.208,100.217,45905U5F7=
2020-11-24,100.154,100.162,45905U5F7=
2020-11-25,100.192,100.2,45905U5F7=
2020-11-26,100.241,100.249,45905U5F7=
2020-11-27,100.245,100.253,45905U5F7=
2020-11-30,100.259,100.267,45905U5F7=
2020-12-01,100.168,100.176,45905U5F7=
2020-12-02,100.109,100.117,45905U5F7=
2020-12-03,100.167,100.174,45905U5F7=
2020-12-04,100.089,100.097,45905U5F7=
2020-12-07,100.138,100.146,45905U5F7=
2020-12-08,100.146,100.153,45905U5F7=
2020-12-09,100.111,100.118,45905U5F7=
2020-12-10,100.233,100.24,45905U5F7=
2020-12-11,100.231,100.238,45905U5F7=
2020-12-14,100.236,100.243,45905U5F7=
2020-12-15,100.225,100.232,45905U5F7=
2020-12-16,100.221,100.228,45905U5F7=
2020-12-17,100.199,100.206,45905U5F7=
2020-12-18,100.207,100.214,45905U5F7=
2020-12-21,100.159,100.165,45905U5F7=
2020-12-22,100.196,100.202,45905U5F7=
2020-12-23,100.102,100.109,45905U5F7=
2020-12-24,100.151,100.157,45905U5F7=
2020-12-28,100.181,100.187,45905U5F7=
2020-12-29,100.174,100.18,45905U5F7=
2020-12-30,100.174,100.18,45905U5F7=
2020-12-31,100.173,100.178,45905U5F7=
2021-01-04,100.173,100.178,45905U5F7=
2021-01-05,100.096,100.102,45905U5F7=
2021-01-06,99.74,99.994,45905U5F7=
2021-01-07,99.238,99.491,45905U5F7=
2021-01-08,98.979,99.231,45905U5F7=
2021-01-11,98.782,99.033,45905U5F7=
2021-01-12,98.876,99.127,45905U5F7=
2021-01-13,99.152,99.405,45905U5F7=
2021-01-14,98.911,99.162,45905U5F7=
2021-01-15,99.206,99.458,45905U5F7=
2021-01-18,99.188,99.44,45905U5F7=
2021-01-19,99.191,99.443,45905U5F7=
2021-01-20,99.29,99.542,45905U5F7=
2021-01-21,99.088,99.339,45905U5F7=
2021-01-22,99.235,99.487,45905U5F7=
2021-01-25,99.624,99.877,45905U5F7=
2021-01-26,99.515,99.767,45905U5F7=
2021-01-27,99.624,99.877,45905U5F7=
2021-01-28,99.135,99.387,45905U5F7=
2021-01-29,99.271,99.522,45905U5F7=
2021-02-01,99.233,99.485,45905U5F7=
2021-02-02,99.182,99.433,45905U5F7=
2021-02-03,98.891,99.141,45905U5F7=
2021-02-04,98.929,99.179,45905U5F7=
