Date,BID,ASK,RIC
2023-04-20,90.809,90.817,45905U5Y6=RRPS
2023-04-21,90.747,90.755,45905U5Y6=RRPS
2023-04-24,90.923,90.931,45905U5Y6=RRPS
2023-04-25,91.788,91.796,45905U5Y6=RRPS
2023-04-26,91.192,91.2,45905U5Y6=RRPS
2023-04-27,90.993,91.001,45905U5Y6=RRPS
2023-04-28,91.285,91.293,45905U5Y6=RRPS
2023-05-01,90.972,90.98,45905U5Y6=RRPS
2023-05-02,91.787,91.795,45905U5Y6=RRPS
2023-05-03,92.132,92.14,45905U5Y6=RRPS
2023-05-04,92.057,92.065,45905U5Y6=RRPS
2023-05-05,91.471,91.479,45905U5Y6=RRPS
2023-05-08,91.415,91.423,45905U5Y6=RRPS
2023-05-09,91.113,91.121,45905U5Y6=RRPS
2023-05-10,91.449,91.457,45905U5Y6=RRPS
2023-05-11,91.5,91.508,45905U5Y6=RRPS
2023-05-12,91.411,91.419,45905U5Y6=RRPS
2023-05-15,91.588,91.596,45905U5Y6=RRPS
2023-05-16,91.362,91.37,45905U5Y6=RRPS
2023-05-17,91.106,91.114,45905U5Y6=RRPS
2023-05-18,90.977,90.985,45905U5Y6=RRPS
2023-05-19,90.765,90.773,45905U5Y6=RRPS
2023-05-22,90.708,90.716,45905U5Y6=RRPS
2023-05-23,90.73,90.738,45905U5Y6=RRPS
2023-05-24,90.598,90.606,45905U5Y6=RRPS
2023-05-25,90.28,90.288,45905U5Y6=RRPS
2023-05-26,90.25,90.258,45905U5Y6=RRPS
2023-05-29,90.223,90.231,45905U5Y6=RRPS
2023-05-30,90.615,90.623,45905U5Y6=RRPS
2023-05-31,90.76,90.768,45905U5Y6=RRPS
2023-06-01,90.946,90.954,45905U5Y6=RRPS
2023-06-02,90.584,90.592,45905U5Y6=RRPS
2023-06-05,90.667,90.675,45905U5Y6=RRPS
2023-06-06,90.676,90.684,45905U5Y6=RRPS
2023-06-07,90.464,90.472,45905U5Y6=RRPS
2023-06-08,90.641,90.649,45905U5Y6=RRPS
2023-06-09,90.325,90.333,45905U5Y6=RRPS
2023-06-12,90.509,90.517,45905U5Y6=RRPS
2023-06-13,90.255,90.263,45905U5Y6=RRPS
2023-06-14,90.148,90.156,45905U5Y6=RRPS
2023-06-15,90.397,90.405,45905U5Y6=RRPS
2023-06-16,90.222,90.23,45905U5Y6=RRPS
2023-06-19,90.116,90.124,45905U5Y6=RRPS
2023-06-20,90.283,90.291,45905U5Y6=RRPS
2023-06-21,90.283,90.291,45905U5Y6=RRPS
2023-06-22,90.114,90.183,45905U5Y6=RRPS
2023-06-23,90.112,90.423444,45905U5Y6=RRPS
2023-06-26,90.293,90.603706,45905U5Y6=RRPS
2023-06-27,90.184,90.500725,45905U5Y6=RRPS
2023-06-28,90.325,90.64331,45905U5Y6=RRPS
2023-06-29,89.986,90.304491,45905U5Y6=RRPS
2023-06-30,90.06,90.378317,45905U5Y6=RRPS
2023-07-03,89.884,90.202317,45905U5Y6=RRPS
2023-07-04,89.937,90.253151,45905U5Y6=RRPS
2023-07-05,89.636,89.950609,45905U5Y6=RRPS
2023-07-06,89.65,89.965496,45905U5Y6=RRPS
2023-07-07,89.736,90.05841,45905U5Y6=RRPS
2023-07-10,89.979,90.30141,45905U5Y6=RRPS
2023-07-11,90.014,90.330678,45905U5Y6=RRPS
2023-07-12,90.372,90.687617,45905U5Y6=RRPS
2023-07-13,90.758,91.074254,45905U5Y6=RRPS
2023-07-14,90.268,90.584152,45905U5Y6=RRPS
2023-07-17,90.455,90.771152,45905U5Y6=RRPS
2023-07-18,90.327,90.64083,45905U5Y6=RRPS
2023-07-19,90.375,90.688935,45905U5Y6=RRPS
2023-07-20,90.222,90.534959,45905U5Y6=RRPS
2023-07-21,90.207,90.520216,45905U5Y6=RRPS
