Date,BID,ASK,RIC
2021-01-27,99.9595,100.0121,45906M2E0=
2021-01-28,99.6845,99.9628,45906M2E0=
2021-01-29,99.3716,99.6489,45906M2E0=
2021-02-01,99.5154,99.7931,45906M2E0=
2021-02-05,98.8102,99.0853,45906M2E0=
2021-02-08,98.7595,99.0344,45906M2E0=
2021-02-09,98.8233,99.0983,45906M2E0=
2021-02-10,99.2716,99.5479,45906M2E0=
2021-02-11,99.1222,99.3977,45906M2E0=
2021-02-12,98.738,99.0123,45906M2E0=
2021-02-15,98.4294,98.7028,45906M2E0=
2021-02-16,98.1967,98.4693,45906M2E0=
2021-02-17,98.5384,98.812,45906M2E0=
2021-02-18,98.4011,98.674,45906M2E0=
2021-02-19,97.665,97.9356,45906M2E0=
2021-02-22,97.3443,97.6139,45906M2E0=
2021-02-23,97.5463,97.8164,45906M2E0=
2021-02-24,97.2993,97.5686,45906M2E0=
2021-02-25,96.0231,96.2882,45906M2E0=
2021-02-26,96.8459,97.1134,45906M2E0=
2021-03-01,96.4457,96.7119,45906M2E0=
2021-03-02,96.9647,97.2324,45906M2E0=
2021-03-03,96.3614,96.6272,45906M2E0=
2021-03-04,95.9621,96.2265,45906M2E0=
2021-03-05,95.5185,95.7815,45906M2E0=
2021-03-08,95.468,95.7308,45906M2E0=
2021-03-09,95.9657,96.2299,45906M2E0=
2021-03-10,96.0318,96.2961,45906M2E0=
2021-03-11,95.5582,95.8209,45906M2E0=
2021-03-12,95.0125,95.2735,45906M2E0=
2021-03-15,95.1838,95.4452,45906M2E0=
2021-03-16,95.0446,95.3056,45906M2E0=
2021-03-17,94.8438,95.1041,45906M2E0=
2021-03-18,94.563,94.8222,45906M2E0=
2021-03-19,93.9212,94.1784,45906M2E0=
2021-03-22,94.2441,94.5022,45906M2E0=
2021-03-23,94.8908,95.1508,45906M2E0=
2021-03-24,94.9622,95.2224,45906M2E0=
2021-03-25,94.6192,94.8781,45906M2E0=
2021-03-26,94.4075,94.6657,45906M2E0=
2021-03-29,94.0606,94.3178,45906M2E0=
2021-03-30,94.1419,94.3992,45906M2E0=
2021-03-31,93.8177,94.0738,45906M2E0=
2021-04-01,95.6819,95.9435,45906M2E0=
2021-04-02,95.3289,95.5895,45906M2E0=
2021-04-05,95.4107,95.6714,45906M2E0=
2021-04-06,95.6766,95.9381,45906M2E0=
2021-04-07,95.5039,95.7648,45906M2E0=
2021-04-08,95.9544,96.2164,45906M2E0=
2021-04-09,95.8035,96.065,45906M2E0=
2021-04-12,95.6721,95.9331,45906M2E0=
2021-04-13,96.0941,96.3563,45906M2E0=
2021-04-14,95.8919,96.1535,45906M2E0=
2021-04-15,96.1599,96.422,45906M2E0=
2021-04-16,96.1778,96.4399,45906M2E0=
2021-04-19,96.1048,96.3666,45906M2E0=
2021-04-20,96.7198,96.9834,45906M2E0=
2021-04-21,96.784,97.0477,45906M2E0=
2021-04-22,96.9335,97.1975,45906M2E0=
2021-04-23,96.7739,97.0373,45906M2E0=
2021-04-26,96.7149,96.9781,45906M2E0=
2021-04-27,96.1554,96.4168,45906M2E0=
2021-04-28,96.4367,96.6989,45906M2E0=
2021-04-29,96.3364,96.5981,45906M2E0=
2021-04-30,96.4619,96.7239,45906M2E0=
2021-05-03,96.7087,96.9714,45906M2E0=
2021-05-04,96.7787,97.0415,45906M2E0=
2021-05-05,96.9514,97.2146,45906M2E0=
2021-05-06,96.952,97.215,45906M2E0=
2021-05-07,96.5649,96.8267,45906M2E0=
2021-05-10,96.3662,96.6273,45906M2E0=
2021-05-11,96.4547,96.716,45906M2E0=
2021-05-12,95.8455,96.105,45906M2E0=
2021-05-13,96.2878,96.5484,45906M2E0=
2021-05-14,96.4933,96.7544,45906M2E0=
2021-05-17,96.36,96.6206,45906M2E0=
2021-05-18,96.4715,96.7324,45906M2E0=
2021-05-19,96.0733,96.3329,45906M2E0=
2021-05-20,96.4795,96.7401,45906M2E0=
2021-05-21,96.6723,96.9334,45906M2E0=
2021-05-24,96.8339,97.0954,45906M2E0=
2021-05-25,97.5201,97.7836,45906M2E0=
2021-05-26,97.3521,97.615,45906M2E0=
2021-05-27,97.1398,97.4019,45906M2E0=
2021-05-28,97.1603,97.4224,45906M2E0=
2021-05-31,96.0599,96.3187,45906M2E0=
2021-06-01,96.0419,96.3006,45906M2E0=
2021-06-02,96.1828,96.4419,45906M2E0=
2021-06-03,95.7086,95.9661,45906M2E0=
2021-06-04,96.0444,96.3028,45906M2E0=
2021-06-07,96.3603,96.6195,45906M2E0=
2021-06-08,96.6376,96.8976,45906M2E0=
2021-06-09,97.01,97.271,45906M2E0=
2021-06-10,97.456,97.7181,45906M2E0=
2021-06-11,97.2285,97.4899,45906M2E0=
2021-06-14,96.8538,97.114,45906M2E0=
2021-06-15,97.0152,97.2758,45906M2E0=
2021-06-16,96.214,96.4722,45906M2E0=
2021-06-17,96.7674,97.027,45906M2E0=
2021-06-18,97.2845,97.5455,45906M2E0=
2021-06-21,96.8896,97.1494,45906M2E0=
2021-06-22,97.1346,97.3951,45906M2E0=
2021-06-23,96.963,97.2229,45906M2E0=
2021-06-24,96.858,97.1174,45906M2E0=
2021-06-25,96.4977,96.7559,45906M2E0=
2021-06-28,96.8647,97.1239,45906M2E0=
2021-06-29,96.9091,97.1684,45906M2E0=
2021-06-30,96.9628,97.2222,45906M2E0=
2021-07-01,97.0256,97.2849,45906M2E0=
2021-07-02,97.4194,97.6798,45906M2E0=
2021-07-05,97.3839,97.6442,45906M2E0=
