Date,BID,ASK,RIC
2021-03-03,98.7299,99.2125,45906M2L4=
2021-03-04,98.5879,99.069,45906M2L4=
2021-03-05,98.3444,98.8239,45906M2L4=
2021-03-08,98.2164,98.6949,45906M2L4=
2021-03-09,98.3701,98.8492,45906M2L4=
2021-03-10,98.4618,98.9411,45906M2L4=
2021-03-11,98.2879,98.7655,45906M2L4=
2021-03-12,98.1271,98.6036,45906M2L4=
2021-03-15,98.2755,98.7525,45906M2L4=
2021-03-16,98.2764,98.7531,45906M2L4=
2021-03-17,98.3106,98.7873,45906M2L4=
2021-03-18,98.1806,98.6558,45906M2L4=
2021-03-19,98.0538,98.528,45906M2L4=
2021-03-22,98.1211,98.5954,45906M2L4=
2021-03-23,98.3446,98.8199,45906M2L4=
2021-03-24,98.355,98.83,45906M2L4=
2021-03-25,98.2585,98.7322,45906M2L4=
2021-03-26,98.2169,98.6901,45906M2L4=
2021-03-29,98.1774,98.6504,45906M2L4=
2021-03-30,98.1943,98.6672,45906M2L4=
2021-03-31,97.9211,98.3914,45906M2L4=
2021-04-01,99.6438,99.7313,45906M2L4=
2021-04-02,99.587,99.6744,45906M2L4=
2021-04-05,99.6109,99.6981,45906M2L4=
2021-04-06,99.6426,99.7296,45906M2L4=
2021-04-07,99.6402,99.7269,45906M2L4=
2021-04-08,99.6831,99.769,45906M2L4=
2021-04-09,99.6773,99.7629,45906M2L4=
2021-04-12,99.6536,99.7389,45906M2L4=
2021-04-13,99.6785,99.7636,45906M2L4=
2021-04-14,99.66,99.7448,45906M2L4=
2021-04-15,99.6835,99.7675,45906M2L4=
2021-04-16,99.6837,99.7674,45906M2L4=
2021-04-19,99.7039,99.7874,45906M2L4=
2021-04-20,99.7431,99.8264,45906M2L4=
2021-04-21,99.7406,99.8236,45906M2L4=
2021-04-22,99.7498,99.832,45906M2L4=
2021-04-23,99.7162,99.798,45906M2L4=
2021-04-26,99.7033,99.7849,45906M2L4=
2021-04-27,99.6816,99.7628,45906M2L4=
2021-04-28,99.7142,99.7952,45906M2L4=
2021-04-29,99.7292,99.8094,45906M2L4=
2021-04-30,99.7285,99.8084,45906M2L4=
2021-05-03,99.7406,99.8203,45906M2L4=
2021-05-04,99.7303,99.8097,45906M2L4=
2021-05-05,99.7518,99.8309,45906M2L4=
2021-05-06,99.7466,99.8249,45906M2L4=
2021-05-07,99.7389,99.8169,45906M2L4=
2021-05-10,99.7297,99.8074,45906M2L4=
2021-05-11,99.757,99.8345,45906M2L4=
2021-05-12,99.7262,99.8034,45906M2L4=
2021-05-13,99.7559,99.8323,45906M2L4=
2021-05-14,99.7651,99.8412,45906M2L4=
2021-05-17,99.7447,99.8205,45906M2L4=
2021-05-18,99.7585,99.8341,45906M2L4=
2021-05-19,99.7225,99.7977,45906M2L4=
2021-05-20,99.7426,99.817,45906M2L4=
2021-05-21,99.7451,99.8193,45906M2L4=
2021-05-24,99.7608,99.8347,45906M2L4=
2021-05-25,99.8051,99.8788,45906M2L4=
2021-05-26,99.8,99.8734,45906M2L4=
2021-05-27,99.8008,99.8734,45906M2L4=
2021-05-28,99.8108,99.8831,45906M2L4=
2021-05-31,99.8085,99.8808,45906M2L4=
2021-06-01,99.8102,99.8822,45906M2L4=
2021-06-02,99.8181,99.8899,45906M2L4=
2021-06-03,99.7706,99.8415,45906M2L4=
2021-06-07,99.8146,99.885,45906M2L4=
2021-06-14,99.8189,99.8874,45906M2L4=
2021-06-15,99.8231,99.8913,45906M2L4=
2021-06-16,99.7709,99.8388,45906M2L4=
2021-06-17,99.783,99.85,45906M2L4=
2021-06-18,99.7779,99.8447,45906M2L4=
2021-06-21,99.7881,99.8546,45906M2L4=
2021-06-22,99.8109,99.8772,45906M2L4=
2021-06-23,99.7919,99.8579,45906M2L4=
2021-06-24,99.7854,99.8505,45906M2L4=
2021-06-25,99.7545,99.8193,45906M2L4=
2021-06-28,99.7743,99.8389,45906M2L4=
2021-06-29,99.7997,99.864,45906M2L4=
2021-06-30,99.8005,99.8645,45906M2L4=
2021-07-01,99.8027,99.8656,45906M2L4=
2021-07-02,99.8236,99.8863,45906M2L4=
2021-07-05,99.8269,99.8896,45906M2L4=
2021-07-06,99.8712,99.9337,45906M2L4=
2021-07-07,99.8661,99.9283,45906M2L4=
2021-07-08,99.8882,99.9496,45906M2L4=
2021-07-09,99.8673,99.9284,45906M2L4=
2021-07-12,99.8624,99.9232,45906M2L4=
2021-07-13,99.8449,99.9054,45906M2L4=
2021-07-14,99.8824,99.9427,45906M2L4=
2021-07-15,99.8929,99.9523,45906M2L4=
2021-07-16,99.8987,99.9579,45906M2L4=
2021-07-19,99.9186,99.9775,45906M2L4=
2021-07-20,99.9325,99.9912,45906M2L4=
2021-07-21,99.9071,99.9654,45906M2L4=
2021-07-22,99.9309,99.9884,45906M2L4=
2021-07-23,99.9301,99.9874,45906M2L4=
2021-07-26,99.9327,99.9897,45906M2L4=
2021-07-27,99.9432,99.9999,45906M2L4=
2021-07-28,99.9356,99.992,45906M2L4=
