Date,BID,ASK,RIC
2022-03-23,100.1762,101.0623,45906M3D1=
2022-03-24,99.2988,100.1761,45906M3D1=
2022-03-25,97.9303,98.1885,45906M3D1=
2022-03-28,97.7763,98.034,45906M3D1=
2022-03-29,98.6139,98.8741,45906M3D1=
2022-03-30,99.5787,99.8417,45906M3D1=
2022-03-31,99.6927,99.9558,45906M3D1=
2022-04-01,99.4741,99.7365,45906M3D1=
2022-04-04,99.0995,99.3607,45906M3D1=
2022-04-05,97.8825,98.1401,45906M3D1=
2022-04-06,97.2511,97.5067,45906M3D1=
2022-04-07,97.0237,97.2784,45906M3D1=
2022-04-08,96.4415,96.6944,45906M3D1=
2022-04-11,95.6048,95.8552,45906M3D1=
2022-04-12,95.9983,96.2498,45906M3D1=
2022-04-13,96.2868,96.5389,45906M3D1=
2022-04-14,95.2537,95.5027,45906M3D1=
2022-04-15,95.4091,95.6586,45906M3D1=
2022-04-18,94.924,95.172,45906M3D1=
2022-04-19,94.407,94.6534,45906M3D1=
2022-04-20,95.4643,95.7137,45906M3D1=
2022-04-21,94.9217,95.1693,45906M3D1=
2022-04-22,94.7911,95.0383,45906M3D1=
2022-04-25,95.0889,95.3369,45906M3D1=
2022-04-26,95.6698,95.9195,45906M3D1=
2022-04-27,95.1903,95.4385,45906M3D1=
2022-04-28,95.392,95.6406,45906M3D1=
2022-04-29,94.3653,94.6108,45906M3D1=
2022-05-02,94.9405,95.1877,45906M3D1=
2022-05-03,94.5151,94.7609,45906M3D1=
2022-05-04,94.3774,94.6228,45906M3D1=
2022-05-05,93.7391,93.9824,45906M3D1=
2022-05-06,92.8788,93.1195,45906M3D1=
2022-05-09,94.4003,94.6454,45906M3D1=
2022-05-10,94.2794,94.5241,45906M3D1=
2022-05-11,94.9512,95.1978,45906M3D1=
2022-05-12,95.2176,95.4648,45906M3D1=
2022-05-13,94.8657,95.1118,45906M3D1=
2022-05-16,94.4584,94.7033,45906M3D1=
2022-05-17,94.4027,94.6474,45906M3D1=
2022-05-18,95.5599,95.8079,45906M3D1=
2022-05-19,95.6869,95.9351,45906M3D1=
2022-05-20,96.3596,96.6097,45906M3D1=
2022-05-23,95.5157,95.7633,45906M3D1=
2022-05-24,95.9794,96.2283,45906M3D1=
2022-05-25,96.4204,96.6705,45906M3D1=
2022-05-26,96.4909,96.741,45906M3D1=
2022-05-27,96.4072,96.657,45906M3D1=
2022-05-30,95.8838,96.1321,45906M3D1=
2022-05-31,95.3589,95.6056,45906M3D1=
2022-06-01,94.9424,95.1878,45906M3D1=
2022-06-02,94.946,95.1912,45906M3D1=
2022-06-03,94.9472,95.1924,45906M3D1=
2022-06-06,94.1446,94.3873,45906M3D1=
2022-06-07,94.235,94.478,45906M3D1=
2022-06-08,93.9297,94.1717,45906M3D1=
2022-06-09,94.0952,94.3375,45906M3D1=
2022-06-10,93.2303,93.47,45906M3D1=
2022-06-13,91.2851,91.5191,45906M3D1=
2022-06-14,90.1507,90.3813,45906M3D1=
2022-06-15,91.8438,92.0793,45906M3D1=
2022-06-16,93.0825,93.3214,45906M3D1=
2022-06-17,92.4823,92.7194,45906M3D1=
2022-06-20,92.2116,92.4479,45906M3D1=
2022-06-21,92.122,92.3579,45906M3D1=
2022-06-22,92.1004,92.3362,45906M3D1=
2022-06-23,92.5859,92.823,45906M3D1=
2022-06-24,93.1497,93.3883,45906M3D1=
2022-06-27,92.7237,92.961,45906M3D1=
2022-06-28,92.844,93.0816,45906M3D1=
2022-06-29,93.4808,93.7202,45906M3D1=
2022-06-30,94.3032,94.5448,45906M3D1=
2022-07-01,95.1611,95.4051,45906M3D1=
2022-07-04,94.9046,95.1479,45906M3D1=
2022-07-05,95.6591,95.9045,45906M3D1=
2022-07-06,94.7344,94.977,45906M3D1=
2022-07-07,94.1912,94.4321,45906M3D1=
2022-07-08,93.5539,93.7929,45906M3D1=
2022-07-11,94.09,94.3305,45906M3D1=
2022-07-12,94.0274,94.2676,45906M3D1=
2022-07-13,94.9614,95.2043,45906M3D1=
2022-07-14,94.7796,95.0218,45906M3D1=
2022-07-15,94.7809,95.023,45906M3D1=
2022-07-18,94.5971,94.8386,45906M3D1=
2022-07-19,93.8225,94.0617,45906M3D1=
2022-07-20,93.7285,93.9674,45906M3D1=
2022-07-21,95.0788,95.3214,45906M3D1=
2022-07-22,96.2179,96.4637,45906M3D1=
2022-07-25,95.6888,95.933,45906M3D1=
2022-07-26,95.7224,95.9667,45906M3D1=
2022-07-27,96.0329,96.278,45906M3D1=
2022-07-28,96.6405,96.8872,45906M3D1=
2022-07-29,96.9952,97.2429,45906M3D1=
2022-08-01,97.4919,97.741,45906M3D1=
2022-08-02,96.0135,96.2582,45906M3D1=
2022-08-03,96.9316,97.1789,45906M3D1=
2022-08-04,96.6383,96.8846,45906M3D1=
2022-08-05,95.8641,96.1081,45906M3D1=
2022-08-08,96.1661,96.4109,45906M3D1=
2022-08-09,95.9312,96.1753,45906M3D1=
2022-08-10,95.6403,95.8835,45906M3D1=
2022-08-11,94.8067,95.0473,45906M3D1=
2022-08-12,95.5882,95.831,45906M3D1=
2022-08-15,95.5005,95.7429,45906M3D1=
2022-08-16,95.542,95.7845,45906M3D1=
2022-08-17,94.772,95.0122,45906M3D1=
2022-08-18,94.9199,95.1604,45906M3D1=
2022-08-19,94.2041,94.4424,45906M3D1=
2022-08-22,93.8415,94.0787,45906M3D1=
2022-08-23,93.5672,93.8036,45906M3D1=
2022-08-24,93.1295,93.3646,45906M3D1=
2022-08-25,93.6209,93.8572,45906M3D1=
2022-08-26,93.6304,93.8667,45906M3D1=
2022-08-29,92.9654,93.1998,45906M3D1=
2022-08-30,92.9897,93.2241,45906M3D1=
2022-08-31,92.3389,92.5714,45906M3D1=
2022-09-01,92.0149,92.2462,45906M3D1=
2022-09-02,92.511,92.7436,45906M3D1=
2022-09-05,92.233,92.4649,45906M3D1=
2022-09-06,91.314,91.5432,45906M3D1=
2022-09-07,92.1133,92.3447,45906M3D1=
2022-09-08,91.6894,91.9194,45906M3D1=
2022-09-09,91.7604,91.9905,45906M3D1=
2022-09-12,91.4261,91.6552,45906M3D1=
2022-09-13,91.0176,91.2455,45906M3D1=
2022-09-14,90.7775,91.0047,45906M3D1=
2022-09-15,90.4451,90.6711,45906M3D1=
2022-09-16,90.4174,90.6433,45906M3D1=
2022-09-19,90.1121,90.3371,45906M3D1=
2022-09-20,89.5551,89.7784,45906M3D1=
2022-09-21,89.8182,90.0422,45906M3D1=
2022-09-22,88.5251,88.7453,45906M3D1=
2022-09-23,88.6966,88.9172,45906M3D1=
2022-09-26,86.9499,87.1655,45906M3D1=
2022-09-27,86.8026,87.0178,45906M3D1=
2022-09-28,87.8147,88.0327,45906M3D1=
2022-09-29,87.5121,87.729,45906M3D1=
2022-09-30,87.1765,87.3924,45906M3D1=
2022-10-03,88.5279,88.7476,45906M3D1=
2022-10-04,88.5891,88.8089,45906M3D1=
2022-10-05,87.7189,87.9362,45906M3D1=
2022-10-06,87.7811,87.9983,45906M3D1=
2022-10-07,87.3514,87.5674,45906M3D1=
2022-10-10,86.828,87.0425,45906M3D1=
2022-10-11,87.2323,87.4479,45906M3D1=
2022-10-12,87.5588,87.7753,45906M3D1=
2022-10-13,87.4238,87.6397,45906M3D1=
2022-10-14,86.9111,87.1255,45906M3D1=
2022-10-17,86.4873,86.7005,45906M3D1=
2022-10-18,86.526,86.7392,45906M3D1=
2022-10-19,85.8158,86.027,45906M3D1=
2022-10-21,85.2624,85.4718,45906M3D1=
2022-10-24,85.071,85.2798,45906M3D1=
2022-10-25,86.0326,86.2441,45906M3D1=
2022-10-26,86.8495,87.0632,45906M3D1=
2022-10-27,87.3911,87.6062,45906M3D1=
2022-10-28,86.8234,87.0368,45906M3D1=
2022-10-31,86.2603,86.4721,45906M3D1=
2022-11-01,86.4895,86.7019,45906M3D1=
2022-11-02,85.6632,85.8732,45906M3D1=
2022-11-03,85.7922,86.0024,45906M3D1=
2022-11-04,85.6837,85.8936,45906M3D1=
2022-11-07,85.3873,85.5963,45906M3D1=
2022-11-08,86.0194,86.2301,45906M3D1=
