Date,BID,ASK,RIC
2020-08-21,99.377,100.3372,45950KCU2=
2020-08-24,99.1957,100.154,45950KCU2=
2020-08-25,99.0623,100.0192,45950KCU2=
2020-08-26,98.9674,99.9231,45950KCU2=
2020-08-27,97.7763,98.7191,45950KCU2=
2020-08-28,98.6363,99.5878,45950KCU2=
2020-08-31,99.0825,100.0384,45950KCU2=
2020-09-01,99.1208,100.0768,45950KCU2=
2020-09-02,99.5404,100.5005,45950KCU2=
2020-09-03,99.8467,100.8089,45950KCU2=
2020-09-04,99.417,100.3745,45950KCU2=
2020-09-07,99.3828,100.34,45950KCU2=
2020-09-08,99.0465,99.9999,45950KCU2=
2020-09-09,98.6871,98.9709,45950KCU2=
2020-09-10,99.1423,99.4273,45950KCU2=
2020-09-11,99.152,99.4369,45950KCU2=
2020-09-14,98.9912,99.2756,45950KCU2=
2020-09-15,98.9442,99.2283,45950KCU2=
2020-09-16,98.7745,99.058,45950KCU2=
2020-09-17,98.766,99.0493,45950KCU2=
2020-09-18,98.625,98.9078,45950KCU2=
2020-09-21,98.6819,98.9648,45950KCU2=
2020-09-22,98.9462,99.2298,45950KCU2=
2020-09-23,99.0786,99.3625,45950KCU2=
2020-09-24,98.8813,99.1644,45950KCU2=
2020-09-25,99.1835,99.4675,45950KCU2=
2020-09-28,99.1648,99.4486,45950KCU2=
2020-09-29,99.4204,99.7049,45950KCU2=
2020-09-30,98.9013,99.1842,45950KCU2=
2020-10-01,99.1565,99.4399,45950KCU2=
2020-10-02,98.6395,98.9213,45950KCU2=
2020-10-05,97.9488,98.2284,45950KCU2=
2020-10-06,98.453,98.734,45950KCU2=
2020-10-07,98.0894,98.3692,45950KCU2=
2020-10-08,98.0357,98.3151,45950KCU2=
2020-10-09,98.0362,98.3155,45950KCU2=
2020-10-12,98.2095,98.4893,45950KCU2=
2020-10-13,98.5026,98.7833,45950KCU2=
2020-10-14,98.5217,98.8023,45950KCU2=
2020-10-15,98.4109,98.691,45950KCU2=
2020-10-16,98.2066,98.486,45950KCU2=
2020-10-19,98.1049,98.3839,45950KCU2=
2020-10-20,97.8828,98.161,45950KCU2=
2020-10-21,97.6523,97.9297,45950KCU2=
2020-10-22,96.8824,97.1573,45950KCU2=
2020-10-23,97.6548,97.9319,45950KCU2=
2020-10-26,97.914,98.1919,45950KCU2=
2020-10-27,98.2109,98.4896,45950KCU2=
2020-10-28,98.0909,98.3692,45950KCU2=
2020-10-29,97.5659,97.8424,45950KCU2=
2020-10-30,96.9796,97.2542,45950KCU2=
2020-11-02,97.3742,97.65,45950KCU2=
2020-11-03,96.9721,97.2466,45950KCU2=
2020-11-04,97.5685,97.8447,45950KCU2=
2020-11-05,97.8925,98.1695,45950KCU2=
2020-11-06,97.6722,97.9484,45950KCU2=
2020-11-09,97.5449,97.8206,45950KCU2=
2020-11-10,96.8511,97.1246,45950KCU2=
2020-11-12,97.0995,97.3735,45950KCU2=
2020-11-13,96.9636,97.2371,45950KCU2=
2020-11-16,97.0282,97.3019,45950KCU2=
2020-11-17,97.6595,97.935,45950KCU2=
2020-11-18,97.6784,97.9539,45950KCU2=
2020-11-19,97.8454,98.1212,45950KCU2=
2020-11-20,98.1032,98.3797,45950KCU2=
2020-11-23,97.7824,98.0578,45950KCU2=
2020-11-24,97.5457,97.8202,45950KCU2=
2020-11-25,97.6664,97.9411,45950KCU2=
2020-11-26,97.9106,98.186,45950KCU2=
2020-11-27,98.0334,98.3091,45950KCU2=
2020-11-30,98.1257,98.4016,45950KCU2=
2020-12-01,97.6957,97.9702,45950KCU2=
2020-12-02,97.3408,97.6142,45950KCU2=
2020-12-03,97.4977,97.7713,45950KCU2=
2020-12-04,97.2074,97.4801,45950KCU2=
2020-12-07,97.3444,97.6174,45950KCU2=
2020-12-08,97.4087,97.6819,45950KCU2=
2020-12-09,97.3458,97.6187,45950KCU2=
2020-12-10,97.6389,97.9124,45950KCU2=
2020-12-11,97.6395,97.913,45950KCU2=
2020-12-14,97.8041,98.078,45950KCU2=
2020-12-15,97.5045,97.7774,45950KCU2=
2020-12-16,97.3509,97.6233,45950KCU2=
2020-12-17,97.0185,97.2896,45950KCU2=
2020-12-18,97.1096,97.3809,45950KCU2=
2020-12-21,96.903,97.1737,45950KCU2=
2020-12-22,97.3281,97.6,45950KCU2=
2020-12-23,96.9342,97.2046,45950KCU2=
2020-12-24,97.3769,97.6485,45950KCU2=
2020-12-28,97.5858,97.858,45950KCU2=
2020-12-29,97.3394,97.6108,45950KCU2=
2020-12-30,97.4709,97.7424,45950KCU2=
2020-12-31,97.5439,97.8156,45950KCU2=
2021-01-04,97.5445,97.8161,45950KCU2=
2021-01-05,96.852,97.1214,45950KCU2=
2021-01-06,96.5486,96.8171,45950KCU2=
2021-01-07,95.8223,96.0884,45950KCU2=
2021-01-08,95.5053,95.7703,45950KCU2=
2021-01-11,95.4448,95.7096,45950KCU2=
2021-01-12,95.5606,95.8257,45950KCU2=
2021-01-13,95.9065,96.1725,45950KCU2=
2021-01-14,95.4082,95.6724,45950KCU2=
2021-01-15,96.0448,96.3109,45950KCU2=
2021-01-18,96.0007,96.2666,45950KCU2=
2021-01-19,96.0902,96.3563,45950KCU2=
2021-01-20,96.047,96.3129,45950KCU2=
2021-01-21,95.8559,96.121,45950KCU2=
2021-01-22,95.9718,96.2372,45950KCU2=
2021-01-25,96.6199,96.8872,45950KCU2=
2021-01-26,96.4431,96.7097,45950KCU2=
2021-01-27,96.5329,96.7997,45950KCU2=
2021-01-28,95.8363,96.1009,45950KCU2=
2021-01-29,96.0225,96.2876,45950KCU2=
2021-02-01,96.1295,96.3948,45950KCU2=
2021-02-02,95.9894,96.2543,45950KCU2=
2021-02-03,95.4283,95.6914,45950KCU2=
2021-02-04,95.6335,95.897,45950KCU2=
2021-02-05,95.3459,95.6085,45950KCU2=
2021-02-08,95.286,95.5483,45950KCU2=
2021-02-09,95.2611,95.5233,45950KCU2=
2021-02-10,95.8137,96.0774,45950KCU2=
2021-02-11,95.3897,95.6519,45950KCU2=
2021-02-12,95.0862,95.3474,45950KCU2=
2021-02-15,94.6811,94.9411,45950KCU2=
2021-02-16,94.4726,94.7319,45950KCU2=
2021-02-17,94.7247,94.9847,45950KCU2=
2021-02-18,94.3408,94.5994,45950KCU2=
2021-02-19,93.973,94.2305,45950KCU2=
2021-02-22,93.7437,94.0004,45950KCU2=
2021-02-23,93.9335,94.1907,45950KCU2=
2021-02-24,93.6191,93.8753,45950KCU2=
2021-02-25,92.7128,92.966,45950KCU2=
2021-02-26,93.4934,93.7488,45950KCU2=
2021-03-01,93.3423,93.5972,45950KCU2=
2021-03-02,93.5819,93.8374,45950KCU2=
2021-03-03,93.0243,93.2781,45950KCU2=
2021-03-04,92.6677,92.9203,45950KCU2=
2021-03-05,92.2505,92.5018,45950KCU2=
2021-03-08,92.2025,92.4535,45950KCU2=
2021-03-09,92.6653,92.9176,45950KCU2=
2021-03-10,92.7261,92.9785,45950KCU2=
