Date,BID,ASK,RIC
2022-04-26,94.039,94.105,45950VQG4=
2022-04-27,93.869,93.935,45950VQG4=
2022-04-28,93.784,93.85,45950VQG4=
2022-04-29,93.633,93.698,45950VQG4=
2022-05-02,93.596,93.662,45950VQG4=
2022-05-03,93.422,93.487,45950VQG4=
2022-05-04,93.779,93.844,45950VQG4=
2022-05-05,93.651,93.717,45950VQG4=
2022-05-06,93.5,93.565,45950VQG4=
2022-05-09,93.892,93.957,45950VQG4=
2022-05-10,93.794,93.86,45950VQG4=
2022-05-11,93.777,93.843,45950VQG4=
2022-05-12,93.987,94.052,45950VQG4=
2022-05-13,93.998,94.063,45950VQG4=
2022-05-16,94.014,94.079,45950VQG4=
2022-05-17,93.747,93.811,45950VQG4=
2022-05-18,93.87,93.935,45950VQG4=
2022-05-19,94.033,94.097,45950VQG4=
2022-05-20,94.177,94.242,45950VQG4=
2022-05-23,94.008,94.072,45950VQG4=
2022-05-24,94.204,94.268,45950VQG4=
2022-05-25,94.359,94.423,45950VQG4=
2022-05-26,94.407,94.471,45950VQG4=
2022-05-27,94.38,94.444,45950VQG4=
2022-05-30,94.191,94.255,45950VQG4=
2022-05-31,94.133,94.197,45950VQG4=
2022-06-01,93.895,93.959,45950VQG4=
2022-06-02,93.95,94.014,45950VQG4=
2022-06-03,93.883,93.947,45950VQG4=
2022-06-06,93.712,93.775,45950VQG4=
2022-06-07,93.776,93.839,45950VQG4=
2022-06-08,93.651,93.714,45950VQG4=
2022-06-09,93.662,93.725,45950VQG4=
2022-06-10,93.142,93.204,45950VQG4=
2022-06-13,92.51,92.572,45950VQG4=
2022-06-14,92.4,92.462,45950VQG4=
2022-06-15,92.871,92.932,45950VQG4=
2022-06-16,93.274,93.336,45950VQG4=
2022-06-17,92.995,93.056,45950VQG4=
2022-06-20,92.861,92.922,45950VQG4=
2022-06-21,92.974,93.036,45950VQG4=
2022-06-22,93.273,93.335,45950VQG4=
2022-06-23,93.399,93.461,45950VQG4=
2022-06-24,93.385,93.446,45950VQG4=
2022-06-27,93.395,93.456,45950VQG4=
2022-06-28,93.321,93.382,45950VQG4=
2022-06-29,93.47,93.531,45950VQG4=
2022-06-30,93.712,93.773,45950VQG4=
2022-07-01,94.087,94.148,45950VQG4=
2022-07-04,93.991,94.052,45950VQG4=
2022-07-05,94.23,94.292,45950VQG4=
2022-07-06,93.802,93.863,45950VQG4=
2022-07-07,93.586,93.647,45950VQG4=
2022-07-08,93.331,93.391,45950VQG4=
2022-07-11,93.489,93.55,45950VQG4=
2022-07-12,93.539,93.6,45950VQG4=
2022-07-13,93.367,93.427,45950VQG4=
2022-07-14,93.673,93.733,45950VQG4=
2022-07-15,93.667,93.727,45950VQG4=
2022-07-18,93.445,93.505,45950VQG4=
2022-07-19,93.211,93.271,45950VQG4=
2022-07-20,93.152,93.212,45950VQG4=
2022-07-21,93.575,93.634,45950VQG4=
2022-07-22,93.743,93.802,45950VQG4=
2022-07-25,93.664,93.723,45950VQG4=
2022-07-26,93.63,93.689,45950VQG4=
2022-07-27,93.984,94.043,45950VQG4=
2022-07-28,94.07,94.129,45950VQG4=
2022-07-29,94.012,94.071,45950VQG4=
2022-08-01,93.951,94.01,45950VQG4=
2022-08-02,93.67,93.729,45950VQG4=
2022-08-03,93.725,93.783,45950VQG4=
2022-08-04,93.807,93.865,45950VQG4=
2022-08-05,93.424,93.482,45950VQG4=
2022-08-08,93.434,93.492,45950VQG4=
2022-08-09,93.386,93.444,45950VQG4=
2022-08-10,93.352,93.41,45950VQG4=
2022-08-11,93.364,93.421,45950VQG4=
2022-08-12,93.424,93.482,45950VQG4=
2022-08-15,93.519,93.577,45950VQG4=
2022-08-16,93.464,93.521,45950VQG4=
2022-08-17,93.459,93.516,45950VQG4=
2022-08-18,93.631,93.688,45950VQG4=
2022-08-19,93.582,93.639,45950VQG4=
2022-08-22,93.445,93.502,45950VQG4=
2022-08-23,93.477,93.534,45950VQG4=
2022-08-24,93.294,93.35,45950VQG4=
2022-08-25,93.374,93.431,45950VQG4=
2022-08-26,93.368,93.424,45950VQG4=
2022-08-29,93.143,93.199,45950VQG4=
2022-08-30,93.102,93.158,45950VQG4=
2022-08-31,93.042,93.098,45950VQG4=
2022-09-01,93.072,93.128,45950VQG4=
2022-09-02,93.308,93.364,45950VQG4=
2022-09-05,93.183,93.239,45950VQG4=
2022-09-06,93.111,93.166,45950VQG4=
2022-09-07,93.339,93.395,45950VQG4=
2022-09-08,93.23,93.285,45950VQG4=
2022-09-09,93.145,93.2,45950VQG4=
2022-09-12,93.13,93.185,45950VQG4=
2022-09-13,92.828,92.883,45950VQG4=
2022-09-14,92.759,92.814,45950VQG4=
2022-09-15,92.652,92.706,45950VQG4=
2022-09-16,92.638,92.692,45950VQG4=
2022-09-19,92.521,92.575,45950VQG4=
2022-09-20,92.377,92.431,45950VQG4=
2022-09-21,92.229,92.283,45950VQG4=
2022-09-22,92.154,92.208,45950VQG4=
2022-09-23,92.013,92.067,45950VQG4=
2022-09-26,91.771,91.825,45950VQG4=
2022-09-27,91.867,91.921,45950VQG4=
2022-09-28,92.162,92.216,45950VQG4=
2022-09-29,92.079,92.132,45950VQG4=
2022-09-30,91.946,91.999,45950VQG4=
2022-10-03,92.239,92.292,45950VQG4=
2022-10-04,92.275,92.328,45950VQG4=
2022-10-05,92.273,92.326,45950VQG4=
2022-10-06,92.034,92.087,45950VQG4=
2022-10-07,91.948,92.0,45950VQG4=
2022-10-10,91.926,91.978,45950VQG4=
2022-10-11,91.952,92.004,45950VQG4=
2022-10-12,92.034,92.086,45950VQG4=
2022-10-13,91.771,91.823,45950VQG4=
2022-10-14,91.73,91.782,45950VQG4=
2022-10-17,91.838,91.89,45950VQG4=
2022-10-18,91.882,91.934,45950VQG4=
2022-10-19,91.687,91.739,45950VQG4=
2022-10-21,91.863,91.914,45950VQG4=
2022-10-24,91.748,91.799,45950VQG4=
2022-10-25,91.855,91.906,45950VQG4=
2022-10-26,91.942,91.994,45950VQG4=
2022-10-27,92.212,92.263,45950VQG4=
2022-10-28,91.966,92.017,45950VQG4=
2022-10-31,91.871,91.921,45950VQG4=
2022-11-01,91.761,91.811,45950VQG4=
2022-11-02,91.685,91.735,45950VQG4=
2022-11-03,91.541,91.591,45950VQG4=
2022-11-04,91.653,91.703,45950VQG4=
2022-11-07,91.515,91.564,45950VQG4=
2022-11-08,91.695,91.745,45950VQG4=
2022-11-09,91.899,91.949,45950VQG4=
2022-11-10,92.33,92.38,45950VQG4=
2022-11-11,92.298,92.348,45950VQG4=
2022-11-14,92.226,92.276,45950VQG4=
2022-11-15,92.244,92.294,45950VQG4=
2022-11-16,92.222,92.272,45950VQG4=
2022-11-17,92.115,92.165,45950VQG4=
2022-11-18,91.977,92.026,45950VQG4=
2022-11-21,92.011,92.061,45950VQG4=
2022-11-22,92.097,92.146,45950VQG4=
2022-11-23,92.222,92.271,45950VQG4=
2022-11-24,92.3,92.349,45950VQG4=
2022-11-25,92.244,92.293,45950VQG4=
2022-11-28,92.201,92.25,45950VQG4=
2022-11-29,92.127,92.175,45950VQG4=
2022-11-30,92.421,92.469,45950VQG4=
2022-12-01,92.608,92.657,45950VQG4=
2022-12-02,92.59,92.639,45950VQG4=
2022-12-05,92.301,92.349,45950VQG4=
2022-12-06,92.355,92.404,45950VQG4=
2022-12-07,92.626,92.674,45950VQG4=
2022-12-08,92.559,92.608,45950VQG4=
2022-12-09,92.506,92.554,45950VQG4=
2022-12-12,92.489,92.537,45950VQG4=
2022-12-13,92.766,92.814,45950VQG4=
2022-12-14,92.853,92.901,45950VQG4=
2022-12-15,92.752,92.799,45950VQG4=
2022-12-16,92.866,92.914,45950VQG4=
2022-12-19,92.751,92.799,45950VQG4=
2022-12-20,92.775,92.823,45950VQG4=
2022-12-21,92.832,92.88,45950VQG4=
2022-12-22,92.73,92.777,45950VQG4=
2022-12-23,92.714,92.761,45950VQG4=
2022-12-27,92.638,92.685,45950VQG4=
2022-12-28,92.649,92.696,45950VQG4=
2022-12-29,92.667,92.714,45950VQG4=
2022-12-30,92.578,92.624,45950VQG4=
2023-01-02,92.61,92.657,45950VQG4=
2023-01-03,92.664,92.71,45950VQG4=
2023-01-04,92.706,92.752,45950VQG4=
2023-01-05,92.586,92.632,45950VQG4=
2023-01-06,92.838,92.884,45950VQG4=
2023-01-09,92.966,93.012,45950VQG4=
2023-01-10,92.947,92.994,45950VQG4=
2023-01-11,93.0,93.046,45950VQG4=
2023-01-12,93.189,93.235,45950VQG4=
2023-01-13,93.079,93.125,45950VQG4=
2023-01-16,93.041,93.087,45950VQG4=
2023-01-17,93.08,93.125,45950VQG4=
2023-01-18,93.313,93.359,45950VQG4=
2023-01-19,93.233,93.278,45950VQG4=
2023-01-20,93.171,93.216,45950VQG4=
2023-01-23,93.129,93.175,45950VQG4=
2023-01-24,93.17,93.216,45950VQG4=
2023-01-25,93.3,93.345,45950VQG4=
2023-01-26,93.132,93.177,45950VQG4=
2023-01-27,93.11,93.155,45950VQG4=
2023-01-30,93.091,93.136,45950VQG4=
2023-01-31,93.158,93.202,45950VQG4=
2023-02-01,93.325,93.37,45950VQG4=
2023-02-02,93.358,93.402,45950VQG4=
2023-02-03,93.092,93.095,45950VQG4=
2023-02-06,92.829,92.832,45950VQG4=
2023-02-07,92.793,92.796,45950VQG4=
2023-02-08,92.859,92.862,45950VQG4=
2023-02-09,92.815,92.818,45950VQG4=
2023-02-10,92.782,92.785,45950VQG4=
2023-02-13,92.812,92.815,45950VQG4=
2023-02-14,92.68,92.683,45950VQG4=
2023-02-15,92.662,92.665,45950VQG4=
2023-02-16,92.695,92.698,45950VQG4=
2023-02-17,92.76,92.763,45950VQG4=
2023-02-20,92.711,92.714,45950VQG4=
2023-02-21,92.627,92.63,45950VQG4=
2023-02-22,92.685,92.688,45950VQG4=
2023-02-23,92.712,92.715,45950VQG4=
2023-02-24,92.625,92.627,45950VQG4=
2023-02-27,92.623,92.626,45950VQG4=
