Date,BID,ASK,RIC
2023-02-27,98.299,98.389,45950VSA5=
2023-02-28,98.258,98.348,45950VSA5=
2023-03-01,98.04,98.13,45950VSA5=
2023-03-02,97.877,97.967,45950VSA5=
2023-03-03,98.073,98.163,45950VSA5=
2023-03-06,98.053,98.143,45950VSA5=
2023-03-07,97.879,97.968,45950VSA5=
2023-03-08,97.792,97.881,45950VSA5=
2023-03-09,98.26,98.349,45950VSA5=
2023-03-10,98.916,99.006,45950VSA5=
2023-03-13,99.784,99.874,45950VSA5=
2023-03-14,99.283,99.373,45950VSA5=
2023-03-15,100.144,100.235,45950VSA5=
2023-03-16,99.63,99.721,45950VSA5=
2023-03-17,100.313,100.404,45950VSA5=
2023-03-20,100.08,100.17,45950VSA5=
2023-03-21,99.586,99.676,45950VSA5=
2023-03-22,100.23,100.321,45950VSA5=
2023-03-23,100.541,100.632,45950VSA5=
2023-03-24,100.61,100.701,45950VSA5=
2023-03-27,100.03,100.121,45950VSA5=
2023-03-28,99.809,99.898,45950VSA5=
2023-03-29,99.773,99.863,45950VSA5=
2023-03-30,99.791,99.88,45950VSA5=
2023-03-31,100.078,100.168,45950VSA5=
2023-04-03,100.305,100.395,45950VSA5=
2023-04-04,100.666,100.757,45950VSA5=
2023-04-05,100.715,100.805,45950VSA5=
2023-04-06,100.705,100.795,45950VSA5=
2023-04-07,100.28,100.37,45950VSA5=
2023-04-10,100.265,100.354,45950VSA5=
2023-04-11,100.223,100.313,45950VSA5=
2023-04-12,100.428,100.517,45950VSA5=
2023-04-13,100.326,100.415,45950VSA5=
2023-04-14,100.017,100.106,45950VSA5=
2023-04-17,99.713,99.802,45950VSA5=
2023-04-18,99.793,99.881,45950VSA5=
2023-04-19,99.732,99.82,45950VSA5=
2023-04-20,99.94,100.029,45950VSA5=
2023-04-21,99.849,99.937,45950VSA5=
2023-04-24,100.099,100.187,45950VSA5=
2023-04-25,100.479,100.568,45950VSA5=
2023-04-26,100.34,100.428,45950VSA5=
2023-04-27,100.239,100.327,45950VSA5=
2023-04-28,101.216,101.305,45950VSA5=
2023-05-01,100.757,100.845,45950VSA5=
2023-05-02,101.199,101.288,45950VSA5=
2023-05-03,101.75,101.84,45950VSA5=
2023-05-04,102.112,102.202,45950VSA5=
2023-05-05,101.448,101.537,45950VSA5=
2023-05-08,101.273,101.361,45950VSA5=
2023-05-09,101.166,101.254,45950VSA5=
2023-05-10,101.669,101.758,45950VSA5=
2023-05-11,101.668,101.756,45950VSA5=
2023-05-12,101.316,101.404,45950VSA5=
2023-05-15,101.274,101.362,45950VSA5=
2023-05-16,100.995,101.083,45950VSA5=
2023-05-17,100.79,100.878,45950VSA5=
2023-05-18,100.478,100.565,45950VSA5=
2023-05-19,100.515,100.602,45950VSA5=
2023-05-22,100.44,100.526,45950VSA5=
2023-05-23,100.48,100.566,45950VSA5=
2023-05-24,100.188,100.275,45950VSA5=
2023-05-25,99.756,99.842,45950VSA5=
2023-05-26,99.656,99.741,45950VSA5=
2023-05-29,99.616,99.701,45950VSA5=
2023-05-30,100.033,100.119,45950VSA5=
2023-05-31,100.308,100.394,45950VSA5=
2023-06-01,100.493,100.579,45950VSA5=
2023-06-02,100.025,100.11,45950VSA5=
2023-06-05,99.959,100.045,45950VSA5=
2023-06-06,99.891,99.976,45950VSA5=
2023-06-07,99.606,99.691,45950VSA5=
2023-06-08,99.745,99.83,45950VSA5=
2023-06-09,99.63,99.714,45950VSA5=
2023-06-12,99.661,99.746,45950VSA5=
2023-06-13,99.485,99.569,45950VSA5=
2023-06-14,99.594,99.679,45950VSA5=
2023-06-15,99.758,99.842,45950VSA5=
2023-06-16,99.563,99.647,45950VSA5=
2023-06-19,99.436,99.519,45950VSA5=
2023-06-20,99.68,99.764,45950VSA5=
2023-06-21,99.366,99.449,45950VSA5=
2023-06-22,99.149,99.232,45950VSA5=
2023-06-23,99.199,99.347,45950VSA5=
2023-06-26,99.35,99.501,45950VSA5=
2023-06-27,99.129,99.281,45950VSA5=
2023-06-28,99.309,99.462,45950VSA5=
2023-06-29,98.954,99.106,45950VSA5=
2023-06-30,98.889,99.041,45950VSA5=
2023-07-03,98.77,98.923,45950VSA5=
2023-07-04,98.833,98.986,45950VSA5=
2023-07-05,98.439,98.593,45950VSA5=
2023-07-07,98.56,98.716,45950VSA5=
2023-07-10,98.92,99.075,45950VSA5=
2023-07-11,98.88,99.035,45950VSA5=
2023-07-12,99.3,99.457,45950VSA5=
2023-07-13,99.675,99.834,45950VSA5=
2023-07-14,99.028,99.188,45950VSA5=
2023-07-17,99.126,99.287,45950VSA5=
2023-07-18,99.159,99.326,45950VSA5=
2023-07-19,99.176,99.343,45950VSA5=
2023-07-20,99.143,99.312,45950VSA5=
2023-07-21,99.168,99.337,45950VSA5=
