Date,BID,ASK,RIC
2023-05-30,98.951,99.017,45950VSD9=
2023-05-31,99.205,99.27,45950VSD9=
2023-06-01,99.348,99.414,45950VSD9=
2023-06-02,98.994,99.059,45950VSD9=
2023-06-05,99.14,99.204,45950VSD9=
2023-06-06,99.089,99.153,45950VSD9=
2023-06-07,98.786,98.851,45950VSD9=
2023-06-08,98.895,98.959,45950VSD9=
2023-06-09,98.744,98.808,45950VSD9=
2023-06-12,98.812,98.876,45950VSD9=
2023-06-13,98.679,98.743,45950VSD9=
2023-06-14,98.782,98.846,45950VSD9=
2023-06-15,98.956,99.019,45950VSD9=
2023-06-16,98.936,98.999,45950VSD9=
2023-06-19,98.839,98.903,45950VSD9=
2023-06-20,99.026,99.09,45950VSD9=
2023-06-21,98.999,99.063,45950VSD9=
2023-06-22,98.836,98.899,45950VSD9=
2023-06-23,98.791,98.902,45950VSD9=
2023-06-26,98.696,98.81,45950VSD9=
2023-06-27,98.529,98.644,45950VSD9=
2023-06-28,98.667,98.782,45950VSD9=
2023-06-29,98.338,98.453,45950VSD9=
2023-06-30,98.313,98.428,45950VSD9=
2023-07-03,98.224,98.339,45950VSD9=
2023-07-04,98.272,98.387,45950VSD9=
2023-07-05,98.098,98.213,45950VSD9=
2023-07-07,98.195,98.312,45950VSD9=
2023-07-10,98.51,98.627,45950VSD9=
2023-07-11,98.481,98.599,45950VSD9=
2023-07-12,98.8,98.92,45950VSD9=
2023-07-13,99.086,99.206,45950VSD9=
2023-07-14,98.742,98.863,45950VSD9=
2023-07-17,98.817,98.938,45950VSD9=
2023-07-18,98.598,98.723,45950VSD9=
2023-07-19,98.408,98.535,45950VSD9=
2023-07-20,98.306,98.434,45950VSD9=
2023-07-21,98.266,98.394,45950VSD9=
