Date,BID,ASK,RIC
2011-07-21,97.9044,98.9044,46625HHV5=
2011-07-22,97.9636,98.9636,46625HHV5=
2011-07-25,97.7556,98.7556,46625HHV5=
2011-07-26,98.546,99.546,46625HHV5=
2011-07-27,98.2392,99.2392,46625HHV5=
2011-07-28,98.6922,99.6922,46625HHV5=
2011-07-29,100.3129,101.3129,46625HHV5=
2011-08-01,101.0757,102.0757,46625HHV5=
2011-08-02,103.3754,104.3754,46625HHV5=
2011-08-03,103.4314,104.4314,46625HHV5=
2011-08-04,103.9039,104.9039,46625HHV5=
2011-08-05,100.2021,101.2021,46625HHV5=
2011-08-08,99.2118,100.2118,46625HHV5=
2011-08-09,100.5476,101.5476,46625HHV5=
2011-08-10,100.3753,101.3753,46625HHV5=
2011-08-11,97.2695,98.2695,46625HHV5=
2011-08-12,98.4622,99.4622,46625HHV5=
2011-08-15,99.4674,100.4674,46625HHV5=
2011-08-16,101.0963,102.0963,46625HHV5=
2011-08-17,102.1972,103.1972,46625HHV5=
2011-08-18,103.1077,104.1077,46625HHV5=
2011-08-19,104.0534,105.0534,46625HHV5=
2011-08-22,103.9611,104.9611,46625HHV5=
2011-08-23,100.6313,101.6313,46625HHV5=
2011-08-24,99.4474,100.4474,46625HHV5=
2011-08-25,99.7627,100.7627,46625HHV5=
2011-08-26,101.4466,102.4466,46625HHV5=
2011-08-29,100.2581,101.2581,46625HHV5=
2011-08-30,101.2719,102.2719,46625HHV5=
2011-08-31,100.1453,101.1453,46625HHV5=
2011-09-01,101.2509,102.2509,46625HHV5=
2011-09-02,106.4954,107.4954,46625HHV5=
2011-09-05,106.8453,107.8453,46625HHV5=
2011-09-06,107.1687,108.1687,46625HHV5=
2011-09-07,105.6579,106.6579,46625HHV5=
2011-09-08,106.2819,107.2819,46625HHV5=
2011-09-09,105.1666,106.1666,46625HHV5=
2011-09-12,104.3837,105.3837,46625HHV5=
2011-09-13,102.8991,103.8991,46625HHV5=
2011-09-14,104.3619,105.3619,46625HHV5=
2011-09-15,103.6221,104.6221,46625HHV5=
2011-09-16,104.191,105.191,46625HHV5=
2011-09-19,104.6864,105.6864,46625HHV5=
2011-09-20,104.4459,105.4459,46625HHV5=
2011-09-21,107.1615,108.1615,46625HHV5=
2011-09-22,109.2995,110.2995,46625HHV5=
2011-09-23,107.4637,108.4637,46625HHV5=
2011-09-26,105.773,106.773,46625HHV5=
2011-09-27,104.0062,105.0062,46625HHV5=
2011-09-28,104.4122,105.4122,46625HHV5=
2011-09-29,105.797,106.797,46625HHV5=
2011-09-30,106.1111,107.1111,46625HHV5=
2011-10-03,108.5641,109.5641,46625HHV5=
2011-10-04,108.5652,109.5652,46625HHV5=
2011-10-05,104.554,105.554,46625HHV5=
2011-10-06,103.5191,104.5191,46625HHV5=
2011-10-07,103.7209,104.7209,46625HHV5=
2011-10-10,102.8818,103.8818,46625HHV5=
2011-10-11,105.5063,106.5063,46625HHV5=
2011-10-12,102.7489,103.7489,46625HHV5=
2011-10-13,103.82,104.82,46625HHV5=
2011-10-14,103.4165,104.4165,46625HHV5=
2011-10-17,104.9304,105.9304,46625HHV5=
2011-10-18,104.6701,105.6701,46625HHV5=
2011-10-19,103.3952,104.3952,46625HHV5=
2011-10-20,103.9636,104.9636,46625HHV5=
2011-10-21,105.8333,106.8333,46625HHV5=
2011-10-24,105.4461,106.4461,46625HHV5=
2011-10-25,108.7738,109.7738,46625HHV5=
2011-10-26,107.8508,108.8508,46625HHV5=
2011-10-27,104.3697,105.3697,46625HHV5=
2011-10-28,105.3696,106.3696,46625HHV5=
2011-10-31,107.1018,108.1018,46625HHV5=
2011-11-01,107.9288,108.9288,46625HHV5=
2011-11-02,108.9015,109.9015,46625HHV5=
2011-11-03,108.1184,109.1184,46625HHV5=
2011-11-04,108.5024,109.5024,46625HHV5=
2011-11-07,108.7307,109.7307,46625HHV5=
2011-11-08,107.4092,108.4092,46625HHV5=
2011-11-09,109.099,110.099,46625HHV5=
2011-11-10,107.5474,108.5474,46625HHV5=
2011-11-11,106.903,107.903,46625HHV5=
2011-11-14,108.0245,109.0245,46625HHV5=
2011-11-15,107.9023,108.9023,46625HHV5=
2011-11-16,107.2714,108.2714,46625HHV5=
2011-11-17,106.6498,107.6498,46625HHV5=
2011-11-18,106.3948,107.3948,46625HHV5=
2011-11-21,104.493,105.493,46625HHV5=
2011-11-22,104.9857,105.9857,46625HHV5=
2011-11-23,106.3706,107.3706,46625HHV5=
2011-11-25,104.8145,105.8145,46625HHV5=
2011-11-28,104.992,105.992,46625HHV5=
2011-11-29,104.3464,105.3464,46625HHV5=
2011-11-30,103.4854,104.4854,46625HHV5=
2011-12-01,102.4027,103.4027,46625HHV5=
2011-12-02,104.0355,105.0355,46625HHV5=
2011-12-05,109.782,110.782,46625HHV5=
2011-12-06,106.8239,107.8239,46625HHV5=
2011-12-07,106.7096,107.7096,46625HHV5=
2011-12-08,108.0793,109.0793,46625HHV5=
2011-12-09,106.3167,107.3167,46625HHV5=
2011-12-12,106.0297,107.0297,46625HHV5=
2011-12-13,107.82,108.82,46625HHV5=
2011-12-14,109.4478,110.4478,46625HHV5=
2011-12-15,102.2583,103.2583,46625HHV5=
2011-12-16,103.4279,104.4279,46625HHV5=
2011-12-19,104.4663,105.4663,46625HHV5=
2011-12-20,102.5668,103.5668,46625HHV5=
2011-12-21,101.4914,102.4914,46625HHV5=
2011-12-22,101.6428,102.6428,46625HHV5=
2011-12-23,100.6229,101.6229,46625HHV5=
2011-12-27,101.2211,102.2211,46625HHV5=
2011-12-28,103.2541,104.2541,46625HHV5=
2011-12-29,103.1479,104.1479,46625HHV5=
2011-12-30,103.3908,104.3908,46625HHV5=
2012-01-03,101.846,102.846,46625HHV5=
2012-01-04,102.3289,103.3289,46625HHV5=
2012-01-05,102.1329,103.1329,46625HHV5=
2012-01-06,104.0877,105.0877,46625HHV5=
2012-01-09,103.9385,104.9385,46625HHV5=
2012-01-10,103.6241,104.6241,46625HHV5=
2012-01-11,105.0821,106.0821,46625HHV5=
2012-01-12,104.8155,105.8155,46625HHV5=
2012-01-13,102.4495,103.4495,46625HHV5=
2012-01-20,99.8765,100.8765,46625HHV5=
2012-01-27,105.2111,106.2111,46625HHV5=
2012-02-03,103.9564,104.9564,46625HHV5=
2012-02-10,104.6103,105.6103,46625HHV5=
2012-02-16,105.277,106.277,46625HHV5=
2012-02-17,105.2268,106.2268,46625HHV5=
2012-02-21,104.2426,105.2426,46625HHV5=
2012-02-22,105.2452,106.2452,46625HHV5=
2012-02-23,105.358,106.358,46625HHV5=
2012-02-24,105.9231,106.9231,46625HHV5=
2012-02-27,106.7584,107.7584,46625HHV5=
2012-02-28,108.1936,109.1936,46625HHV5=
2012-02-29,108.0885,109.0885,46625HHV5=
2012-03-01,106.9594,107.9594,46625HHV5=
2012-03-02,107.7042,108.7042,46625HHV5=
2012-03-05,107.0816,108.0816,46625HHV5=
2012-03-06,108.1079,109.1079,46625HHV5=
2012-03-07,107.4535,108.4535,46625HHV5=
2012-03-08,106.5741,107.5741,46625HHV5=
2012-03-09,106.5145,107.5145,46625HHV5=
2012-03-12,107.2255,108.2255,46625HHV5=
2012-03-13,105.7246,106.7246,46625HHV5=
2012-03-14,103.6397,104.6397,46625HHV5=
2012-03-15,103.5683,104.5683,46625HHV5=
2012-03-16,103.5839,104.5839,46625HHV5=
2012-03-19,102.5445,103.5445,46625HHV5=
2012-03-20,102.9512,103.9512,46625HHV5=
2012-03-21,103.9495,104.9495,46625HHV5=
2012-03-22,107.1636,108.1636,46625HHV5=
2012-03-23,108.7704,109.7704,46625HHV5=
2012-03-26,109.2763,110.2763,46625HHV5=
2012-03-27,109.1983,110.1983,46625HHV5=
2012-03-28,109.0477,110.0477,46625HHV5=
2012-03-29,109.627,110.627,46625HHV5=
2012-03-30,108.3409,109.3409,46625HHV5=
2012-04-02,108.6973,109.6973,46625HHV5=
2012-04-03,106.9483,107.9483,46625HHV5=
2012-04-04,108.1311,109.1311,46625HHV5=
2012-04-05,108.6161,109.6161,46625HHV5=
2012-04-06,110.0751,111.0751,46625HHV5=
2012-04-09,110.246,111.246,46625HHV5=
2012-04-10,111.3512,112.3512,46625HHV5=
2012-04-11,110.2572,111.2572,46625HHV5=
2012-04-12,109.8127,110.8127,46625HHV5=
2012-04-13,111.1243,112.1243,46625HHV5=
2012-04-16,107.7753,108.7753,46625HHV5=
2012-04-17,107.5549,108.5549,46625HHV5=
2012-04-18,107.8389,108.8389,46625HHV5=
2012-04-19,107.8819,108.8819,46625HHV5=
2012-04-20,107.9626,108.9626,46625HHV5=
2012-04-23,109.3914,110.3914,46625HHV5=
2012-04-24,108.7533,109.7533,46625HHV5=
2012-04-25,108.3621,109.3621,46625HHV5=
2012-04-26,109.9559,110.9559,46625HHV5=
2012-04-27,109.9968,110.9968,46625HHV5=
2012-04-30,110.1079,111.1079,46625HHV5=
2012-05-01,109.5469,110.5469,46625HHV5=
2012-05-02,110.0573,111.0573,46625HHV5=
2012-05-03,110.0073,111.0073,46625HHV5=
2012-05-04,110.7903,111.7903,46625HHV5=
2012-05-07,108.2364,109.2364,46625HHV5=
2012-05-08,108.5679,109.5679,46625HHV5=
2012-05-09,110.3293,111.3293,46625HHV5=
2012-05-10,110.9405,111.9405,46625HHV5=
2012-05-11,108.4276,109.4276,46625HHV5=
2012-05-14,107.4134,108.4134,46625HHV5=
2012-05-15,107.3577,108.3577,46625HHV5=
2012-05-16,106.1176,107.1176,46625HHV5=
2012-05-17,107.1409,108.1409,46625HHV5=
2012-05-18,105.577,106.577,46625HHV5=
2012-05-21,104.4251,105.4251,46625HHV5=
2012-05-22,103.6008,104.6008,46625HHV5=
2012-05-23,104.5667,105.5667,46625HHV5=
2012-05-24,103.6203,104.6203,46625HHV5=
2012-05-25,104.025,105.025,46625HHV5=
2012-05-28,104.0734,105.0734,46625HHV5=
2012-05-29,103.9891,104.9891,46625HHV5=
2012-05-30,106.7456,107.7456,46625HHV5=
2012-05-31,107.7269,108.7269,46625HHV5=
2012-06-01,108.2573,109.2573,46625HHV5=
2012-06-04,106.5428,107.5428,46625HHV5=
2012-06-05,105.9533,106.9533,46625HHV5=
2012-06-06,106.5091,107.5091,46625HHV5=
2012-06-07,105.9194,106.9194,46625HHV5=
2012-06-08,107.9803,108.9803,46625HHV5=
2012-06-11,107.4621,108.4621,46625HHV5=
2012-06-12,106.4842,107.4842,46625HHV5=
2012-06-13,107.3385,108.3385,46625HHV5=
2012-06-14,106.9094,107.9094,46625HHV5=
2012-06-15,107.6692,108.6692,46625HHV5=
2012-06-18,108.203,109.203,46625HHV5=
2012-06-19,107.0543,108.0543,46625HHV5=
2012-06-20,107.2002,108.2002,46625HHV5=
2012-06-21,110.2477,111.2477,46625HHV5=
2012-06-22,109.0484,110.0484,46625HHV5=
2012-06-25,110.4359,111.4359,46625HHV5=
2012-06-26,110.0327,111.0327,46625HHV5=
2012-06-27,110.1571,111.1571,46625HHV5=
2012-06-28,110.1472,111.1472,46625HHV5=
2012-06-29,109.0213,110.0213,46625HHV5=
2012-07-02,109.9784,110.9784,46625HHV5=
2012-07-03,109.2393,110.2393,46625HHV5=
2012-07-04,109.6702,110.6702,46625HHV5=
2012-07-05,109.6319,110.6319,46625HHV5=
2012-07-06,110.4964,111.4964,46625HHV5=
2012-07-09,113.0304,114.0304,46625HHV5=
2012-07-10,114.2182,115.2182,46625HHV5=
2012-07-11,114.1197,115.1197,46625HHV5=
2012-07-12,114.9446,115.9446,46625HHV5=
2012-07-13,114.6859,115.6859,46625HHV5=
2012-07-16,115.0769,116.0769,46625HHV5=
2012-07-17,115.2952,116.2952,46625HHV5=
2012-07-18,117.1852,118.1852,46625HHV5=
2012-07-19,116.9314,117.9314,46625HHV5=
2012-07-20,119.7275,120.7275,46625HHV5=
2012-07-23,118.5727,119.5727,46625HHV5=
2012-07-24,118.596,119.596,46625HHV5=
2012-07-25,118.706,119.706,46625HHV5=
2012-07-26,117.7531,118.7531,46625HHV5=
2012-07-27,115.6455,116.6455,46625HHV5=
2012-07-30,119.2643,120.2643,46625HHV5=
2012-07-31,119.3162,120.3162,46625HHV5=
2012-08-01,118.4044,119.4044,46625HHV5=
2012-08-02,118.1122,119.1122,46625HHV5=
2012-08-03,117.827,118.827,46625HHV5=
2012-08-06,117.7715,118.7715,46625HHV5=
2012-08-07,116.8655,117.8655,46625HHV5=
2012-08-08,117.7453,118.7453,46625HHV5=
2012-08-09,116.1757,117.1757,46625HHV5=
2012-08-10,116.6536,117.6536,46625HHV5=
2012-08-13,116.5319,117.5319,46625HHV5=
2012-08-14,115.1683,116.1683,46625HHV5=
2012-08-15,113.5987,114.5987,46625HHV5=
2012-08-16,116.0218,117.0218,46625HHV5=
2012-08-17,115.6081,116.6081,46625HHV5=
2012-08-20,115.7226,116.7226,46625HHV5=
2012-08-21,116.1471,117.1471,46625HHV5=
2012-08-22,117.8131,118.8131,46625HHV5=
2012-08-23,118.2116,119.2116,46625HHV5=
2012-08-24,117.9784,118.9784,46625HHV5=
2012-08-27,118.6606,119.6606,46625HHV5=
2012-08-29,117.6564,118.6564,46625HHV5=
2012-08-30,117.9954,118.9954,46625HHV5=
2012-08-31,119.8204,120.8204,46625HHV5=
2012-09-03,119.6986,120.6986,46625HHV5=
2012-09-04,119.5687,120.5687,46625HHV5=
2012-09-05,119.8345,120.8345,46625HHV5=
2012-09-06,118.8824,119.8824,46625HHV5=
2012-09-07,118.5115,119.5115,46625HHV5=
2012-09-10,118.7662,119.7662,46625HHV5=
2012-09-11,117.8793,118.8793,46625HHV5=
2012-09-12,116.7269,117.7269,46625HHV5=
2012-09-13,116.566,117.566,46625HHV5=
2012-09-14,114.5289,115.5289,46625HHV5=
2012-09-18,115.9924,116.9924,46625HHV5=
2012-09-19,117.3555,118.3555,46625HHV5=
2012-09-20,117.6666,118.6666,46625HHV5=
2012-09-21,117.6264,118.6264,46625HHV5=
2012-09-24,115.9688,116.9688,46625HHV5=
2012-09-25,118.1112,119.1112,46625HHV5=
2012-09-26,119.4125,120.4125,46625HHV5=
2012-09-27,118.2559,119.2559,46625HHV5=
2012-09-28,117.5175,118.5175,46625HHV5=
2012-10-01,117.1511,118.1511,46625HHV5=
2012-10-02,117.117,118.117,46625HHV5=
2012-10-03,117.0747,118.0747,46625HHV5=
2012-10-04,119.2438,120.2438,46625HHV5=
2012-10-05,117.7669,118.7669,46625HHV5=
2012-10-08,117.7693,118.7693,46625HHV5=
