Date,BID,ASK,RIC
2011-07-21,98.478,99.478,46625HJB7=
2011-07-22,99.5337,100.5337,46625HJB7=
2011-07-25,97.6275,98.6275,46625HJB7=
2011-07-26,98.415,99.415,46625HJB7=
2011-07-27,98.2493,99.2493,46625HJB7=
2011-07-28,99.4133,100.4133,46625HJB7=
2011-07-29,100.7573,101.7573,46625HJB7=
2011-08-01,101.969,102.969,46625HJB7=
2011-08-02,103.2291,104.2291,46625HJB7=
2011-08-03,103.2843,104.2843,46625HJB7=
2011-08-04,103.4509,104.4509,46625HJB7=
2011-08-05,101.083,102.083,46625HJB7=
2011-08-08,98.9337,99.9337,46625HJB7=
2011-08-09,101.728,102.728,46625HJB7=
2011-08-10,102.5944,103.5944,46625HJB7=
2011-08-11,97.2771,98.2771,46625HJB7=
2011-08-12,101.6463,102.6463,46625HJB7=
2011-08-15,101.3606,102.3606,46625HJB7=
2011-08-16,101.6893,102.6893,46625HJB7=
2011-08-17,103.1004,104.1004,46625HJB7=
2011-08-18,104.1758,105.1758,46625HJB7=
2011-08-19,104.0547,105.0547,46625HJB7=
2011-08-22,103.9623,104.9623,46625HJB7=
2011-08-23,102.8555,103.8555,46625HJB7=
2011-08-24,100.1691,101.1691,46625HJB7=
2011-08-25,99.7646,100.7646,46625HJB7=
2011-08-26,101.1528,102.1528,46625HJB7=
2011-08-29,101.576,102.576,46625HJB7=
2011-08-30,101.5672,102.5672,46625HJB7=
2011-08-31,103.4045,104.4045,46625HJB7=
2011-09-01,103.7967,104.7967,46625HJB7=
2011-09-02,107.1315,108.1315,46625HJB7=
2011-09-05,107.4847,108.4847,46625HJB7=
2011-09-06,105.5846,106.5846,46625HJB7=
2011-09-07,104.8767,105.8767,46625HJB7=
2011-09-08,104.5619,105.5619,46625HJB7=
2011-09-09,104.8535,105.8535,46625HJB7=
2011-09-12,103.4638,104.4638,46625HJB7=
2011-09-13,102.7456,103.7456,46625HJB7=
2011-09-14,103.1387,104.1387,46625HJB7=
2011-09-15,102.4117,103.4117,46625HJB7=
2011-09-16,104.1869,105.1869,46625HJB7=
2011-09-19,105.6153,106.6153,46625HJB7=
2011-09-20,105.3713,106.3713,46625HJB7=
2011-09-21,107.1574,108.1574,46625HJB7=
2011-09-22,106.7078,107.7078,46625HJB7=
2011-09-23,104.9347,105.9347,46625HJB7=
2011-09-26,103.9102,104.9102,46625HJB7=
2011-09-27,103.6951,104.6951,46625HJB7=
2011-09-28,103.4889,104.4889,46625HJB7=
2011-09-29,103.1733,104.1733,46625HJB7=
2011-09-30,103.3244,104.3244,46625HJB7=
2011-10-03,105.6829,106.6829,46625HJB7=
2011-10-04,104.1349,105.1349,46625HJB7=
2011-10-05,101.9751,102.9751,46625HJB7=
2011-10-06,101.5654,102.5654,46625HJB7=
2011-10-07,103.5602,104.5602,46625HJB7=
2011-10-10,102.7229,103.7229,46625HJB7=
2011-10-11,103.6486,104.6486,46625HJB7=
2011-10-12,102.1426,103.1426,46625HJB7=
2011-10-13,102.6029,103.6029,46625HJB7=
2011-10-14,102.6548,103.6548,46625HJB7=
2011-10-17,104.1526,105.1526,46625HJB7=
2011-10-18,104.6625,105.6625,46625HJB7=
2011-10-19,103.2366,104.2366,46625HJB7=
2011-10-20,103.804,104.804,46625HJB7=
2011-10-21,105.8271,106.8271,46625HJB7=
2011-10-24,105.7525,106.7525,46625HJB7=
2011-10-25,107.4749,108.4749,46625HJB7=
2011-10-26,106.2511,107.2511,46625HJB7=
2011-10-27,107.0241,108.0241,46625HJB7=
2011-10-28,107.4187,108.4187,46625HJB7=
2011-10-31,108.7115,109.7115,46625HJB7=
2011-11-01,108.2491,109.2491,46625HJB7=
2011-11-02,109.7222,110.7222,46625HJB7=
2011-11-03,108.1161,109.1161,46625HJB7=
2011-11-04,109.9795,110.9795,46625HJB7=
2011-11-07,108.4037,109.4037,46625HJB7=
2011-11-08,107.0878,108.0878,46625HJB7=
2011-11-09,108.4461,109.4461,46625HJB7=
2011-11-10,107.7069,108.7069,46625HJB7=
2011-11-11,107.0606,108.0606,46625HJB7=
2011-11-14,107.2206,108.2206,46625HJB7=
2011-11-15,107.9018,108.9018,46625HJB7=
2011-11-16,107.7522,108.7522,46625HJB7=
2011-11-17,108.5764,109.5764,46625HJB7=
2011-11-18,108.1526,109.1526,46625HJB7=
2011-11-21,105.5762,106.5762,46625HJB7=
2011-11-22,103.7582,104.7582,46625HJB7=
2011-11-23,105.275,106.275,46625HJB7=
2011-11-25,103.7422,104.7422,46625HJB7=
2011-11-28,103.9173,104.9173,46625HJB7=
2011-11-29,103.1308,104.1308,46625HJB7=
2011-11-30,104.4007,105.4007,46625HJB7=
2011-12-01,103.9105,104.9105,46625HJB7=
2011-12-02,106.5221,107.5221,46625HJB7=
2011-12-05,107.3483,108.3483,46625HJB7=
2011-12-06,107.145,108.145,46625HJB7=
2011-12-07,107.9922,108.9922,46625HJB7=
2011-12-08,107.9226,108.9226,46625HJB7=
2011-12-09,108.0751,109.0751,46625HJB7=
2011-12-12,107.942,108.942,46625HJB7=
2011-12-13,108.3094,109.3094,46625HJB7=
2011-12-14,109.4551,110.4551,46625HJB7=
2011-12-15,104.0694,105.0694,46625HJB7=
2011-12-16,103.4318,104.4318,46625HJB7=
2011-12-19,104.4707,105.4707,46625HJB7=
2011-12-20,102.7206,103.7206,46625HJB7=
2011-12-21,102.384,103.384,46625HJB7=
2011-12-22,103.2876,104.2876,46625HJB7=
2011-12-23,102.2433,103.2433,46625HJB7=
2011-12-27,102.4078,103.4078,46625HJB7=
2011-12-28,104.4771,105.4771,46625HJB7=
2011-12-29,104.3691,105.3691,46625HJB7=
2011-12-30,107.4388,108.4388,46625HJB7=
2012-01-03,105.9597,106.9597,46625HJB7=
2012-01-04,103.2345,104.2345,46625HJB7=
2012-01-05,103.3371,104.3371,46625HJB7=
2012-01-06,104.8626,105.8626,46625HJB7=
2012-01-09,104.7119,105.7119,46625HJB7=
2012-01-10,104.0885,105.0885,46625HJB7=
2012-01-11,103.5611,104.5611,46625HJB7=
2012-01-12,104.3633,105.3633,46625HJB7=
2012-01-13,102.6065,103.6065,46625HJB7=
2012-01-20,102.2162,103.2162,46625HJB7=
