Date,BID,ASK,RIC
2014-01-23,98.3393,99.1108,46625HJU5=
2014-01-24,99.0631,99.843,46625HJU5=
2014-01-27,98.7076,99.4833,46625HJU5=
2014-01-28,99.8046,100.5932,46625HJU5=
2014-01-29,99.6471,100.4337,46625HJU5=
2014-01-30,99.2937,100.0761,46625HJU5=
2014-01-31,99.773,100.5609,46625HJU5=
2014-02-03,99.9907,100.7811,46625HJU5=
2014-02-04,99.9197,100.7093,46625HJU5=
2014-02-05,100.437,101.2324,46625HJU5=
2014-02-06,100.3797,101.1744,46625HJU5=
2014-02-07,100.2683,101.0618,46625HJU5=
2014-02-10,101.0016,101.8035,46625HJU5=
2014-02-11,99.3203,100.1027,46625HJU5=
2014-02-12,100.0582,100.849,46625HJU5=
2014-02-13,100.0081,100.7983,46625HJU5=
2014-02-14,99.9308,100.7201,46625HJU5=
2014-02-18,100.7372,101.5357,46625HJU5=
2014-02-19,99.4858,100.2698,46625HJU5=
2014-02-20,99.4413,100.2247,46625HJU5=
2014-02-21,99.8565,100.6447,46625HJU5=
2014-02-24,100.097,100.8879,46625HJU5=
2014-02-25,100.9179,101.718,46625HJU5=
2014-02-26,100.774,101.5726,46625HJU5=
2014-02-27,101.8218,102.6325,46625HJU5=
2014-02-28,101.9301,102.7421,46625HJU5=
2014-03-03,102.216,103.0312,46625HJU5=
2014-03-04,101.2359,102.0397,46625HJU5=
2014-03-05,101.3661,102.1713,46625HJU5=
2014-03-06,100.6788,101.4761,46625HJU5=
2014-03-07,99.2417,100.0223,46625HJU5=
2014-03-10,99.3028,100.0841,46625HJU5=
2014-03-11,100.0814,100.8717,46625HJU5=
2014-03-12,99.6017,100.3864,46625HJU5=
2014-03-13,101.6597,102.4681,46625HJU5=
2014-03-14,101.2427,102.0462,46625HJU5=
2014-03-17,100.7589,101.5568,46625HJU5=
2014-03-18,100.6766,101.4735,46625HJU5=
2014-03-19,100.9873,101.7877,46625HJU5=
2014-03-20,100.7638,101.5616,46625HJU5=
2014-03-21,102.0008,102.8129,46625HJU5=
2014-03-24,101.944,102.7554,46625HJU5=
2014-03-25,101.1464,101.9485,46625HJU5=
2014-03-26,102.7838,103.605,46625HJU5=
2014-03-27,102.888,103.7102,46625HJU5=
2014-03-28,102.5232,103.3411,46625HJU5=
2014-03-31,102.4611,103.2783,46625HJU5=
2014-04-01,102.0522,102.8646,46625HJU5=
2014-04-02,101.9105,102.7212,46625HJU5=
2014-04-03,101.7581,102.5669,46625HJU5=
2014-04-04,103.3624,104.1898,46625HJU5=
2014-04-07,103.8498,104.6828,46625HJU5=
2014-04-08,104.0984,104.9343,46625HJU5=
2014-04-09,103.2169,104.0425,46625HJU5=
2014-04-10,103.891,104.7244,46625HJU5=
2014-04-11,104.1637,105.0002,46625HJU5=
2014-04-14,103.6233,104.4534,46625HJU5=
2014-04-15,103.8798,104.7128,46625HJU5=
2014-04-16,104.1276,104.9634,46625HJU5=
2014-04-17,102.3672,103.1826,46625HJU5=
2014-04-21,102.9858,103.8083,46625HJU5=
2014-04-22,103.3955,104.2227,46625HJU5=
2014-04-23,103.2351,104.0604,46625HJU5=
2014-04-24,104.3586,105.1969,46625HJU5=
2014-04-25,103.9067,104.7396,46625HJU5=
2014-04-28,102.5847,103.4023,46625HJU5=
2014-04-29,103.0604,103.8835,46625HJU5=
2014-04-30,103.0206,103.8431,46625HJU5=
2014-05-01,103.8161,104.6478,46625HJU5=
2014-05-02,104.3841,105.2224,46625HJU5=
2014-05-05,104.0771,104.9118,46625HJU5=
2014-05-06,103.5467,104.3752,46625HJU5=
2014-05-07,103.2378,104.0626,46625HJU5=
2014-05-08,103.1419,103.9655,46625HJU5=
2014-05-09,102.7354,103.5543,46625HJU5=
2014-05-12,102.5748,103.3918,46625HJU5=
2014-05-13,103.5847,104.4134,46625HJU5=
2014-05-14,104.3931,105.231,46625HJU5=
2014-05-15,104.5975,105.4377,46625HJU5=
2014-05-16,104.3465,105.1838,46625HJU5=
2014-05-19,103.8596,104.6912,46625HJU5=
2014-05-20,103.182,104.0057,46625HJU5=
2014-05-21,102.7506,103.5692,46625HJU5=
2014-05-22,102.8842,103.7043,46625HJU5=
2014-05-23,103.7506,104.5807,46625HJU5=
2014-05-27,104.055,104.8886,46625HJU5=
2014-05-28,105.5562,106.4071,46625HJU5=
2014-05-29,104.9744,105.8185,46625HJU5=
2014-05-30,105.0008,105.8452,46625HJU5=
2014-06-02,104.3441,105.1809,46625HJU5=
2014-06-03,102.8228,103.6419,46625HJU5=
2014-06-04,102.7462,103.5643,46625HJU5=
2014-06-05,103.3476,104.1726,46625HJU5=
2014-06-06,103.2879,104.1122,46625HJU5=
2014-06-09,103.6021,104.43,46625HJU5=
2014-06-10,103.7663,104.596,46625HJU5=
2014-06-11,102.917,103.7368,46625HJU5=
2014-06-12,103.926,104.7574,46625HJU5=
2014-06-13,103.9098,104.741,46625HJU5=
2014-06-16,104.8879,105.7304,46625HJU5=
2014-06-17,104.1157,104.9492,46625HJU5=
2014-06-18,104.2873,105.1227,46625HJU5=
2014-06-19,103.2757,104.0993,46625HJU5=
2014-06-20,104.9131,105.7556,46625HJU5=
2014-06-23,104.2992,105.1346,46625HJU5=
2014-06-24,105.2502,106.0965,46625HJU5=
2014-06-25,105.4519,106.3005,46625HJU5=
2014-06-26,105.723,106.5747,46625HJU5=
2014-06-27,104.8837,105.7256,46625HJU5=
2014-06-30,105.2995,106.1462,46625HJU5=
2014-07-01,103.844,104.6737,46625HJU5=
2014-07-02,103.45,104.2751,46625HJU5=
2014-07-03,103.3565,104.1805,46625HJU5=
2014-07-07,104.3831,105.2189,46625HJU5=
2014-07-08,104.5916,105.4298,46625HJU5=
2014-07-09,104.1957,105.0292,46625HJU5=
2014-07-10,103.4983,104.3237,46625HJU5=
2014-07-11,105.224,106.0693,46625HJU5=
2014-07-14,104.6398,105.4783,46625HJU5=
2014-07-15,103.8147,104.6436,46625HJU5=
2014-07-16,104.3277,105.1624,46625HJU5=
2014-07-17,105.5824,106.4315,46625HJU5=
2014-07-18,105.3674,106.214,46625HJU5=
2014-07-21,105.8747,106.7272,46625HJU5=
2014-07-22,105.6291,106.4787,46625HJU5=
2014-07-23,106.2517,107.1084,46625HJU5=
2014-07-24,105.4307,106.2779,46625HJU5=
2014-07-25,105.8469,106.6988,46625HJU5=
2014-07-28,105.77,106.6212,46625HJU5=
2014-07-29,106.2289,107.0852,46625HJU5=
2014-07-30,105.5455,106.3938,46625HJU5=
2014-07-31,104.034,104.8648,46625HJU5=
2014-08-01,104.6257,105.4633,46625HJU5=
2014-08-04,104.8193,105.6591,46625HJU5=
2014-08-05,104.8653,105.7056,46625HJU5=
2014-08-06,104.176,105.0083,46625HJU5=
2014-08-07,104.6158,105.4531,46625HJU5=
2014-08-08,104.4567,105.2921,46625HJU5=
2014-08-11,104.8592,105.6992,46625HJU5=
2014-08-12,104.488,105.3237,46625HJU5=
2014-08-13,104.0312,104.8615,46625HJU5=
2014-08-14,105.5446,106.3923,46625HJU5=
2014-08-15,106.648,107.5085,46625HJU5=
2014-08-18,105.8801,106.7316,46625HJU5=
2014-08-19,105.8791,106.7306,46625HJU5=
2014-08-20,105.9817,106.8343,46625HJU5=
2014-08-21,106.2909,107.1471,46625HJU5=
2014-08-22,107.349,108.2173,46625HJU5=
2014-08-25,108.2815,109.1606,46625HJU5=
2014-08-26,107.7854,108.6587,46625HJU5=
2014-08-27,109.8549,110.7521,46625HJU5=
2014-08-28,109.703,110.5984,46625HJU5=
2014-08-29,108.9681,109.855,46625HJU5=
2014-09-02,107.3362,108.2041,46625HJU5=
2014-09-03,107.2416,108.1083,46625HJU5=
2014-09-04,106.146,106.9999,46625HJU5=
2014-09-05,106.4899,107.3478,46625HJU5=
2014-09-08,106.5545,107.4131,46625HJU5=
2014-09-09,106.0653,106.9183,46625HJU5=
2014-09-10,104.3606,105.1937,46625HJU5=
2014-09-11,104.2553,105.0872,46625HJU5=
2014-09-12,103.1464,103.9656,46625HJU5=
2014-09-15,102.9784,103.7955,46625HJU5=
2014-09-16,102.701,103.515,46625HJU5=
2014-09-17,102.9168,103.7332,46625HJU5=
2014-09-18,103.2348,104.0548,46625HJU5=
2014-09-19,104.5795,105.4149,46625HJU5=
2014-09-22,105.0749,105.9159,46625HJU5=
2014-09-23,104.8013,105.6392,46625HJU5=
2014-09-24,104.1872,105.0179,46625HJU5=
2014-09-25,105.6866,106.5345,46625HJU5=
2014-09-26,104.2893,105.1211,46625HJU5=
2014-09-29,104.9446,105.7839,46625HJU5=
2014-09-30,104.5272,105.3616,46625HJU5=
2014-10-01,107.164,108.0287,46625HJU5=
2014-10-02,105.6095,106.4562,46625HJU5=
2014-10-03,106.4991,107.356,46625HJU5=
2014-10-06,107.3196,108.1859,46625HJU5=
2014-10-07,108.882,109.7664,46625HJU5=
2014-10-08,109.0737,109.9602,46625HJU5=
2014-10-09,107.8532,108.7255,46625HJU5=
2014-10-10,108.7539,109.6366,46625HJU5=
2014-10-14,109.4764,110.3674,46625HJU5=
