Date,BID,ASK,RIC
2015-07-15,100.1155,100.5273,46625HMN7=
2015-07-16,100.4613,100.8747,46625HMN7=
2015-07-17,100.1729,100.5848,46625HMN7=
2015-07-20,100.0004,100.4114,46625HMN7=
2015-07-21,100.0003,100.4112,46625HMN7=
2015-08-03,102.4037,102.8251,46625HMN7=
2015-08-04,101.6998,102.1177,46625HMN7=
2015-08-05,101.3159,101.7317,46625HMN7=
2015-08-06,101.2575,101.6729,46625HMN7=
2015-08-07,101.7474,102.1651,46625HMN7=
2015-08-10,100.8848,101.2982,46625HMN7=
2015-08-11,101.7048,102.1221,46625HMN7=
2015-08-12,101.0817,101.4957,46625HMN7=
2015-08-13,101.204,101.6185,46625HMN7=
2015-08-14,100.7076,101.1196,46625HMN7=
2015-08-17,101.0718,101.4855,46625HMN7=
2015-08-18,100.8744,101.287,46625HMN7=
2015-08-19,101.7334,102.1499,46625HMN7=
2015-08-20,102.0325,102.4503,46625HMN7=
2015-08-21,102.0987,102.5167,46625HMN7=
2015-08-24,102.0398,102.4574,46625HMN7=
2015-08-25,101.906,102.3229,46625HMN7=
2015-08-26,101.2234,101.6369,46625HMN7=
2015-08-27,101.2174,101.6307,46625HMN7=
2015-08-28,101.2747,101.6882,46625HMN7=
2015-08-31,101.7707,102.1865,46625HMN7=
2015-09-01,101.5549,101.9695,46625HMN7=
2015-09-02,101.6525,102.0672,46625HMN7=
2015-09-03,102.1082,102.525,46625HMN7=
2015-09-04,102.3742,102.7922,46625HMN7=
2015-09-08,102.0822,102.4987,46625HMN7=
2015-09-09,101.6747,102.089,46625HMN7=
2015-09-10,101.5009,101.9142,46625HMN7=
2015-09-11,101.6573,102.0713,46625HMN7=
2015-09-14,101.6899,102.1039,46625HMN7=
2015-09-15,101.2857,101.6977,46625HMN7=
2015-09-16,101.1697,101.5809,46625HMN7=
2015-09-17,100.9564,101.3665,46625HMN7=
2015-09-18,102.0096,102.4246,46625HMN7=
2015-09-21,101.4727,101.885,46625HMN7=
2015-09-22,102.1909,102.6066,46625HMN7=
2015-09-23,101.6193,102.032,46625HMN7=
2015-09-24,101.8084,102.2219,46625HMN7=
2015-09-25,101.907,102.3208,46625HMN7=
2015-09-28,102.0552,102.4696,46625HMN7=
2015-09-29,102.3694,102.7852,46625HMN7=
2015-09-30,101.9954,102.4092,46625HMN7=
2015-10-01,102.0197,102.4335,46625HMN7=
2015-10-02,102.5241,102.9402,46625HMN7=
2015-10-05,102.3163,102.7313,46625HMN7=
2015-10-06,102.5727,102.9888,46625HMN7=
2015-10-07,102.7363,103.1528,46625HMN7=
2015-10-08,102.2633,102.6775,46625HMN7=
2015-10-09,102.5109,102.9262,46625HMN7=
2015-10-13,102.9255,103.3426,46625HMN7=
2015-10-14,102.8984,103.3151,46625HMN7=
2015-10-15,102.5493,102.9642,46625HMN7=
2015-10-16,102.731,103.1467,46625HMN7=
2015-10-19,102.5646,102.9794,46625HMN7=
2015-10-20,102.6137,103.0287,46625HMN7=
2015-10-21,103.118,103.5351,46625HMN7=
2015-10-22,102.951,103.3672,46625HMN7=
2015-10-23,102.4619,102.8756,46625HMN7=
2015-10-26,102.701,103.1158,46625HMN7=
2015-10-27,102.8743,103.2898,46625HMN7=
2015-10-28,102.7404,103.1551,46625HMN7=
2015-10-29,102.3354,102.7481,46625HMN7=
2015-10-30,102.5491,102.9627,46625HMN7=
2015-11-02,102.6311,103.045,46625HMN7=
2015-11-03,102.2022,102.6139,46625HMN7=
2015-11-04,102.1432,102.5544,46625HMN7=
2015-11-05,102.3809,102.7931,46625HMN7=
2015-11-06,101.6349,102.0434,46625HMN7=
2015-11-09,101.6998,102.1085,46625HMN7=
2015-11-10,101.8046,102.2135,46625HMN7=
2015-11-12,101.8893,102.2985,46625HMN7=
2015-11-13,102.1914,102.6019,46625HMN7=
2015-11-16,102.1417,102.5519,46625HMN7=
2015-11-17,102.5232,102.9351,46625HMN7=
2015-11-18,102.464,102.8753,46625HMN7=
2015-11-19,102.8664,103.2795,46625HMN7=
2015-11-20,102.8822,103.2953,46625HMN7=
2015-11-23,103.3849,103.8001,46625HMN7=
2015-11-24,103.2502,103.6645,46625HMN7=
2015-11-25,103.5226,103.9381,46625HMN7=
2015-11-27,103.6378,104.0537,46625HMN7=
2015-11-30,103.1736,103.5872,46625HMN7=
2015-12-01,103.6113,104.0269,46625HMN7=
2015-12-02,104.0823,104.4998,46625HMN7=
2015-12-03,102.2434,102.6522,46625HMN7=
2015-12-04,102.8813,103.293,46625HMN7=
2015-12-07,103.185,103.598,46625HMN7=
2015-12-08,103.2997,103.7131,46625HMN7=
2015-12-09,103.2233,103.6361,46625HMN7=
2015-12-10,102.6235,103.0334,46625HMN7=
2015-12-11,102.967,103.3784,46625HMN7=
2015-12-14,101.8817,102.2879,46625HMN7=
2015-12-15,102.0191,102.4258,46625HMN7=
2015-12-16,101.8396,102.2452,46625HMN7=
2015-12-17,102.7747,103.1846,46625HMN7=
2015-12-18,103.11,103.5213,46625HMN7=
2015-12-21,103.1831,103.5947,46625HMN7=
2015-12-22,102.8201,103.2296,46625HMN7=
2015-12-23,102.6562,103.0648,46625HMN7=
2015-12-24,102.7698,103.1788,46625HMN7=
2015-12-28,102.8652,103.2747,46625HMN7=
2015-12-29,102.2471,102.6533,46625HMN7=
2015-12-30,102.3683,102.775,46625HMN7=
2015-12-31,102.5708,102.9783,46625HMN7=
2016-01-04,102.7005,103.1085,46625HMN7=
2016-01-05,102.4074,102.814,46625HMN7=
2016-01-06,101.9934,102.3977,46625HMN7=
2016-01-07,102.6488,103.0561,46625HMN7=
2016-01-08,102.6076,103.0146,46625HMN7=
2016-01-11,102.1132,102.5178,46625HMN7=
2016-01-12,102.5984,103.0051,46625HMN7=
2016-01-13,102.1426,102.5468,46625HMN7=
2016-01-14,101.9969,102.4004,46625HMN7=
2016-01-15,101.6189,102.0205,46625HMN7=
2016-01-19,100.9798,101.3784,46625HMN7=
2016-01-20,101.2016,101.6009,46625HMN7=
2016-01-21,101.7607,102.1625,46625HMN7=
2016-01-22,101.528,101.9286,46625HMN7=
2016-01-25,101.8558,102.2578,46625HMN7=
2016-01-26,101.639,102.0399,46625HMN7=
2016-01-27,101.8783,102.2802,46625HMN7=
2016-01-28,101.8056,102.207,46625HMN7=
2016-01-29,102.6015,103.0065,46625HMN7=
2016-02-01,102.0611,102.4635,46625HMN7=
2016-02-02,102.7698,103.1754,46625HMN7=
2016-02-03,102.5172,102.9213,46625HMN7=
2016-02-04,102.8153,103.2207,46625HMN7=
2016-02-05,103.4069,103.8149,46625HMN7=
2016-02-08,103.1216,103.5282,46625HMN7=
2016-02-09,102.9344,103.3401,46625HMN7=
2016-02-10,104.1443,104.5551,46625HMN7=
2016-02-11,103.9082,104.3178,46625HMN7=
2016-02-12,103.2203,103.6267,46625HMN7=
2016-02-16,103.661,104.0693,46625HMN7=
2016-02-17,103.6683,104.0763,46625HMN7=
2016-02-18,104.7855,105.1986,46625HMN7=
2016-02-19,104.1274,104.5374,46625HMN7=
2016-02-22,105.0222,105.4362,46625HMN7=
2016-02-23,105.2524,105.6673,46625HMN7=
2016-02-24,104.7957,105.2081,46625HMN7=
2016-02-25,105.3448,105.7597,46625HMN7=
2016-02-26,104.9306,105.3434,46625HMN7=
2016-02-29,105.1437,105.5574,46625HMN7=
2016-03-01,104.2472,104.6567,46625HMN7=
2016-03-02,104.5055,104.9159,46625HMN7=
2016-03-03,104.5043,104.9146,46625HMN7=
2016-03-04,104.1682,104.5768,46625HMN7=
2016-03-07,103.9391,104.3466,46625HMN7=
2016-03-08,104.9601,105.3722,46625HMN7=
2016-03-09,104.0488,104.4564,46625HMN7=
2016-03-10,103.3673,103.7717,46625HMN7=
2016-03-11,103.8842,104.2908,46625HMN7=
2016-03-14,105.018,105.4297,46625HMN7=
