Date,BID,ASK,RIC
2016-06-03,100.8378,101.2687,46625HRS1=
2016-06-06,100.4431,100.872,46625HRS1=
2016-06-07,101.1472,101.5794,46625HRS1=
2016-06-08,100.7507,101.1807,46625HRS1=
2016-06-09,100.7504,101.1803,46625HRS1=
2016-06-10,100.8188,101.2489,46625HRS1=
2016-06-13,100.913,101.3435,46625HRS1=
2016-06-14,100.2966,100.7239,46625HRS1=
2016-06-15,100.6463,101.0751,46625HRS1=
2016-06-16,100.4155,100.843,46625HRS1=
2016-06-17,100.9285,101.3584,46625HRS1=
2016-06-20,100.9539,101.3839,46625HRS1=
2016-06-21,100.5173,100.945,46625HRS1=
2016-06-22,101.03,101.4599,46625HRS1=
2016-06-23,100.474,100.9011,46625HRS1=
2016-06-24,101.4332,101.8649,46625HRS1=
2016-06-27,101.7607,102.1939,46625HRS1=
2016-06-28,102.176,102.6112,46625HRS1=
2016-06-29,102.3386,102.7741,46625HRS1=
2016-06-30,102.3554,102.7909,46625HRS1=
2016-07-01,103.1313,103.5705,46625HRS1=
2016-07-05,103.6489,104.0906,46625HRS1=
2016-07-06,103.3297,103.7695,46625HRS1=
2016-07-07,103.2938,103.7333,46625HRS1=
2016-07-08,103.6179,104.0589,46625HRS1=
2016-07-11,103.617,104.0579,46625HRS1=
2016-07-12,102.9415,103.379,46625HRS1=
2016-07-13,102.9741,103.4114,46625HRS1=
2016-07-14,101.9845,102.4169,46625HRS1=
2016-07-15,102.0616,102.4942,46625HRS1=
2016-07-19,101.4587,101.8882,46625HRS1=
2016-07-20,101.526,101.9555,46625HRS1=
2016-07-21,102.3174,102.7507,46625HRS1=
2016-07-22,101.8169,102.2476,46625HRS1=
2016-07-25,101.7392,102.1695,46625HRS1=
2016-07-26,102.3588,102.792,46625HRS1=
2016-07-27,102.9643,103.4002,46625HRS1=
2016-07-28,102.7465,103.1812,46625HRS1=
2016-07-29,103.2502,103.6873,46625HRS1=
2016-08-01,102.6411,103.0751,46625HRS1=
2016-08-02,101.9162,102.3466,46625HRS1=
2016-08-03,102.25,102.6817,46625HRS1=
2016-08-04,102.172,102.6032,46625HRS1=
2016-08-05,101.503,101.9309,46625HRS1=
2016-08-08,101.5026,101.9304,46625HRS1=
2016-08-09,102.2994,102.7309,46625HRS1=
2016-08-10,102.8673,103.3013,46625HRS1=
2016-08-11,102.4422,102.874,46625HRS1=
2016-08-12,102.8716,103.3054,46625HRS1=
2016-08-15,102.5542,102.9863,46625HRS1=
2016-08-16,102.4157,102.8471,46625HRS1=
2016-08-17,102.2936,102.7241,46625HRS1=
2016-08-18,102.8529,103.286,46625HRS1=
2016-08-19,102.4385,102.8695,46625HRS1=
2016-08-22,102.7652,103.1976,46625HRS1=
2016-08-23,103.2575,103.6922,46625HRS1=
2016-08-24,103.2898,103.7244,46625HRS1=
2016-08-25,103.0725,103.5059,46625HRS1=
2016-08-26,102.6323,103.0636,46625HRS1=
2016-08-29,103.2188,103.6528,46625HRS1=
2016-08-30,102.6227,103.0537,46625HRS1=
2016-08-31,102.3799,102.8093,46625HRS1=
2016-09-01,102.4478,102.8774,46625HRS1=
2016-09-02,102.636,103.0665,46625HRS1=
2016-09-06,102.9277,103.3595,46625HRS1=
2016-09-07,102.9944,103.4262,46625HRS1=
2016-09-08,102.1707,102.5984,46625HRS1=
2016-09-09,101.2958,101.7192,46625HRS1=
2016-09-12,100.95,101.3716,46625HRS1=
2016-09-13,100.7398,101.1603,46625HRS1=
2016-09-14,101.0079,101.4294,46625HRS1=
2016-09-15,100.932,101.353,46625HRS1=
2016-09-16,100.9738,101.3949,46625HRS1=
2016-09-19,101.024,101.4452,46625HRS1=
2016-09-20,99.7227,100.1376,46625HRS1=
2016-09-21,101.3933,101.8159,46625HRS1=
2016-09-22,101.6715,102.0953,46625HRS1=
2016-09-23,102.4353,102.8627,46625HRS1=
2016-09-26,102.7421,103.1709,46625HRS1=
2016-09-27,102.7757,103.2045,46625HRS1=
2016-09-28,102.8421,103.2709,46625HRS1=
2016-09-29,103.0469,103.4766,46625HRS1=
2016-09-30,102.704,103.1319,46625HRS1=
2016-10-03,102.2861,102.7119,46625HRS1=
2016-10-04,101.752,102.1752,46625HRS1=
2016-10-05,101.6155,102.0376,46625HRS1=
2016-10-06,101.5899,102.0118,46625HRS1=
2016-10-07,102.062,102.486,46625HRS1=
2016-10-10,101.6733,102.0955,46625HRS1=
2016-10-11,101.2784,101.6986,46625HRS1=
2016-10-12,101.2189,101.6385,46625HRS1=
2016-10-13,101.4449,101.8655,46625HRS1=
2016-10-14,100.951,101.3691,46625HRS1=
2016-10-17,101.5114,101.9321,46625HRS1=
2016-10-18,101.4942,101.9147,46625HRS1=
2016-10-19,101.6862,102.1073,46625HRS1=
2016-10-20,101.3589,101.7783,46625HRS1=
2016-10-21,101.5261,101.9462,46625HRS1=
2016-10-24,101.9289,102.3508,46625HRS1=
2016-10-25,101.4249,101.8443,46625HRS1=
2016-10-26,101.1398,101.5577,46625HRS1=
2016-10-27,100.7409,101.1567,46625HRS1=
2016-10-28,100.7491,101.1649,46625HRS1=
