Date,BID,ASK,RIC
2016-07-20,99.5664,100.0023,46625HRV4=
2016-07-21,99.8451,100.2823,46625HRV4=
2016-07-22,99.9498,100.3874,46625HRV4=
2016-07-25,100.3961,100.8359,46625HRV4=
2016-07-26,99.9759,100.4135,46625HRV4=
2016-07-27,100.5009,100.9409,46625HRV4=
2016-07-28,100.3692,100.8084,46625HRV4=
2016-07-29,100.8787,101.3204,46625HRV4=
2016-08-01,100.439,100.8784,46625HRV4=
2016-08-02,100.0541,100.4914,46625HRV4=
2016-08-03,100.2197,100.6576,46625HRV4=
2016-08-04,100.0539,100.4908,46625HRV4=
2016-08-05,99.6365,100.0712,46625HRV4=
2016-08-08,99.7233,100.1584,46625HRV4=
2016-08-09,100.0101,100.4465,46625HRV4=
2016-08-10,100.7615,101.2014,46625HRV4=
2016-08-11,100.3312,100.7688,46625HRV4=
2016-08-12,100.4167,100.8546,46625HRV4=
2016-08-15,100.0186,100.4544,46625HRV4=
2016-08-16,100.1229,100.5592,46625HRV4=
2016-08-17,100.2707,100.7074,46625HRV4=
2016-08-18,100.7509,101.1899,46625HRV4=
2016-08-19,100.3315,100.7683,46625HRV4=
2016-08-22,100.9258,101.3655,46625HRV4=
2016-08-23,100.8992,101.3386,46625HRV4=
2016-08-24,101.3728,101.8143,46625HRV4=
2016-08-25,101.2405,101.6812,46625HRV4=
2016-08-26,100.7937,101.2322,46625HRV4=
2016-08-29,101.3017,101.7426,46625HRV4=
2016-08-30,100.8715,101.3102,46625HRV4=
2016-08-31,100.278,100.7133,46625HRV4=
2016-09-01,100.4343,100.8703,46625HRV4=
2016-09-02,100.2778,100.7129,46625HRV4=
2016-09-06,100.8349,101.2727,46625HRV4=
2016-09-07,100.7295,101.1664,46625HRV4=
2016-09-08,99.8104,100.2426,46625HRV4=
2016-09-09,98.9269,99.3547,46625HRV4=
2016-09-12,98.4931,98.9186,46625HRV4=
2016-09-13,97.9436,98.3663,46625HRV4=
2016-09-14,98.9792,99.4067,46625HRV4=
2016-09-15,98.3931,98.8176,46625HRV4=
2016-09-16,98.4358,98.8604,46625HRV4=
2016-09-19,98.9117,99.3386,46625HRV4=
2016-09-20,98.9461,99.373,46625HRV4=
2016-09-21,100.1467,100.5793,46625HRV4=
2016-09-22,100.4318,100.8657,46625HRV4=
2016-09-23,100.0862,100.5183,46625HRV4=
2016-09-26,100.6568,101.0916,46625HRV4=
2016-09-27,100.345,100.7781,46625HRV4=
2016-09-28,100.8469,101.2822,46625HRV4=
2016-09-29,100.7946,101.2296,46625HRV4=
2016-09-30,99.7594,100.1891,46625HRV4=
2016-10-03,100.1976,100.6294,46625HRV4=
2016-10-04,99.6566,100.0856,46625HRV4=
2016-10-05,99.52,99.9479,46625HRV4=
2016-10-06,99.5798,100.0079,46625HRV4=
2016-10-07,99.3752,99.8022,46625HRV4=
2016-10-10,98.9837,99.4088,46625HRV4=
2016-10-11,99.5202,99.9478,46625HRV4=
2016-10-12,99.5459,99.9734,46625HRV4=
2016-10-13,99.2651,99.6911,46625HRV4=
2016-10-14,98.8499,99.2737,46625HRV4=
2016-10-17,99.4184,99.8449,46625HRV4=
2016-10-18,99.5717,99.9989,46625HRV4=
2016-10-19,99.4273,99.8535,46625HRV4=
2016-10-20,99.6913,100.1187,46625HRV4=
2016-10-21,99.9559,100.3845,46625HRV4=
2016-10-24,99.419,99.8448,46625HRV4=
2016-10-25,99.5892,100.0158,46625HRV4=
2016-10-26,99.3008,99.7258,46625HRV4=
2016-10-27,98.8105,99.2329,46625HRV4=
2016-10-28,98.9035,99.3263,46625HRV4=
2016-10-31,98.7689,99.1909,46625HRV4=
2016-11-01,98.6513,99.0726,46625HRV4=
2016-11-02,98.6942,99.1155,46625HRV4=
2016-11-03,99.065,99.488,46625HRV4=
2016-11-04,99.1665,99.5899,46625HRV4=
2016-11-07,98.7454,99.1666,46625HRV4=
2016-11-08,98.5788,98.9988,46625HRV4=
2016-11-09,98.2446,98.6628,46625HRV4=
2016-11-10,97.611,98.026,46625HRV4=
2016-11-11,96.9869,97.3989,46625HRV4=
2016-11-14,96.0614,96.4688,46625HRV4=
2016-11-15,96.3329,96.7415,46625HRV4=
2016-11-16,96.3029,96.7111,46625HRV4=
2016-11-17,95.9543,96.3607,46625HRV4=
2016-11-18,94.9001,95.3013,46625HRV4=
2016-11-21,95.3356,95.7387,46625HRV4=
2016-11-22,95.3388,95.7416,46625HRV4=
2016-11-23,95.2515,95.6538,46625HRV4=
2016-11-25,94.9803,95.3812,46625HRV4=
2016-11-28,95.2778,95.68,46625HRV4=
2016-11-29,95.4315,95.8344,46625HRV4=
2016-11-30,94.6592,95.058,46625HRV4=
2016-12-01,94.7082,95.1072,46625HRV4=
2016-12-02,95.2603,95.6618,46625HRV4=
2016-12-05,94.9736,95.3737,46625HRV4=
2016-12-06,94.895,95.2946,46625HRV4=
2016-12-07,95.9085,96.3127,46625HRV4=
2016-12-08,95.315,95.7162,46625HRV4=
2016-12-09,94.8612,95.2601,46625HRV4=
2016-12-12,94.934,95.3332,46625HRV4=
2016-12-13,94.9671,95.3663,46625HRV4=
2016-12-14,94.2257,94.6211,46625HRV4=
2016-12-15,93.9201,94.3139,46625HRV4=
2016-12-16,94.0552,94.4496,46625HRV4=
2016-12-19,94.1746,94.5694,46625HRV4=
