Date,BID,ASK,RIC
2021-09-17,98.805,99.0289,48128G3S7=
2021-09-20,98.961,99.1851,48128G3S7=
2021-09-21,98.9314,99.1553,48128G3S7=
2021-09-22,98.8292,99.0527,48128G3S7=
2021-09-23,98.4223,98.6444,48128G3S7=
2021-09-24,98.4243,98.6463,48128G3S7=
2021-09-27,98.2747,98.4962,48128G3S7=
2021-09-28,98.2031,98.4243,48128G3S7=
2021-09-29,98.3424,98.5638,48128G3S7=
2021-09-30,98.4364,98.6576,48128G3S7=
2021-10-01,98.6122,98.8338,48128G3S7=
2021-10-04,98.5474,98.7687,48128G3S7=
2021-10-05,98.4265,98.6473,48128G3S7=
2021-10-06,98.3669,98.5875,48128G3S7=
2021-10-07,98.1925,98.4121,48128G3S7=
2021-10-08,98.0664,98.2855,48128G3S7=
2021-10-11,97.9034,98.1221,48128G3S7=
2021-10-12,98.0038,98.2227,48128G3S7=
2021-10-13,97.9665,98.1851,48128G3S7=
2021-10-14,98.0582,98.2767,48128G3S7=
2021-10-15,97.7489,97.9665,48128G3S7=
2021-10-18,97.5807,97.7977,48128G3S7=
2021-10-19,97.591,97.8079,48128G3S7=
2021-10-20,97.5823,97.7991,48128G3S7=
2021-10-21,97.2769,97.4925,48128G3S7=
2021-10-22,97.4171,97.633,48128G3S7=
2021-10-25,97.5569,97.773,48128G3S7=
2021-10-26,97.5292,97.7451,48128G3S7=
2021-10-27,97.6271,97.8431,48128G3S7=
2021-10-28,97.5679,97.7835,48128G3S7=
2021-10-29,97.5783,97.7938,48128G3S7=
2021-11-01,97.5958,97.8112,48128G3S7=
2021-11-02,97.7613,97.977,48128G3S7=
2021-11-03,97.5529,97.7679,48128G3S7=
2021-11-04,97.8872,98.1027,48128G3S7=
2021-11-05,98.1081,98.324,48128G3S7=
2021-11-08,97.8224,98.0375,48128G3S7=
2021-11-09,97.9608,98.176,48128G3S7=
2021-11-10,97.3483,97.5616,48128G3S7=
2021-11-11,97.1718,97.3846,48128G3S7=
2021-11-12,97.3456,97.5587,48128G3S7=
2021-11-15,97.2458,97.4586,48128G3S7=
2021-11-16,97.1934,97.4059,48128G3S7=
2021-11-17,97.3562,97.569,48128G3S7=
2021-11-18,97.3944,97.6069,48128G3S7=
2021-11-19,97.3524,97.5646,48128G3S7=
2021-11-22,96.954,97.1651,48128G3S7=
2021-11-23,96.9159,97.1267,48128G3S7=
2021-11-24,96.8919,97.1023,48128G3S7=
2021-11-25,96.8808,97.0911,48128G3S7=
2021-11-26,97.6269,97.8389,48128G3S7=
2021-11-29,97.6951,97.9072,48128G3S7=
2021-11-30,97.6176,97.8294,48128G3S7=
2021-12-01,97.7637,97.9757,48128G3S7=
2021-12-02,97.46,97.6709,48128G3S7=
2021-12-03,97.6869,97.8982,48128G3S7=
2021-12-06,97.4412,97.6518,48128G3S7=
2021-12-07,97.2105,97.4204,48128G3S7=
2021-12-08,97.0973,97.3068,48128G3S7=
