Date,BID,ASK,RIC
2021-09-17,98.1477,98.3787,48128G4N7=
2021-09-20,98.3188,98.5502,48128G4N7=
2021-09-21,98.2846,98.5157,48128G4N7=
2021-09-22,98.1881,98.4188,48128G4N7=
2021-09-23,97.7513,97.9805,48128G4N7=
2021-09-24,97.7525,97.9816,48128G4N7=
2021-09-27,97.5884,97.8169,48128G4N7=
2021-09-28,97.5042,97.7324,48128G4N7=
2021-09-29,97.6447,97.8731,48128G4N7=
2021-09-30,97.7484,97.9767,48128G4N7=
2021-10-01,97.8321,98.0605,48128G4N7=
2021-10-04,97.8644,98.0928,48128G4N7=
2021-10-05,97.7358,97.9637,48128G4N7=
2021-10-06,97.6782,97.9058,48128G4N7=
2021-10-07,97.4981,97.7247,48128G4N7=
2021-10-08,97.3635,97.5897,48128G4N7=
2021-10-11,97.1972,97.4229,48128G4N7=
2021-10-12,97.3056,97.5315,48128G4N7=
2021-10-13,97.2806,97.5063,48128G4N7=
2021-10-14,97.3758,97.6013,48128G4N7=
2021-10-15,97.0533,97.2779,48128G4N7=
2021-10-18,96.8796,97.1036,48128G4N7=
2021-10-19,96.8851,97.109,48128G4N7=
2021-10-20,96.8767,97.1004,48128G4N7=
2021-10-21,96.5664,96.789,48128G4N7=
2021-10-22,96.7148,96.9376,48128G4N7=
2021-10-25,96.8599,97.083,48128G4N7=
2021-10-26,96.8356,97.0585,48128G4N7=
2021-10-27,96.9464,97.1694,48128G4N7=
2021-10-28,96.875,97.0976,48128G4N7=
2021-10-29,96.8792,97.1017,48128G4N7=
2021-11-01,96.904,97.1264,48128G4N7=
2021-11-02,97.0735,97.2962,48128G4N7=
2021-11-03,96.8607,97.0827,48128G4N7=
2021-11-04,97.2079,97.4305,48128G4N7=
2021-11-05,97.4449,97.6679,48128G4N7=
2021-11-08,97.1537,97.3759,48128G4N7=
2021-11-09,97.314,97.5363,48128G4N7=
2021-11-10,96.6745,96.8948,48128G4N7=
2021-11-11,96.4918,96.7116,48128G4N7=
2021-11-12,96.6703,96.8905,48128G4N7=
2021-11-15,96.5646,96.7844,48128G4N7=
2021-11-16,96.506,96.7255,48128G4N7=
2021-11-17,96.6808,96.9006,48128G4N7=
2021-11-18,96.7207,96.9402,48128G4N7=
2021-11-19,96.6892,96.9085,48128G4N7=
2021-11-22,96.2699,96.488,48128G4N7=
2021-11-23,96.2263,96.4441,48128G4N7=
2021-11-24,96.2087,96.426,48128G4N7=
2021-11-25,96.196,96.4133,48128G4N7=
2021-11-26,96.9789,97.1981,48128G4N7=
2021-11-29,97.046,97.2652,48128G4N7=
2021-11-30,96.9799,97.1988,48128G4N7=
2021-12-01,97.1345,97.3537,48128G4N7=
2021-12-02,96.8244,97.0424,48128G4N7=
2021-12-03,97.0711,97.2896,48128G4N7=
2021-12-06,96.8093,97.027,48128G4N7=
2021-12-07,96.5711,96.7881,48128G4N7=
2021-12-08,96.4636,96.6802,48128G4N7=
2021-12-09,96.5085,96.7248,48128G4N7=
2021-12-10,96.6045,96.8209,48128G4N7=
2021-12-13,96.1555,96.3707,48128G4N7=
2021-12-14,95.1741,95.3867,48128G4N7=
2021-12-15,95.1391,95.3515,48128G4N7=
2021-12-16,95.4535,95.6663,48128G4N7=
2021-12-17,95.4323,95.6449,48128G4N7=
2021-12-20,95.4771,95.6897,48128G4N7=
2021-12-21,95.2773,95.4893,48128G4N7=
2021-12-22,95.2935,95.505,48128G4N7=
2021-12-23,95.1816,95.3927,48128G4N7=
2021-12-24,95.182,95.3931,48128G4N7=
2021-12-27,95.1662,95.3771,48128G4N7=
2021-12-28,95.1996,95.4105,48128G4N7=
2021-12-29,95.0295,95.2396,48128G4N7=
2021-12-30,95.1764,95.3867,48128G4N7=
2021-12-31,95.1765,95.3868,48128G4N7=
2022-01-03,94.8144,95.0237,48128G4N7=
2022-01-04,94.8307,95.0399,48128G4N7=
2022-01-05,94.5512,94.7596,48128G4N7=
2022-01-06,94.3434,94.5509,48128G4N7=
2022-01-07,94.2119,94.4189,48128G4N7=
2022-01-10,94.1673,94.3741,48128G4N7=
2022-01-11,94.2025,94.4093,48128G4N7=
2022-01-12,94.1211,94.3276,48128G4N7=
2022-01-13,94.3264,94.5329,48128G4N7=
2022-01-14,93.9758,94.1813,48128G4N7=
2022-01-17,93.7944,93.9994,48128G4N7=
2022-01-18,93.5845,93.7889,48128G4N7=
2022-01-19,93.6645,93.869,48128G4N7=
2022-01-20,93.8588,94.0634,48128G4N7=
2022-01-21,93.9825,94.1872,48128G4N7=
2022-01-24,93.2317,93.4345,48128G4N7=
2022-01-25,93.1926,93.3952,48128G4N7=
2022-01-26,92.7114,92.9127,48128G4N7=
2022-01-27,92.7836,92.9848,48128G4N7=
2022-01-28,92.9672,93.1687,48128G4N7=
2022-01-31,93.0046,93.2061,48128G4N7=
2022-02-01,92.9717,93.173,48128G4N7=
2022-02-02,93.0607,93.2621,48128G4N7=
2022-02-03,92.7781,92.9784,48128G4N7=
2022-02-07,92.4063,92.6055,48128G4N7=
2022-02-08,92.2172,92.4158,48128G4N7=
2022-02-09,92.155,92.3533,48128G4N7=
2022-02-10,91.5388,91.7353,48128G4N7=
2022-02-11,92.0669,92.2645,48128G4N7=
2022-02-14,91.7771,91.9739,48128G4N7=
2022-02-15,91.6954,91.8919,48128G4N7=
2022-02-16,91.7795,91.9761,48128G4N7=
2022-02-17,92.0648,92.2616,48128G4N7=
2022-02-18,92.1951,92.3921,48128G4N7=
2022-02-21,92.2739,92.4711,48128G4N7=
2022-02-22,91.9824,92.1787,48128G4N7=
2022-02-23,91.8358,92.0317,48128G4N7=
2022-02-24,92.0203,92.216,48128G4N7=
2022-02-25,91.992,92.1875,48128G4N7=
2022-02-28,92.5976,92.7944,48128G4N7=
2022-03-01,93.1851,93.3832,48128G4N7=
2022-03-02,92.4391,92.6353,48128G4N7=
2022-03-03,92.5246,92.7207,48128G4N7=
2022-03-04,92.8398,93.0365,48128G4N7=
2022-03-07,92.6361,92.8322,48128G4N7=
2022-03-08,92.3512,92.5465,48128G4N7=
2022-03-09,91.9411,92.1353,48128G4N7=
2022-03-10,91.7826,91.976,48128G4N7=
2022-03-11,91.6793,91.8724,48128G4N7=
2022-03-14,91.1425,91.3342,48128G4N7=
2022-03-15,91.124,91.3155,48128G4N7=
2022-03-16,90.785,90.9756,48128G4N7=
2022-03-17,90.9623,91.1529,48128G4N7=
2022-03-18,90.9268,91.1172,48128G4N7=
2022-03-21,90.2772,90.466,48128G4N7=
2022-03-22,89.9986,90.1866,48128G4N7=
2022-03-23,90.2916,90.4802,48128G4N7=
2022-03-24,89.9909,90.1784,48128G4N7=
2022-03-25,89.3929,89.5789,48128G4N7=
2022-03-28,89.3547,89.5405,48128G4N7=
2022-03-29,89.5682,89.7545,48128G4N7=
2022-03-30,89.7989,89.9856,48128G4N7=
2022-03-31,89.7126,89.8988,48128G4N7=
2022-04-01,89.3201,89.5052,48128G4N7=
2022-04-04,89.4357,89.621,48128G4N7=
2022-04-05,88.9041,89.088,48128G4N7=
2022-04-06,89.0143,89.1983,48128G4N7=
2022-04-07,88.9429,89.1264,48128G4N7=
2022-04-08,88.7598,88.9428,48128G4N7=
2022-04-11,88.7102,88.8929,48128G4N7=
2022-04-12,89.07,89.2535,48128G4N7=
2022-04-13,89.2226,89.406,48128G4N7=
2022-04-14,88.8077,88.99,48128G4N7=
2022-04-15,88.8801,89.0625,48128G4N7=
2022-04-18,88.8256,89.0078,48128G4N7=
2022-04-19,88.3294,88.5103,48128G4N7=
2022-04-20,88.5211,88.7024,48128G4N7=
2022-04-21,88.1675,88.3476,48128G4N7=
2022-04-22,88.2557,88.4359,48128G4N7=
2022-04-25,88.539,88.7197,48128G4N7=
2022-04-26,89.0229,89.2046,48128G4N7=
2022-04-27,88.7244,88.9053,48128G4N7=
2022-04-28,88.6396,88.82,48128G4N7=
2022-04-29,88.232,88.4113,48128G4N7=
2022-05-02,88.0886,88.2675,48128G4N7=
2022-05-03,87.9883,88.1668,48128G4N7=
2022-05-04,88.413,88.5924,48128G4N7=
2022-05-05,88.1268,88.3052,48128G4N7=
2022-05-06,87.918,88.0958,48128G4N7=
2022-05-09,88.4409,88.6198,48128G4N7=
2022-05-10,88.5496,88.7286,48128G4N7=
2022-05-11,88.5493,88.7282,48128G4N7=
2022-05-12,88.7708,88.9498,48128G4N7=
2022-05-13,88.572,88.7505,48128G4N7=
2022-05-16,88.7539,88.9327,48128G4N7=
2022-05-17,88.2303,88.4077,48128G4N7=
2022-05-18,88.504,88.682,48128G4N7=
2022-05-19,88.7103,88.8884,48128G4N7=
2022-05-20,88.8437,89.022,48128G4N7=
2022-05-23,88.6209,88.7985,48128G4N7=
2022-05-24,87.8703,88.0461,48128G4N7=
2022-05-25,87.9587,88.1346,48128G4N7=
2022-05-26,88.0371,88.2128,48128G4N7=
2022-05-27,87.9594,88.1348,48128G4N7=
2022-05-30,87.6705,87.8453,48128G4N7=
2022-05-31,87.6484,87.823,48128G4N7=
2022-06-01,87.3131,87.4868,48128G4N7=
2022-06-02,87.3329,87.5063,48128G4N7=
2022-06-03,87.2382,87.4113,48128G4N7=
2022-06-06,86.9181,87.0904,48128G4N7=
2022-06-07,87.0788,87.2513,48128G4N7=
2022-06-08,86.9354,87.1075,48128G4N7=
2022-06-09,86.8132,86.9847,48128G4N7=
2022-06-10,86.0993,86.269,48128G4N7=
2022-06-13,85.33,85.4979,48128G4N7=
2022-06-14,84.9529,85.1198,48128G4N7=
2022-06-15,85.7302,85.8988,48128G4N7=
2022-06-16,85.9968,86.1655,48128G4N7=
2022-06-17,85.8186,85.9868,48128G4N7=
2022-06-20,85.7122,85.8802,48128G4N7=
2022-06-21,85.794,85.962,48128G4N7=
2022-06-22,86.294,86.463,48128G4N7=
2022-06-23,86.6273,86.7967,48128G4N7=
2022-06-24,86.5238,86.6929,48128G4N7=
2022-06-27,86.3124,86.4809,48128G4N7=
2022-06-28,86.3609,86.5294,48128G4N7=
2022-06-29,86.7047,86.8739,48128G4N7=
2022-06-30,87.0658,87.2353,48128G4N7=
2022-07-01,87.6248,87.7954,48128G4N7=
2022-07-04,87.5874,87.7579,48128G4N7=
2022-07-05,87.826,87.997,48128G4N7=
2022-07-06,87.2586,87.4282,48128G4N7=
2022-07-07,87.1083,87.2772,48128G4N7=
2022-07-08,86.3008,86.4678,48128G4N7=
2022-07-11,86.481,86.6483,48128G4N7=
2022-07-12,86.5684,86.7358,48128G4N7=
2022-07-13,86.4593,86.6263,48128G4N7=
2022-07-14,86.3916,86.5581,48128G4N7=
2022-07-15,86.4986,86.6652,48128G4N7=
2022-07-18,86.3447,86.5109,48128G4N7=
2022-07-19,86.1501,86.3157,48128G4N7=
2022-07-20,86.1664,86.332,48128G4N7=
2022-07-21,86.783,86.9496,48128G4N7=
2022-07-22,87.2849,87.4525,48128G4N7=
2022-07-25,87.1412,87.3083,48128G4N7=
2022-07-26,87.0806,87.2475,48128G4N7=
2022-07-27,87.2895,87.4567,48128G4N7=
2022-07-28,87.78,87.9481,48128G4N7=
2022-07-29,87.8242,87.9922,48128G4N7=
2022-08-01,87.8666,88.0346,48128G4N7=
2022-08-02,87.1623,87.3287,48128G4N7=
2022-08-03,87.2303,87.3967,48128G4N7=
2022-08-04,87.364,87.5303,48128G4N7=
2022-08-05,86.785,86.95,48128G4N7=
2022-08-08,86.9424,87.1076,48128G4N7=
2022-08-09,86.7421,86.9068,48128G4N7=
2022-08-10,86.8717,87.0365,48128G4N7=
2022-08-11,86.7558,86.92,48128G4N7=
2022-08-12,86.7987,86.9629,48128G4N7=
2022-08-15,87.0092,87.1737,48128G4N7=
2022-08-16,86.7665,86.9304,48128G4N7=
2022-08-17,86.4781,86.6413,48128G4N7=
2022-08-18,86.5855,86.7486,48128G4N7=
2022-08-19,86.4351,86.5977,48128G4N7=
2022-08-22,86.1849,86.3469,48128G4N7=
2022-08-23,86.188,86.3499,48128G4N7=
2022-08-24,86.0525,86.214,48128G4N7=
2022-08-25,86.2395,86.401,48128G4N7=
2022-08-26,86.1697,86.331,48128G4N7=
2022-08-29,85.9506,86.1114,48128G4N7=
2022-08-30,85.9045,86.0651,48128G4N7=
2022-08-31,85.6961,85.8561,48128G4N7=
2022-09-01,85.6012,85.7606,48128G4N7=
2022-09-02,85.8553,86.0151,48128G4N7=
2022-09-05,85.7268,85.8863,48128G4N7=
2022-09-06,85.383,85.5417,48128G4N7=
2022-09-07,85.6631,85.8223,48128G4N7=
2022-09-08,85.4554,85.6138,48128G4N7=
2022-09-09,85.4128,85.571,48128G4N7=
2022-09-12,85.3791,85.5371,48128G4N7=
2022-09-13,84.9747,85.1317,48128G4N7=
2022-09-14,84.8932,85.0499,48128G4N7=
2022-09-15,84.7495,84.9056,48128G4N7=
2022-09-16,84.8511,85.0073,48128G4N7=
2022-09-19,84.6682,84.8239,48128G4N7=
2022-09-20,84.5245,84.6798,48128G4N7=
2022-09-21,84.407,84.5619,48128G4N7=
2022-09-22,83.9683,84.122,48128G4N7=
2022-09-23,83.7531,83.9062,48128G4N7=
2022-09-26,83.11,83.2617,48128G4N7=
2022-09-27,83.1862,83.3379,48128G4N7=
2022-09-28,83.9384,84.0916,48128G4N7=
2022-09-29,83.7926,83.9451,48128G4N7=
2022-09-30,82.5486,82.6984,48128G4N7=
2022-10-03,83.1106,83.2615,48128G4N7=
2022-10-04,83.175,83.3259,48128G4N7=
2022-10-05,82.894,83.0442,48128G4N7=
2022-10-06,83.6729,83.8243,48128G4N7=
2022-10-07,82.4073,82.556,48128G4N7=
2022-10-10,82.3647,82.5133,48128G4N7=
2022-10-11,82.3756,82.5241,48128G4N7=
2022-10-12,82.5183,82.667,48128G4N7=
2022-10-13,82.2207,82.3684,48128G4N7=
2022-10-14,82.0542,82.2015,48128G4N7=
2022-10-17,82.2235,82.371,48128G4N7=
2022-10-18,82.2554,82.4029,48128G4N7=
2022-10-19,81.8527,81.9992,48128G4N7=
2022-10-21,81.9798,82.1262,48128G4N7=
2022-10-24,81.9591,82.1053,48128G4N7=
2022-10-25,82.2508,82.3975,48128G4N7=
2022-10-26,82.4843,82.6314,48128G4N7=
2022-10-27,82.8856,83.0333,48128G4N7=
2022-10-28,82.5773,82.7242,48128G4N7=
2022-10-31,82.385,82.5314,48128G4N7=
2022-11-01,82.2466,82.3927,48128G4N7=
2022-11-02,82.1214,82.2671,48128G4N7=
2022-11-03,81.9453,82.0903,48128G4N7=
2022-11-04,82.0974,82.2426,48128G4N7=
2022-11-07,81.9439,82.0887,48128G4N7=
2022-11-08,82.2225,82.3677,48128G4N7=
