Date,BID,ASK,RIC
2020-09-18,98.9156,99.2367,48128GW48=
2020-09-21,99.0611,99.3826,48128GW48=
2020-09-22,99.0705,99.3918,48128GW48=
2020-09-23,99.0159,99.3369,48128GW48=
2020-09-24,99.0654,99.3862,48128GW48=
2020-09-25,99.1003,99.4211,48128GW48=
2020-09-28,99.1409,99.4617,48128GW48=
2020-09-29,99.1962,99.517,48128GW48=
2020-09-30,99.0233,99.3434,48128GW48=
2020-10-01,99.0373,99.357,48128GW48=
2020-10-02,98.9431,99.2623,48128GW48=
2020-10-05,98.5601,98.8779,48128GW48=
2020-10-06,98.7814,99.0998,48128GW48=
2020-10-07,98.5207,98.8381,48128GW48=
2020-10-08,98.5794,98.8964,48128GW48=
2020-10-09,98.5372,98.8539,48128GW48=
2020-10-12,98.6292,98.9463,48128GW48=
2020-10-13,98.8013,99.1188,48128GW48=
2020-10-14,98.8171,99.1345,48128GW48=
2020-10-15,98.7195,99.0362,48128GW48=
2020-10-16,98.6603,98.9766,48128GW48=
2020-10-19,98.5522,98.868,48128GW48=
2020-10-20,98.5262,98.8418,48128GW48=
2020-10-21,98.3498,98.6647,48128GW48=
2020-10-22,98.1401,98.4538,48128GW48=
2020-10-23,98.2233,98.5372,48128GW48=
2020-10-26,98.4151,98.7295,48128GW48=
2020-10-27,98.5664,98.8812,48128GW48=
2020-10-28,98.5461,98.8607,48128GW48=
2020-10-29,98.2647,98.578,48128GW48=
2020-10-30,98.0854,98.398,48128GW48=
2020-11-02,98.1756,98.4883,48128GW48=
2020-11-03,98.03,98.3421,48128GW48=
2020-11-04,98.6027,98.9166,48128GW48=
2020-11-05,98.6524,98.9661,48128GW48=
2020-11-06,98.3902,98.7029,48128GW48=
2020-11-09,97.8656,98.1762,48128GW48=
2020-11-10,97.6608,97.9706,48128GW48=
2020-11-12,98.1315,98.4425,48128GW48=
2020-11-13,98.0185,98.3289,48128GW48=
2020-11-16,98.0421,98.3525,48128GW48=
2020-11-17,98.254,98.565,48128GW48=
2020-11-18,98.1673,98.4778,48128GW48=
2020-11-19,98.286,98.5965,48128GW48=
2020-11-20,98.3318,98.6423,48128GW48=
2020-11-23,98.2033,98.5133,48128GW48=
2020-11-24,98.1245,98.4339,48128GW48=
2020-11-25,98.178,98.4872,48128GW48=
2020-11-26,98.282,98.5916,48128GW48=
2020-11-27,98.3764,98.6861,48128GW48=
2020-11-30,98.3791,98.6887,48128GW48=
2020-12-01,97.6256,97.9325,48128GW48=
2020-12-02,97.6347,97.9415,48128GW48=
2020-12-03,97.79,98.0969,48128GW48=
2020-12-04,97.5547,97.8607,48128GW48=
2020-12-07,97.8072,98.1139,48128GW48=
2020-12-08,97.8115,98.1181,48128GW48=
2020-12-09,97.7296,98.0358,48128GW48=
2020-12-10,97.1069,97.4004,48128GW48=
2020-12-11,97.2398,97.5336,48128GW48=
2020-12-14,97.2397,97.5334,48128GW48=
2020-12-15,97.1954,97.4888,48128GW48=
2020-12-16,97.1788,97.472,48128GW48=
2020-12-17,97.1163,97.4089,48128GW48=
2020-12-18,97.0854,97.3778,48128GW48=
2020-12-21,97.0999,97.3922,48128GW48=
2020-12-22,97.2087,97.5012,48128GW48=
2020-12-23,97.1259,97.4177,48128GW48=
2020-12-24,97.1702,97.462,48128GW48=
2020-12-28,97.2331,97.525,48128GW48=
2020-12-29,97.1741,97.4658,48128GW48=
2020-12-30,97.2156,97.5069,48128GW48=
2020-12-31,97.2627,97.554,48128GW48=
2021-01-04,97.3435,97.635,48128GW48=
2021-01-05,97.1787,97.4695,48128GW48=
2021-01-06,96.81,97.0995,48128GW48=
2021-01-07,96.5942,96.8826,48128GW48=
2021-01-08,96.3938,96.6814,48128GW48=
2021-01-11,96.2532,96.5402,48128GW48=
2021-01-12,96.3131,96.6002,48128GW48=
2021-01-13,96.4972,96.7847,48128GW48=
2021-01-14,96.4043,96.691,48128GW48=
2021-01-15,96.623,96.9103,48128GW48=
2021-01-18,96.6219,96.9092,48128GW48=
2021-01-19,96.6482,96.9355,48128GW48=
2021-01-20,96.7004,96.9877,48128GW48=
2021-01-21,96.6261,96.9128,48128GW48=
2021-01-22,96.7192,97.0061,48128GW48=
2021-01-25,96.9425,97.23,48128GW48=
2021-01-26,96.9261,97.2134,48128GW48=
2021-01-27,97.0034,97.2908,48128GW48=
2021-01-28,96.8468,97.1335,48128GW48=
2021-01-29,96.8386,97.1251,48128GW48=
2021-02-01,96.839,97.1254,48128GW48=
2021-02-02,96.7532,97.0392,48128GW48=
2021-02-03,96.5772,96.8625,48128GW48=
2021-02-04,96.6392,96.9243,48128GW48=
2021-02-05,96.5433,96.828,48128GW48=
2021-02-08,96.467,96.7513,48128GW48=
2021-02-09,96.5274,96.8118,48128GW48=
2021-02-10,96.6899,96.9747,48128GW48=
2021-02-11,96.6024,96.8864,48128GW48=
2021-02-12,96.3969,96.6801,48128GW48=
2021-02-15,96.2643,96.5471,48128GW48=
2021-02-16,95.8883,96.1697,48128GW48=
2021-02-17,95.9873,96.2689,48128GW48=
2021-02-18,95.9532,96.2343,48128GW48=
2021-02-19,95.7788,96.0592,48128GW48=
2021-02-22,95.6507,95.9306,48128GW48=
2021-02-23,95.8231,96.1034,48128GW48=
2021-02-24,95.6441,95.9237,48128GW48=
2021-02-25,94.4653,94.7405,48128GW48=
2021-02-26,94.9885,95.2653,48128GW48=
2021-03-01,95.1479,95.425,48128GW48=
2021-03-02,95.3744,95.6521,48128GW48=
2021-03-03,94.9189,95.1951,48128GW48=
2021-03-04,94.5849,94.8596,48128GW48=
2021-03-05,94.4535,94.7277,48128GW48=
2021-03-08,94.1647,94.4378,48128GW48=
2021-03-09,94.515,94.7891,48128GW48=
2021-03-10,94.6232,94.8975,48128GW48=
2021-03-11,94.6254,94.8994,48128GW48=
2021-03-12,94.236,94.5086,48128GW48=
2021-03-15,94.3129,94.5856,48128GW48=
2021-03-16,94.3024,94.575,48128GW48=
2021-03-17,94.3742,94.6469,48128GW48=
2021-03-18,94.0139,94.2851,48128GW48=
2021-03-19,93.8528,94.1233,48128GW48=
2021-03-22,94.0288,94.2998,48128GW48=
2021-03-23,94.3576,94.6295,48128GW48=
2021-03-24,94.3816,94.6534,48128GW48=
2021-03-25,94.3353,94.6066,48128GW48=
2021-03-26,94.1519,94.4225,48128GW48=
2021-03-29,93.9862,94.2563,48128GW48=
2021-03-30,93.9597,94.2296,48128GW48=
2021-03-31,93.7311,93.9998,48128GW48=
2021-04-01,93.9644,94.2337,48128GW48=
2021-04-02,93.6397,93.908,48128GW48=
2021-04-05,93.8503,94.1191,48128GW48=
2021-04-06,94.1876,94.4574,48128GW48=
2021-04-07,94.1647,94.4343,48128GW48=
2021-04-08,94.4018,94.6717,48128GW48=
2021-04-09,94.231,94.5003,48128GW48=
2021-04-12,94.1522,94.4211,48128GW48=
2021-04-13,94.4285,94.6982,48128GW48=
2021-04-14,94.3064,94.5755,48128GW48=
2021-04-15,94.5912,94.8609,48128GW48=
2021-04-16,94.4672,94.7364,48128GW48=
2021-04-19,94.4683,94.7373,48128GW48=
2021-04-20,94.6836,94.9532,48128GW48=
2021-04-21,94.6776,94.9471,48128GW48=
2021-04-22,94.7242,94.9934,48128GW48=
2021-04-23,94.5983,94.867,48128GW48=
2021-04-26,94.5225,94.7908,48128GW48=
2021-04-27,94.3408,94.6085,48128GW48=
2021-04-28,94.4747,94.7427,48128GW48=
2021-04-29,94.3728,94.6401,48128GW48=
2021-04-30,94.4659,94.7333,48128GW48=
2021-05-03,94.6325,94.9003,48128GW48=
2021-05-04,94.6752,94.943,48128GW48=
2021-05-05,94.8181,95.0863,48128GW48=
2021-05-06,94.7803,95.048,48128GW48=
2021-05-07,94.9011,95.169,48128GW48=
2021-05-10,94.8284,95.096,48128GW48=
2021-05-11,94.74,95.0072,48128GW48=
2021-05-12,94.3898,94.6558,48128GW48=
2021-05-13,94.5855,94.8517,48128GW48=
2021-05-14,94.6635,94.9298,48128GW48=
2021-05-17,94.5738,94.8397,48128GW48=
2021-05-18,94.6753,94.9414,48128GW48=
2021-05-19,94.4505,94.7158,48128GW48=
2021-05-20,94.7042,94.9699,48128GW48=
2021-05-21,94.667,94.9325,48128GW48=
2021-05-24,94.7851,95.0508,48128GW48=
2021-05-25,94.9735,95.2397,48128GW48=
2021-05-26,94.9208,95.1867,48128GW48=
2021-05-27,94.8351,95.1003,48128GW48=
2021-05-28,94.8932,95.1585,48128GW48=
2021-05-31,94.8853,95.1506,48128GW48=
2021-06-01,94.9069,95.1721,48128GW48=
2021-06-02,94.9695,95.2348,48128GW48=
2021-06-03,94.7282,94.9924,48128GW48=
2021-06-04,95.0741,95.3392,48128GW48=
2021-06-07,95.0215,95.2863,48128GW48=
2021-06-08,95.1482,95.4133,48128GW48=
2021-06-09,95.3194,95.5849,48128GW48=
2021-06-10,95.5275,95.7933,48128GW48=
2021-06-11,95.38,95.6452,48128GW48=
2021-06-14,95.1401,95.4044,48128GW48=
2021-06-15,95.1924,95.4568,48128GW48=
2021-06-16,95.6143,95.8798,48128GW48=
2021-06-17,95.7625,96.0281,48128GW48=
2021-06-18,95.8839,96.1497,48128GW48=
2021-06-21,95.7928,96.0582,48128GW48=
2021-06-22,95.9564,96.2222,48128GW48=
2021-06-23,95.8239,96.0892,48128GW48=
2021-06-24,95.7235,95.9881,48128GW48=
2021-06-25,95.657,95.9213,48128GW48=
2021-06-28,95.8326,96.0973,48128GW48=
2021-06-29,95.8811,96.1458,48128GW48=
2021-06-30,95.8889,96.1535,48128GW48=
2021-07-01,95.8925,96.1566,48128GW48=
2021-07-02,96.0736,96.3381,48128GW48=
2021-07-05,96.1096,96.3743,48128GW48=
2021-07-06,96.4667,96.7323,48128GW48=
2021-07-07,96.5476,96.8133,48128GW48=
2021-07-08,96.766,97.032,48128GW48=
2021-07-09,96.5059,96.771,48128GW48=
2021-07-12,96.4801,96.745,48128GW48=
2021-07-13,96.2145,96.4785,48128GW48=
2021-07-14,96.5194,96.7842,48128GW48=
2021-07-15,96.6327,96.8974,48128GW48=
2021-07-16,96.6242,96.8888,48128GW48=
2021-07-19,96.8479,97.113,48128GW48=
2021-07-20,96.9403,97.2056,48128GW48=
2021-07-21,96.6226,96.8868,48128GW48=
2021-07-22,96.7191,96.9832,48128GW48=
2021-07-23,96.755,97.0191,48128GW48=
2021-07-26,96.6828,96.9465,48128GW48=
2021-07-27,96.8558,97.1199,48128GW48=
2021-07-28,96.8561,97.1201,48128GW48=
2021-07-29,96.7504,97.0138,48128GW48=
2021-07-30,96.9449,97.2088,48128GW48=
2021-08-02,97.1834,97.4479,48128GW48=
2021-08-03,97.2304,97.4949,48128GW48=
2021-08-04,97.0984,97.3624,48128GW48=
2021-08-05,96.8196,97.0823,48128GW48=
2021-08-06,96.5387,96.8005,48128GW48=
2021-08-09,96.4199,96.6812,48128GW48=
2021-08-10,96.263,96.5237,48128GW48=
2021-08-11,96.3716,96.6325,48128GW48=
2021-08-12,96.2718,96.532,48128GW48=
2021-08-13,96.5697,96.8307,48128GW48=
2021-08-16,96.6557,96.9168,48128GW48=
2021-08-17,96.6205,96.8814,48128GW48=
2021-08-18,96.6327,96.8935,48128GW48=
2021-08-19,96.6437,96.9041,48128GW48=
2021-08-20,96.5578,96.8179,48128GW48=
2021-08-23,96.6451,96.9053,48128GW48=
2021-08-24,96.4696,96.7291,48128GW48=
2021-08-25,96.3155,96.5745,48128GW48=
2021-08-26,96.248,96.5064,48128GW48=
2021-08-27,96.5117,96.7709,48128GW48=
2021-08-30,96.6968,96.9564,48128GW48=
2021-08-31,96.6391,96.8984,48128GW48=
2021-09-01,96.6618,96.921,48128GW48=
2021-09-02,96.6982,96.957,48128GW48=
2021-09-03,96.5867,96.8451,48128GW48=
2021-09-06,96.5841,96.8425,48128GW48=
2021-09-07,96.3876,96.6452,48128GW48=
2021-09-08,96.5031,96.761,48128GW48=
2021-09-09,96.6129,96.8707,48128GW48=
2021-09-10,96.4395,96.6967,48128GW48=
2021-09-13,96.5154,96.7727,48128GW48=
2021-09-14,96.6402,96.8977,48128GW48=
2021-09-15,96.5549,96.812,48128GW48=
2021-09-16,96.3475,96.6036,48128GW48=
2021-09-17,96.2065,96.4621,48128GW48=
2021-09-20,96.4402,96.6964,48128GW48=
2021-09-21,96.3853,96.6412,48128GW48=
2021-09-22,96.3063,96.5618,48128GW48=
2021-09-23,95.7777,96.0313,48128GW48=
2021-09-24,95.7691,96.0225,48128GW48=
2021-09-27,95.57,95.8227,48128GW48=
2021-09-28,95.43,95.6822,48128GW48=
2021-09-29,95.5702,95.8227,48128GW48=
2021-09-30,95.7111,95.9636,48128GW48=
2021-10-01,95.9196,96.1726,48128GW48=
2021-10-04,95.8441,96.0967,48128GW48=
2021-10-05,95.6905,95.9426,48128GW48=
2021-10-06,95.6347,95.8865,48128GW48=
2021-10-07,95.4383,95.689,48128GW48=
2021-10-08,95.2706,95.5207,48128GW48=
2021-10-11,95.0946,95.3442,48128GW48=
2021-10-12,95.2369,95.4868,48128GW48=
2021-10-13,95.2519,95.5017,48128GW48=
2021-10-14,95.3816,95.6314,48128GW48=
2021-10-15,94.993,95.2415,48128GW48=
2021-10-18,94.8151,95.063,48128GW48=
2021-10-19,94.7871,95.0348,48128GW48=
2021-10-20,94.7773,95.0248,48128GW48=
2021-10-21,94.4569,94.7031,48128GW48=
2021-10-22,94.6378,94.8844,48128GW48=
2021-10-25,94.7879,95.0348,48128GW48=
2021-10-26,94.7885,95.0353,48128GW48=
2021-10-27,94.9445,95.1916,48128GW48=
2021-10-28,94.8258,95.0724,48128GW48=
2021-10-29,94.8155,95.0619,48128GW48=
2021-11-01,94.8649,95.1113,48128GW48=
2021-11-02,95.0483,95.2951,48128GW48=
2021-11-03,94.814,95.06,48128GW48=
2021-11-04,95.2081,95.4549,48128GW48=
2021-11-05,95.4981,95.7456,48128GW48=
2021-11-08,95.1882,95.4347,48128GW48=
2021-11-09,95.4167,95.6636,48128GW48=
2021-11-10,94.6945,94.9389,48128GW48=
2021-11-11,94.4926,94.7365,48128GW48=
2021-11-12,94.6824,94.9267,48128GW48=
2021-11-15,94.5548,94.7986,48128GW48=
2021-11-16,94.4764,94.7198,48128GW48=
2021-11-17,94.6918,94.9357,48128GW48=
2021-11-18,94.7301,94.9738,48128GW48=
2021-11-19,94.7314,94.9749,48128GW48=
2021-11-22,94.2557,94.4978,48128GW48=
2021-11-23,94.1826,94.4242,48128GW48=
2021-11-24,94.1992,94.4405,48128GW48=
2021-11-25,94.1777,94.4189,48128GW48=
2021-11-26,95.0735,95.3171,48128GW48=
2021-11-29,95.1312,95.3749,48128GW48=
2021-11-30,95.1119,95.3554,48128GW48=
2021-12-01,95.3022,95.5461,48128GW48=
2021-12-02,94.9753,95.2179,48128GW48=
2021-12-03,95.2884,95.5318,48128GW48=
