Date,BID,ASK,RIC
2023-01-25,97.0449,97.2564,48130CAG0=
2023-01-26,96.8724,97.0834,48130CAG0=
2023-01-27,96.8389,97.5889,48130CAG0=
2023-01-30,96.6609,97.4109,48130CAG0=
2023-01-31,96.8245,97.5745,48130CAG0=
2023-02-01,97.2378,97.9878,48130CAG0=
2023-02-02,97.271,98.021,48130CAG0=
2023-02-03,96.7151,97.4651,48130CAG0=
2023-02-06,96.0817,96.8317,48130CAG0=
2023-02-07,96.0738,96.8238,48130CAG0=
2023-02-08,96.2292,96.9792,48130CAG0=
2023-02-09,95.9977,96.7477,48130CAG0=
2023-02-10,95.7633,96.5133,48130CAG0=
2023-02-13,95.8127,96.5627,48130CAG0=
2023-02-14,95.4572,96.2072,48130CAG0=
2023-02-15,95.3548,96.1048,48130CAG0=
2023-02-16,95.2302,95.9802,48130CAG0=
2023-02-17,95.4226,96.1726,48130CAG0=
2023-02-20,95.2564,96.0064,48130CAG0=
2023-02-21,94.8824,95.6324,48130CAG0=
2023-02-22,95.1012,95.8512,48130CAG0=
2023-02-23,95.2485,95.9985,48130CAG0=
2023-02-24,94.8916,95.6416,48130CAG0=
2023-02-27,94.9993,95.7493,48130CAG0=
2023-02-28,94.9493,95.6993,48130CAG0=
2023-03-01,94.6857,95.4357,48130CAG0=
2023-03-02,94.4997,95.2497,48130CAG0=
2023-03-03,94.7234,95.4734,48130CAG0=
2023-03-06,94.6945,95.4445,48130CAG0=
2023-03-07,94.6156,95.3656,48130CAG0=
2023-03-08,94.5083,95.2583,48130CAG0=
2023-03-09,95.104,95.854,48130CAG0=
2023-03-10,95.3848,96.1348,48130CAG0=
2023-03-13,96.5591,97.3091,48130CAG0=
2023-03-14,95.916,96.666,48130CAG0=
2023-03-15,96.4454,97.1954,48130CAG0=
2023-03-16,95.972,96.722,48130CAG0=
2023-03-17,96.6573,97.4073,48130CAG0=
2023-03-20,96.3755,97.1255,48130CAG0=
2023-03-21,95.7593,96.5093,48130CAG0=
2023-03-22,96.5563,97.3063,48130CAG0=
2023-03-23,96.9555,97.7055,48130CAG0=
2023-03-24,97.0586,97.8086,48130CAG0=
2023-03-27,96.3487,97.0987,48130CAG0=
2023-03-28,96.0655,96.8155,48130CAG0=
2023-03-29,96.0376,96.7876,48130CAG0=
2023-03-30,96.041,96.791,48130CAG0=
2023-03-31,96.3947,97.1447,48130CAG0=
2023-04-03,96.64,97.39,48130CAG0=
2023-04-04,97.063,97.813,48130CAG0=
2023-04-05,97.1421,97.8921,48130CAG0=
2023-04-06,97.1113,97.8613,48130CAG0=
2023-04-07,96.6117,97.3617,48130CAG0=
2023-04-10,96.5744,97.3244,48130CAG0=
2023-04-11,96.5298,97.2798,48130CAG0=
2023-04-12,96.7673,97.5173,48130CAG0=
2023-04-13,96.6869,97.4369,48130CAG0=
2023-04-14,96.3179,97.0679,48130CAG0=
2023-04-17,95.9477,96.6977,48130CAG0=
2023-04-18,96.6857,97.4357,48130CAG0=
2023-04-19,96.6002,97.3502,48130CAG0=
2023-04-20,97.3903,98.1403,48130CAG0=
2023-04-21,97.3034,98.0534,48130CAG0=
2023-04-24,97.5509,98.3009,48130CAG0=
2023-04-25,97.9527,98.7027,48130CAG0=
2023-04-26,97.8165,98.5665,48130CAG0=
2023-04-27,97.498,98.248,48130CAG0=
2023-04-28,97.7282,98.4782,48130CAG0=
2023-05-01,97.3548,98.1048,48130CAG0=
2023-05-02,97.8096,98.5596,48130CAG0=
2023-05-03,98.1869,98.9369,48130CAG0=
2023-05-04,98.3282,99.0782,48130CAG0=
2023-05-05,98.0509,98.8009,48130CAG0=
2023-05-08,96.9557,97.7057,48130CAG0=
2023-05-09,96.9336,97.6836,48130CAG0=
2023-05-10,97.3147,98.0647,48130CAG0=
2023-05-11,97.3804,98.1304,48130CAG0=
2023-05-12,97.1087,97.8587,48130CAG0=
2023-05-15,97.0411,97.7911,48130CAG0=
2023-05-16,97.0734,97.8234,48130CAG0=
2023-05-17,96.874,97.624,48130CAG0=
2023-05-18,96.5518,97.3018,48130CAG0=
2023-05-19,96.3913,97.1413,48130CAG0=
2023-05-22,96.2929,97.0429,48130CAG0=
2023-05-23,96.3657,97.1157,48130CAG0=
2023-05-24,96.0878,96.8378,48130CAG0=
2023-05-25,95.7005,96.4505,48130CAG0=
2023-05-26,95.6306,96.3806,48130CAG0=
2023-05-29,95.6202,96.3702,48130CAG0=
2023-05-30,96.0454,96.7954,48130CAG0=
2023-05-31,96.258,97.008,48130CAG0=
2023-06-01,96.4687,97.2187,48130CAG0=
2023-06-02,95.9541,96.7041,48130CAG0=
2023-06-05,96.0586,96.8086,48130CAG0=
2023-06-06,96.018,96.768,48130CAG0=
2023-06-07,95.6972,96.4472,48130CAG0=
2023-06-08,95.9423,96.6923,48130CAG0=
2023-06-09,95.7339,96.4839,48130CAG0=
2023-06-12,95.7687,96.5187,48130CAG0=
2023-06-13,95.4519,96.2019,48130CAG0=
2023-06-14,95.4496,96.1996,48130CAG0=
2023-06-15,95.7212,96.4712,48130CAG0=
2023-06-16,95.4871,96.2371,48130CAG0=
2023-06-19,95.3291,96.0791,48130CAG0=
2023-06-20,95.6128,96.3628,48130CAG0=
2023-06-21,95.5564,96.3064,48130CAG0=
2023-06-22,95.296,96.046,48130CAG0=
2023-06-23,95.4691,96.2191,48130CAG0=
2023-06-26,95.8522,96.6022,48130CAG0=
2023-06-27,95.6118,96.3618,48130CAG0=
2023-06-28,95.814,96.564,48130CAG0=
2023-06-29,95.2864,96.0364,48130CAG0=
2023-06-30,95.188,95.938,48130CAG0=
2023-07-03,95.0587,95.8087,48130CAG0=
2023-07-04,95.121,95.871,48130CAG0=
2023-07-05,94.8917,95.6417,48130CAG0=
2023-07-07,94.5691,95.3191,48130CAG0=
2023-07-10,95.001,95.751,48130CAG0=
2023-07-11,94.9859,95.7359,48130CAG0=
2023-07-12,95.5276,96.2776,48130CAG0=
2023-07-13,95.9787,96.7287,48130CAG0=
2023-07-14,95.6266,96.3766,48130CAG0=
2023-07-17,95.62,96.37,48130CAG0=
2023-07-18,95.7441,96.4941,48130CAG0=
2023-07-19,95.7992,96.5492,48130CAG0=
2023-07-20,95.4236,96.1736,48130CAG0=
2023-07-21,95.4615,96.2115,48130CAG0=
