Date,BID,ASK,RIC
2021-10-12,99.4146,99.5557,48130UYC3=
2021-10-13,99.3358,99.4767,48130UYC3=
2021-10-14,99.3671,99.5076,48130UYC3=
2021-10-15,99.2198,99.3599,48130UYC3=
2021-10-18,99.1254,99.2652,48130UYC3=
2021-10-19,99.1611,99.3009,48130UYC3=
2021-10-20,99.1711,99.3108,48130UYC3=
2021-10-21,98.9628,99.1017,48130UYC3=
2021-10-22,99.0016,99.1404,48130UYC3=
2021-10-25,99.0837,99.2225,48130UYC3=
2021-10-26,99.0476,99.1862,48130UYC3=
2021-10-27,99.0088,99.1472,48130UYC3=
2021-10-28,99.0352,99.1734,48130UYC3=
2021-10-29,99.0497,99.1878,48130UYC3=
2021-11-01,99.0372,99.1752,48130UYC3=
2021-11-02,99.1797,99.3178,48130UYC3=
2021-11-03,99.066,99.2037,48130UYC3=
2021-11-04,99.2485,99.3861,48130UYC3=
2021-11-05,99.3309,99.4685,48130UYC3=
2021-11-08,99.1651,99.3023,48130UYC3=
2021-11-09,99.2015,99.3385,48130UYC3=
2021-11-10,98.8767,99.0128,48130UYC3=
2021-11-11,98.7825,98.9184,48130UYC3=
2021-11-12,98.8841,99.02,48130UYC3=
2021-11-15,98.8492,98.985,48130UYC3=
2021-11-16,98.8386,98.9742,48130UYC3=
2021-11-17,98.9174,99.053,48130UYC3=
2021-11-18,98.9163,99.0515,48130UYC3=
2021-11-19,98.861,98.996,48130UYC3=
2021-11-22,98.6378,98.7723,48130UYC3=
2021-11-23,98.6456,98.7798,48130UYC3=
2021-11-24,98.5865,98.7202,48130UYC3=
2021-11-25,98.5821,98.7158,48130UYC3=
2021-11-26,99.0035,99.1378,48130UYC3=
2021-11-29,99.0641,99.1981,48130UYC3=
2021-11-30,98.9138,99.0474,48130UYC3=
2021-12-01,98.9814,99.1149,48130UYC3=
2021-12-02,98.7855,98.9183,48130UYC3=
2021-12-03,98.8648,98.9976,48130UYC3=
2021-12-06,98.7532,98.8857,48130UYC3=
2021-12-07,98.5902,98.7223,48130UYC3=
2021-12-08,98.5386,98.6705,48130UYC3=
2021-12-09,98.52,98.6515,48130UYC3=
2021-12-10,98.6146,98.7461,48130UYC3=
2021-12-13,98.3139,98.4448,48130UYC3=
2021-12-14,98.2397,98.3703,48130UYC3=
2021-12-15,98.2376,98.3681,48130UYC3=
2021-12-16,98.4179,98.5483,48130UYC3=
2021-12-17,98.3569,98.487,48130UYC3=
2021-12-20,98.3846,98.5147,48130UYC3=
2021-12-21,98.2992,98.429,48130UYC3=
2021-12-22,98.2963,98.4255,48130UYC3=
2021-12-23,98.2291,98.3581,48130UYC3=
2021-12-24,98.2366,98.3656,48130UYC3=
2021-12-27,98.2186,98.3475,48130UYC3=
2021-12-28,98.2006,98.3293,48130UYC3=
2021-12-29,98.203,98.3313,48130UYC3=
2021-12-30,97.1044,97.2309,48130UYC3=
2021-12-31,97.0959,97.2223,48130UYC3=
2022-01-03,96.9625,97.0886,48130UYC3=
2022-01-04,96.9962,97.1222,48130UYC3=
2022-01-05,96.8161,96.9417,48130UYC3=
2022-01-06,96.6892,96.8142,48130UYC3=
2022-01-07,96.6529,96.7777,48130UYC3=
2022-01-10,96.5991,96.7237,48130UYC3=
2022-01-11,96.6249,96.7494,48130UYC3=
2022-01-12,96.5263,96.6505,48130UYC3=
2022-01-13,96.626,96.7499,48130UYC3=
2022-01-14,96.443,96.5665,48130UYC3=
2022-01-17,96.3317,96.455,48130UYC3=
2022-01-18,96.2408,96.3638,48130UYC3=
2022-01-19,96.2479,96.3708,48130UYC3=
2022-01-20,96.3411,96.4637,48130UYC3=
2022-01-21,96.3914,96.514,48130UYC3=
2022-01-24,96.5003,96.6229,48130UYC3=
2022-01-25,96.4575,96.5799,48130UYC3=
2022-01-26,96.1317,96.2535,48130UYC3=
2022-01-27,96.088,96.2095,48130UYC3=
2022-01-28,96.166,96.2875,48130UYC3=
2022-01-31,96.1639,96.2852,48130UYC3=
2022-02-01,96.1874,96.3086,48130UYC3=
2022-02-02,96.2343,96.3555,48130UYC3=
2022-02-03,96.092,96.2126,48130UYC3=
2022-02-07,95.8737,95.9937,48130UYC3=
2022-02-08,95.7564,95.8761,48130UYC3=
2022-02-09,95.6811,95.8005,48130UYC3=
2022-02-10,95.1457,95.2639,48130UYC3=
2022-02-11,95.4474,95.5659,48130UYC3=
2022-02-14,95.2655,95.3836,48130UYC3=
2022-02-15,95.2449,95.3629,48130UYC3=
