Date,BID,ASK,RIC
2021-11-16,99.3954,99.5416,48130UZB4=
2021-11-17,99.4809,99.6271,48130UZB4=
2021-11-18,99.4837,99.6295,48130UZB4=
2021-11-19,99.4179,99.5635,48130UZB4=
2021-11-22,99.2335,99.3786,48130UZB4=
2021-11-23,99.2379,99.3828,48130UZB4=
2021-11-24,99.1776,99.322,48130UZB4=
2021-11-25,99.1753,99.3197,48130UZB4=
2021-11-26,99.6298,99.7748,48130UZB4=
2021-11-29,99.6929,99.8379,48130UZB4=
2021-11-30,99.5454,99.69,48130UZB4=
2021-12-01,99.6239,99.7685,48130UZB4=
2021-12-02,99.4092,99.553,48130UZB4=
2021-12-03,99.4992,99.643,48130UZB4=
2021-12-06,99.3743,99.5178,48130UZB4=
2021-12-07,99.2023,99.3454,48130UZB4=
2021-12-08,99.1253,99.2681,48130UZB4=
2021-12-09,99.1084,99.2508,48130UZB4=
2021-12-10,99.2045,99.3469,48130UZB4=
2021-12-13,98.8846,99.0263,48130UZB4=
2021-12-14,98.8044,98.9459,48130UZB4=
2021-12-15,98.8043,98.9456,48130UZB4=
2021-12-16,99.0087,99.15,48130UZB4=
2021-12-17,98.9454,99.0864,48130UZB4=
2021-12-20,98.9761,99.1171,48130UZB4=
2021-12-21,98.8854,99.0261,48130UZB4=
2021-12-22,98.8774,99.0175,48130UZB4=
2021-12-23,98.8054,98.9453,48130UZB4=
2021-12-24,98.8098,98.9497,48130UZB4=
2021-12-27,98.7947,98.9344,48130UZB4=
2021-12-28,98.7948,98.9344,48130UZB4=
2021-12-29,98.7766,98.9158,48130UZB4=
2021-12-30,97.3687,97.5054,48130UZB4=
2021-12-31,97.3588,97.4955,48130UZB4=
2022-01-03,97.2026,97.3389,48130UZB4=
2022-01-04,97.236,97.3722,48130UZB4=
2022-01-05,97.0437,97.1794,48130UZB4=
2022-01-06,96.9011,97.0362,48130UZB4=
2022-01-07,96.8459,96.9808,48130UZB4=
2022-01-10,96.7894,96.9241,48130UZB4=
2022-01-11,96.8146,96.9492,48130UZB4=
2022-01-12,96.7066,96.8409,48130UZB4=
2022-01-13,96.8166,96.9505,48130UZB4=
2022-01-14,96.6237,96.7572,48130UZB4=
2022-01-17,96.5006,96.6339,48130UZB4=
2022-01-18,96.3977,96.5307,48130UZB4=
2022-01-19,96.4105,96.5434,48130UZB4=
2022-01-20,96.5132,96.6459,48130UZB4=
2022-01-21,96.579,96.7116,48130UZB4=
2022-01-24,96.6732,96.8059,48130UZB4=
2022-01-25,96.6386,96.7711,48130UZB4=
2022-01-26,96.2874,96.4192,48130UZB4=
2022-01-27,96.2498,96.3813,48130UZB4=
2022-01-28,96.3443,96.4758,48130UZB4=
2022-01-31,96.3453,96.4766,48130UZB4=
2022-02-01,96.3603,96.4915,48130UZB4=
2022-02-02,96.4123,96.5435,48130UZB4=
2022-02-03,96.2499,96.3804,48130UZB4=
2022-02-07,96.006,96.1359,48130UZB4=
2022-02-08,95.8823,96.0119,48130UZB4=
2022-02-09,95.7929,95.9222,48130UZB4=
2022-02-10,95.2323,95.3603,48130UZB4=
2022-02-11,95.5601,95.6885,48130UZB4=
2022-02-14,95.3638,95.4918,48130UZB4=
2022-02-15,95.3441,95.4719,48130UZB4=
2022-02-16,95.4681,95.596,48130UZB4=
2022-02-17,95.6266,95.7542,48130UZB4=
2022-02-18,95.6741,95.8016,48130UZB4=
2022-02-21,95.7504,95.8781,48130UZB4=
2022-02-22,95.4797,95.6068,48130UZB4=
2022-02-23,95.4116,95.5385,48130UZB4=
2022-02-24,95.4886,95.6149,48130UZB4=
2022-02-25,95.4872,95.6134,48130UZB4=
2022-02-28,95.8532,95.9799,48130UZB4=
2022-03-01,96.1829,96.31,48130UZB4=
2022-03-02,95.7032,95.8294,48130UZB4=
2022-03-03,95.6998,95.8256,48130UZB4=
2022-03-04,95.8337,95.9596,48130UZB4=
2022-03-07,95.6758,95.8013,48130UZB4=
2022-03-08,95.5379,95.663,48130UZB4=
2022-03-09,95.2982,95.4228,48130UZB4=
2022-03-10,95.2304,95.3545,48130UZB4=
2022-03-11,95.1323,95.2562,48130UZB4=
2022-03-14,94.82,94.9432,48130UZB4=
2022-03-15,94.8407,94.9638,48130UZB4=
2022-03-16,94.5906,94.7132,48130UZB4=
2022-03-17,94.6784,94.8008,48130UZB4=
2022-03-18,94.6081,94.7302,48130UZB4=
2022-03-21,94.1749,94.2962,48130UZB4=
2022-03-22,94.0379,94.1589,48130UZB4=
2022-03-23,94.256,94.3772,48130UZB4=
2022-03-24,94.1385,94.2592,48130UZB4=
2022-03-25,93.7733,93.8933,48130UZB4=
2022-03-28,93.6579,93.7776,48130UZB4=
2022-03-29,93.6817,93.8014,48130UZB4=
2022-03-30,93.8495,93.9693,48130UZB4=
2022-03-31,93.787,93.9063,48130UZB4=
2022-04-01,93.4902,93.609,48130UZB4=
2022-04-04,93.6194,93.7382,48130UZB4=
2022-04-05,93.3506,93.4689,48130UZB4=
2022-04-06,93.4787,93.5971,48130UZB4=
2022-04-07,93.4894,93.6074,48130UZB4=
2022-04-08,93.3516,93.4693,48130UZB4=
2022-04-11,93.3947,93.5123,48130UZB4=
2022-04-12,93.6471,93.765,48130UZB4=
2022-04-13,93.7621,93.8796,48130UZB4=
2022-04-14,93.5384,93.6555,48130UZB4=
2022-04-15,93.5664,93.6835,48130UZB4=
2022-04-18,93.5937,93.7107,48130UZB4=
2022-04-19,93.2222,93.3385,48130UZB4=
2022-04-20,93.3234,93.4398,48130UZB4=
2022-04-21,93.1004,93.2161,48130UZB4=
2022-04-22,93.1293,93.2449,48130UZB4=
2022-04-25,93.2801,93.3958,48130UZB4=
2022-04-26,93.6408,93.7569,48130UZB4=
2022-04-27,93.422,93.5376,48130UZB4=
2022-04-28,93.3461,93.4612,48130UZB4=
2022-04-29,93.1098,93.2245,48130UZB4=
2022-05-02,93.0785,93.193,48130UZB4=
2022-05-03,92.9829,93.0971,48130UZB4=
2022-05-04,93.2964,93.411,48130UZB4=
2022-05-05,93.1459,93.2599,48130UZB4=
2022-05-06,93.0675,93.1812,48130UZB4=
2022-05-09,93.4152,93.5293,48130UZB4=
2022-05-10,93.421,93.535,48130UZB4=
2022-05-11,93.3371,93.4508,48130UZB4=
2022-05-12,93.5066,93.6202,48130UZB4=
2022-05-13,93.4329,93.5463,48130UZB4=
2022-05-16,93.5199,93.6333,48130UZB4=
2022-05-17,93.1786,93.2913,48130UZB4=
2022-05-18,93.3099,93.4227,48130UZB4=
