Date,BID,ASK,RIC
2022-01-26,98.6042,98.7475,48130UZW8=
2022-01-27,98.5654,98.7083,48130UZW8=
2022-01-28,98.6753,98.8183,48130UZW8=
2022-01-31,98.6769,98.8198,48130UZW8=
2022-02-01,98.6827,98.8254,48130UZW8=
2022-02-02,98.7385,98.8812,48130UZW8=
2022-02-03,98.5492,98.6912,48130UZW8=
2022-02-07,98.2734,98.4147,48130UZW8=
2022-02-08,98.1397,98.2806,48130UZW8=
2022-02-09,98.034,98.1746,48130UZW8=
2022-02-10,97.4338,97.573,48130UZW8=
2022-02-11,97.7895,97.9292,48130UZW8=
2022-02-14,97.5745,97.7137,48130UZW8=
2022-02-15,97.5535,97.6925,48130UZW8=
2022-02-16,97.6779,97.817,48130UZW8=
2022-02-17,97.8399,97.9788,48130UZW8=
2022-02-18,97.9021,98.0409,48130UZW8=
2022-02-21,97.9776,98.1166,48130UZW8=
2022-02-22,97.695,97.8334,48130UZW8=
2022-02-23,97.6146,97.7527,48130UZW8=
2022-02-24,97.6951,97.8327,48130UZW8=
2022-02-25,97.6791,97.8165,48130UZW8=
2022-02-28,98.0753,98.2133,48130UZW8=
2022-03-01,98.4489,98.5873,48130UZW8=
2022-03-02,97.9218,98.0592,48130UZW8=
2022-03-03,97.9184,98.0554,48130UZW8=
2022-03-04,98.0734,98.2106,48130UZW8=
2022-03-07,97.9072,98.044,48130UZW8=
2022-03-08,97.7445,97.8809,48130UZW8=
2022-03-09,97.4716,97.6074,48130UZW8=
2022-03-10,97.3845,97.5198,48130UZW8=
2022-03-11,97.2806,97.4156,48130UZW8=
2022-03-14,96.936,97.0703,48130UZW8=
2022-03-15,96.954,97.0882,48130UZW8=
2022-03-16,96.6771,96.8107,48130UZW8=
2022-03-17,96.7687,96.902,48130UZW8=
2022-03-18,96.6935,96.8266,48130UZW8=
2022-03-21,96.2298,96.362,48130UZW8=
2022-03-22,96.0689,96.2007,48130UZW8=
2022-03-23,96.2868,96.4188,48130UZW8=
2022-03-24,96.1355,96.2669,48130UZW8=
2022-03-25,95.7354,95.866,48130UZW8=
2022-03-28,95.6133,95.7436,48130UZW8=
2022-03-29,95.6565,95.7869,48130UZW8=
2022-03-30,95.838,95.9685,48130UZW8=
2022-03-31,95.7629,95.8929,48130UZW8=
2022-04-01,95.4435,95.5729,48130UZW8=
2022-04-04,95.5767,95.7062,48130UZW8=
2022-04-05,95.2781,95.407,48130UZW8=
2022-04-06,95.413,95.542,48130UZW8=
2022-04-07,95.4064,95.535,48130UZW8=
2022-04-08,95.2464,95.3746,48130UZW8=
2022-04-11,95.2809,95.409,48130UZW8=
2022-04-12,95.558,95.6864,48130UZW8=
2022-04-13,95.6737,95.8018,48130UZW8=
2022-04-14,95.4252,95.5528,48130UZW8=
2022-04-15,95.4578,95.5855,48130UZW8=
2022-04-18,95.4781,95.6057,48130UZW8=
2022-04-19,95.0768,95.2036,48130UZW8=
2022-04-20,95.1889,95.3157,48130UZW8=
2022-04-21,94.9414,95.0675,48130UZW8=
2022-04-22,94.9746,95.1006,48130UZW8=
2022-04-25,95.1369,95.263,48130UZW8=
2022-04-26,95.524,95.6506,48130UZW8=
2022-04-27,95.2902,95.4163,48130UZW8=
2022-04-28,95.2009,95.3265,48130UZW8=
2022-04-29,94.9346,95.0597,48130UZW8=
2022-05-02,94.8808,95.0056,48130UZW8=
2022-05-03,94.7772,94.9018,48130UZW8=
2022-05-04,95.1173,95.2423,48130UZW8=
2022-05-05,94.937,95.0613,48130UZW8=
2022-05-06,94.8444,94.9684,48130UZW8=
2022-05-09,95.2199,95.3444,48130UZW8=
2022-05-10,95.2347,95.3591,48130UZW8=
2022-05-11,95.1529,95.277,48130UZW8=
2022-05-12,95.3234,95.4474,48130UZW8=
2022-05-13,95.2342,95.358,48130UZW8=
2022-05-16,95.3315,95.4553,48130UZW8=
2022-05-17,94.955,95.0781,48130UZW8=
2022-05-18,95.1043,95.2275,48130UZW8=
2022-05-19,95.2772,95.4003,48130UZW8=
2022-05-20,95.3584,95.4815,48130UZW8=
2022-05-23,95.2359,95.3586,48130UZW8=
2022-05-24,94.8701,94.9922,48130UZW8=
2022-05-25,94.903,95.025,48130UZW8=
2022-05-26,94.9547,95.0764,48130UZW8=
2022-05-27,94.9228,95.0443,48130UZW8=
2022-05-30,94.7043,94.8255,48130UZW8=
2022-05-31,94.738,94.8591,48130UZW8=
2022-06-01,94.5118,94.6324,48130UZW8=
2022-06-02,94.5441,94.6644,48130UZW8=
2022-06-03,94.4774,94.5975,48130UZW8=
2022-06-06,94.291,94.4107,48130UZW8=
2022-06-07,94.3348,94.4544,48130UZW8=
2022-06-08,94.2313,94.3506,48130UZW8=
2022-06-09,94.1481,94.2669,48130UZW8=
2022-06-10,93.5712,93.689,48130UZW8=
2022-06-13,92.9823,93.0991,48130UZW8=
2022-06-14,92.7766,92.893,48130UZW8=
2022-06-15,93.3471,93.4642,48130UZW8=
2022-06-16,93.5708,93.6877,48130UZW8=
2022-06-17,93.4058,93.5224,48130UZW8=
2022-06-20,93.2786,93.395,48130UZW8=
2022-06-21,93.3659,93.4823,48130UZW8=
2022-06-22,93.6947,93.8114,48130UZW8=
2022-06-23,93.8741,93.9907,48130UZW8=
2022-06-24,93.7788,93.8952,48130UZW8=
2022-06-27,93.6476,93.7636,48130UZW8=
2022-06-28,93.7091,93.8251,48130UZW8=
2022-06-29,93.9156,94.0318,48130UZW8=
2022-06-30,94.1507,94.2667,48130UZW8=
2022-07-01,94.4769,94.5933,48130UZW8=
2022-07-04,94.38,94.4963,48130UZW8=
2022-07-05,94.5599,94.6763,48130UZW8=
2022-07-06,94.1275,94.2431,48130UZW8=
2022-07-07,94.0769,94.1921,48130UZW8=
2022-07-08,93.8789,93.9937,48130UZW8=
2022-07-11,93.985,94.0998,48130UZW8=
2022-07-12,94.0394,94.1541,48130UZW8=
2022-07-13,93.8792,93.9936,48130UZW8=
2022-07-14,93.9192,94.0333,48130UZW8=
2022-07-15,93.9289,94.0429,48130UZW8=
2022-07-18,93.8331,93.9468,48130UZW8=
2022-07-19,93.6902,93.8036,48130UZW8=
2022-07-20,93.7182,93.8315,48130UZW8=
2022-07-21,94.0834,94.1968,48130UZW8=
2022-07-22,94.4027,94.5165,48130UZW8=
2022-07-25,94.3115,94.425,48130UZW8=
2022-07-26,94.2073,94.3205,48130UZW8=
2022-07-27,94.3791,94.4925,48130UZW8=
2022-07-28,94.6853,94.7989,48130UZW8=
2022-07-29,94.6676,94.781,48130UZW8=
2022-08-01,94.6806,94.7939,48130UZW8=
2022-08-02,94.2479,94.3604,48130UZW8=
2022-08-03,94.2572,94.3696,48130UZW8=
2022-08-04,94.3218,94.434,48130UZW8=
2022-08-05,93.9146,94.026,48130UZW8=
2022-08-08,93.9858,94.0972,48130UZW8=
2022-08-09,93.8443,93.9554,48130UZW8=
2022-08-10,93.9695,94.0806,48130UZW8=
2022-08-11,93.9451,94.0558,48130UZW8=
2022-08-12,93.9009,94.0114,48130UZW8=
2022-08-15,94.052,94.1626,48130UZW8=
2022-08-16,93.8749,93.9852,48130UZW8=
2022-08-17,93.7835,93.8935,48130UZW8=
2022-08-18,93.9504,94.0603,48130UZW8=
2022-08-19,93.8841,93.9938,48130UZW8=
2022-08-22,93.7185,93.8278,48130UZW8=
2022-08-23,93.7428,93.852,48130UZW8=
2022-08-24,93.5695,93.6783,48130UZW8=
2022-08-25,93.6531,93.7617,48130UZW8=
2022-08-26,93.6435,93.7519,48130UZW8=
2022-08-29,93.5295,93.6378,48130UZW8=
2022-08-30,93.4951,93.6032,48130UZW8=
2022-08-31,93.4186,93.5265,48130UZW8=
2022-09-01,93.3811,93.4884,48130UZW8=
2022-09-02,93.5842,93.6917,48130UZW8=
2022-09-05,93.4516,93.5589,48130UZW8=
2022-09-06,93.3296,93.4366,48130UZW8=
2022-09-07,93.5296,93.6368,48130UZW8=
2022-09-08,93.373,93.4796,48130UZW8=
2022-09-09,93.2844,93.3907,48130UZW8=
2022-09-12,93.2729,93.3791,48130UZW8=
2022-09-13,92.963,93.0686,48130UZW8=
2022-09-14,92.882,92.9874,48130UZW8=
2022-09-15,92.748,92.8528,48130UZW8=
2022-09-16,92.7508,92.8555,48130UZW8=
2022-09-19,92.6047,92.7091,48130UZW8=
2022-09-20,92.5404,92.6446,48130UZW8=
2022-09-21,92.3686,92.4724,48130UZW8=
2022-09-22,92.2077,92.3109,48130UZW8=
2022-09-23,92.0248,92.1276,48130UZW8=
2022-09-26,91.6873,91.7896,48130UZW8=
2022-09-27,91.8283,91.9306,48130UZW8=
2022-09-28,92.2015,92.3042,48130UZW8=
2022-09-29,92.0804,92.1826,48130UZW8=
2022-09-30,91.0115,91.1121,48130UZW8=
2022-10-03,91.3752,91.4762,48130UZW8=
2022-10-04,91.4122,91.5131,48130UZW8=
2022-10-05,91.3462,91.4469,48130UZW8=
2022-10-06,90.0719,90.1704,48130UZW8=
2022-10-07,91.0114,91.111,48130UZW8=
2022-10-10,90.9928,91.0924,48130UZW8=
2022-10-11,91.0495,91.1491,48130UZW8=
2022-10-12,91.1086,91.2081,48130UZW8=
2022-10-13,90.8202,90.919,48130UZW8=
2022-10-14,90.7616,90.8602,48130UZW8=
2022-10-17,90.8872,90.9858,48130UZW8=
2022-10-18,90.9354,91.034,48130UZW8=
2022-10-19,90.687,90.7851,48130UZW8=
2022-10-21,90.8769,90.9748,48130UZW8=
2022-10-24,90.8486,90.9463,48130UZW8=
2022-10-25,90.9468,91.0445,48130UZW8=
2022-10-26,91.0642,91.162,48130UZW8=
2022-10-27,91.3765,91.4744,48130UZW8=
2022-10-28,91.1285,91.226,48130UZW8=
2022-10-31,91.0047,91.1019,48130UZW8=
2022-11-01,90.8771,90.974,48130UZW8=
2022-11-02,90.779,90.8757,48130UZW8=
2022-11-03,90.5997,90.6958,48130UZW8=
2022-11-04,90.7314,90.8275,48130UZW8=
2022-11-07,90.6062,90.702,48130UZW8=
2022-11-08,90.7675,90.8634,48130UZW8=
2022-11-09,90.9533,91.049,48130UZW8=
2022-11-10,91.4997,91.596,48130UZW8=
2022-11-11,91.445,91.5412,48130UZW8=
2022-11-14,91.3722,91.4682,48130UZW8=
2022-11-15,91.5027,91.5987,48130UZW8=
2022-11-16,91.4798,91.5757,48130UZW8=
2022-11-17,91.3331,91.4284,48130UZW8=
2022-11-18,91.2065,91.3015,48130UZW8=
2022-11-21,91.1559,91.2507,48130UZW8=
2022-11-22,91.2227,91.3174,48130UZW8=
2022-11-23,91.3508,91.4453,48130UZW8=
2022-11-24,91.4491,91.5437,48130UZW8=
2022-11-25,91.3731,91.4675,48130UZW8=
2022-11-28,91.4221,91.5164,48130UZW8=
2022-11-29,91.3581,91.4522,48130UZW8=
2022-11-30,91.399,91.493,48130UZW8=
2022-12-01,91.6071,91.701,48130UZW8=
2022-12-02,91.5369,91.6306,48130UZW8=
2022-12-05,91.3182,91.4115,48130UZW8=
2022-12-06,91.3848,91.4781,48130UZW8=
2022-12-07,91.5914,91.6848,48130UZW8=
2022-12-08,91.5238,91.6168,48130UZW8=
2022-12-09,91.4815,91.5743,48130UZW8=
2022-12-12,91.4171,91.5097,48130UZW8=
2022-12-13,91.7434,91.8363,48130UZW8=
2022-12-14,91.7555,91.8483,48130UZW8=
2022-12-15,91.74,91.8324,48130UZW8=
2022-12-16,91.8609,91.9533,48130UZW8=
2022-12-19,91.7063,91.7984,48130UZW8=
2022-12-20,91.7058,91.7978,48130UZW8=
2022-12-21,91.7925,91.8845,48130UZW8=
2022-12-22,91.7326,91.824,48130UZW8=
2022-12-23,91.6584,91.7496,48130UZW8=
2022-12-27,91.5561,91.647,48130UZW8=
2022-12-28,91.5786,91.6694,48130UZW8=
2022-12-29,91.5755,91.666,48130UZW8=
2022-12-30,91.4673,91.5575,48130UZW8=
2023-01-02,91.5051,91.5954,48130UZW8=
2023-01-03,91.5668,91.657,48130UZW8=
2023-01-04,91.624,91.7142,48130UZW8=
2023-01-05,91.4607,91.5503,48130UZW8=
2023-01-06,91.859,91.9489,48130UZW8=
2023-01-09,91.9539,92.0438,48130UZW8=
2023-01-10,91.894,91.9837,48130UZW8=
2023-01-11,91.9575,92.0472,48130UZW8=
2023-01-12,92.1395,92.2289,48130UZW8=
2023-01-13,92.0097,92.0988,48130UZW8=
