Date,BID,ASK,RIC
2022-03-24,99.038,99.1575,48133DD31=
2022-03-25,98.6778,98.7966,48133DD31=
2022-03-28,98.5591,98.6776,48133DD31=
2022-03-29,98.563,98.6815,48133DD31=
2022-03-30,98.7255,98.8441,48133DD31=
2022-03-31,98.6507,98.7688,48133DD31=
2022-04-01,98.3507,98.4683,48133DD31=
2022-04-04,98.4766,98.5942,48133DD31=
2022-04-05,98.2123,98.3294,48133DD31=
2022-04-06,98.3322,98.4494,48133DD31=
2022-04-07,98.3374,98.4542,48133DD31=
2022-04-08,98.2037,98.3202,48133DD31=
2022-04-11,98.2489,98.3653,48133DD31=
2022-04-12,98.4878,98.6044,48133DD31=
2022-04-13,98.5795,98.6957,48133DD31=
2022-04-14,98.3572,98.473,48133DD31=
2022-04-15,98.384,98.4998,48133DD31=
2022-04-18,98.4096,98.5253,48133DD31=
2022-04-19,98.0389,98.154,48133DD31=
2022-04-20,98.1286,98.2437,48133DD31=
2022-04-21,97.8924,98.0067,48133DD31=
2022-04-22,97.9109,98.0251,48133DD31=
2022-04-25,98.0538,98.1681,48133DD31=
2022-04-26,98.4021,98.5168,48133DD31=
2022-04-27,98.1836,98.2978,48133DD31=
2022-04-28,98.0943,98.208,48133DD31=
2022-04-29,97.8602,97.9735,48133DD31=
2022-05-02,97.8391,97.9522,48133DD31=
2022-05-03,97.7363,97.8491,48133DD31=
2022-05-04,98.0392,98.1523,48133DD31=
2022-05-05,97.8831,97.9956,48133DD31=
2022-05-06,97.8064,97.9187,48133DD31=
2022-05-09,98.1438,98.2564,48133DD31=
2022-05-10,98.1389,98.2514,48133DD31=
2022-05-11,98.0482,98.1604,48133DD31=
2022-05-12,98.2019,98.314,48133DD31=
2022-05-13,98.1244,98.2362,48133DD31=
2022-05-16,98.198,98.3098,48133DD31=
2022-05-17,97.8649,97.9761,48133DD31=
2022-05-18,97.983,98.0943,48133DD31=
2022-05-19,98.1301,98.2412,48133DD31=
2022-05-20,98.1879,98.2989,48133DD31=
2022-05-23,98.089,98.1998,48133DD31=
2022-05-24,97.7668,97.877,48133DD31=
2022-05-25,97.7786,97.8887,48133DD31=
2022-05-26,97.8269,97.9367,48133DD31=
2022-05-27,97.8124,97.922,48133DD31=
2022-05-30,97.6146,97.7239,48133DD31=
2022-05-31,97.6526,97.7618,48133DD31=
2022-06-01,97.455,97.5638,48133DD31=
2022-06-02,97.4871,97.5956,48133DD31=
2022-06-03,97.4294,97.5377,48133DD31=
2022-06-06,97.2706,97.3785,48133DD31=
2022-06-07,97.2837,97.3915,48133DD31=
2022-06-08,97.1892,97.2968,48133DD31=
2022-06-09,97.1125,97.2196,48133DD31=
2022-06-10,96.5757,96.6819,48133DD31=
2022-06-13,96.0187,96.1241,48133DD31=
2022-06-14,95.8519,95.9569,48133DD31=
2022-06-15,96.3663,96.4719,48133DD31=
2022-06-16,96.5878,96.6932,48133DD31=
2022-06-17,96.4273,96.5323,48133DD31=
2022-06-20,96.2969,96.4017,48133DD31=
2022-06-21,96.3711,96.4759,48133DD31=
2022-06-22,96.6488,96.7539,48133DD31=
2022-06-23,96.7825,96.8874,48133DD31=
2022-06-24,96.6749,96.7795,48133DD31=
2022-06-27,96.5531,96.6574,48133DD31=
2022-06-28,96.6264,96.7307,48133DD31=
2022-06-29,96.7924,96.8968,48133DD31=
2022-06-30,96.9871,97.0912,48133DD31=
2022-07-01,97.2532,97.3575,48133DD31=
2022-07-04,97.1563,97.2605,48133DD31=
2022-07-05,97.312,97.4163,48133DD31=
2022-07-06,96.9313,97.0349,48133DD31=
2022-07-07,96.8838,96.987,48133DD31=
2022-07-08,96.7149,96.8177,48133DD31=
2022-07-11,96.8089,96.9117,48133DD31=
2022-07-12,96.8588,96.9616,48133DD31=
2022-07-13,96.6888,96.7912,48133DD31=
2022-07-14,96.7347,96.8368,48133DD31=
2022-07-15,96.7262,96.8282,48133DD31=
2022-07-18,96.6435,96.7452,48133DD31=
2022-07-19,96.5094,96.6108,48133DD31=
2022-07-20,96.5285,96.6298,48133DD31=
2022-07-21,96.8326,96.9339,48133DD31=
2022-07-22,97.0992,97.2007,48133DD31=
2022-07-25,97.0185,97.1198,48133DD31=
2022-07-26,96.9247,97.0258,48133DD31=
2022-07-27,97.0809,97.182,48133DD31=
2022-07-28,97.3362,97.4374,48133DD31=
2022-07-29,97.3018,97.4028,48133DD31=
2022-08-01,97.3159,97.4168,48133DD31=
2022-08-02,96.9515,97.0518,48133DD31=
2022-08-03,96.9489,97.0491,48133DD31=
2022-08-04,96.997,97.0969,48133DD31=
2022-08-05,96.6381,96.7374,48133DD31=
2022-08-08,96.6913,96.7905,48133DD31=
2022-08-09,96.5725,96.6714,48133DD31=
2022-08-10,96.6785,96.7774,48133DD31=
2022-08-11,96.6642,96.7627,48133DD31=
2022-08-12,96.6207,96.7191,48133DD31=
2022-08-15,96.7446,96.843,48133DD31=
2022-08-16,96.598,96.6961,48133DD31=
2022-08-17,96.5515,96.6494,48133DD31=
2022-08-18,96.7101,96.8078,48133DD31=
2022-08-19,96.6532,96.7507,48133DD31=
2022-08-22,96.5111,96.6083,48133DD31=
2022-08-23,96.535,96.6321,48133DD31=
2022-08-24,96.3531,96.4498,48133DD31=
2022-08-25,96.4207,96.5171,48133DD31=
2022-08-26,96.4105,96.5068,48133DD31=
2022-08-29,96.3214,96.4176,48133DD31=
2022-08-30,96.2823,96.3783,48133DD31=
2022-08-31,96.2155,96.3113,48133DD31=
2022-09-01,96.1843,96.2795,48133DD31=
2022-09-02,96.3669,96.4622,48133DD31=
2022-09-05,96.2418,96.337,48133DD31=
2022-09-06,96.1597,96.2547,48133DD31=
2022-09-07,96.3051,96.4001,48133DD31=
2022-09-08,96.1743,96.2688,48133DD31=
2022-09-09,96.085,96.1792,48133DD31=
2022-09-12,96.0699,96.164,48133DD31=
2022-09-13,95.7654,95.859,48133DD31=
2022-09-14,95.6903,95.7837,48133DD31=
2022-09-15,95.5627,95.6555,48133DD31=
2022-09-16,95.5547,95.6474,48133DD31=
2022-09-19,95.4241,95.5165,48133DD31=
2022-09-20,95.3802,95.4724,48133DD31=
2022-09-21,95.2222,95.3141,48133DD31=
2022-09-22,95.1186,95.21,48133DD31=
2022-09-23,94.9642,95.0553,48133DD31=
2022-09-26,94.707,94.7976,48133DD31=
2022-09-27,94.8387,94.9294,48133DD31=
2022-09-28,95.1395,95.2304,48133DD31=
2022-09-29,95.0372,95.1276,48133DD31=
2022-09-30,94.0891,94.1782,48133DD31=
2022-10-03,94.3913,94.4807,48133DD31=
2022-10-04,94.4258,94.5151,48133DD31=
2022-10-05,94.3415,94.4306,48133DD31=
2022-10-06,94.3447,94.4333,48133DD31=
2022-10-07,94.0802,94.1683,48133DD31=
2022-10-10,94.0682,94.1563,48133DD31=
2022-10-11,94.0866,94.1746,48133DD31=
2022-10-12,94.1336,94.2215,48133DD31=
2022-10-13,93.8514,93.9386,48133DD31=
2022-10-14,93.8067,93.8938,48133DD31=
2022-10-17,93.8992,93.9862,48133DD31=
2022-10-18,93.9413,94.0283,48133DD31=
2022-10-19,93.7201,93.8067,48133DD31=
2022-10-21,93.8819,93.9682,48133DD31=
2022-10-24,93.85,93.9361,48133DD31=
2022-10-25,93.9241,94.0102,48133DD31=
2022-10-26,94.0154,94.1015,48133DD31=
2022-10-27,94.2608,94.3469,48133DD31=
2022-10-28,94.0528,94.1385,48133DD31=
2022-10-31,93.924,94.0095,48133DD31=
2022-11-01,93.8454,93.9306,48133DD31=
2022-11-02,93.7354,93.8204,48133DD31=
2022-11-03,93.5781,93.6625,48133DD31=
2022-11-04,93.6873,93.7717,48133DD31=
2022-11-07,93.5839,93.6681,48133DD31=
2022-11-08,93.7078,93.792,48133DD31=
2022-11-09,93.8646,93.9485,48133DD31=
2022-11-10,94.2864,94.3707,48133DD31=
2022-11-11,94.2639,94.3481,48133DD31=
2022-11-14,94.1779,94.2619,48133DD31=
2022-11-15,94.2763,94.3603,48133DD31=
2022-11-16,94.2484,94.3322,48133DD31=
2022-11-17,94.1074,94.1907,48133DD31=
2022-11-18,94.0032,94.0863,48133DD31=
2022-11-21,93.9546,94.0375,48133DD31=
2022-11-22,94.0023,94.085,48133DD31=
2022-11-23,94.1167,94.1991,48133DD31=
2022-11-24,94.1655,94.248,48133DD31=
2022-11-25,94.1162,94.1985,48133DD31=
2022-11-28,94.1571,94.2393,48133DD31=
2022-11-29,94.1296,94.2117,48133DD31=
2022-11-30,94.086,94.1679,48133DD31=
2022-12-01,94.2619,94.3436,48133DD31=
2022-12-02,94.1985,94.28,48133DD31=
2022-12-05,94.0221,94.1033,48133DD31=
2022-12-06,94.0945,94.1757,48133DD31=
2022-12-07,94.2622,94.3434,48133DD31=
2022-12-08,94.209,94.2898,48133DD31=
2022-12-09,94.1786,94.2592,48133DD31=
2022-12-12,94.1245,94.2049,48133DD31=
2022-12-13,94.3995,94.4801,48133DD31=
2022-12-14,94.3994,94.4799,48133DD31=
2022-12-15,94.3826,94.4627,48133DD31=
2022-12-16,94.4836,94.5637,48133DD31=
2022-12-19,94.3639,94.4437,48133DD31=
2022-12-20,94.3866,94.4663,48133DD31=
2022-12-21,94.4646,94.5443,48133DD31=
2022-12-22,94.3927,94.4718,48133DD31=
2022-12-23,94.334,94.4129,48133DD31=
2022-12-27,94.2496,94.3283,48133DD31=
2022-12-28,94.2693,94.3479,48133DD31=
2022-12-29,93.9115,93.9893,48133DD31=
2022-12-30,93.8389,93.9165,48133DD31=
2023-01-02,93.8529,93.9305,48133DD31=
2023-01-03,93.901,93.9786,48133DD31=
2023-01-04,93.9668,94.0443,48133DD31=
2023-01-05,93.8275,93.9045,48133DD31=
2023-01-06,94.1102,94.1874,48133DD31=
2023-01-09,94.1872,94.2643,48133DD31=
2023-01-10,94.148,94.2249,48133DD31=
2023-01-11,94.1762,94.253,48133DD31=
2023-01-12,94.3175,94.394,48133DD31=
2023-01-13,94.2324,94.3087,48133DD31=
2023-01-16,94.1914,94.2676,48133DD31=
2023-01-17,94.2475,94.3237,48133DD31=
2023-01-18,94.4426,94.5188,48133DD31=
2023-01-19,94.4023,94.4781,48133DD31=
2023-01-20,94.3519,94.4275,48133DD31=
2023-01-23,94.2807,94.3561,48133DD31=
2023-01-24,94.3369,94.4123,48133DD31=
2023-01-25,94.383,94.4583,48133DD31=
2023-01-26,94.3391,94.414,48133DD31=
2023-01-27,94.3325,94.4074,48133DD31=
2023-01-30,94.2458,94.3205,48133DD31=
2023-01-31,94.3415,94.4161,48133DD31=
2023-02-01,94.4669,94.5415,48133DD31=
2023-02-02,94.4841,94.5584,48133DD31=
2023-02-03,94.2261,94.3,48133DD31=
2023-02-06,93.9793,94.0528,48133DD31=
2023-02-07,94.0266,94.1,48133DD31=
2023-02-08,94.0833,94.1566,48133DD31=
2023-02-09,94.0427,94.1156,48133DD31=
2023-02-10,94.0091,94.0819,48133DD31=
2023-02-13,94.0051,94.0777,48133DD31=
2023-02-14,93.9021,93.9745,48133DD31=
2023-02-15,93.9068,93.9791,48133DD31=
2023-02-16,93.9186,93.9904,48133DD31=
2023-02-17,93.9509,94.0226,48133DD31=
2023-02-20,93.909,93.9807,48133DD31=
2023-02-21,93.8275,93.8989,48133DD31=
2023-02-22,93.8381,93.9094,48133DD31=
2023-02-23,93.868,93.939,48133DD31=
2023-02-24,93.7833,93.8538,48133DD31=
2023-02-27,93.8109,93.8813,48133DD31=
2023-02-28,93.8248,93.8951,48133DD31=
2023-03-01,93.769,93.8391,48133DD31=
2023-03-02,93.7989,93.8687,48133DD31=
2023-03-03,93.8367,93.9064,48133DD31=
2023-03-06,93.8026,93.8721,48133DD31=
2023-03-07,93.6049,93.6741,48133DD31=
2023-03-08,93.5458,93.6148,48133DD31=
2023-03-09,93.8074,93.8763,48133DD31=
2023-03-10,94.0619,94.1309,48133DD31=
2023-03-13,94.9535,95.0233,48133DD31=
2023-03-14,94.657,94.7264,48133DD31=
2023-03-15,94.9291,94.9986,48133DD31=
2023-03-16,94.5509,94.6196,48133DD31=
2023-03-17,94.9036,94.9726,48133DD31=
2023-03-20,94.7376,94.8063,48133DD31=
2023-03-21,94.4361,94.5043,48133DD31=
2023-03-22,94.6483,94.7166,48133DD31=
2023-03-23,94.8449,94.913,48133DD31=
2023-03-24,94.973,95.0411,48133DD31=
2023-03-27,94.6254,94.6931,48133DD31=
2023-03-28,94.5678,94.6353,48133DD31=
2023-03-29,94.5406,94.6081,48133DD31=
2023-03-30,94.492,94.559,48133DD31=
2023-03-31,94.5404,94.6074,48133DD31=
2023-04-03,94.6081,94.675,48133DD31=
2023-04-04,94.8301,94.8971,48133DD31=
2023-04-05,94.9115,94.9781,48133DD31=
2023-04-06,94.8721,94.9385,48133DD31=
2023-04-07,94.6599,94.7261,48133DD31=
2023-04-10,94.6154,94.6814,48133DD31=
2023-04-11,94.6076,94.6735,48133DD31=
2023-04-12,94.5402,94.6059,48133DD31=
2023-04-13,94.5521,94.6174,48133DD31=
2023-04-14,94.3958,94.4609,48133DD31=
2023-04-17,94.2871,94.3519,48133DD31=
2023-04-18,94.3439,94.4087,48133DD31=
2023-04-19,94.2843,94.3489,48133DD31=
2023-04-20,94.2258,94.2899,48133DD31=
2023-04-21,94.1971,94.2611,48133DD31=
2023-04-24,94.2494,94.3133,48133DD31=
2023-04-25,94.4706,94.5346,48133DD31=
2023-04-26,94.4103,94.4741,48133DD31=
2023-04-27,94.2863,94.3496,48133DD31=
2023-04-28,94.3096,94.3728,48133DD31=
2023-05-01,94.114,94.1769,48133DD31=
2023-05-02,94.3038,94.3668,48133DD31=
2023-05-03,94.4383,94.5012,48133DD31=
2023-05-04,94.5923,94.655,48133DD31=
2023-05-05,94.4264,94.4888,48133DD31=
2023-05-08,94.327,94.3892,48133DD31=
2023-05-09,94.3354,94.3975,48133DD31=
2023-05-10,94.5068,94.5689,48133DD31=
2023-05-11,94.5425,94.6043,48133DD31=
2023-05-12,94.4831,94.5447,48133DD31=
2023-05-15,94.4901,94.5516,48133DD31=
2023-05-16,94.3762,94.4374,48133DD31=
2023-05-17,94.2716,94.3326,48133DD31=
2023-05-18,94.1714,94.232,48133DD31=
2023-05-19,94.1167,94.1771,48133DD31=
2023-05-22,94.0799,94.1401,48133DD31=
2023-05-23,94.1118,94.1719,48133DD31=
2023-05-24,94.0093,94.0692,48133DD31=
2023-05-25,93.8898,93.9491,48133DD31=
2023-05-26,93.866,93.9253,48133DD31=
2023-05-29,93.8372,93.8965,48133DD31=
2023-05-30,93.9541,94.0133,48133DD31=
2023-05-31,94.0598,94.119,48133DD31=
2023-06-01,94.1605,94.2194,48133DD31=
2023-06-02,94.0138,94.0724,48133DD31=
2023-06-05,94.0839,94.1425,48133DD31=
2023-06-06,94.0721,94.1305,48133DD31=
2023-06-07,94.1088,94.1672,48133DD31=
2023-06-08,94.1583,94.2163,48133DD31=
2023-06-09,94.0727,94.1305,48133DD31=
2023-06-12,94.0771,94.1348,48133DD31=
2023-06-13,94.0199,94.0774,48133DD31=
2023-06-14,93.9658,94.0231,48133DD31=
2023-06-15,94.0725,94.1294,48133DD31=
2023-06-16,94.0512,94.108,48133DD31=
2023-06-19,94.0256,94.0824,48133DD31=
2023-06-20,94.0439,94.1005,48133DD31=
2023-06-21,94.0593,94.1158,48133DD31=
2023-06-22,94.0446,94.1007,48133DD31=
2023-06-23,94.1067,94.1628,48133DD31=
2023-06-26,94.1525,94.2085,48133DD31=
2023-06-27,94.101,94.1568,48133DD31=
2023-06-28,94.1287,94.1844,48133DD31=
2023-06-29,94.0296,94.0848,48133DD31=
2023-06-30,94.0266,94.0816,48133DD31=
2023-07-03,94.041,94.0959,48133DD31=
2023-07-04,94.0414,94.0963,48133DD31=
2023-07-05,94.3059,94.3609,48133DD31=
2023-07-07,94.3417,94.3962,48133DD31=
2023-07-10,94.57,94.6245,48133DD31=
2023-07-11,94.5691,94.6235,48133DD31=
2023-07-12,94.6315,94.6858,48133DD31=
2023-07-13,94.7532,94.8073,48133DD31=
2023-07-14,94.6902,94.7441,48133DD31=
2023-07-17,94.7098,94.7636,48133DD31=
2023-07-18,94.7156,94.7692,48133DD31=
2023-07-19,94.7346,94.7881,48133DD31=
2023-07-20,94.7324,94.7855,48133DD31=
2023-07-21,94.7434,94.7964,48133DD31=
