Date,BID,ASK,RIC
2022-08-01,99.2017,99.2496,48133DN30=
2022-08-02,99.0876,99.1352,48133DN30=
2022-08-03,99.0611,99.1086,48133DN30=
2022-08-04,99.0951,99.1422,48133DN30=
2022-08-05,98.9338,98.9807,48133DN30=
2022-08-08,98.943,98.9898,48133DN30=
2022-08-09,98.9173,98.9639,48133DN30=
2022-08-10,98.9384,98.9849,48133DN30=
2022-08-11,98.9711,99.0172,48133DN30=
2022-08-12,98.9669,99.0129,48133DN30=
2022-08-15,98.9883,99.0342,48133DN30=
2022-08-16,98.9551,99.0008,48133DN30=
2022-08-17,98.9626,99.0082,48133DN30=
2022-08-18,99.0094,99.0546,48133DN30=
2022-08-19,98.9872,99.0323,48133DN30=
2022-08-22,98.928,98.9729,48133DN30=
2022-08-23,98.9537,98.9985,48133DN30=
2022-08-24,98.8918,98.9364,48133DN30=
2022-08-25,98.92,98.9643,48133DN30=
2022-08-26,98.9077,98.9517,48133DN30=
2022-08-29,98.8705,98.9145,48133DN30=
2022-08-30,98.8408,98.8847,48133DN30=
2022-08-31,98.7953,98.8391,48133DN30=
2022-09-01,98.8014,98.8447,48133DN30=
2022-09-02,98.8377,98.8809,48133DN30=
2022-09-05,98.8296,98.8727,48133DN30=
2022-09-06,98.785,98.828,48133DN30=
2022-09-07,98.7314,98.7742,48133DN30=
2022-09-08,98.7196,98.762,48133DN30=
2022-09-09,98.6705,98.7128,48133DN30=
2022-09-12,98.6561,98.6982,48133DN30=
2022-09-13,98.4698,98.5117,48133DN30=
2022-09-14,98.4374,98.4791,48133DN30=
2022-09-15,98.4249,98.4662,48133DN30=
2022-09-16,98.4299,98.4711,48133DN30=
2022-09-19,98.384,98.425,48133DN30=
2022-09-20,98.4086,98.4495,48133DN30=
2022-09-21,98.3717,98.4124,48133DN30=
2022-09-22,98.3777,98.4181,48133DN30=
2022-09-23,98.3646,98.4048,48133DN30=
2022-09-26,98.3542,98.3943,48133DN30=
2022-09-27,98.3608,98.4008,48133DN30=
2022-09-28,98.4677,98.5075,48133DN30=
2022-09-29,98.4871,98.5266,48133DN30=
2022-09-30,98.0808,98.1199,48133DN30=
2022-10-03,98.1236,98.1626,48133DN30=
2022-10-04,98.1329,98.1718,48133DN30=
2022-10-05,98.0341,98.0728,48133DN30=
2022-10-06,99.0013,99.0401,48133DN30=
2022-10-07,97.9894,98.0274,48133DN30=
2022-10-10,97.9927,98.0307,48133DN30=
2022-10-11,97.9525,97.9904,48133DN30=
2022-10-12,97.9767,98.0144,48133DN30=
2022-10-13,97.8617,97.899,48133DN30=
2022-10-14,97.8416,97.8787,48133DN30=
2022-10-17,97.8477,97.8847,48133DN30=
2022-10-18,97.8563,97.8932,48133DN30=
2022-10-19,97.7996,97.8363,48133DN30=
2022-10-21,97.8315,97.8677,48133DN30=
2022-10-24,97.8257,97.8618,48133DN30=
2022-10-25,97.8297,97.8656,48133DN30=
2022-10-26,97.8847,97.9206,48133DN30=
2022-10-27,97.9518,97.9873,48133DN30=
2022-10-28,97.9016,97.9371,48133DN30=
2022-10-31,97.8508,97.8861,48133DN30=
2022-11-01,97.8556,97.8908,48133DN30=
2022-11-02,97.8328,97.8678,48133DN30=
2022-11-03,97.8533,97.888,48133DN30=
2022-11-04,97.8811,97.9156,48133DN30=
2022-11-07,97.8636,97.898,48133DN30=
2022-11-08,97.8709,97.9052,48133DN30=
2022-11-09,97.9199,97.9537,48133DN30=
2022-11-10,97.9776,98.0113,48133DN30=
2022-11-11,97.9854,98.0191,48133DN30=
2022-11-14,97.993,98.0265,48133DN30=
2022-11-15,98.007,98.0404,48133DN30=
2022-11-16,98.0075,98.0408,48133DN30=
2022-11-17,98.0088,98.0417,48133DN30=
2022-11-18,97.9683,98.001,48133DN30=
2022-11-21,97.9871,98.0197,48133DN30=
2022-11-22,97.9523,97.9846,48133DN30=
2022-11-23,97.9785,98.0105,48133DN30=
2022-11-24,98.0063,98.0383,48133DN30=
2022-11-25,98.019,98.0508,48133DN30=
2022-11-28,98.0242,98.0558,48133DN30=
2022-11-29,98.014,98.0456,48133DN30=
2022-11-30,97.9274,97.9588,48133DN30=
2022-12-01,98.0068,98.0378,48133DN30=
2022-12-02,97.9982,98.0291,48133DN30=
2022-12-05,97.9694,98.0002,48133DN30=
2022-12-06,97.9687,97.9993,48133DN30=
2022-12-07,97.9957,98.0262,48133DN30=
2022-12-08,98.0268,98.0569,48133DN30=
2022-12-09,98.0163,98.0463,48133DN30=
2022-12-12,98.0124,98.0423,48133DN30=
2022-12-13,98.0681,98.0979,48133DN30=
2022-12-14,98.0914,98.121,48133DN30=
2022-12-15,98.1063,98.1355,48133DN30=
2022-12-16,98.1291,98.1582,48133DN30=
2022-12-19,98.1418,98.1708,48133DN30=
2022-12-20,98.1299,98.1588,48133DN30=
2022-12-21,98.1581,98.1868,48133DN30=
2022-12-22,98.1975,98.2257,48133DN30=
2022-12-23,98.2022,98.2303,48133DN30=
2022-12-27,98.2073,98.2353,48133DN30=
2022-12-28,98.177,98.2047,48133DN30=
2022-12-29,98.2124,98.2398,48133DN30=
2022-12-30,98.2023,98.2296,48133DN30=
2023-01-02,98.2021,98.2294,48133DN30=
2023-01-03,98.207,98.2342,48133DN30=
2023-01-04,98.2063,98.2333,48133DN30=
2023-01-05,98.1982,98.2248,48133DN30=
2023-01-06,98.2143,98.2408,48133DN30=
2023-01-09,98.2256,98.252,48133DN30=
2023-01-10,98.2107,98.2369,48133DN30=
2023-01-11,98.2268,98.2529,48133DN30=
2023-01-12,98.2971,98.3227,48133DN30=
2023-01-13,98.3054,98.3309,48133DN30=
2023-01-16,98.3046,98.3301,48133DN30=
2023-01-17,98.3238,98.3492,48133DN30=
2023-01-18,98.3141,98.3393,48133DN30=
2023-01-19,98.3324,98.3572,48133DN30=
2023-01-20,98.3426,98.3673,48133DN30=
2023-01-23,98.3471,98.3717,48133DN30=
2023-01-24,98.3493,98.3737,48133DN30=
2023-01-25,98.3665,98.3908,48133DN30=
2023-01-26,98.3886,98.4125,48133DN30=
2023-01-27,98.3943,98.4181,48133DN30=
2023-01-30,98.4391,98.4629,48133DN30=
2023-01-31,98.4286,98.4523,48133DN30=
2023-02-01,98.4412,98.4742,48133DN30=
2023-02-02,98.4807,98.5131,48133DN30=
2023-02-03,98.4613,98.4935,48133DN30=
2023-02-06,98.4634,98.4955,48133DN30=
2023-02-07,98.4491,98.481,48133DN30=
2023-02-08,98.5669,98.5987,48133DN30=
2023-02-09,98.5889,98.6201,48133DN30=
2023-02-10,98.5956,98.6266,48133DN30=
2023-02-13,98.5971,98.6279,48133DN30=
2023-02-14,98.5777,98.6084,48133DN30=
2023-02-15,98.5925,98.623,48133DN30=
2023-02-16,98.6192,98.6489,48133DN30=
2023-02-17,98.6243,98.6539,48133DN30=
2023-02-20,98.6281,98.6577,48133DN30=
2023-02-21,98.6331,98.6625,48133DN30=
2023-02-22,98.6166,98.6458,48133DN30=
2023-02-23,98.6475,98.6762,48133DN30=
2023-02-24,98.6486,98.6765,48133DN30=
2023-02-27,98.6515,98.6794,48133DN30=
2023-02-28,98.6383,98.666,48133DN30=
2023-03-01,98.6476,98.6751,48133DN30=
2023-03-02,98.6751,98.7021,48133DN30=
2023-03-03,98.6841,98.7109,48133DN30=
2023-03-06,98.6919,98.7185,48133DN30=
2023-03-07,98.6545,98.6809,48133DN30=
2023-03-08,98.656,98.6822,48133DN30=
2023-03-09,98.6958,98.7215,48133DN30=
2023-03-10,98.6908,98.7163,48133DN30=
2023-03-13,98.8138,98.8392,48133DN30=
2023-03-14,98.7734,98.7986,48133DN30=
2023-03-15,98.8069,98.8319,48133DN30=
2023-03-16,98.8001,98.8246,48133DN30=
2023-03-17,98.8651,98.8894,48133DN30=
2023-03-20,98.8298,98.8539,48133DN30=
2023-03-21,98.8025,98.8264,48133DN30=
2023-03-22,98.8232,98.8469,48133DN30=
2023-03-23,98.879,98.9022,48133DN30=
2023-03-24,98.8948,98.9178,48133DN30=
2023-03-27,98.8711,98.8939,48133DN30=
2023-03-28,98.8718,98.8942,48133DN30=
2023-03-29,98.8797,98.9021,48133DN30=
2023-03-30,98.9053,98.9274,48133DN30=
2023-03-31,98.9231,98.945,48133DN30=
2023-04-03,98.9378,98.9595,48133DN30=
2023-04-04,98.942,98.9635,48133DN30=
2023-04-05,98.98,99.0008,48133DN30=
2023-04-06,98.9781,98.9987,48133DN30=
2023-04-07,98.9554,98.976,48133DN30=
2023-04-10,98.947,98.9674,48133DN30=
2023-04-11,98.9561,98.9763,48133DN30=
2023-04-12,98.9997,99.0198,48133DN30=
2023-04-13,99.0249,99.0444,48133DN30=
2023-04-14,99.0125,99.0318,48133DN30=
2023-04-17,99.0157,99.0348,48133DN30=
2023-04-18,99.0102,99.0291,48133DN30=
2023-04-19,99.0269,99.0456,48133DN30=
2023-04-20,99.0647,99.0829,48133DN30=
2023-04-21,99.0726,99.0906,48133DN30=
2023-04-24,99.092,99.1098,48133DN30=
2023-04-25,99.0897,99.1073,48133DN30=
2023-04-26,99.0925,99.11,48133DN30=
2023-04-27,99.1096,99.1265,48133DN30=
2023-04-28,99.1395,99.1562,48133DN30=
2023-05-01,99.2169,99.2335,48133DN30=
2023-05-02,99.1816,99.198,48133DN30=
2023-05-03,99.1871,99.2033,48133DN30=
2023-05-04,99.2172,99.2328,48133DN30=
2023-05-05,99.2206,99.236,48133DN30=
2023-05-08,99.2341,99.2494,48133DN30=
2023-05-09,99.2395,99.2546,48133DN30=
2023-05-10,99.2575,99.2724,48133DN30=
2023-05-11,99.29,99.3043,48133DN30=
2023-05-12,99.289,99.3031,48133DN30=
2023-05-15,99.3069,99.3209,48133DN30=
2023-05-16,99.3152,99.329,48133DN30=
2023-05-17,99.3165,99.3301,48133DN30=
2023-05-18,99.3367,99.3497,48133DN30=
2023-05-19,99.3405,99.3533,48133DN30=
2023-05-22,99.3506,99.3632,48133DN30=
2023-05-23,99.3572,99.3697,48133DN30=
2023-05-24,99.3612,99.3735,48133DN30=
2023-05-25,99.4014,99.4127,48133DN30=
2023-05-26,99.4119,99.4232,48133DN30=
2023-05-29,99.4117,99.423,48133DN30=
2023-05-30,99.4323,99.4436,48133DN30=
2023-05-31,99.4304,99.4416,48133DN30=
2023-06-01,99.461,99.4716,48133DN30=
2023-06-02,99.4699,99.4803,48133DN30=
2023-06-05,99.4892,99.4994,48133DN30=
2023-06-06,99.4983,99.5083,48133DN30=
2023-06-07,99.5095,99.5193,48133DN30=
2023-06-08,99.5438,99.5531,48133DN30=
2023-06-09,99.5515,99.5606,48133DN30=
2023-06-12,99.5616,99.5705,48133DN30=
2023-06-13,99.5718,99.5805,48133DN30=
2023-06-14,99.5823,99.5908,48133DN30=
2023-06-15,99.6225,99.6303,48133DN30=
2023-06-16,99.6293,99.6369,48133DN30=
2023-06-19,99.6295,99.6371,48133DN30=
2023-06-20,99.6376,99.645,48133DN30=
2023-06-21,99.6428,99.65,48133DN30=
2023-06-22,99.669,99.6757,48133DN30=
2023-06-23,99.6784,99.6849,48133DN30=
2023-06-26,99.6904,99.6967,48133DN30=
2023-06-27,99.6989,99.705,48133DN30=
2023-06-28,99.7085,99.7142,48133DN30=
2023-06-29,99.7359,99.7412,48133DN30=
2023-06-30,99.7569,99.7619,48133DN30=
2023-07-03,99.7653,99.7701,48133DN30=
2023-07-04,99.7667,99.7715,48133DN30=
2023-07-05,99.7856,99.7902,48133DN30=
2023-07-07,99.8193,99.8231,48133DN30=
2023-07-10,99.8359,99.8395,48133DN30=
2023-07-11,99.844,99.8474,48133DN30=
2023-07-12,99.8531,99.8577,48133DN30=
2023-07-13,99.8787,99.8825,48133DN30=
2023-07-14,99.8874,99.8909,48133DN30=
2023-07-17,99.8956,99.8989,48133DN30=
2023-07-18,99.9044,99.9074,48133DN30=
2023-07-19,99.9129,99.9156,48133DN30=
2023-07-20,99.939,99.9409,48133DN30=
2023-07-21,99.9476,99.9492,48133DN30=
